candidate_id,solver_kind,mean_policy,whitening_policy,stress,row_count,field_gain_to_huber_mean,h1_gain_to_huber_mean,field_harm_rate_vs_huber,worst_field_gain_to_huber,clean_reprojection_ratio_to_cgls_mean,clean_reprojection_ratio_to_cgls_maximum,minimum_family_mean_field_gain_to_huber,family_mean_field_gains_to_huber_json,exact_call_budget_all_rows
quadratic_data__mean_estimated__unwhitened__l0p001,quadratic_measurement_pdhg_control,estimated,unwhitened,nominal,12,-0.06161505821930722,-0.08242462348056591,1.0,-0.09106698723554815,4.223297850552214,8.300747947427837,-0.07630922255505025,"{""single_interface"":-0.046920893883564185,""smooth_no_interface"":-0.07630922255505025}",True
quadratic_data__mean_estimated__unwhitened__l0p001,quadratic_measurement_pdhg_control,estimated,unwhitened,sparse_flowon_outlier,12,-0.06154209213504915,-0.08243938367381118,1.0,-0.09133527171098312,3.458778869871912,5.839334984352742,-0.07628522209447779,"{""single_interface"":-0.04679896217562052,""smooth_no_interface"":-0.07628522209447779}",True
quadratic_data__mean_estimated__unwhitened__l0p01,quadratic_measurement_pdhg_control,estimated,unwhitened,nominal,12,-0.05588690791755619,-0.07461895902562353,1.0,-0.0812634409887391,4.239533602055128,8.317699135483144,-0.06928844856913186,"{""single_interface"":-0.04248536726598053,""smooth_no_interface"":-0.06928844856913186}",True
quadratic_data__mean_estimated__unwhitened__l0p01,quadratic_measurement_pdhg_control,estimated,unwhitened,sparse_flowon_outlier,12,-0.05581978878124338,-0.07463180537180242,1.0,-0.08149654311658162,3.4719082916358075,5.851605695388562,-0.0692660550855192,"{""single_interface"":-0.04237352247696755,""smooth_no_interface"":-0.0692660550855192}",True
quadratic_data__mean_estimated__unwhitened__l0p1,quadratic_measurement_pdhg_control,estimated,unwhitened,nominal,12,-0.0026779623051385003,-0.0030951553519504757,0.25,-0.024561927747735007,4.44584397177019,8.55749177223293,-0.004077372548161814,"{""single_interface"":-0.0012785520621151874,""smooth_no_interface"":-0.004077372548161814}",True
quadratic_data__mean_estimated__unwhitened__l0p1,quadratic_measurement_pdhg_control,estimated,unwhitened,sparse_flowon_outlier,12,-0.0026718045799784492,-0.0031055549238930267,0.25,-0.024510622139381467,3.6386534278338893,6.022345697591281,-0.004074602170441039,"{""single_interface"":-0.0012690069895158593,""smooth_no_interface"":-0.004074602170441039}",True
quadratic_data__mean_zero__diagonal_flowoff__l0,quadratic_measurement_pdhg_control,zero,diagonal_flowoff,nominal,12,-0.18430272678138604,-0.30188335329067184,1.0,-0.6687929934438728,2.397020390368294,4.915662613925198,-0.2535123512612771,"{""single_interface"":-0.2535123512612771,""smooth_no_interface"":-0.115093102301495}",True
quadratic_data__mean_zero__diagonal_flowoff__l0,quadratic_measurement_pdhg_control,zero,diagonal_flowoff,sparse_flowon_outlier,12,-0.18400123265855636,-0.3017739065228537,1.0,-0.6623662835823346,2.030760938950102,3.6038201067342,-0.2532680959743164,"{""single_interface"":-0.2532680959743164,""smooth_no_interface"":-0.1147343693427963}",True
quadratic_data__mean_zero__diagonal_flowoff__l0p001,quadratic_measurement_pdhg_control,zero,diagonal_flowoff,nominal,12,-0.18242223804377514,-0.2985579077100754,1.0,-0.6750697321381719,2.5024777961766507,5.160393377876661,-0.25366845897522566,"{""single_interface"":-0.25366845897522566,""smooth_no_interface"":-0.11117601711232457}",True
quadratic_data__mean_zero__diagonal_flowoff__l0p001,quadratic_measurement_pdhg_control,zero,diagonal_flowoff,sparse_flowon_outlier,12,-0.18229419613121545,-0.29868284990996524,1.0,-0.668646375982702,2.1164371586963315,3.7675220220173515,-0.2536523964608169,"{""single_interface"":-0.2536523964608169,""smooth_no_interface"":-0.11093599580161395}",True
