mean_policy,whitening_policy,data_huber_delta_sigma_multiplier,standardized_edge_regularization_weight,stress,paired_case_count,field_gain_huber_data_to_quadratic_data_mean,field_gain_huber_data_to_quadratic_data_worst,h1_gain_huber_data_to_quadratic_data_mean,clean_reprojection_ratio_huber_data_to_quadratic_data_mean
zero,diagonal_flowoff,0.75,0.001,sparse_flowon_outlier,12,-0.00028605399811513203,-0.0014648155572845442,-0.0011175125676219694,0.9989322251845013
zero,diagonal_flowoff,0.75,0.01,nominal,12,-0.00020961666840462321,-0.0015827422794975692,-0.0010964480191001426,0.9980295076589822
zero,diagonal_flowoff,0.75,0.01,sparse_flowon_outlier,12,-0.00021417047934537512,-0.0012584355418964047,-0.0011219569744462786,0.9985666568842538
zero,diagonal_flowoff,0.75,0.1,nominal,12,0.0003487019515150676,-0.0013316109596449147,-0.0009213440217612397,0.9933265399995079
zero,diagonal_flowoff,0.75,0.1,sparse_flowon_outlier,12,0.00035444435901153554,-0.0012248028635077418,-0.0009453573538411888,0.9941014383033835
zero,diagonal_flowoff,1.345,0.0,nominal,12,0.0008383915915776082,-0.0008992827481926547,0.000647160713621764,0.9849467190436753
zero,diagonal_flowoff,1.345,0.0,sparse_flowon_outlier,12,0.0008340829551015966,-0.0006019866357044757,0.0006320273740227128,0.9864794639621902
zero,diagonal_flowoff,1.345,0.001,nominal,12,0.0018245043682425998,0.0003119314195077614,0.0014688046353525898,0.9824254377190184
zero,diagonal_flowoff,1.345,0.001,sparse_flowon_outlier,12,0.0018086325220232347,0.00036386424194534227,0.001432554482849893,0.9843508570838475
zero,diagonal_flowoff,1.345,0.01,nominal,12,0.002011511046822145,0.0003631604504835325,0.0015968056946011324,0.9819151967162717
zero,diagonal_flowoff,1.345,0.01,sparse_flowon_outlier,12,0.0019930071351520447,0.00038335202480229737,0.0015585173935734598,0.9839389948671643
zero,diagonal_flowoff,1.345,0.1,nominal,12,0.003430891509716234,0.0004889237884472381,0.0026848035420685384,0.9762643651944939
zero,diagonal_flowoff,1.345,0.1,sparse_flowon_outlier,12,0.003433789756494532,0.0005186195500039968,0.002658056882267157,0.9790263150659744
zero,diagonal_flowoff,2.0,0.0,nominal,12,0.002964036245951783,0.0007035087626614189,0.0032436434183230173,0.9683547762391044
zero,diagonal_flowoff,2.0,0.0,sparse_flowon_outlier,12,0.0029394934125247124,0.0008485577800439116,0.0032081355332845424,0.9714725048910321
zero,diagonal_flowoff,2.0,0.001,nominal,12,0.004070368328137528,0.000885341873451223,0.004198187803684732,0.9653189907283425
zero,diagonal_flowoff,2.0,0.001,sparse_flowon_outlier,12,0.004037806762320098,0.001032984137939987,0.004146323759301077,0.9687863834467011
zero,diagonal_flowoff,2.0,0.01,nominal,12,0.00437599865041513,0.0010386987844260712,0.004463535884659534,0.9646934958752117
zero,diagonal_flowoff,2.0,0.01,sparse_flowon_outlier,12,0.004341300862017638,0.0010967343738557988,0.004410454576808218,0.968330704034858
zero,diagonal_flowoff,2.0,0.1,nominal,12,0.006706699173216931,0.0013980045885959912,0.006517426744384794,0.9580772700041028
zero,diagonal_flowoff,2.0,0.1,sparse_flowon_outlier,12,0.00670735147414513,0.0014832479076764106,0.006488834046798349,0.9629802739595236
zero,isotropic_flowoff,0.75,0.0,nominal,12,0.0003713561588682302,-0.0008456621107930781,-0.0010985895883198875,0.9953015016417446
zero,isotropic_flowoff,0.75,0.0,sparse_flowon_outlier,12,0.0003647255782064853,-0.000772845810978022,-0.001132308809699913,0.9962198966968078
zero,isotropic_flowoff,0.75,0.001,nominal,12,0.0010711511163080491,-0.0009217550754668705,-0.0006584361474214006,0.9979348685532758
zero,isotropic_flowoff,0.75,0.001,sparse_flowon_outlier,12,0.0010504606179452733,-0.0008502633479750319,-0.000713981346251847,0.9987965469135528
zero,isotropic_flowoff,0.75,0.01,nominal,12,0.001139294988897978,-0.0009946184491400707,-0.000648498163314147,0.997690541560282
zero,isotropic_flowoff,0.75,0.01,sparse_flowon_outlier,12,0.001115223977792427,-0.000919967675125544,-0.0007065473304664636,0.9985874805663802
zero,isotropic_flowoff,0.75,0.1,nominal,12,0.0014279052779548917,-0.0016534086346170992,-0.0005751448655272226,0.9923523544277875
zero,isotropic_flowoff,0.75,0.1,sparse_flowon_outlier,12,0.0014051710700055849,-0.001621551516223654,-0.0006485799536956368,0.9939360520230359
zero,isotropic_flowoff,1.345,0.0,nominal,12,0.0025706811298080983,0.00042772848020172994,0.0016173581569267211,0.9776963572061718
zero,isotropic_flowoff,1.345,0.0,sparse_flowon_outlier,12,0.0025518625740351807,0.0004435259092896086,0.0015734791643097423,0.9800478958478372
zero,isotropic_flowoff,1.345,0.001,nominal,12,0.003351568068521865,0.00046306051753610203,0.002190980203748449,0.9793890233512501
zero,isotropic_flowoff,1.345,0.001,sparse_flowon_outlier,12,0.003321429063339699,0.00047965405689145665,0.0021277400167669107,0.9816748937197497
zero,isotropic_flowoff,1.345,0.01,nominal,12,0.0035406486731689554,0.00048425659529280026,0.0023363276199551237,0.9789766872058115
zero,isotropic_flowoff,1.345,0.01,sparse_flowon_outlier,12,0.0035080608769223836,0.0005017406377554612,0.002271512853997856,0.9813687078993323
zero,isotropic_flowoff,1.345,0.1,nominal,12,0.004866824815926168,0.0006628578450663407,0.0033387079722914073,0.9726008956698727
zero,isotropic_flowoff,1.345,0.1,sparse_flowon_outlier,12,0.004841613365415213,0.0006858363721339179,0.0032640926030601952,0.9760898403574026
