active_measured_weighted_residual,algorithm_wall_seconds_full_path,alpha,augmented_objective_squared,breakdown,checkpoint,configuration_id,data_residual_consistency_relative_difference,data_residual_squared,evaluator_forward_api_calls,evaluator_wall_seconds,family,field_relative_l2,front_top10_f1,gradient_relative_l2,heldout_b_clean_residual,lambda_h1,lambda_l2,physical_adjoint_calls_full_path,physical_forward_calls_full_path,quadratic_penalty_squared,regularization_family,regularization_row_count,sample_id,split
0.07264576852321625,0.16877391701564193,0.011363312101027286,620.3895874023438,False,16,h1_1e-8,2.924665068348986e-06,620.353271484375,1,0.009503667009994388,plume,0.9017212986946106,0.436374694108963,1.3166526556015015,0.4968767464160919,1e-08,0.0,24,24,0.03631591796875,h1,95232,validation-020,validation
0.054391395300626755,0.16877391701564193,0.011092630065887241,347.7968444824219,False,20,h1_1e-8,4.2098199628526345e-06,347.7593994140625,1,0.009503667009994388,plume,0.898684024810791,0.4397314488887787,1.3262968063354492,0.4865768253803253,1e-08,0.0,24,24,0.037445068359375,h1,95232,validation-020,validation
0.04301193356513977,0.16877391701564193,0.010240814414671444,217.50672912597656,False,24,h1_1e-8,5.527361736312741e-06,217.46853637695312,1,0.009503667009994388,plume,0.8966711163520813,0.44308820366859436,1.3328349590301514,0.47857901453971863,1e-08,0.0,24,24,0.0381927490234375,h1,95232,validation-020,validation
0.34751370549201965,0.1667198750656098,0.006993619813922544,16296.2080078125,False,4,h1_1e-8,3.922587552551704e-07,16296.1923828125,1,0.009462374961003661,wavy_front,0.9398449063301086,0.32651814818382263,1.1479824781417847,0.7209023833274841,1e-08,0.0,24,24,0.015625,h1,95232,validation-021,validation
0.19486375153064728,0.1667198750656098,0.008408183167784203,5123.970703125,False,8,h1_1e-8,9.254051178686495e-07,5123.9453125,1,0.009462374961003661,wavy_front,0.9155268669128418,0.3573390245437622,1.2506699562072754,0.6551882028579712,1e-08,0.0,24,24,0.025390625,h1,95232,validation-021,validation
0.123685322701931,0.1667198750656098,0.009006994528329062,2064.360595703125,False,12,h1_1e-8,1.794968625290494e-06,2064.327392578125,1,0.009462374961003661,wavy_front,0.9023699164390564,0.3722917437553406,1.3159818649291992,0.6369664669036865,1e-08,0.0,24,24,0.033203125,h1,95232,validation-021,validation
0.08364880830049515,0.1667198750656098,0.010525421303429011,944.232177734375,False,16,h1_1e-8,2.9294228625076357e-06,944.1951904296875,1,0.009462374961003661,wavy_front,0.8954356908798218,0.373817503452301,1.3527582883834839,0.6280321478843689,1e-08,0.0,24,24,0.0369873046875,h1,95232,validation-021,validation
0.0636199340224266,0.1667198750656098,0.009371670354439093,546.2098999023438,False,20,h1_1e-8,4.08872119805892e-06,546.171142578125,1,0.009462374961003661,wavy_front,0.8918896317481995,0.37564846873283386,1.369870662689209,0.6239978671073914,1e-08,0.0,24,24,0.03875732421875,h1,95232,validation-021,validation
0.05190475657582283,0.1667198750656098,0.011069797307950612,363.5832214355469,False,24,h1_1e-8,5.3322705753089394e-06,363.5437316894531,1,0.009462374961003661,wavy_front,0.8893125057220459,0.3777845501899719,1.3785532712936401,0.6214105486869812,1e-08,0.0,24,24,0.03948974609375,h1,95232,validation-021,validation
0.35968372225761414,0.16953245806507766,0.006030160349069765,15188.017578125,False,4,h1_1e-8,3.588719437175314e-07,15188.005859375,1,0.010095415986143053,plume,0.9571357369422913,0.44217270612716675,1.1703236103057861,0.8484984636306763,1e-08,0.0,24,24,0.01171875,h1,95232,validation-022,validation
0.18443644046783447,0.16953245806507766,0.008697496933036755,3993.509765625,False,8,h1_1e-8,9.709683581604622e-07,3993.490234375,1,0.010095415986143053,plume,0.939263105392456,0.4202013909816742,1.2660346031188965,0.7761991024017334,1e-08,0.0,24,24,0.01953125,h1,95232,validation-022,validation
0.11668378859758377,0.16953245806507766,0.009775930537609901,1598.4033203125,False,12,h1_1e-8,1.7408457324563642e-06,1598.3804931640625,1,0.010095415986143053,plume,0.931339681148529,0.42203235626220703,1.3008737564086914,0.7416719794273376,1e-08,0.0,24,24,0.0228271484375,h1,95232,validation-022,validation
0.07887843251228333,0.16953245806507766,0.009107041246530887,730.4503173828125,False,16,h1_1e-8,2.913304797402816e-06,730.4251708984375,1,0.010095415986143053,plume,0.9270869493484497,0.4205065667629242,1.3251622915267944,0.7236642837524414,1e-08,0.0,24,24,0.025146484375,h1,95232,validation-022,validation
