method,model_seed,split,dc_mode,dc_steps,case_count,field_relative_l2_mean,h1_seminorm_relative_error_mean,measured_reprojection_relative_l2_mean,field_gain_to_cgls_mean,reprojection_ratio_to_cgls_mean,field_gain_to_cgls_minimum,field_harm_rate,optimization_forward_calls,optimization_adjoint_calls
jacru_m2,43,ood,base_nullspace_filter,11,18,0.3995377404400423,0.6741183422154009,0.03721085429308102,0.3994013096535023,4.4443438167031,0.23463262797621912,0.0,24,24
jacru_m2,43,ood,measurement_pullback,0,18,0.4598575600525716,0.6834896267254659,0.2881537554364128,0.30911682154752496,37.90397358858154,0.034713656295037656,0.0,13,13
jacru_m2,43,ood,measurement_pullback,1,18,0.4281143429091005,0.6627152375311022,0.1608430754752644,0.3568796788667585,20.595234124471496,0.14076859877432377,0.0,14,14
jacru_m2,43,ood,measurement_pullback,3,18,0.4096476077328268,0.6640981297388149,0.08532948196842592,0.38421283070669593,10.624124214035033,0.20227376663201085,0.0,16,16
jacru_m2,43,ood,measurement_pullback,5,18,0.40345453820774746,0.6672474760518284,0.06125548121121934,0.3934127874848993,7.522980613685671,0.22205112811006764,0.0,18,18
jacru_m2,43,ood,measurement_pullback,11,18,0.39968706756924044,0.6744822483875328,0.03622685606048914,0.39918806769029636,4.340182147401059,0.23451297585347508,0.0,24,24
pooled_cnn,17,development,base_nullspace_filter,1,12,0.3487777926790417,0.5774785724964954,0.12643958761901544,0.4875357636871916,14.35886221925548,0.258264561364597,0.0,14,14
pooled_cnn,17,development,base_nullspace_filter,3,12,0.3476132509111674,0.5892990809424965,0.07084194349639632,0.4886619901288662,7.496905045718559,0.26717510201026523,0.0,16,16
pooled_cnn,17,development,base_nullspace_filter,5,12,0.34840512309404453,0.5969834160161879,0.05294678094324546,0.487232627686453,5.38270927616657,0.26946138712412726,0.0,18,18
pooled_cnn,17,development,base_nullspace_filter,11,12,0.3511068016623098,0.6091522363963984,0.03485959312398694,0.48326514253108077,3.307264578688319,0.26324878832043613,0.0,24,24
pooled_cnn,17,development,measurement_pullback,0,12,0.3587295319978985,0.5813686666689307,0.22293928121309095,0.47272542040875987,26.92835033283754,0.24627886422877823,0.0,13,13
pooled_cnn,17,development,measurement_pullback,1,12,0.34886187649285866,0.577464611213612,0.12647108774822585,0.48741654500402176,14.360167585146693,0.25804823283848993,0.0,14,14
pooled_cnn,17,development,measurement_pullback,3,12,0.3477905106261147,0.5892477514110165,0.07060619886090912,0.48841277706906144,7.476158059855488,0.2666229537373276,0.0,16,16
pooled_cnn,17,development,measurement_pullback,5,12,0.34866312374492403,0.596945692465892,0.0523637261351225,0.48687167226805245,5.3352591245920555,0.26862808294303586,0.0,18,18
pooled_cnn,17,development,measurement_pullback,11,12,0.35166239146435707,0.6094278271955934,0.03325790849756435,0.48249128285357307,3.1771678750621786,0.2616121487811797,0.0,24,24
pooled_cnn,17,ood,base_nullspace_filter,1,18,0.4208131832624274,0.6815440181654738,0.14428592632292914,0.3673828438171936,18.166491094155496,0.2144152250354188,0.0,14,14
pooled_cnn,17,ood,base_nullspace_filter,3,18,0.41054473420292437,0.6825626279627827,0.08052692642045878,0.3824645330381599,9.893583011595542,0.2570285001002253,0.0,16,16
pooled_cnn,17,ood,base_nullspace_filter,5,18,0.40745220027665385,0.6860069398427515,0.06038919978675258,0.38703659206076774,7.352499381599283,0.2619853796651647,0.0,18,18
pooled_cnn,17,ood,base_nullspace_filter,11,18,0.40622392069454016,0.6955420983620653,0.03746593301122152,0.38898412375766883,4.469954906668436,0.25851439930074344,0.0,24,24
pooled_cnn,17,ood,measurement_pullback,0,18,0.4426277919650522,0.6993716126091744,0.2578353641715506,0.33471221401822593,33.46019640971804,0.14801551475157085,0.0,13,13
pooled_cnn,17,ood,measurement_pullback,1,18,0.4208049430831356,0.6815230080154394,0.14419551610623788,0.36739816062609126,18.1546749179771,0.2145298437636022,0.0,14,14
pooled_cnn,17,ood,measurement_pullback,3,18,0.4105414816095292,0.6825530257712342,0.08022819496280004,0.3824739567149028,9.858918207681963,0.2569346901432855,0.0,16,16
pooled_cnn,17,ood,measurement_pullback,5,18,0.4074682686125199,0.6860335554828533,0.05992074815505994,0.38701814803745616,7.300283404255721,0.26187935861035194,0.0,18,18
pooled_cnn,17,ood,measurement_pullback,11,18,0.40634143507902937,0.6957583806102102,0.03648109674216438,0.38881923010794534,4.363692092828935,0.25819336929514836,0.0,24,24
