case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds,projection_iterations,interpolation_fraction,paired_call_budget,field_gain,h1_gain,reprojection_ratio_to_matched_cgls,field_harm,truth_used_by_candidate,exact_camera_block_setup_forward_equivalents,preconditioner_block_count
2aa10b47cf2ae3da6dfc,ood,single_interface,3191,jacru_m2,29,0.36252298643226205,0.04512921187780939,0.04193532694486025,-0.0029197664078987875,0.6429996585659375,0.0021602045361320066,0.019646160555241387,,,23,22,1,1,0.0,9,0.99,23,0.42572744850770017,0.3766736141578831,1.3252105351932146,0,False,1001,3
2aa10b47cf2ae3da6dfc,ood,single_interface,3191,jacru_m2,29,0.36247963320366605,0.04512381498682008,0.04193031200268189,-0.002918886439077641,0.6433007036824016,0.0012287010699454245,0.019559410282392945,,,23,22,1,1,0.0,9,0.995,23,0.4257961243438072,0.3763817798436326,0.7537654769535903,0,False,1001,3
2aa10b47cf2ae3da6dfc,ood,single_interface,3191,jacru_m2,29,0.36243894642156105,0.04511875003237866,0.04192560550523547,-0.002918006470256494,0.6436061424719095,0.0006912909841865273,0.019526808010705183,,,23,22,1,1,0.0,9,1.0,23,0.42586057626284657,0.3760856862855355,0.42408303464098,0,False,1001,3
2aa10b47cf2ae3da6dfc,ood,single_interface,3191,jacru_m2,29,0.41928421257359,0.052195217336348444,0.04850125701029763,-0.003094000234485825,0.6721364956946693,0.20613934986595195,0.2072664127948748,,,24,23,1,1,0.0,10,0.0,24,0.33586523227125387,0.3486868725830569,166.45435783866375,0,False,1001,3
2aa10b47cf2ae3da6dfc,ood,single_interface,3191,jacru_m2,29,0.37935082839799256,0.04722405075407371,0.04388190986793017,-0.003003546991081091,0.6354916116515497,0.10307937489800602,0.1050669514707721,,,24,23,1,1,0.0,10,0.5,24,0.3991186246689664,0.3841964665164856,83.23501149206088,0,False,1001,3
2aa10b47cf2ae3da6dfc,ood,single_interface,3191,jacru_m2,29,0.36772719114526675,0.04577706502350935,0.042537330222709266,-0.0029583203693787246,0.6338642211890229,0.05154980388860289,0.05524376862112536,,,24,23,1,1,0.0,10,0.75,24,0.4175301493472235,0.3857734390190446,41.62567461557576,0,False,1001,3
2aa10b47cf2ae3da6dfc,ood,single_interface,3191,jacru_m2,29,0.36378149527701154,0.045285879218724095,0.04208090662350894,-0.002931184396357304,0.6383966112004033,0.020633392785070023,0.028476431135205277,,,24,23,1,1,0.0,10,0.9,24,0.42378002408709825,0.3813814663588865,16.66114765718017,0,False,1001,3
2aa10b47cf2ae3da6dfc,ood,single_interface,3191,jacru_m2,29,0.3629906297620358,0.04518742715160569,0.04198942220684804,-0.0029221390720168307,0.6408119834195104,0.010330137031946194,0.022116571650114096,,,24,23,1,1,0.0,10,0.95,24,0.42503273351269083,0.3790409244541104,8.341426938409167,0,False,1001,3
2aa10b47cf2ae3da6dfc,ood,single_interface,3191,jacru_m2,29,0.3626946803443901,0.045150585449220175,0.04195518786570942,-0.0029176164098465938,0.6421867427556082,0.0051826407768197184,0.02019876609947742,,,24,23,1,1,0.0,10,0.975,24,0.42550150932597774,0.3777087563478182,4.184902799853487,0,False,1001,3
2aa10b47cf2ae3da6dfc,ood,single_interface,3191,jacru_m2,29,0.36254904625242523,0.045132455973189975,0.0419383414490974,-0.0029149028125444528,0.6430646619941154,0.0021071268766670475,0.019616627428795667,,,24,23,1,1,0.0,10,0.99,24,0.4257321897592972,0.3768580358044252,1.7014725784683116,0,False,1001,3
2aa10b47cf2ae3da6dfc,ood,single_interface,3191,jacru_m2,29,0.36250583091482413,0.045127076247765775,0.041933342457642644,-0.0029139982801104046,0.643366110022263,0.0011024016366574007,0.019527884947195175,,,24,23,1,1,0.0,10,0.995,24,0.4258006416764917,0.3765659268961542,0.890172384018022,0,False,1001,3
2aa10b47cf2ae3da6dfc,ood,single_interface,3191,jacru_m2,29,0.3624652818945547,0.045122028442810866,0.04192865189597914,-0.002913093747676357,0.6436719519538763,0.0003389368686056931,0.0194933484074397,,,24,23,1,1,0.0,10,1.0,24,0.4258648702196867,0.37626956021133606,0.2736863138857056,0,False,1001,3
00c3a80c137b7dc58c98,ood,two_interface,3191,jacru_m2,29,0.4908152884681927,0.03453475228458915,0.07377349948061905,-0.007854888232138254,0.7491689720673167,0.2658191004272784,0.26316855190711497,,,23,22,1,1,0.0,9,0.0,23,0.18195163319781157,0.24073865623363186,143.46979482093133,0,False,1001,3
