case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds,matched_step,total_calls,baseline_kind,dc_step_size,operator_norm_squared_bound,projection_iterations,paired_call_budget,matched_step_internal_offset
c574fbda17385d89b138,ood,single_interface,3109,cgls_matched,-1,0.703212493987063,0.08025211758685055,0.08123104013095403,-0.0025639982038178437,1.164177606887014,0.0013878397348737336,0.02499221300530791,,,23,23,0,1,0.0,10,23,cgls_matched,,8.50170973825559,9,23,10
c574fbda17385d89b138,ood,single_interface,3109,huber_pdhg_matched,-1,0.6887355882725528,0.07859998206646544,0.07955875171298252,-0.002909738878829066,1.0553961925999844,0.13783704542638023,0.1464096857697054,,,23,23,0,1,0.0,10,23,huber_pdhg_matched,,8.50170973825559,9,23,10
c574fbda17385d89b138,ood,single_interface,3109,base_landweber_matched,-1,0.70046528348475,0.0799386000339734,0.08091369826278512,-0.0024890983231150837,1.1593114832325027,0.009060637374258329,0.024043933349866504,,0.0011032469591468245,23,23,0,1,0.0,10,23,base_landweber_matched,0.11527093139750967,8.50170973825559,9,23,10
c574fbda17385d89b138,ood,single_interface,3109,cgls_matched,-1,0.7032137617771279,0.08025226226977104,0.08123118657872978,-0.0025668203229789154,1.1642260626026353,0.0010999625496328166,0.025007892865964002,,,24,24,0,1,0.0,11,24,cgls_matched,,8.50170973825559,10,24,11
c574fbda17385d89b138,ood,single_interface,3109,huber_pdhg_matched,-1,0.686198463541197,0.07831043995221935,0.07926567773800022,-0.0028882976683267613,1.0559568346188533,0.13275874291084622,0.14153524735037812,,,24,24,0,1,0.0,11,24,huber_pdhg_matched,,8.50170973825559,10,24,11
c574fbda17385d89b138,ood,single_interface,3109,base_landweber_matched,-1,0.7004986102486132,0.07994240335572211,0.0809175479777944,-0.002490326853448478,1.1593330250015523,0.008887459048836754,0.024049639596092163,,0.001168233099114186,24,24,0,1,0.0,11,24,base_landweber_matched,0.11527093139750967,8.50170973825559,10,24,11
49ed9e07a52fd9932a2e,ood,two_interface,3109,cgls_matched,-1,0.683536780398611,0.04063045276833181,0.10423731606756335,-0.01214873393091942,1.3119226104664308,0.0013033364980694299,0.03239064896039286,,,23,23,0,1,0.0,10,23,cgls_matched,,8.50170973825559,9,23,10
49ed9e07a52fd9932a2e,ood,two_interface,3109,huber_pdhg_matched,-1,0.6078357999014692,0.0361306727991956,0.09269314279556563,-0.01273310379859985,1.0423464835376193,0.15326399698126478,0.15492311679832502,,,23,23,0,1,0.0,10,23,huber_pdhg_matched,,8.50170973825559,9,23,10
49ed9e07a52fd9932a2e,ood,two_interface,3109,base_landweber_matched,-1,0.6791007846371799,0.040366770518255615,0.10356083997217459,-0.01223936191254679,1.30209810288607,0.009859412355903839,0.02805841762943354,,0.0005760635109690214,23,23,0,1,0.0,10,23,base_landweber_matched,0.11527093139750967,8.50170973825559,9,23,10
49ed9e07a52fd9932a2e,ood,two_interface,3109,cgls_matched,-1,0.6836107081967555,0.04063484714767893,0.10424858983582624,-0.012147455075346293,1.3119709987559975,0.0010235459537131662,0.03242287337074228,,,24,24,0,1,0.0,11,24,cgls_matched,,8.50170973825559,10,24,11
49ed9e07a52fd9932a2e,ood,two_interface,3109,huber_pdhg_matched,-1,0.6043618031912209,0.035924173217460185,0.09216336868027566,-0.012598791128625176,1.042726458553591,0.14589071683733418,0.14762586113818546,,,24,24,0,1,0.0,11,24,huber_pdhg_matched,,8.50170973825559,10,24,11
49ed9e07a52fd9932a2e,ood,two_interface,3109,base_landweber_matched,-1,0.6791210763928134,0.0403679766906848,0.10356393440426104,-0.012238672471088164,1.3021415154356688,0.009705920865912813,0.028100224237287214,,0.000610132597289082,24,24,0,1,0.0,11,24,base_landweber_matched,0.11527093139750967,8.50170973825559,10,24,11
b65d04062647ff4a96cf,ood,smooth_no_interface,3121,cgls_matched,-1,0.604034244610625,0.05920200520085407,0.07129396839563494,0.017736283642440478,1.214074550904994,0.0008181218486698132,0.022548198704176424,,,23,23,0,1,0.0,10,23,cgls_matched,,8.447019706069218,9,23,10
b65d04062647ff4a96cf,ood,smooth_no_interface,3121,huber_pdhg_matched,-1,0.5695868408554168,0.05582578043467979,0.06722815236525634,0.018171892217263105,1.0396210403012542,0.11318837048673537,0.11077539436427924,,,23,23,0,1,0.0,10,23,huber_pdhg_matched,,8.447019706069218,9,23,10
b65d04062647ff4a96cf,ood,smooth_no_interface,3121,base_landweber_matched,-1,0.6032134546010685,0.059121558744633845,0.07119709081373805,0.017770220525768196,1.210957700447762,0.005099252761840087,0.021901726324803066,,0.0006184951702046324,23,23,0,1,0.0,10,23,base_landweber_matched,0.11601725035587,8.447019706069218,9,23,10
b65d04062647ff4a96cf,ood,smooth_no_interface,3121,cgls_matched,-1,0.6040625884805845,0.059204783212120346,0.07129731381352658,0.017733788419387577,1.2141662981333274,0.0006360626864983645,0.022625773341484728,,,24,24,0,1,0.0,11,24,cgls_matched,,8.447019706069218,10,24,11
b65d04062647ff4a96cf,ood,smooth_no_interface,3121,huber_pdhg_matched,-1,0.5663044823331342,0.05550407316718455,0.06684073664033896,0.01798127553166921,1.0406162694191605,0.10664549294795299,0.10419257181366962,,,24,24,0,1,0.0,11,24,huber_pdhg_matched,,8.447019706069218,10,24,11
