case_id,split,family,base_seed,method,model_seed,projection_iterations,paired_call_budget,truth_used_by_candidate,candidate_deployable,per_case_reprojection_ratio_limit,exact_camera_block_setup_forward_equivalents,reprojection_feasible,feasible_alpha_lower,feasible_alpha_upper,truth_oracle_alpha,field_relative_l2,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,field_gain,h1_gain,reprojection_ratio_to_matched_cgls,field_harm
80f83d2b9da59c138e54,development,smooth_no_interface,2161,jacru_m2,29,9,23,True,False,1.1,1001,1,0.9991544736983817,1.0,0.9991544736983817,0.28211418592761395,0.578637469336439,0.00043404549572334837,0.025307676644537796,0.4989667640575658,0.4112854331910238,1.0999999999326495,0
80f83d2b9da59c138e54,development,smooth_no_interface,2161,jacru_m2,29,10,24,True,False,1.1,1001,1,0.9990366926484112,1.0,0.9990366926484112,0.2820953148392849,0.5785905714866451,0.0003651326940289735,0.02541940079101579,0.4951188255137835,0.4106897358946509,1.1000000000591361,0
817ed62303fd3253a425,development,single_interface,2161,jacru_m2,29,9,23,True,False,1.1,1001,1,0.9951067939300483,1.0,1.0,0.3877985037287731,0.6660095574058588,0.0007399335831369125,0.01900587795951586,0.4243033927433529,0.37780579973274614,0.5327481947628544,0
817ed62303fd3253a425,development,single_interface,2161,jacru_m2,29,10,24,True,False,1.1,1001,1,0.9954762395171206,1.0,1.0,0.38783463674257,0.6659710072696188,0.00045328444713507135,0.01894303501718421,0.4221064064327294,0.3786506314414716,0.39723731416081975,0
c12970cf110f1be99b82,ood,smooth_no_interface,3109,jacru_m2,29,9,23,True,False,1.1,1001,1,0.9958667784353274,1.0,0.9958667784353274,0.36150814973928214,0.6931050151556432,0.0008758674240672031,0.016418296177184984,0.3933726265617471,0.3624988763252625,1.0999999999829173,0
c12970cf110f1be99b82,ood,smooth_no_interface,3109,jacru_m2,29,10,24,True,False,1.1,1001,1,0.9966574733807643,1.0,0.9966574733807643,0.36153113127663056,0.6932175166922797,0.0006929771283997874,0.016409633955925002,0.3906370703915178,0.36400570937548915,1.099999999999753,0
c574fbda17385d89b138,ood,single_interface,3109,jacru_m2,29,9,23,True,False,1.1,1001,1,0.994063768878486,1.0,0.994063768878486,0.46154186642859507,0.7707484505996721,0.0015266237083604115,0.02507274376557385,0.3298707453375424,0.26970700102591644,1.099999999999499,0
c574fbda17385d89b138,ood,single_interface,3109,jacru_m2,29,10,24,True,False,1.1,1001,1,0.9951205790302864,1.0,0.9951205790302864,0.4616429404306494,0.7709581727309731,0.0012099588045885266,0.025100495427373016,0.3272457387206989,0.26989612884199965,1.0999999999931165,0
49ed9e07a52fd9932a2e,ood,two_interface,3109,jacru_m2,29,9,23,True,False,1.1,1001,1,0.9956473511369205,1.0,0.9956473511369205,0.4703960012889508,0.8425649540888452,0.0014336701478728207,0.03264798572742426,0.22611336587084457,0.19166518293488705,1.0999999999972745,0
49ed9e07a52fd9932a2e,ood,two_interface,3109,jacru_m2,29,10,24,True,False,1.1,1001,1,0.9960412625270029,1.0,0.9960412625270029,0.4703782983580291,0.8425720107901676,0.0011259005490824832,0.0326121332538128,0.22169419729327147,0.1919529768536475,1.0999999999980463,0
b65d04062647ff4a96cf,ood,smooth_no_interface,3121,jacru_m2,29,9,23,True,False,1.1,1001,1,0.9962749097058592,1.0,0.9962749097058592,0.3331233796361567,0.6263628896207625,0.000899934033537523,0.022662341432194814,0.4151490944982763,0.39750845227289805,1.1000000000008905,0
b65d04062647ff4a96cf,ood,smooth_no_interface,3121,jacru_m2,29,10,24,True,False,1.1,1001,1,0.9969664214960885,1.0,0.9969664214960885,0.33314386807033236,0.6264206387318416,0.0006996689551543165,0.02266006121066045,0.41172305983204777,0.3980291706552983,1.1000000000096146,0
