partition,base_seed,family,case_id,geometry_digest,candidate_id,field_relative_l2,h1_seminorm_relative_l2,field_mean_bias,data_residual_relative_l2,fallback,fallback_reason,takeover,evaluator_only,basis_rank,warm_forward_calls,warm_adjoint_calls,warm_projection_forward_calls,setup_forward_calls,setup_adjoint_calls,refine_forward_calls,refine_adjoint_calls,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,shared_warm_seconds,deployment_setup_seconds,candidate_refine_seconds,end_to_end_seconds,coefficient_norm,coefficient_radius,coefficient_clipped,projection_target_residual_ratio,radius_applies_to_entire_correction,high_order_teacher_setup_seconds
development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,pose_fourier_krylov6_total_adjoint_oracle,0.6588335159969643,1.017330195761727,0.011297315626656408,0.010725525501967953,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.0038169590407051146,0.0011552920332178473,0.0028330410132184625,0.007805292087141424,2.9365276837238627,3.3329378939342043,False,0.4863540908391692,True,
development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,detector_moment_krylov6_total_measurement_oracle,0.6526765012160276,1.0097421107927769,0.011164733871941628,0.005010295868857584,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.0038169590407051146,0.0009098750306293368,0.0029055839986540377,0.007632418069988489,2.5361421810790277,3.3329378939342043,False,0.527079290300637,True,
development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,detector_moment_krylov6_total_adjoint_oracle,0.6542287417070501,0.9991157072845912,0.011170511352705838,0.006948098826302693,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.0038169590407051146,0.0009098750306293368,0.003159457992296666,0.007886292063631117,2.8320864784239568,3.3329378939342043,False,0.5049153096089387,True,
development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,exact_mismatch_oracle,0.6373228967530605,1.033684722540927,0.010471273152538015,0.007650196103303442,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.0038169590407051146,0.0006867909687571228,0.002911082992795855,0.007414833002258092,,,,,,
development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,high_order_teacher_b0p75,0.6514459871159334,1.0328867422338248,0.0108094928396387,0.0041353875576382905,False,,True,True,4,12,12,1,2,2,10,10,25,24,1,0,0.0038169590407051146,0.0006867909687571228,0.002909458999056369,0.007413209008518606,,,,,,0.00016845797654241323
development,2113,smooth_no_interface,317fb817e8498cce9453,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,low_cgls24_matched,0.5888811168783096,1.129305364576579,0.016222821336653117,0.0002516590143975412,False,,True,False,,0,0,0,0,0,25,24,25,24,0,0,0.0,0.0,0.00738333398476243,0.00738333398476243,,,,,,
development,2113,smooth_no_interface,317fb817e8498cce9453,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,component_damping,0.5766559092070961,1.0036034755397227,0.01756512412347295,0.0009225997948419286,False,,True,False,,12,12,1,0,0,12,12,25,24,0,0,0.0039182089967653155,0.0,0.003548333013895899,0.007466542010661215,,,,,,
development,2113,smooth_no_interface,317fb817e8498cce9453,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,krylov4_total_measurement_oracle,0.574516734020321,1.0462083388486167,0.0169220325373149,0.0003544783998177651,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.0039182089967653155,0.000674291979521513,0.003699582943227142,0.00829208391951397,1.9083995975960788,1.9083995975960788,True,0.3807473623812355,True,
development,2113,smooth_no_interface,317fb817e8498cce9453,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,krylov4_total_adjoint_oracle,0.5758814038431558,1.05562260743061,0.016879980240776023,0.002331806773684086,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.0039182089967653155,0.000674291979521513,0.0028745000017806888,0.007467000978067517,1.9083995975960788,1.9083995975960788,True,0.3272640976745222,True,
development,2113,smooth_no_interface,317fb817e8498cce9453,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,fit_pca2_krylov6_total_measurement_oracle,0.5736232779961921,1.0514986359502216,0.016697431606010234,0.0011884621513290853,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.0039182089967653155,0.0008355839527212083,0.0030431249761022627,0.007796917925588787,1.908399597596079,1.9083995975960788,True,0.32320895590297927,True,
