partition,base_seed,family,case_id,geometry_digest,basis_kind,basis_names,basis_rank,dropped_names,raw_norms_json,orthonormality_defect,fit_mode_count,total_correction_radius,measurement_coefficient_norm,measurement_coefficient_clipped,measurement_target_residual_ratio,adjoint_coefficient_norm,adjoint_coefficient_clipped,adjoint_target_residual_ratio,actual_setup_forward_calls,actual_setup_adjoint_calls,basis_uses_evaluated_case_truth,radius_applies_to_entire_correction
development,2129,single_interface,244e6ac3deb3e11e693a,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,detector_moment_krylov6_total,damping|warm_residual|detector_u_warm_residual|detector_v_warm_residual|normal_detector_u_warm_residual|normal_detector_v_warm_residual,6,,"[1.9751059392909254, 0.2628745477860612, 0.2472574553272544, 0.2689943306713143, 0.5369674046357579, 0.5626589676579605]",4.440892098500626e-16,0,3.9502118785818507,2.7110668051383877,False,0.5994431727538893,2.9830828318039395,False,0.5828444080701194,2,2,False,True
development,2141,smooth_no_interface,9f619eafbf24c823c56e,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,krylov4_total,damping|warm_residual|normal_damping|normal_warm_residual,4,,"[1.9306198032722013, 0.06801564340432384, 7.509516016968934, 0.12400580275639878]",4.440892098500626e-16,0,1.9306198032722013,1.9306198032722013,True,0.4471335044739836,1.9306198032722013,True,0.41436881016568156,2,2,False,True
development,2141,smooth_no_interface,9f619eafbf24c823c56e,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,fit_pca2_krylov6_total,damping|warm_residual|fit_pca_mode_1|fit_pca_mode_2|normal_damping|normal_warm_residual,6,,"[1.9306198032722013, 0.06801564340432384, 0.9999999999999994, 0.9999999999999999, 7.509516016968934, 0.12400580275639878]",4.440892098500626e-16,2,1.9306198032722013,1.930619803272201,True,0.3626536684711333,1.9306198032722013,True,0.35480932545881294,2,2,False,True
development,2141,smooth_no_interface,9f619eafbf24c823c56e,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,camera_block6_total,camera_0_damping|camera_0_warm_residual|camera_1_damping|camera_1_warm_residual|camera_2_damping|camera_2_warm_residual,6,,"[1.0520822893368322, 0.04897581901071805, 1.186506912318586, 0.03871281699351274, 1.1011889157954589, 0.026996568307107498]",1.6046192152785466e-17,0,1.9306198032722013,1.9306198032722017,True,0.5386733371452143,1.9306198032722013,True,0.5299349845182149,0,0,False,True
development,2141,smooth_no_interface,9f619eafbf24c823c56e,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,pose_fourier_krylov6_total,damping|warm_residual|sin_azimuth_warm_residual|cos_azimuth_warm_residual|normal_sin_azimuth_warm_residual|normal_cos_azimuth_warm_residual,6,,"[1.9306198032722013, 0.06801564340432384, 0.07565659704299435, 0.06742496210646462, 0.08674642160822478, 0.14481878012035232]",4.440892098500626e-16,0,1.9306198032722013,1.9306198032722015,True,0.5391593824055031,1.9306198032722013,True,0.5266835926797405,2,2,False,True
development,2141,smooth_no_interface,9f619eafbf24c823c56e,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,detector_moment_krylov6_total,damping|warm_residual|detector_u_warm_residual|detector_v_warm_residual|normal_detector_u_warm_residual|normal_detector_v_warm_residual,6,,"[1.9306198032722013, 0.06801564340432384, 0.0580172368310033, 0.05226752302701587, 0.11336809427045266, 0.10743241128510166]",4.440892098500626e-16,0,1.9306198032722013,1.9306198032722013,True,0.5445315215106522,1.930619803272201,True,0.5309443102986835,2,2,False,True
development,2141,single_interface,5b5cfa89f87acb09b4ba,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,krylov4_total,damping|warm_residual|normal_damping|normal_warm_residual,4,,"[1.958469258123045, 0.15930057242512208, 5.7045094909057505, 0.2348122098392332]",4.440892098500626e-16,0,2.5488091588019532,1.6466804318748354,False,0.7894289881359184,1.7070413426008295,False,0.7565531204611474,2,2,False,True
development,2141,single_interface,5b5cfa89f87acb09b4ba,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,fit_pca2_krylov6_total,damping|warm_residual|fit_pca_mode_1|fit_pca_mode_2|normal_damping|normal_warm_residual,6,,"[1.958469258123045, 0.15930057242512208, 0.9999999999999994, 0.9999999999999999, 5.7045094909057505, 0.2348122098392332]",4.440892098500626e-16,2,2.5488091588019532,1.71896770052166,False,0.7677172025794613,1.9088242500914825,False,0.676322922356018,2,2,False,True
development,2141,single_interface,5b5cfa89f87acb09b4ba,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,camera_block6_total,camera_0_damping|camera_0_warm_residual|camera_1_damping|camera_1_warm_residual|camera_2_damping|camera_2_warm_residual,6,,"[0.5388261507927165, 0.10572406435324644, 1.6376641659061117, 0.10746136098401568, 0.9291524600096449, 0.05148932401056786]",2.220446049250313e-16,0,2.5488091588019532,1.7869766145575532,False,0.7458259582962465,2.081716794071032,False,0.804807859446391,0,0,False,True
development,2141,single_interface,5b5cfa89f87acb09b4ba,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,pose_fourier_krylov6_total,damping|warm_residual|sin_azimuth_warm_residual|cos_azimuth_warm_residual|normal_sin_azimuth_warm_residual|normal_cos_azimuth_warm_residual,6,,"[1.958469258123045, 0.15930057242512208, 0.18451694967760263, 0.14151820095687723, 0.2182699662583841, 0.27306581353810894]",4.440892098500626e-16,0,2.5488091588019532,1.7822650620751233,False,0.7473909480317045,2.0941167124394986,False,0.8051271840540437,2,2,False,True
development,2141,single_interface,5b5cfa89f87acb09b4ba,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,detector_moment_krylov6_total,damping|warm_residual|detector_u_warm_residual|detector_v_warm_residual|normal_detector_u_warm_residual|normal_detector_v_warm_residual,6,,"[1.958469258123045, 0.15930057242512208, 0.13203109987107664, 0.15211696010653183, 0.28278832867146947, 0.2372827121430892]",4.440892098500626e-16,0,2.5488091588019532,1.5351288373253194,False,0.8200734978022907,1.7494309027762733,False,0.8217632720778458,2,2,False,True
development,2153,smooth_no_interface,c67e153f11105dcd0f2c,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,krylov4_total,damping|warm_residual|normal_damping|normal_warm_residual,4,,"[1.8931752533674169, 0.07765088714511721, 7.757663307282635, 0.120393725018071]",2.220446049250313e-16,0,1.8931752533674169,1.8931752533674169,True,0.3516507102548673,1.8931752533674169,True,0.2892472578730424,2,2,False,True
