partition,candidate_id,base_seed,geometry_digest,family_count,mean_residual_ratio,mean_gain_vs_zero,worst_family_gain_vs_zero
development,local_detector_component_mean,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,2,0.866470094597733,0.1335299054022669,0.03562665040039159
development,local_detector_component_mean,2129,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,2,0.9096049544185517,0.09039504558144829,0.02665340039427444
development,local_detector_component_mean,2141,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,2,0.9516698598537469,0.04833014014625314,0.00401756184450297
development,local_detector_component_mean,2153,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,2,0.843827757389639,0.156172242610361,0.02057381438328676
development,local_detector_component_mean,2161,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,2,0.8158992921993223,0.18410070780067767,0.026077489738160486
development,nominal_slot_component_mean,2101,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,2,0.999982373189527,1.7626810473070353e-05,-5.423753426381239e-05
development,nominal_slot_component_mean,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,2,0.9999347438036155,6.525619638447777e-05,2.0326096449085895e-05
development,nominal_slot_component_mean,2129,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,2,1.0002315134197926,-0.00023151341979255058,-0.0005029165362757659
development,nominal_slot_component_mean,2141,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,2,1.0000549125430327,-5.491254303269244e-05,-0.00036827921631710225
development,nominal_slot_component_mean,2153,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,2,0.9999628255881492,3.71744118508599e-05,9.773389146872091e-07
development,nominal_slot_component_mean,2161,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,2,0.9999575729841927,4.242701580725594e-05,-7.318729636596188e-05
development,ridge_curvature_visible,2101,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,2,0.5004152179625238,0.49958478203747625,0.49679743992505343
development,ridge_curvature_visible,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,2,0.4609557949312802,0.5390442050687199,0.463025095921617
development,ridge_curvature_visible,2129,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,2,0.5149832492998994,0.4850167507001007,0.4487454192819945
development,ridge_curvature_visible,2141,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,2,0.752929571440675,0.24707042855932504,-0.028367624815132997
development,ridge_curvature_visible,2153,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,2,0.5023878189860862,0.49761218101391386,0.4277486985297483
development,ridge_curvature_visible,2161,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,2,0.5314266317353903,0.4685733682646097,0.42714517699403576
development,ridge_geometry_observation,2101,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,2,0.6873248019262084,0.3126751980737917,0.29999405021290393
development,ridge_geometry_observation,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,2,0.6432605977926387,0.35673940220736133,0.31681043341284776
development,ridge_geometry_observation,2129,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,2,0.7198411297725178,0.28015887022748226,0.2689111438149959
development,ridge_geometry_observation,2141,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,2,0.9161184370555309,0.08388156294446913,-0.13843736533824025
development,ridge_geometry_observation,2153,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,2,0.7158768161953749,0.2841231838046251,0.2186227709083427
