base_seed,geometry_digest,family,case_id,rank,residual_ratio_to_uncorrected_mismatch,gain_vs_zero,uses_fresh_exact_mismatch_coefficients,deployable,participates_in_gate
2141,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,single_interface,5b5cfa89f87acb09b4ba,0,0.9946470026472074,0.005352997352792599,True,False,False
2141,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,single_interface,5b5cfa89f87acb09b4ba,1,0.9739861406460519,0.026013859353948066,True,False,False
2141,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,single_interface,5b5cfa89f87acb09b4ba,2,0.9431682091670398,0.056831790832960194,True,False,False
2141,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,single_interface,5b5cfa89f87acb09b4ba,4,0.9239118931790449,0.07608810682095513,True,False,False
2141,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,single_interface,5b5cfa89f87acb09b4ba,8,0.894066267341033,0.105933732658967,True,False,False
2141,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,single_interface,5b5cfa89f87acb09b4ba,16,0.7158740848352838,0.2841259151647162,True,False,False
2153,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,smooth_no_interface,c67e153f11105dcd0f2c,0,0.6838906150544639,0.3161093849455361,True,False,False
2153,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,smooth_no_interface,c67e153f11105dcd0f2c,1,0.5341058469688752,0.4658941530311248,True,False,False
2153,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,smooth_no_interface,c67e153f11105dcd0f2c,2,0.5340999073807129,0.4659000926192871,True,False,False
2153,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,smooth_no_interface,c67e153f11105dcd0f2c,4,0.467767469880196,0.532232530119804,True,False,False
2153,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,smooth_no_interface,c67e153f11105dcd0f2c,8,0.2952838421101551,0.7047161578898449,True,False,False
2153,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,smooth_no_interface,c67e153f11105dcd0f2c,16,0.21438526440545644,0.7856147355945435,True,False,False
2153,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,single_interface,d1f773e0843797aa3ccb,0,0.9857076955097428,0.014292304490257202,True,False,False
