variant_id,method,discrepancy_target,effective_df_target,rig_id,block_id,true_aperture_radius,nearest_bank_radius,metadata_aperture_radius,selected_radius,nearest_bank_match,selected_radius_boundary,mean_outer_validation_mse,relative_radius_margin,fold_score_deletion_radius_stability_fraction,fold_selected_kappas,fold_kappa_boundary_count,mean_selected_effective_df_fraction,mean_selected_whitened_discrepancy
gcv,gcv,1.0,0.5,development_rig_a,development_rig_a:radius=0.09500,0.095,0.08,0.113,0.08,True,False,30.693619260064487,0.0033804590404032074,0.25,0.01|0.01|0.01|0.01,0,0.6361131842793071,0.47858685172175813
upre,upre,1.0,0.5,development_rig_a,development_rig_a:radius=0.09500,0.095,0.08,0.113,0.08,True,False,30.693619260064487,0.0033804590404032074,0.25,0.01|0.01|0.01|0.01,0,0.6361131842793071,0.47858685172175813
morozov_0p50,morozov,0.5,0.5,development_rig_a,development_rig_a:radius=0.09500,0.095,0.08,0.113,0.08,True,False,30.693619260064487,0.0033804590404032074,0.25,0.01|0.01|0.01|0.01,0,0.6361131842793071,0.47858685172175813
morozov_0p75,morozov,0.75,0.5,development_rig_a,development_rig_a:radius=0.09500,0.095,0.08,0.113,0.12,False,False,30.518118596737303,0.006344844715674319,0.75,0.0316227766017|0.0316227766017|0.0316227766017|0.0316227766017,0,0.5561813433862898,0.6939029437154118
morozov_1p00,morozov,1.0,0.5,development_rig_a,development_rig_a:radius=0.09500,0.095,0.08,0.113,0.12,False,False,29.979896247052665,0.04711563440560716,1.0,0.0316227766017|0.1|0.0316227766017|0.0316227766017,0,0.5360984392779337,0.85236918138541
morozov_1p25,morozov,1.25,0.5,development_rig_a,development_rig_a:radius=0.09500,0.095,0.08,0.113,0.16,False,True,33.245750998103674,0.04593658374769035,0.75,0.1|0.0316227766017|0.0316227766017|0.0316227766017,0,0.5200237382549834,1.0968662442873407
equal_df_0p40,equal_df,1.0,0.4,development_rig_a,development_rig_a:radius=0.09500,0.095,0.08,0.113,0.12,False,False,44.514698215823785,0.010346980384342898,0.75,0.316227766017|0.316227766017|0.316227766017|0.316227766017,0,0.3793802483533699,5.321770522925269
equal_df_0p50,equal_df,1.0,0.5,development_rig_a,development_rig_a:radius=0.09500,0.095,0.08,0.113,0.12,False,False,34.77294722308292,0.01988756009596119,1.0,0.1|0.1|0.1|0.1,0,0.47517841027287977,1.45168333807282
equal_df_0p60,equal_df,1.0,0.6,development_rig_a,development_rig_a:radius=0.09500,0.095,0.08,0.113,0.08,True,False,31.7927190493362,0.013968687119950765,0.75,0.0316227766017|0.01|0.01|0.0316227766017,0,0.6018490893659207,0.5761519817397718
equal_df_0p70,equal_df,1.0,0.7,development_rig_a,development_rig_a:radius=0.09500,0.095,0.08,0.113,0.12,False,False,38.60050824732568,0.003932085444629617,0.75,0.00316227766017|0.00316227766017|0.00316227766017|0.00316227766017,0,0.6861539247621262,0.42624362876171606
gcv,gcv,1.0,0.5,development_rig_a,development_rig_a:radius=0.13500,0.135,0.12,0.153,0.12,True,False,28.305611983823106,0.028125825358819186,1.0,0.01|0.01|0.01|0.01,0,0.6256917526208936,0.4948212873330172
upre,upre,1.0,0.5,development_rig_a,development_rig_a:radius=0.13500,0.135,0.12,0.153,0.12,True,False,28.305611983823106,0.028125825358819186,1.0,0.01|0.01|0.01|0.01,0,0.6256917526208936,0.4948212873330172
morozov_0p50,morozov,0.5,0.5,development_rig_a,development_rig_a:radius=0.13500,0.135,0.12,0.153,0.12,True,False,28.305611983823106,0.09193775533383554,1.0,0.01|0.01|0.01|0.01,0,0.6256917526208936,0.4948212873330172
morozov_0p75,morozov,0.75,0.5,development_rig_a,development_rig_a:radius=0.13500,0.135,0.12,0.153,0.12,True,False,27.986548693975664,0.014836202343444795,0.75,0.0316227766017|0.0316227766017|0.0316227766017|0.0316227766017,0,0.5561813433862896,0.674155380940965
morozov_1p00,morozov,1.0,0.5,development_rig_a,development_rig_a:radius=0.13500,0.135,0.12,0.153,0.16,False,True,28.401762793294157,0.0017397156573523587,0.5,0.0316227766017|0.0316227766017|0.0316227766017|0.0316227766017,0,0.5405181687443531,0.731874453619163
morozov_1p25,morozov,1.25,0.5,development_rig_a,development_rig_a:radius=0.13500,0.135,0.12,0.153,0.08,False,False,29.435448211676743,0.05100334281054641,0.75,0.1|0.1|0.1|0.0316227766017,0,0.5053264975510557,1.1754517784800982
equal_df_0p40,equal_df,1.0,0.4,development_rig_a,development_rig_a:radius=0.13500,0.135,0.12,0.153,0.16,False,True,41.897250313573366,0.004380142685348547,0.25,0.316227766017|0.316227766017|0.316227766017|0.316227766017,0,0.3681956627142128,5.337340680984969
equal_df_0p50,equal_df,1.0,0.5,development_rig_a,development_rig_a:radius=0.13500,0.135,0.12,0.153,0.12,True,False,32.415765882803825,0.00788090625644433,0.75,0.1|0.1|0.1|0.1,0,0.47517841027287966,1.4013735090754489
equal_df_0p60,equal_df,1.0,0.6,development_rig_a,development_rig_a:radius=0.13500,0.135,0.12,0.153,0.16,False,True,29.101730683154614,0.020952015401610725,0.75,0.01|0.01|0.01|0.01,0,0.6097440460894343,0.5405183468305972
equal_df_0p70,equal_df,1.0,0.7,development_rig_a,development_rig_a:radius=0.13500,0.135,0.12,0.153,0.12,True,False,36.87425562522759,0.14654485488520447,1.0,0.00316227766017|0.00316227766017|0.00316227766017|0.00316227766017,0,0.686153924762124,0.4238582492825367
gcv,gcv,1.0,0.5,development_rig_b,development_rig_b:radius=0.05500,0.055,0.04,0.041,0.12,False,False,20.287066927310523,0.004819461917403324,0.75,0.01|0.01|0.01|0.0316227766017,0,0.6341949753056768,0.5664758905626635
upre,upre,1.0,0.5,development_rig_b,development_rig_b:radius=0.05500,0.055,0.04,0.041,0.12,False,False,20.767556394335003,0.016016023345709243,0.75,0.01|0.01|0.01|0.01,0,0.6507326389713726,0.5357987321124045
morozov_0p50,morozov,0.5,0.5,development_rig_b,development_rig_b:radius=0.05500,0.055,0.04,0.041,0.04,True,False,26.934429099786072,0.19239281360129706,0.75,0.01|0.01|0.01|0.00316227766017,0,0.6782861148959962,0.4708676558025603
morozov_0p75,morozov,0.75,0.5,development_rig_b,development_rig_b:radius=0.05500,0.055,0.04,0.041,0.12,False,False,19.882586233320055,0.009233710826481263,0.75,0.0316227766017|0.0316227766017|0.0316227766017|0.0316227766017,0,0.5789255747522808,0.6838502595959796
morozov_1p00,morozov,1.0,0.5,development_rig_b,development_rig_b:radius=0.05500,0.055,0.04,0.041,0.16,False,True,20.53728574849783,0.09123091627735663,0.75,0.0316227766017|0.0316227766017|0.0316227766017|0.0316227766017,0,0.5686958001576158,0.7863983449268219
morozov_1p25,morozov,1.25,0.5,development_rig_b,development_rig_b:radius=0.05500,0.055,0.04,0.041,0.0,False,True,24.53357739643866,0.015103642807556439,0.5,0.1|0.1|0.1|0.1,0,0.5092444407065437,1.2562666724279787
equal_df_0p40,equal_df,1.0,0.4,development_rig_b,development_rig_b:radius=0.05500,0.055,0.04,0.041,0.0,False,True,37.40972577188952,0.009860640653524533,0.75,0.316227766017|0.316227766017|0.316227766017|0.316227766017,0,0.4090303974696941,4.5495706240570755
equal_df_0p50,equal_df,1.0,0.5,development_rig_b,development_rig_b:radius=0.05500,0.055,0.04,0.041,0.0,False,True,24.53357739643866,0.015103642807556439,0.5,0.1|0.1|0.1|0.1,0,0.5092444407065437,1.2562666724279787
equal_df_0p60,equal_df,1.0,0.6,development_rig_b,development_rig_b:radius=0.05500,0.055,0.04,0.041,0.04,True,False,21.118478594818185,0.01483220077284483,0.25,0.01|0.0316227766017|0.0316227766017|0.0316227766017,0,0.6073868360611542,0.5965325813297032
equal_df_0p70,equal_df,1.0,0.7,development_rig_b,development_rig_b:radius=0.05500,0.055,0.04,0.041,0.04,True,False,31.957997613571724,0.004957196798824607,0.75,0.00316227766017|0.01|0.01|0.00316227766017,0,0.694096546420961,0.45337899457291897
gcv,gcv,1.0,0.5,development_rig_b,development_rig_b:radius=0.09500,0.095,0.08,0.081,0.12,False,False,19.480418630175937,0.02386141574564286,0.75,0.01|0.01|0.01|0.0316227766017,0,0.6341949753056761,0.5390879958361754
upre,upre,1.0,0.5,development_rig_b,development_rig_b:radius=0.09500,0.095,0.08,0.081,0.12,False,False,19.8528931800644,0.03731550732626687,0.75,0.01|0.01|0.01|0.01,0,0.6507326389713716,0.5096938032504792
morozov_0p50,morozov,0.5,0.5,development_rig_b,development_rig_b:radius=0.09500,0.095,0.08,0.081,0.08,True,False,25.615351109472257,0.02869522359281864,0.5,0.01|0.01|0.01|0.00316227766017,0,0.6729040852889164,0.4723343220196984
morozov_0p75,morozov,0.75,0.5,development_rig_b,development_rig_b:radius=0.09500,0.095,0.08,0.081,0.12,False,False,19.28121645375021,0.019268763188323716,0.5,0.0316227766017|0.0316227766017|0.0316227766017|0.0316227766017,0,0.5789255747522803,0.6526658511101873
morozov_1p00,morozov,1.0,0.5,development_rig_b,development_rig_b:radius=0.09500,0.095,0.08,0.081,0.16,False,True,20.056888882003403,0.11821781154947199,0.75,0.0316227766017|0.0316227766017|0.1|0.0316227766017,0,0.5465903622355988,0.896143339831875
morozov_1p25,morozov,1.25,0.5,development_rig_b,development_rig_b:radius=0.09500,0.095,0.08,0.081,0.0,False,True,24.071709554108736,0.005239804490351939,0.5,0.1|0.1|0.1|0.1,0,0.5092444407065437,1.2559003892064615
equal_df_0p40,equal_df,1.0,0.4,development_rig_b,development_rig_b:radius=0.09500,0.095,0.08,0.081,0.0,False,True,36.63816882802634,0.0008497547513456587,0.5,0.316227766017|0.316227766017|0.316227766017|0.316227766017,0,0.4090303974696941,4.5421228044549435
equal_df_0p50,equal_df,1.0,0.5,development_rig_b,development_rig_b:radius=0.09500,0.095,0.08,0.081,0.0,False,True,24.071709554108736,0.005239804490351939,0.5,0.1|0.1|0.1|0.1,0,0.5092444407065437,1.2559003892064615
equal_df_0p60,equal_df,1.0,0.6,development_rig_b,development_rig_b:radius=0.09500,0.095,0.08,0.081,0.12,False,False,20.54015539073139,0.009259829337584707,0.75,0.01|0.0316227766017|0.0316227766017|0.01,0,0.611666648867444,0.587935041528207
equal_df_0p70,equal_df,1.0,0.7,development_rig_b,development_rig_b:radius=0.09500,0.095,0.08,0.081,0.08,True,False,30.84338382945836,0.00796866350003837,0.5,0.00316227766017|0.01|0.01|0.00316227766017,0,0.6883408147023559,0.4558376411860309
gcv,gcv,1.0,0.5,development_rig_b,development_rig_b:radius=0.13500,0.135,0.12,0.12100000000000001,0.12,True,False,18.54823014303157,0.0023635371189773004,0.5,0.01|0.01|0.01|0.0316227766017,0,0.6341949753056766,0.5224124986897841
upre,upre,1.0,0.5,development_rig_b,development_rig_b:radius=0.13500,0.135,0.12,0.12100000000000001,0.16,False,True,19.041602060126635,0.0002600534311910756,0.5,0.01|0.01|0.01|0.01,0,0.6403434392182183,0.528728629290085
morozov_0p50,morozov,0.5,0.5,development_rig_b,development_rig_b:radius=0.13500,0.135,0.12,0.12100000000000001,0.12,True,False,28.291405062054125,0.039285487046999974,0.75,0.00316227766017|0.01|0.01|0.00316227766017,0,0.6801172703373508,0.4628231854527305
morozov_0p75,morozov,0.75,0.5,development_rig_b,development_rig_b:radius=0.13500,0.135,0.12,0.12100000000000001,0.16,False,True,18.44381943269493,0.002896274408511286,0.5,0.0316227766017|0.0316227766017|0.0316227766017|0.0316227766017,0,0.5686958001576158,0.6658601926268448
morozov_1p00,morozov,1.0,0.5,development_rig_b,development_rig_b:radius=0.13500,0.135,0.12,0.12100000000000001,0.0,False,True,21.333417090201763,0.07398524213835339,0.75,0.0316227766017|0.0316227766017|0.1|0.1,0,0.5504712413973958,0.9684145861077713
morozov_1p25,morozov,1.25,0.5,development_rig_b,development_rig_b:radius=0.13500,0.135,0.12,0.12100000000000001,0.16,False,True,22.911775119258827,0.010985693340933375,0.75,0.1|0.1|0.1|0.1,0,0.486170105042505,1.2327297433137931
equal_df_0p40,equal_df,1.0,0.4,development_rig_b,development_rig_b:radius=0.13500,0.135,0.12,0.12100000000000001,0.16,False,True,35.05254924904809,0.014047858003896692,0.75,0.316227766017|0.316227766017|0.316227766017|0.316227766017,0,0.3874926804659914,4.290576523933481
equal_df_0p50,equal_df,1.0,0.5,development_rig_b,development_rig_b:radius=0.13500,0.135,0.12,0.12100000000000001,0.16,False,True,22.911775119258827,0.010985693340933375,0.75,0.1|0.1|0.1|0.1,0,0.486170105042505,1.2327297433137931
equal_df_0p60,equal_df,1.0,0.6,development_rig_b,development_rig_b:radius=0.13500,0.135,0.12,0.12100000000000001,0.12,True,False,19.70043416562673,0.0004738018198165095,0.5,0.01|0.0316227766017|0.0316227766017|0.01,0,0.6116666488674445,0.5703771697834155
equal_df_0p70,equal_df,1.0,0.7,development_rig_b,development_rig_b:radius=0.13500,0.135,0.12,0.12100000000000001,0.08,False,False,31.445470666912264,0.04183035949301771,0.5,0.00316227766017|0.01|0.01|0.00316227766017,0,0.6883408147023552,0.46321989946972775
