rig_id,split_role,partition_name,oracle_only,pointwise_violation_count,row_mass_mismatch_count,column_mass_mismatch_count,support_violation_count,row_violation_count,column_violation_count,spectral_violation_count,total_violation_count,maximum_entrywise_slack,minimum_entrywise_slack,maximum_row_product,maximum_column_product,dense_normalized_spectral_norm_squared,schur_squared_upper_bound,active_row_count,active_column_count,exact_masses_recomputed_from_signed_primitives,triangle_inequality_certificate
cal-04,safety_calibration,singleton_factor,False,0,0,0,0,0,0,0,0,4.7044586870661265,0.005615420869828108,0.05530939844379296,0.10951930350370657,0.001576598445229736,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
cal-04,safety_calibration,paired_local,False,0,0,0,0,0,0,0,0,0.556648876866409,-2.7755575615628914e-17,0.48810419024936574,0.32337654610905053,0.06126484242339343,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
cal-04,safety_calibration,paired_cross,False,0,0,0,0,0,0,0,0,0.9783100480050375,-1.3877787807814457e-17,0.28902198822752395,0.19506103561227187,0.02154553798143193,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
cal-04,safety_calibration,triad_bridge,False,0,0,0,0,0,0,0,0,1.3221546157985054,0.0,0.1562113049374294,0.1744426830666718,0.008700295887375442,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
cal-04,safety_calibration,all_in_one_exact,True,0,0,0,0,0,0,0,0,0.0,0.0,0.7000000000000001,0.7000000000000001,0.2767382319931155,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
cal-05,safety_calibration,singleton_factor,False,0,0,0,0,0,0,0,0,3.864243514441294,0.026267016497165327,0.09017201924430077,0.12923504023804308,0.004205959402203072,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
cal-05,safety_calibration,paired_local,False,0,0,0,0,0,0,0,0,0.24005182123591862,-1.1102230246251565e-16,0.6914326250330396,0.6753313531581354,0.29487435635839987,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
cal-05,safety_calibration,paired_cross,False,0,0,0,0,0,0,0,0,0.7669919599410565,-5.551115123125783e-17,0.3471238451972632,0.5097975233418933,0.06861315298339547,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
cal-05,safety_calibration,triad_bridge,False,0,0,0,0,0,0,0,0,0.9021383865778442,-1.3877787807814457e-17,0.26336947789829973,0.3164125523210522,0.03901843998928637,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
cal-05,safety_calibration,all_in_one_exact,True,0,0,0,0,0,0,0,0,0.0,0.0,0.7000000000000001,0.7000000000000001,0.3740953996947671,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-00,fresh_geometry_ood,singleton_factor,False,0,0,0,0,0,0,0,0,4.947260254014841,0.020686637419328663,0.05439704511969955,0.13807204378014423,0.0014449351156149049,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-00,fresh_geometry_ood,paired_local,False,0,0,0,0,0,0,0,0,0.2243980305174249,-2.7755575615628914e-17,0.6722031393559208,0.6299383112321169,0.21126871670452377,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-00,fresh_geometry_ood,paired_cross,False,0,0,0,0,0,0,0,0,1.59574202892539,0.0,0.16008226664294384,0.2780236250872288,0.011684723796391882,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-00,fresh_geometry_ood,triad_bridge,False,0,0,0,0,0,0,0,0,1.4046288216690441,0.0,0.1671293377514516,0.1827817591684241,0.013708221502099528,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-00,fresh_geometry_ood,all_in_one_exact,True,0,0,0,0,0,0,0,0,0.0,0.0,0.7000000000000001,0.7000000000000001,0.33814705698342973,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-01,fresh_geometry_ood,singleton_factor,False,0,0,0,0,0,0,0,0,5.037558438195615,0.05086212183515504,0.03802412338761216,0.10513189412922702,0.0009936616448680932,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-01,fresh_geometry_ood,paired_local,False,0,0,0,0,0,0,0,0,2.0392979142944765,0.002727026939112198,0.10090557803992993,0.12671062645921644,0.004807858654346108,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-01,fresh_geometry_ood,paired_cross,False,0,0,0,0,0,0,0,0,0.10909856683409758,-1.1102230246251565e-16,0.6311213319526067,0.6037471652596441,0.21500430789920286,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-01,fresh_geometry_ood,triad_bridge,False,0,0,0,0,0,0,0,0,2.5437704204698086,-1.1102230246251565e-16,0.09288516751408384,0.5888513323540897,0.011055651338124042,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-01,fresh_geometry_ood,all_in_one_exact,True,0,0,0,0,0,0,0,0,0.0,0.0,0.7000000000000001,0.7,0.3189721223333242,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-02,fresh_geometry_ood,singleton_factor,False,0,0,0,0,0,0,0,0,3.922548745255055,0.06333089747013632,0.05233072527876584,0.09789001878982156,0.001489510094273848,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-02,fresh_geometry_ood,paired_local,False,0,0,0,0,0,0,0,0,1.7021855200150369,0.021338338799546164,0.1738380372557112,0.1253844501781004,0.0055495304689348384,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-02,fresh_geometry_ood,paired_cross,False,0,0,0,0,0,0,0,0,0.22809954329137905,-1.1102230246251565e-16,0.6688325386976838,0.6175366623624591,0.18773420856465828,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-02,fresh_geometry_ood,triad_bridge,False,0,0,0,0,0,0,0,0,1.5101631412888463,-5.551115123125783e-17,0.21487353213645666,0.6427966479688277,0.028761004899341035,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-02,fresh_geometry_ood,all_in_one_exact,True,0,0,0,0,0,0,0,0,0.0,0.0,0.7000000000000001,0.7000000000000001,0.2884102313321565,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-03,fresh_geometry_ood,singleton_factor,False,0,0,0,0,0,0,0,0,4.961576967910421,0.11605131042456826,0.051570872356279385,0.09721196252334283,0.0011221650134490215,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-03,fresh_geometry_ood,paired_local,False,0,0,0,0,0,0,0,0,0.1923453009390821,-5.551115123125783e-17,0.6883767535702245,0.6222293453669395,0.22427692136323357,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-03,fresh_geometry_ood,paired_cross,False,0,0,0,0,0,0,0,0,1.878399254153094,0.0,0.1254987313706692,0.1372636792365839,0.007467516656483776,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-03,fresh_geometry_ood,triad_bridge,False,0,0,0,0,0,0,0,0,1.2408076926270055,0.10352836937368207,0.1665831337323662,0.15962714175037204,0.010272299658916616,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-03,fresh_geometry_ood,all_in_one_exact,True,0,0,0,0,0,0,0,0,0.0,0.0,0.7000000000000001,0.7000000000000001,0.3181062591383789,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-04,fresh_geometry_ood,singleton_factor,False,0,0,0,0,0,0,0,0,4.2172779484513025,0.17553243036544072,0.04756045531151113,0.11866108036339078,0.001541354013432654,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-04,fresh_geometry_ood,paired_local,False,0,0,0,0,0,0,0,0,1.7881539473007142,0.007108546017183581,0.11089248389386752,0.12368431307999914,0.00494270970932192,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-04,fresh_geometry_ood,paired_cross,False,0,0,0,0,0,0,0,0,0.15386470048567613,-1.3877787807814457e-16,0.6332898007320488,0.606108625400662,0.22131765696264188,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-04,fresh_geometry_ood,triad_bridge,False,0,0,0,0,0,0,0,0,1.2683136544067286,-1.1102230246251565e-16,0.21783968635539933,0.6129683662149098,0.040715182388671216,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-04,fresh_geometry_ood,all_in_one_exact,True,0,0,0,0,0,0,0,0,0.0,0.0,0.7000000000000001,0.7,0.3291564776487711,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-05,fresh_geometry_ood,singleton_factor,False,0,0,0,0,0,0,0,0,3.9787085935797695,0.033192932878364334,0.0514460066339934,0.09848231736482584,0.0014883302298292966,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-05,fresh_geometry_ood,paired_local,False,0,0,0,0,0,0,0,0,1.7171828239772002,0.019145306386924132,0.11322393191297843,0.16875925623574414,0.006251777571040607,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-05,fresh_geometry_ood,paired_cross,False,0,0,0,0,0,0,0,0,0.16209642491184728,-8.326672684688674e-17,0.6661797232791536,0.6178367030642686,0.21025262478674223,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-05,fresh_geometry_ood,triad_bridge,False,0,0,0,0,0,0,0,0,1.4258737620913005,-4.163336342344337e-17,0.20987826072517482,0.6263735980182827,0.03240164430847538,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-05,fresh_geometry_ood,all_in_one_exact,True,0,0,0,0,0,0,0,0,0.0,0.0,0.7000000000000001,0.7,0.3103362639161508,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-06,fresh_geometry_ood,singleton_factor,False,0,0,0,0,0,0,0,0,4.954302083786676,0.024135132180507696,0.047790081191890495,0.13501433608775232,0.0010784332891069675,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-06,fresh_geometry_ood,paired_local,False,0,0,0,0,0,0,0,0,0.221097137451725,-5.551115123125783e-17,0.6812985912133097,0.6370322224756503,0.1643537076189501,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-06,fresh_geometry_ood,paired_cross,False,0,0,0,0,0,0,0,0,1.560591047713327,0.01145227003260968,0.14418934712844578,0.2091726304968566,0.007212231882119149,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-06,fresh_geometry_ood,triad_bridge,False,0,0,0,0,0,0,0,0,1.3633427760835009,-2.7755575615628914e-17,0.13376955897777035,0.15982114122153118,0.006406036566258506,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-06,fresh_geometry_ood,all_in_one_exact,True,0,0,0,0,0,0,0,0,0.0,0.0,0.7000000000000001,0.7000000000000001,0.2802374375342208,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-07,fresh_geometry_ood,singleton_factor,False,0,0,0,0,0,0,0,0,4.989266619025594,0.06609449436216855,0.04441835058575399,0.12832537934173202,0.001041503274491319,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-07,fresh_geometry_ood,paired_local,False,0,0,0,0,0,0,0,0,0.23695695212760925,-4.163336342344337e-17,0.6759722313151727,0.6315943646516096,0.16680422295807082,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-07,fresh_geometry_ood,paired_cross,False,0,0,0,0,0,0,0,0,1.578022997153223,0.03321764845542666,0.13401998813896984,0.2061722648885418,0.006879242174518726,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-07,fresh_geometry_ood,triad_bridge,False,0,0,0,0,0,0,0,0,1.3661356677058842,0.0,0.12235537338117146,0.14996370850540816,0.005818908338269779,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
fresh-07,fresh_geometry_ood,all_in_one_exact,True,0,0,0,0,0,0,0,0,0.0,0.0,0.7,0.7000000000000001,0.28759311920421904,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
train-00,train,singleton_factor,False,0,0,0,0,0,0,0,0,3.432329634933254,0.0766945785520692,0.10523114289716803,0.14273171629367393,0.006812739697792639,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
train-00,train,paired_local,False,0,0,0,0,0,0,0,0,0.6089994019009899,-1.1102230246251565e-16,0.601972157139443,0.5479016715841448,0.1714173280880225,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
train-00,train,paired_cross,False,0,0,0,0,0,0,0,0,1.0003434645128761,-1.1102230246251565e-16,0.46776242719106653,0.3928617948370918,0.08238063396077053,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
train-00,train,triad_bridge,False,0,0,0,0,0,0,0,0,0.7405337966830545,-1.1102230246251565e-16,0.28122068100324804,0.38249281334083246,0.061053758408226605,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
train-00,train,all_in_one_exact,True,0,0,0,0,0,0,0,0,0.0,0.0,0.7,0.7,0.42425315839206557,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
train-01,train,singleton_factor,False,0,0,0,0,0,0,0,0,4.08490061148402,0.10377122897887292,0.08724504496505966,0.1276580545876004,0.004398322581798208,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
