rig_id,split_role,method,partition_name,oracle_only,final_normalized_residual_l2,final_field_relative_l2,harm_vs_train_selected_fixed_field_l2,pointwise_violation_count,row_violation_count,column_violation_count,spectral_violation_count,total_violation_count,signed_forward_solver_calls,signed_transpose_solver_calls,signed_forward_evaluation_calls,field_error_evaluation_calls,iteration_budget,construction_wall_time_seconds,audit_wall_time_seconds,solver_wall_time_seconds,cost_proxy_units,primitive_component_accumulation_entries,signed_group_addition_entries,group_absolute_value_entries,materialized_signed_group_count,materialized_group_component_entries,largest_fused_group_component_entries,full_signed_operator_materialized,cost_proxy_definition
fresh-03,fresh_geometry_ood,train_selected_fixed,paired_cross,False,0.1866434067584139,0.4311392258792649,0.0,0,0,0,0,0,32,32,7,7,32,6.683298852294683e-05,9.21249738894403e-05,0.00030283298110589385,3840,1152,576,576,3,1152,384,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-03,fresh_geometry_ood,geometry_conditioned_selector,triad_bridge,False,0.23860095219526836,0.3315916938718517,-0.09954753200741318,0,0,0,0,0,32,32,7,7,32,5.954195512458682e-05,8.233397966250777e-05,0.00030399998649954796,4032,1152,768,384,2,1152,576,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-03,fresh_geometry_ood,all_in_one_exact_oracle,all_in_one_exact,True,0.020807736185617303,0.3480979332643807,-0.08304129261488419,0,0,0,0,0,32,32,7,7,32,5.4458039812743664e-05,7.595802890136838e-05,0.00030491704819723964,4608,1152,960,192,1,1152,1152,1,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-04,fresh_geometry_ood,singleton_factor,singleton_factor,False,0.7304195125890376,0.9559020467818967,0.6250476747405436,0,0,0,0,0,32,32,7,7,32,9.550002869218588e-05,0.00011333398288115859,0.0004217500099912286,2496,1152,0,1152,0,0,192,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-04,fresh_geometry_ood,fixed_paired_local,paired_local,False,0.3358383665597066,0.6617918908491108,0.3309375188077576,0,0,0,0,0,32,32,7,7,32,8.487497689202428e-05,0.00010649999603629112,0.00031420798040926456,3840,1152,576,576,3,1152,384,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-04,fresh_geometry_ood,fixed_paired_cross,paired_cross,False,0.12008709157241824,0.3308543720413532,0.0,0,0,0,0,0,32,32,7,7,32,6.637495243921876e-05,9.14999982342124e-05,0.00031987502006813884,3840,1152,576,576,3,1152,384,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-04,fresh_geometry_ood,fixed_triad_bridge,triad_bridge,False,0.40965707298782317,1.0845788938626306,0.7537245218212774,0,0,0,0,0,32,32,7,7,32,6.458297139033675e-05,8.333299774676561e-05,0.00029870797879993916,4032,1152,768,384,2,1152,576,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-04,fresh_geometry_ood,train_selected_fixed,paired_cross,False,0.12008709157241824,0.3308543720413532,0.0,0,0,0,0,0,32,32,7,7,32,8.316599996760488e-05,9.604200022295117e-05,0.0003136669984087348,3840,1152,576,576,3,1152,384,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-04,fresh_geometry_ood,geometry_conditioned_selector,paired_local,False,0.3358383665597066,0.6617918908491108,0.3309375188077576,0,0,0,0,0,32,32,7,7,32,6.433296948671341e-05,8.812500163912773e-05,0.00031212501926347613,3840,1152,576,576,3,1152,384,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-04,fresh_geometry_ood,all_in_one_exact_oracle,all_in_one_exact,True,0.08757650646720716,0.2532997809191799,-0.07755459112217333,0,0,0,0,0,32,32,7,7,32,5.337502807378769e-05,7.587502477690578e-05,0.0003135840524919331,4608,1152,960,192,1,1152,1152,1,ANALYTIC_PROXY_NOT_WALL_TIME
