policy,base_seed,mismatch_severity,selected_correction,fallback_used,mean_field_gain_percent,median_field_gain_percent,worst_field_gain_percent,field_improvement_fraction,field_nonworse_fraction,effective_camera_count
target_local_inverse_nominal_heuristic_lcb,101,0.5,0.5,False,0.9774429239183093,1.0919167197156687,0.5336631945290145,1.0,1.0,5.461806061771522
target_local_inverse_nominal_heuristic_lcb,101,1.0,1.5,False,1.4470738699135006,0.7878719265832922,0.7331920056094826,1.0,1.0,5.506665293075096
target_local_inverse_nominal_heuristic_lcb,101,2.0,2.5,False,6.86155872629169,6.898535364283151,4.243235706136702,1.0,1.0,5.678323771182311
target_local_inverse_nominal_heuristic_lcb,211,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,4.886898236115354
target_local_inverse_nominal_heuristic_lcb,211,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,5.345923078571084
target_local_inverse_nominal_heuristic_lcb,211,1.0,0.5,False,4.518516025182392,2.6008329730620914,2.2367600996712653,1.0,1.0,5.466679644484514
target_local_inverse_nominal_heuristic_lcb,211,2.0,2.0,False,13.773588057101229,8.673592026999016,8.01386357065023,1.0,1.0,5.459816131604565
target_local_inverse_nominal_heuristic_lcb,307,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.171239579386424
target_local_inverse_nominal_heuristic_lcb,307,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,5.199171022742879
target_local_inverse_nominal_heuristic_lcb,307,1.0,0.5,False,2.938208019603558,2.142422848428321,1.0390225675777376,1.0,1.0,5.514548856153454
target_local_inverse_nominal_heuristic_lcb,307,2.0,1.5,False,9.917032312055968,8.375146866847702,5.271176952010512,1.0,1.0,5.887681339969557
target_local_inverse_nominal_heuristic_lcb,401,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.6899230583688185
target_local_inverse_nominal_heuristic_lcb,401,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,5.779718964846425
target_local_inverse_nominal_heuristic_lcb,401,1.0,1.0,False,8.368533589061466,8.138859937207696,5.676893301727288,1.0,1.0,5.91765564393037
target_local_inverse_nominal_heuristic_lcb,401,2.0,2.0,False,18.836388345377085,18.024856549083633,14.36765261437511,1.0,1.0,5.883619739114577
target_local_inverse_nominal_heuristic_lcb,503,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,4.838057031842063
target_local_inverse_nominal_heuristic_lcb,503,0.5,0.5,False,1.876730566502066,1.292379416070815,0.99833727363904,1.0,1.0,4.899329590207895
target_local_inverse_nominal_heuristic_lcb,503,1.0,1.0,False,5.079755125772218,3.9587555955246962,2.806814831985608,1.0,1.0,5.112878491086565
target_local_inverse_nominal_heuristic_lcb,503,2.0,2.0,False,11.879424086778608,10.783760591771529,6.89470978153648,1.0,1.0,5.434790114972755
target_local_inverse_nominal_heuristic_lcb,607,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,4.897248593462994
target_local_inverse_nominal_heuristic_lcb,607,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,5.373754282148917
target_local_inverse_nominal_heuristic_lcb,607,1.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.663625080472335
target_local_inverse_nominal_heuristic_lcb,607,2.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.755288394376514
