policy,base_seed,family,mismatch_severity,selected_correction,fallback_used,reported_geometry_field_relative_l2,selected_field_relative_l2,field_gain_percent,selected_weighted_lcb,effective_camera_count
uniform_heuristic_lcb,401,wrinkled_density_interface,2.0,2.0,False,0.8923221778918206,0.7314823853711611,18.024856549083633,0.00950661915392062,5.999999999999999
uniform_heuristic_lcb,401,shock_expansion_pair,2.0,2.0,False,0.7474792307495669,0.6400840115108658,14.36765261437511,0.00950661915392062,5.999999999999999
uniform_heuristic_lcb,503,smooth_plume,0.0,0.0,True,0.5803634581194058,0.5803634581194058,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,503,wrinkled_density_interface,0.0,0.0,True,0.651470919535793,0.651470919535793,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,503,shock_expansion_pair,0.0,0.0,True,0.6421722296506339,0.6421722296506339,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,503,smooth_plume,0.5,0.0,True,0.6004359552513786,0.6004359552513786,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,503,wrinkled_density_interface,0.5,0.0,True,0.6600112423142548,0.6600112423142548,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,503,shock_expansion_pair,0.5,0.0,True,0.64865494430849,0.64865494430849,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,503,smooth_plume,1.0,0.0,True,0.6341653621975536,0.6341653621975536,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,503,wrinkled_density_interface,1.0,0.0,True,0.6783575517090672,0.6783575517090672,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,503,shock_expansion_pair,1.0,0.0,True,0.6607392756100213,0.6607392756100213,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,503,smooth_plume,2.0,2.0,False,0.7075737791249151,0.5804949301895246,17.95980188702782,0.0020520885937113653,5.999999999999999
uniform_heuristic_lcb,503,wrinkled_density_interface,2.0,2.0,False,0.7302888054452139,0.6515362090374939,10.783760591771529,0.0020520885937113653,5.999999999999999
uniform_heuristic_lcb,503,shock_expansion_pair,2.0,2.0,False,0.6897734643792239,0.6422155858602265,6.89470978153648,0.0020520885937113653,5.999999999999999
uniform_heuristic_lcb,607,smooth_plume,0.0,0.0,True,0.49221398228238805,0.49221398228238805,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,607,wrinkled_density_interface,0.0,0.0,True,0.7845751678397818,0.7845751678397818,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,607,shock_expansion_pair,0.0,0.0,True,0.5844258655054176,0.5844258655054176,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,607,smooth_plume,0.5,0.0,True,0.5120072126410113,0.5120072126410113,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,607,wrinkled_density_interface,0.5,0.0,True,0.7987777069362686,0.7987777069362686,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,607,shock_expansion_pair,0.5,0.0,True,0.5972937982749542,0.5972937982749542,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,607,smooth_plume,1.0,0.0,True,0.5542432204738572,0.5542432204738572,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,607,wrinkled_density_interface,1.0,0.0,True,0.8234614426900347,0.8234614426900347,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,607,shock_expansion_pair,1.0,0.0,True,0.6190381616373509,0.6190381616373509,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,607,smooth_plume,2.0,0.0,True,0.6633893239665006,0.6633893239665006,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,607,wrinkled_density_interface,2.0,0.0,True,0.8770815777554284,0.8770815777554284,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,607,shock_expansion_pair,2.0,0.0,True,0.6790773488899832,0.6790773488899832,0.0,0.0,5.999999999999999
target_local_range_heuristic_lcb,101,smooth_plume,0.0,0.0,True,0.5303539883483216,0.5303539883483216,0.0,0.0,4.82387667439269
target_local_range_heuristic_lcb,101,wrinkled_density_interface,0.0,0.0,True,0.629167857951391,0.629167857951391,0.0,0.0,4.82387667439269
target_local_range_heuristic_lcb,101,shock_expansion_pair,0.0,0.0,True,0.5915088432532365,0.5915088432532365,0.0,0.0,4.82387667439269
target_local_range_heuristic_lcb,101,smooth_plume,0.5,0.0,True,0.5373905185022773,0.5373905185022773,0.0,0.0,4.749366334599629
target_local_range_heuristic_lcb,101,wrinkled_density_interface,0.5,0.0,True,0.6361169993138507,0.6361169993138507,0.0,0.0,4.749366334599629
target_local_range_heuristic_lcb,101,shock_expansion_pair,0.5,0.0,True,0.5946837178386972,0.5946837178386972,0.0,0.0,4.749366334599629
target_local_range_heuristic_lcb,101,smooth_plume,1.0,0.0,True,0.5536420647042976,0.5536420647042976,0.0,0.0,5.299789492898262
target_local_range_heuristic_lcb,101,wrinkled_density_interface,1.0,0.0,True,0.6547981910135915,0.6547981910135915,0.0,0.0,5.299789492898262
target_local_range_heuristic_lcb,101,shock_expansion_pair,1.0,0.0,True,0.603775335912293,0.603775335912293,0.0,0.0,5.299789492898262
target_local_range_heuristic_lcb,101,smooth_plume,2.0,2.5,False,0.5901941489489183,0.5494793968657472,6.898535364283151,0.00226965817627673,5.361754468820823
target_local_range_heuristic_lcb,101,wrinkled_density_interface,2.0,2.5,False,0.7027492413121786,0.6363892973046806,9.442905108455218,0.00226965817627673,5.361754468820823
target_local_range_heuristic_lcb,101,shock_expansion_pair,2.0,2.5,False,0.6259422338454882,0.5993820294791667,4.243235706136702,0.00226965817627673,5.361754468820823
target_local_range_heuristic_lcb,211,smooth_plume,0.0,0.0,True,0.6733044324928485,0.6733044324928485,0.0,0.0,5.554055428435836
target_local_range_heuristic_lcb,211,wrinkled_density_interface,0.0,0.0,True,0.6641610760615045,0.6641610760615045,0.0,0.0,5.554055428435836
target_local_range_heuristic_lcb,211,shock_expansion_pair,0.0,0.0,True,0.6367027605831819,0.6367027605831819,0.0,0.0,5.554055428435836
target_local_range_heuristic_lcb,211,smooth_plume,0.5,0.0,True,0.7039630342370274,0.7039630342370274,0.0,0.0,5.554194981231708
target_local_range_heuristic_lcb,211,wrinkled_density_interface,0.5,0.0,True,0.6842177157614542,0.6842177157614542,0.0,0.0,5.554194981231708
target_local_range_heuristic_lcb,211,shock_expansion_pair,0.5,0.0,True,0.6447018093676098,0.6447018093676098,0.0,0.0,5.554194981231708
target_local_range_heuristic_lcb,211,smooth_plume,1.0,0.0,True,0.7712600280537701,0.7712600280537701,0.0,0.0,5.393854089880015
target_local_range_heuristic_lcb,211,wrinkled_density_interface,1.0,0.0,True,0.6999114295792108,0.6999114295792108,0.0,0.0,5.393854089880015
target_local_range_heuristic_lcb,211,shock_expansion_pair,1.0,0.0,True,0.6619263349422688,0.6619263349422688,0.0,0.0,5.393854089880015
