policy,base_seed,mismatch_severity,selected_correction,fallback_used,selected_weighted_lcb,selected_objective,safe_candidate_count,safe_candidates,effective_camera_count,weight_fit_rigs,target_local_weight
target_local_inverse_nominal_heuristic_lcb,211,2.0,2.0,False,0.0007697879952026226,0.09821323366713976,4,0.5;1;1.5;2,5.459816131604565,,True
target_local_inverse_nominal_heuristic_lcb,307,0.0,0.0,True,0.0,0.07750618993237049,0,,5.171239579386424,,True
target_local_inverse_nominal_heuristic_lcb,307,0.5,0.0,True,0.0,0.08057862457739626,0,,5.199171022742879,,True
target_local_inverse_nominal_heuristic_lcb,307,1.0,0.5,False,0.0011344584235206817,0.08424128591557463,1,0.5,5.514548856153454,,True
target_local_inverse_nominal_heuristic_lcb,307,2.0,1.5,False,0.003367906794907151,0.09233798618251426,3,0.5;1;1.5,5.887681339969557,,True
target_local_inverse_nominal_heuristic_lcb,401,0.0,0.0,True,0.0,0.09238573476404761,0,,5.6899230583688185,,True
target_local_inverse_nominal_heuristic_lcb,401,0.5,0.0,True,0.0,0.09776586010881232,0,,5.779718964846425,,True
target_local_inverse_nominal_heuristic_lcb,401,1.0,1.0,False,0.00012567116877305017,0.09593787414347833,2,0.5;1,5.91765564393037,,True
target_local_inverse_nominal_heuristic_lcb,401,2.0,2.0,False,0.001995385202375813,0.10221645607543907,4,0.5;1;1.5;2,5.883619739114577,,True
target_local_inverse_nominal_heuristic_lcb,503,0.0,0.0,True,0.0,0.10065979608860834,0,,4.838057031842063,,True
target_local_inverse_nominal_heuristic_lcb,503,0.5,0.5,False,0.0002763456319381293,0.10170495416037922,1,0.5,4.899329590207895,,True
target_local_inverse_nominal_heuristic_lcb,503,1.0,1.0,False,0.001989404920727758,0.10719980276024246,2,0.5;1,5.112878491086565,,True
target_local_inverse_nominal_heuristic_lcb,503,2.0,2.0,False,0.004768309856387563,0.11859416308246064,4,0.5;1;1.5;2,5.434790114972755,,True
target_local_inverse_nominal_heuristic_lcb,607,0.0,0.0,True,0.0,0.09701007506465997,0,,4.897248593462994,,True
target_local_inverse_nominal_heuristic_lcb,607,0.5,0.0,True,0.0,0.10901046059587226,0,,5.373754282148917,,True
target_local_inverse_nominal_heuristic_lcb,607,1.0,0.0,True,0.0,0.12424168089743375,0,,5.663625080472335,,True
target_local_inverse_nominal_heuristic_lcb,607,2.0,0.0,True,0.0,0.15683598228976506,0,,5.755288394376514,,True
robust_median_uniform_gate,101,0.0,0.0,True,0.0,0.07399918713218875,0,,5.999999999999999,,False
robust_median_uniform_gate,101,0.5,0.0,True,0.0,0.08806825812930939,0,,5.999999999999999,,False
robust_median_uniform_gate,101,1.0,0.0,True,0.0,0.10835479511529225,0,,5.999999999999999,,False
robust_median_uniform_gate,101,2.0,1.0,False,0.0012191018379484504,0.10835387466851243,2,0.5;1,5.999999999999999,,False
robust_median_uniform_gate,211,0.0,0.0,True,0.0,0.07518311796343224,0,,5.999999999999999,,False
robust_median_uniform_gate,211,0.5,0.0,True,0.0,0.0747057601495267,0,,5.999999999999999,,False
robust_median_uniform_gate,211,1.0,0.0,True,0.0,0.09257806397288407,0,,5.999999999999999,,False
robust_median_uniform_gate,211,2.0,1.5,False,1.6161855875100606e-05,0.07470717267822308,3,0.5;1;1.5,5.999999999999999,,False
robust_median_uniform_gate,307,0.0,0.0,True,0.0,0.08311586397702184,0,,5.999999999999999,,False
robust_median_uniform_gate,307,0.5,0.0,True,0.0,0.09049881387160194,0,,5.999999999999999,,False
robust_median_uniform_gate,307,1.0,0.0,True,0.0,0.10057864941818614,0,,5.999999999999999,,False
robust_median_uniform_gate,307,2.0,1.5,False,0.001978959675020906,0.09049896725279061,3,0.5;1;1.5,5.999999999999999,,False
robust_median_uniform_gate,401,0.0,0.0,True,0.0,0.08571066480229458,0,,5.999999999999999,,False
robust_median_uniform_gate,401,0.5,0.0,True,0.0,0.09467668473034227,0,,5.999999999999999,,False
robust_median_uniform_gate,401,1.0,0.5,False,0.0007917226885776531,0.094676224280477,1,0.5,5.999999999999999,,False
robust_median_uniform_gate,401,2.0,2.0,False,0.00950661915392062,0.0857102610460416,5,0.5;1;1.5;2;2.5,5.999999999999999,,False
robust_median_uniform_gate,503,0.0,0.0,True,0.0,0.11309736104353296,0,,5.999999999999999,,False
robust_median_uniform_gate,503,0.5,0.0,True,0.0,0.1389458641536157,0,,5.999999999999999,,False
robust_median_uniform_gate,503,1.0,0.0,True,0.0,0.17209209708486323,0,,5.999999999999999,,False
robust_median_uniform_gate,503,2.0,2.0,False,0.0020520885937113653,0.11310242952238328,4,0.5;1;1.5;2,5.999999999999999,,False
robust_median_uniform_gate,607,0.0,0.0,True,0.0,0.11350564559366588,0,,5.999999999999999,,False
robust_median_uniform_gate,607,0.5,0.0,True,0.0,0.10667471219141378,0,,5.999999999999999,,False
robust_median_uniform_gate,607,1.0,0.0,True,0.0,0.11382283789265131,0,,5.999999999999999,,False
robust_median_uniform_gate,607,2.0,0.0,True,0.0,0.16328449411975493,0,,5.999999999999999,,False
loro_sign_agreement_heuristic_lcb,101,0.0,0.0,True,0.0,0.1122992622202816,0,,5.746325029825765,211;307;401;503;607,False
loro_sign_agreement_heuristic_lcb,101,0.5,0.5,False,0.0001938073048370747,0.11229964175185389,1,0.5,5.746325029825765,211;307;401;503;607,False
loro_sign_agreement_heuristic_lcb,101,1.0,1.0,False,0.0021362204352337773,0.1123006970602364,2,0.5;1,5.746325029825765,211;307;401;503;607,False
loro_sign_agreement_heuristic_lcb,101,2.0,2.5,False,0.007706779115904117,0.10992554760935061,5,0.5;1;1.5;2;2.5,5.746325029825765,211;307;401;503;607,False
loro_sign_agreement_heuristic_lcb,211,0.0,0.0,True,0.0,0.10079894288461161,0,,5.7374908933256465,101;307;401;503;607,False
loro_sign_agreement_heuristic_lcb,211,0.5,0.0,True,0.0,0.10543206213693317,0,,5.7374908933256465,101;307;401;503;607,False
loro_sign_agreement_heuristic_lcb,211,1.0,0.5,False,0.0009417049504099953,0.10543398547915583,1,0.5,5.7374908933256465,101;307;401;503;607,False
loro_sign_agreement_heuristic_lcb,211,2.0,2.0,False,0.005270833831635534,0.10080177833191395,4,0.5;1;1.5;2,5.7374908933256465,101;307;401;503;607,False
loro_sign_agreement_heuristic_lcb,307,0.0,0.0,True,0.0,0.08609294722390357,0,,5.735537590589686,101;211;401;503;607,False
loro_sign_agreement_heuristic_lcb,307,0.5,0.0,True,0.0,0.08895329921615827,0,,5.735537590589686,101;211;401;503;607,False
loro_sign_agreement_heuristic_lcb,307,1.0,0.5,False,0.001311079558420327,0.08895421476712745,1,0.5,5.735537590589686,101;211;401;503;607,False
loro_sign_agreement_heuristic_lcb,307,2.0,2.0,False,0.009150155967076558,0.08609626397868833,5,0.5;1;1.5;2;2.5,5.735537590589686,101;211;401;503;607,False
loro_sign_agreement_heuristic_lcb,401,0.0,0.0,True,0.0,0.09366998599354215,0,,5.746246902192917,101;211;307;503;607,False
loro_sign_agreement_heuristic_lcb,401,0.5,0.0,True,0.0,0.09812872967306119,0,,5.746246902192917,101;211;307;503;607,False
loro_sign_agreement_heuristic_lcb,401,1.0,1.0,False,0.002965084145892718,0.09367102244860759,2,0.5;1,5.746246902192917,101;211;307;503;607,False
loro_sign_agreement_heuristic_lcb,401,2.0,2.0,False,0.02046436281551834,0.09367113124714604,5,0.5;1;1.5;2;2.5,5.746246902192917,101;211;307;503;607,False
loro_sign_agreement_heuristic_lcb,503,0.0,0.0,True,0.0,0.11959248280261012,0,,5.745604154509389,101;211;307;401;607,False
loro_sign_agreement_heuristic_lcb,503,0.5,0.5,False,8.138751175005773e-05,0.11959310547752199,1,0.5,5.745604154509389,101;211;307;401;607,False
