method,model_seed,split,projection_variant,projection_iterations,case_count,paired_call_budget,damping_fraction,field_relative_l2_mean,h1_seminorm_relative_error_mean,field_gain_to_best_matched_classical_mean,h1_gain_to_best_matched_classical_mean,reprojection_ratio_to_matched_cgls_mean,visible_correction_fraction_mean,visible_correction_fraction_maximum,system_residual_fraction_mean,exact_projection_approximation_error_mean,exact_oracle_error_reduction_retention_mean,oracle_reduction_defined_rate,field_harm_rate,worst_field_gain_to_best_matched_classical,breakdown_rate
jacru_m2,17,ood,affine_cg_undamped,0,18,14,0.0,0.4448493420192548,0.6889651511223669,0.31912924316997426,0.28820960825409014,46.07362071243202,1.0,1.0,1.0,1.0,0.8337478584600094,1.0,0.0,0.11733940786752928,0.0
jacru_m2,17,ood,affine_cg_undamped,1,18,15,0.0,0.3993347432964234,0.6725719116691354,0.38562108029385045,0.31322952183027697,23.30743440301143,0.4284216768505779,0.540232053922652,0.4284216768505779,0.6145190989507452,1.0420939133566203,1.0,0.0,0.25111439963515736,0.0
jacru_m2,17,ood,affine_cg_undamped,2,18,16,0.0,0.3841477070115091,0.6693668529884039,0.4063717004686993,0.32310847253205577,20.508571226161187,0.32059161891641663,0.5086447717822697,0.32059161891641663,0.4852276570025455,1.1079142088871532,1.0,0.0,0.2666704004587017,0.0
jacru_m2,17,ood,affine_cg_undamped,4,18,18,0.0,0.3930667444888978,0.6887843790805372,0.38593501417404374,0.3139495960757409,16.04183884092423,0.19022557113997052,0.4528949666482443,0.19022557113997052,0.3159924014044375,1.0629058755456273,1.0,0.0,0.17930731168585365,0.0
jacru_m2,17,ood,affine_cg_undamped,8,18,22,0.0,0.4047616198432024,0.713433012021442,0.3537165049651478,0.29925391439725035,16.361477478951638,0.08111066198837298,0.13507400501118577,0.08111066198837298,0.13413714859069195,1.0092246787654788,1.0,0.0,0.12629994398565303,0.0
jacru_m2,17,ood,affine_cg_undamped,12,18,26,0.0,0.4065721020883138,0.7175098798484689,0.33822501070586775,0.29642113784574725,16.400143279220927,0.03538820699606,0.09378992786049807,0.03538820699605999,0.06054362360676898,1.001022914891841,1.0,0.0,0.10659558024135385,0.0
jacru_m2,17,ood,affine_cg_undamped,20,18,34,0.0,0.40688998082750344,0.7187817788555849,0.31412211106278876,0.286105012568625,24.174126273834474,0.006671863573215675,0.015080759441081996,0.006671863573215674,0.010377064844248551,1.0001219172406879,1.0,0.0,0.09347655948803359,0.0
jacru_m2,17,ood,affine_cg_undamped,32,18,46,0.0,0.4069143707765292,0.7188480908099891,0.28355103067347387,0.2643071543159468,22.756113582398452,0.00033494627921597947,0.0008029039886523051,0.0003349462792159803,0.0005745791222618364,1.0000065402610252,1.0,0.0,0.07473253303062043,0.0
jacru_m2,29,development,affine_cg_damped_1e-4,0,12,14,0.0001,0.38973451840310397,0.6211035057667305,0.40602974392562946,0.35756485058989723,36.443129942560894,1.0,1.0,1.0,1.0,1.002696783480878,1.0,0.08333333333333333,-0.09518925959104128,0.0
jacru_m2,29,development,affine_cg_damped_1e-4,1,12,15,0.0001,0.36442332841667285,0.6264051091394909,0.4419848277868828,0.35966160850369433,20.47859684750544,0.46054972904771957,0.547801626230774,0.4605496802476528,0.6173174950982255,1.1411439885175814,1.0,0.0,0.06764400006076093,0.0
jacru_m2,29,development,affine_cg_damped_1e-4,2,12,16,0.0001,0.35748338114248995,0.6371881305134925,0.45151013560053643,0.3550171084963132,16.76512907226462,0.3114284212300719,0.5271699854530949,0.3114282888533266,0.4822113227741469,1.17249789274854,1.0,0.0,0.09400129111772418,0.0
jacru_m2,29,development,affine_cg_damped_1e-4,4,12,18,0.0001,0.36567424560793893,0.6538069126809055,0.4339030411750282,0.34834841123959026,14.584026318126769,0.1861428897485521,0.3807302811286563,0.18614237491289234,0.32450156644767086,1.1204841674469483,1.0,0.0,0.028462280290077326,0.0
jacru_m2,29,development,affine_cg_damped_1e-4,8,12,22,0.0001,0.38359833123334336,0.6865966136657066,0.3946706512947053,0.3255477875524989,20.688158422440747,0.09629575544266335,0.1799431618938555,0.09629343047429145,0.14981918326084462,1.0235378040573864,1.0,0.08333333333333333,-0.0758300605558073,0.0
jacru_m2,29,development,affine_cg_damped_1e-4,12,12,26,0.0001,0.3884779003898005,0.6950024071840805,0.3756784815384733,0.31837735687087826,18.52527632860524,0.03929284724229813,0.07473189949679049,0.03928578627927359,0.05856055753510048,1.0008927664755127,1.0,0.08333333333333333,-0.09443527349170897,0.0
jacru_m2,29,development,affine_cg_damped_1e-4,20,12,34,0.0001,0.38850895157348614,0.6951857872143798,0.35595533113445793,0.3108022431432419,26.909873487613623,0.0062565110427209615,0.011345743779827755,0.0062089201369292,0.010111649777529519,1.0014664355220195,1.0,0.08333333333333333,-0.10542385459990655,0.0
jacru_m2,29,development,affine_cg_damped_1e-4,32,12,46,0.0001,0.38848253824548823,0.6950886507691472,0.33120852050148863,0.2937111536858947,99.32083944996829,0.0008083079123093542,0.0015792418141286136,0.00026070359164228284,0.0027315816748669,1.001541251277885,1.0,0.08333333333333333,-0.12057816799460176,0.0
jacru_m2,29,development,affine_cg_damped_1e-6,0,12,14,1e-06,0.38973451840310397,0.6211035057667305,0.40602974392562946,0.35756485058989723,36.443129942560894,1.0,1.0,1.0,1.0,1.002696783480878,1.0,0.08333333333333333,-0.09518925959104128,0.0
jacru_m2,29,development,affine_cg_damped_1e-6,1,12,15,1e-06,0.364424978856796,0.6264189861654775,0.44198161426931054,0.35964730136449075,20.482618707670436,0.46064725238260334,0.5479530051135125,0.4606472523777223,0.6173174740272044,1.1411469996504098,1.0,0.0,0.06767285488375575,0.0
jacru_m2,29,development,affine_cg_damped_1e-6,2,12,16,1e-06,0.35748747725694985,0.6372191347699853,0.45150294415187164,0.354985368813268,16.77346355278241,0.3115938666739519,0.5275278140696221,0.3115938666607116,0.4822112428599266,1.172495009010412,1.0,0.0,0.09404218445725407,0.0
jacru_m2,29,development,affine_cg_damped_1e-6,4,12,18,1e-06,0.3657145239795537,0.6539159292113466,0.43384244857445076,0.3482393280266162,14.608005876578895,0.18648353495067874,0.38161679378667984,0.18648353489918512,0.32450090597889353,1.1202880472743522,1.0,0.0,0.028312445863639266,0.0
jacru_m2,29,development,affine_cg_damped_1e-6,8,12,22,1e-06,0.38379526926532104,0.6870117308215823,0.39437492359284215,0.3251423788406115,20.80754470861997,0.09688139442066745,0.18111190049765646,0.09688139418802982,0.1498080182797577,1.022480220354673,1.0,0.08333333333333333,-0.07695567366379907,0.0
jacru_m2,29,development,affine_cg_damped_1e-6,12,12,26,1e-06,0.38876022346677236,0.6955817611468779,0.37524596716157643,0.3178125981429305,18.708470007907195,0.03969579342328681,0.07554477944737083,0.039695792717850266,0.05850764006139745,0.9994308053357118,1.0,0.08333333333333333,-0.09584596147738722,0.0
jacru_m2,29,development,affine_cg_damped_1e-6,20,12,34,1e-06,0.38880512504234915,0.6957943074732623,0.35548859549382633,0.3102032858941199,27.16660938662294,0.006321741773218746,0.011476384259480504,0.006321737029731995,0.009742140768182313,0.9999454061935037,1.0,0.08333333333333333,-0.10687455170116969,0.0
jacru_m2,29,development,affine_cg_damped_1e-6,32,12,46,1e-06,0.3887785906941377,0.6956963151151966,0.33072670691149714,0.29309936637253636,31.671757236421296,0.00026898567623911615,0.0007459695070932989,0.00026886998724098653,0.0004513935110890829,1.0000197961845092,1.0,0.08333333333333333,-0.12205193322127127,0.0
jacru_m2,29,development,affine_cg_undamped,0,12,14,0.0,0.38973451840310397,0.6211035057667305,0.40602974392562946,0.35756485058989723,36.443129942560894,1.0,1.0,1.0,1.0,1.002696783480878,1.0,0.08333333333333333,-0.09518925959104128,0.0
