cell_id,pair_id,role,family_id,phantom_seed,orientation_id,aperture_id,dimensionless_stress_multiplier,n3_failed_gate,d256_512_output_relative_l2,d512_1024_output_relative_l2,d256_512_matched_residual_relative_l2,d512_1024_matched_residual_relative_l2,h1024_output_contraction_ratio,h1024_matched_residual_contraction_ratio,h1024_all_gates_pass,requires_h2048_escalation,d1024_2048_output_relative_l2,d1024_2048_matched_residual_relative_l2,h2048_all_gates_pass,final_reference_step_count,final_cellwise_reference_authorized,h1024_gates,h2048_gates
smooth-s1871-orientation_58-wide__stress_10,p06,n3_failure,smooth,1871,orientation_58,wide,10.0,matched_residual_convergence_gate_met,2.7019960162511104e-05,2.3238788660921264e-06,0.024051876266995266,0.001229060780332757,0.08600600637881016,0.05110041173874292,True,False,,,,1024,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}",
smooth-s1871-orientation_58-narrow__stress_10,p06,matched_control,smooth,1871,orientation_58,narrow,10.0,none,9.237284214611733e-06,2.6768947399484e-06,0.006746317353007285,0.0029084642780421136,0.2897923976090322,0.4311188053947116,False,True,6.620482742397836e-07,0.0007532504904317108,True,2048,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": false, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}","{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}"
smooth-s1987-orientation_22-narrow__stress_1,p07,n3_failure,smooth,1987,orientation_22,narrow,1.0,matched_residual_convergence_gate_met,1.7151412205486343e-05,1.6700807703378995e-06,0.010605200039543959,0.004325390662131744,0.09737278483713889,0.40785564119521717,False,True,3.4286747241848794e-07,0.0007973221982113392,True,2048,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": false, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}","{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}"
smooth-s1987-orientation_22-wide__stress_1,p07,matched_control,smooth,1987,orientation_22,wide,1.0,none,2.2019194232979896e-05,2.5459130718173014e-06,0.008284424563138746,0.0027386903438916263,0.11562244489419532,0.3305830505207727,False,True,5.158838729766824e-07,0.0006380579632078248,True,2048,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": false, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}","{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}"
smooth-s2131-orientation_58-wide__stress_1,p08,n3_failure,smooth,2131,orientation_58,wide,1.0,matched_residual_convergence_gate_met,2.0004062050436682e-05,2.4593181920924895e-06,0.016569375539620013,0.0013471937066102764,0.12294093998967592,0.08130624496915541,True,False,,,,1024,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}",
smooth-s2131-orientation_58-narrow__stress_1,p08,matched_control,smooth,2131,orientation_58,narrow,1.0,none,9.45217987530706e-06,2.8794984022040973e-06,0.004889776532070069,0.001994992013406191,0.3046385532427836,0.40799247170537234,True,False,,,,1024,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}",
smooth-s2131-orientation_58-wide__stress_3,p09,n3_failure,smooth,2131,orientation_58,wide,3.0,matched_residual_convergence_gate_met,2.0559348717788563e-05,2.4408505677428705e-06,0.017062139264752165,0.0012731065643909537,0.11872217360810527,0.07461588166854329,True,False,,,,1024,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}",
smooth-s2131-orientation_58-narrow__stress_3,p09,matched_control,smooth,2131,orientation_58,narrow,3.0,none,9.494641676489412e-06,2.817663827073908e-06,0.004943934145204592,0.0018005551942530391,0.29676357708695783,0.36419481760279954,True,False,,,,1024,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}",
smooth-s2131-orientation_58-wide__stress_10,p10,n3_failure,smooth,2131,orientation_58,wide,10.0,matched_residual_convergence_gate_met,2.172452914091124e-05,2.39931202799619e-06,0.016413702808296557,0.0008855852617721588,0.11044253306635995,0.053954020742018445,True,False,,,,1024,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}",
smooth-s2131-orientation_58-narrow__stress_10,p10,matched_control,smooth,2131,orientation_58,narrow,10.0,none,1.0317529730547182e-05,2.6730116273290223e-06,0.004689406351471757,0.0010773871611280367,0.25907476858680795,0.229749158076246,True,False,,,,1024,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}",
wrinkled-s3163-orientation_22-narrow__stress_1,p11,n3_failure,wrinkled,3163,orientation_22,narrow,1.0,output_convergence_gate_met,0.00010175687668814827,9.591718070667426e-06,0.00354506425499325,0.001056638822461935,0.09426112890692313,0.2980591454650367,False,True,1.352275563519002e-06,0.0002196139387599523,True,2048,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": false, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}","{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}"
