cell_id,pair_id,role,step_count,wall_seconds,curved_high_logical_point_queries,straight_logical_point_queries,total_logical_point_queries
smooth-s1871-orientation_58-wide__stress_3,p05,n3_failure,512,2.254026165988762,4587520,917504,5505024
smooth-s1871-orientation_58-wide__stress_3,p05,n3_failure,1024,4.482507458014879,9175040,1835008,11010048
smooth-s1871-orientation_58-wide__stress_3,p05,n3_failure,2048,8.909345333988313,18350080,3670016,22020096
smooth-s1871-orientation_58-narrow__stress_3,p05,matched_control,256,1.1439889580360614,2293760,458752,2752512
smooth-s1871-orientation_58-narrow__stress_3,p05,matched_control,512,2.246251584030688,4587520,917504,5505024
smooth-s1871-orientation_58-narrow__stress_3,p05,matched_control,1024,4.492540624982212,9175040,1835008,11010048
smooth-s1871-orientation_58-narrow__stress_3,p05,matched_control,2048,8.886947082995903,18350080,3670016,22020096
smooth-s1871-orientation_58-wide__stress_10,p06,n3_failure,256,1.1611015419475734,2293760,458752,2752512
smooth-s1871-orientation_58-wide__stress_10,p06,n3_failure,512,2.2185917909955606,4587520,917504,5505024
smooth-s1871-orientation_58-wide__stress_10,p06,n3_failure,1024,4.520663500006776,9175040,1835008,11010048
smooth-s1871-orientation_58-narrow__stress_10,p06,matched_control,256,1.1539758329745382,2293760,458752,2752512
smooth-s1871-orientation_58-narrow__stress_10,p06,matched_control,512,2.256773916014936,4587520,917504,5505024
smooth-s1871-orientation_58-narrow__stress_10,p06,matched_control,1024,4.510873250022996,9175040,1835008,11010048
smooth-s1871-orientation_58-narrow__stress_10,p06,matched_control,2048,8.849616750027053,18350080,3670016,22020096
smooth-s1987-orientation_22-narrow__stress_1,p07,n3_failure,256,1.2080115000135265,2293760,458752,2752512
smooth-s1987-orientation_22-narrow__stress_1,p07,n3_failure,512,2.226968584000133,4587520,917504,5505024
smooth-s1987-orientation_22-narrow__stress_1,p07,n3_failure,1024,4.456328542029951,9175040,1835008,11010048
smooth-s1987-orientation_22-narrow__stress_1,p07,n3_failure,2048,8.943862750020344,18350080,3670016,22020096
smooth-s1987-orientation_22-wide__stress_1,p07,matched_control,256,1.2196898750262335,2293760,458752,2752512
smooth-s1987-orientation_22-wide__stress_1,p07,matched_control,512,2.3386735829990357,4587520,917504,5505024
smooth-s1987-orientation_22-wide__stress_1,p07,matched_control,1024,4.527607000025455,9175040,1835008,11010048
smooth-s1987-orientation_22-wide__stress_1,p07,matched_control,2048,8.925203250022605,18350080,3670016,22020096
smooth-s2131-orientation_58-wide__stress_1,p08,n3_failure,256,1.1456202499684878,2293760,458752,2752512
smooth-s2131-orientation_58-wide__stress_1,p08,n3_failure,512,2.2769099170109257,4587520,917504,5505024
smooth-s2131-orientation_58-wide__stress_1,p08,n3_failure,1024,4.468666083004791,9175040,1835008,11010048
smooth-s2131-orientation_58-narrow__stress_1,p08,matched_control,256,1.1488968330086209,2293760,458752,2752512
smooth-s2131-orientation_58-narrow__stress_1,p08,matched_control,512,2.2437376249581575,4587520,917504,5505024
smooth-s2131-orientation_58-narrow__stress_1,p08,matched_control,1024,4.520694666018244,9175040,1835008,11010048
smooth-s2131-orientation_58-wide__stress_3,p09,n3_failure,256,1.2015198330045678,2293760,458752,2752512
smooth-s2131-orientation_58-wide__stress_3,p09,n3_failure,512,2.2428254170226865,4587520,917504,5505024
smooth-s2131-orientation_58-wide__stress_3,p09,n3_failure,1024,4.499691292003263,9175040,1835008,11010048
smooth-s2131-orientation_58-narrow__stress_3,p09,matched_control,256,1.1483512080158107,2293760,458752,2752512
smooth-s2131-orientation_58-narrow__stress_3,p09,matched_control,512,2.2563404999673367,4587520,917504,5505024
smooth-s2131-orientation_58-narrow__stress_3,p09,matched_control,1024,4.513728833000641,9175040,1835008,11010048
smooth-s2131-orientation_58-wide__stress_10,p10,n3_failure,256,1.1573709169751965,2293760,458752,2752512
smooth-s2131-orientation_58-wide__stress_10,p10,n3_failure,512,2.266381249995902,4587520,917504,5505024
smooth-s2131-orientation_58-wide__stress_10,p10,n3_failure,1024,4.5200747909839265,9175040,1835008,11010048
smooth-s2131-orientation_58-narrow__stress_10,p10,matched_control,256,1.1662721250322647,2293760,458752,2752512
smooth-s2131-orientation_58-narrow__stress_10,p10,matched_control,512,2.272545750020072,4587520,917504,5505024
smooth-s2131-orientation_58-narrow__stress_10,p10,matched_control,1024,4.521169374987949,9175040,1835008,11010048
wrinkled-s3163-orientation_22-narrow__stress_1,p11,n3_failure,256,1.127505625016056,2293760,458752,2752512
wrinkled-s3163-orientation_22-narrow__stress_1,p11,n3_failure,512,2.3084740409976803,4587520,917504,5505024
wrinkled-s3163-orientation_22-narrow__stress_1,p11,n3_failure,1024,4.6265986249782145,9175040,1835008,11010048
wrinkled-s3163-orientation_22-narrow__stress_1,p11,n3_failure,2048,8.90949787502177,18350080,3670016,22020096
wrinkled-s3163-orientation_58-narrow__stress_1,p11,matched_control,256,1.1571377089712769,2293760,458752,2752512
wrinkled-s3163-orientation_58-narrow__stress_1,p11,matched_control,512,2.2487161249737255,4587520,917504,5505024
wrinkled-s3163-orientation_58-narrow__stress_1,p11,matched_control,1024,4.501794624957256,9175040,1835008,11010048
wrinkled-s3163-orientation_22-narrow__stress_3,p12,n3_failure,256,1.1793891249690205,2293760,458752,2752512
wrinkled-s3163-orientation_22-narrow__stress_3,p12,n3_failure,512,2.2530298329656944,4587520,917504,5505024
wrinkled-s3163-orientation_22-narrow__stress_3,p12,n3_failure,1024,4.490432167018298,9175040,1835008,11010048
wrinkled-s3163-orientation_58-narrow__stress_3,p12,matched_control,256,1.1486122090136632,2293760,458752,2752512
wrinkled-s3163-orientation_58-narrow__stress_3,p12,matched_control,512,2.2301694579655305,4587520,917504,5505024
wrinkled-s3163-orientation_58-narrow__stress_3,p12,matched_control,1024,4.518633249972481,9175040,1835008,11010048
wrinkled-s3163-orientation_22-narrow__stress_10,p13,n3_failure,256,1.16949629195733,2293760,458752,2752512
wrinkled-s3163-orientation_22-narrow__stress_10,p13,n3_failure,512,2.263165583019145,4587520,917504,5505024
wrinkled-s3163-orientation_22-narrow__stress_10,p13,n3_failure,1024,4.532468917022925,9175040,1835008,11010048
wrinkled-s3163-orientation_58-narrow__stress_10,p13,matched_control,256,1.1713853750261478,2293760,458752,2752512
wrinkled-s3163-orientation_58-narrow__stress_10,p13,matched_control,512,2.2490919579868205,4587520,917504,5505024
wrinkled-s3163-orientation_58-narrow__stress_10,p13,matched_control,1024,4.478799667034764,9175040,1835008,11010048
wrinkled-s3163-orientation_22-wide__stress_1,p14,n3_failure,256,1.157404666999355,2293760,458752,2752512
wrinkled-s3163-orientation_22-wide__stress_1,p14,n3_failure,512,2.2946636250126176,4587520,917504,5505024
wrinkled-s3163-orientation_22-wide__stress_1,p14,n3_failure,1024,4.582643417001236,9175040,1835008,11010048
wrinkled-s3163-orientation_58-wide__stress_1,p14,matched_control,256,1.1479692499851808,2293760,458752,2752512
wrinkled-s3163-orientation_58-wide__stress_1,p14,matched_control,512,2.2568014159915037,4587520,917504,5505024
wrinkled-s3163-orientation_58-wide__stress_1,p14,matched_control,1024,4.5411712499917485,9175040,1835008,11010048
wrinkled-s3163-orientation_22-wide__stress_3,p15,n3_failure,256,1.1584057079744525,2293760,458752,2752512
wrinkled-s3163-orientation_22-wide__stress_3,p15,n3_failure,512,2.270653040963225,4587520,917504,5505024
wrinkled-s3163-orientation_22-wide__stress_3,p15,n3_failure,1024,4.50102483399678,9175040,1835008,11010048
wrinkled-s3163-orientation_58-wide__stress_3,p15,matched_control,256,1.1595939999679103,2293760,458752,2752512
wrinkled-s3163-orientation_58-wide__stress_3,p15,matched_control,512,2.2670696249697357,4587520,917504,5505024
wrinkled-s3163-orientation_58-wide__stress_3,p15,matched_control,1024,4.499525957973674,9175040,1835008,11010048
wrinkled-s3163-orientation_22-wide__stress_10,p16,n3_failure,256,1.1585937089985237,2293760,458752,2752512
wrinkled-s3163-orientation_22-wide__stress_10,p16,n3_failure,512,2.2774043749668635,4587520,917504,5505024
wrinkled-s3163-orientation_22-wide__stress_10,p16,n3_failure,1024,4.545023915998172,9175040,1835008,11010048
wrinkled-s3163-orientation_58-wide__stress_10,p16,matched_control,256,1.156855084002018,2293760,458752,2752512
wrinkled-s3163-orientation_58-wide__stress_10,p16,matched_control,512,2.2735319170169532,4587520,917504,5505024
wrinkled-s3163-orientation_58-wide__stress_10,p16,matched_control,1024,4.482016082969494,9175040,1835008,11010048
