method,rig_id,family,field_uid,relative_l2,gain_vs_base
selected_support_ridge,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:6,0.2124301642179489,-0.0005731418808303523
selected_projected_bb,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:6,0.15857115387916565,0.25310965967261845
shared_field_ensemble,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:6,0.22174103558063507,-0.04442853241497757
zero_correction,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:7,0.17299781739711761,0.0
selected_support_ridge,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:7,0.17299784719944,-1.722699327633137e-07
selected_projected_bb,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:7,0.16030889749526978,0.07334728317826311
shared_field_ensemble,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:7,0.17217324674129486,0.0047663645023332535
zero_correction,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:8,0.2849707007408142,0.0
selected_support_ridge,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:8,0.28521838784217834,-0.0008691669028437765
selected_projected_bb,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:8,0.2108393907546997,0.2601366027925033
shared_field_ensemble,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:8,0.2642204761505127,0.0728152913136646
zero_correction,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:9,0.1272645890712738,0.0
selected_support_ridge,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:9,0.12724809348583221,0.00012961645939346678
selected_projected_bb,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:9,0.09737773984670639,0.23484026030076166
shared_field_ensemble,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:9,0.13045381009578705,-0.02505976758960915
zero_correction,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:10,0.15581658482551575,0.0
selected_support_ridge,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:10,0.15595465898513794,-0.0008861326268754244
selected_projected_bb,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:10,0.11803160607814789,0.24249651466613575
shared_field_ensemble,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:10,0.1359703689813614,0.12736908504558908
zero_correction,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:11,0.16699177026748657,0.0
selected_support_ridge,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:11,0.16707386076450348,-0.0004915840875596711
selected_projected_bb,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:11,0.1681872308254242,-0.007158799239164626
shared_field_ensemble,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:11,0.13858219981193542,0.17012557211678658
zero_correction,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:12,0.27705201506614685,0.0
selected_support_ridge,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:12,0.2773110568523407,-0.0009349933301585622
selected_projected_bb,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:12,0.13579080998897552,0.5098725055056714
shared_field_ensemble,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:12,0.2724594175815582,0.016576661546721216
zero_correction,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:13,0.1281844973564148,0.0
selected_support_ridge,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:13,0.12806391716003418,0.0009406769060796849
selected_projected_bb,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:13,0.11269275844097137,0.12085501160385181
shared_field_ensemble,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:13,0.14717304706573486,-0.14813452563239937
zero_correction,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:14,0.17237268388271332,0.0
selected_support_ridge,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:14,0.17249290645122528,-0.0006974571945155272
selected_projected_bb,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:14,0.13429675996303558,0.2208930270273307
shared_field_ensemble,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:14,0.16633111238479614,0.03504947165542782
zero_correction,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:15,0.22410817444324493,0.0
selected_support_ridge,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:15,0.2243274599313736,-0.0009784805425925303
selected_projected_bb,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:15,0.1474878489971161,0.34188991827932114
shared_field_ensemble,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:15,0.2108975052833557,0.05894773447112611
zero_correction,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:0,0.20011691749095917,0.0
selected_support_ridge,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:0,0.20044903457164764,-0.0016596152132088982
selected_projected_bb,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:0,0.17994926869869232,0.10077932962953007
shared_field_ensemble,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:0,0.17415721714496613,0.1297226674859503
zero_correction,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:1,0.1664360910654068,0.0
selected_support_ridge,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:1,0.16662515699863434,-0.0011359671572268581
selected_projected_bb,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:1,0.15165448188781738,0.08881252307097542
shared_field_ensemble,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:1,0.15625394880771637,0.061177489765059434
zero_correction,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:2,0.19886387884616852,0.0
selected_support_ridge,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:2,0.19901016354560852,-0.0007356021630915421
selected_projected_bb,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:2,0.15301470458507538,0.23055556658713194
shared_field_ensemble,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:2,0.19399262964725494,0.024495394674875715
zero_correction,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:3,0.16978558897972107,0.0
selected_support_ridge,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:3,0.16995717585086823,-0.0010106091581638665
selected_projected_bb,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:3,0.13161806762218475,0.22479835648533741
shared_field_ensemble,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:3,0.17111946642398834,-0.007856246530007827
zero_correction,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:4,0.17241980135440826,0.0
selected_support_ridge,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:4,0.17260810732841492,-0.0010921365906204628
selected_projected_bb,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:4,0.13934451341629028,0.1918299851774672
shared_field_ensemble,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:4,0.1631808578968048,0.05358400476644121
zero_correction,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:5,0.2342798262834549,0.0
