diagnostic_repeat,replicate,sample_index,reaction_family,iterations,singleton_field_relative_l2,singleton_gradient_relative_l2,singleton_front_top10_f1,parent_batch_field_relative_l2,parent_batch_gradient_relative_l2,parent_batch_front_top10_f1,absolute_difference_field_relative_l2,absolute_difference_gradient_relative_l2,absolute_difference_front_top10_f1
0,8,3,double_front,4,0.49298742413520813,0.7059421539306641,0.6560975313186646,0.49298739433288574,0.7059421539306641,0.6560975313186646,2.9802322387695312e-08,0.0,0.0
0,8,3,double_front,8,0.3113953769207001,0.5009826421737671,0.8097560405731201,0.3113909661769867,0.5009453296661377,0.8097560405731201,4.410743713378906e-06,3.731250762939453e-05,0.0
0,8,3,double_front,16,0.2706816792488098,0.4469914734363556,0.8341463208198547,0.27066007256507874,0.44697967171669006,0.8341463208198547,2.16066837310791e-05,1.1801719665527344e-05,0.0
0,8,3,double_front,32,0.22234337031841278,0.39220666885375977,0.8878048658370972,0.2221456617116928,0.3918769359588623,0.8878048658370972,0.0001977086067199707,0.00032973289489746094,0.0
0,8,4,annular_kernel,4,0.9433677792549133,0.9718400835990906,0.2780487835407257,0.9433677196502686,0.9718400835990906,0.2780487835407257,5.960464477539063e-08,0.0,0.0
0,8,4,annular_kernel,8,0.9346839785575867,0.9722365140914917,0.2658536732196808,0.9346218109130859,0.9721940755844116,0.2658536732196808,6.216764450073242e-05,4.2438507080078125e-05,0.0
0,8,4,annular_kernel,16,0.8798514604568481,0.9304524064064026,0.40000003576278687,0.8799367547035217,0.930487334728241,0.40000003576278687,8.529424667358398e-05,3.4928321838378906e-05,0.0
0,8,4,annular_kernel,32,0.897615909576416,0.9394729137420654,0.4121951162815094,0.89765864610672,0.9398282766342163,0.414634108543396,4.273653030395508e-05,0.0003553628921508789,0.0024389922618865967
0,8,5,oblique_shock,4,0.5763055086135864,0.7656963467597961,0.4829268157482147,0.5763055086135864,0.7656964063644409,0.4829268157482147,0.0,5.960464477539063e-08,0.0
0,8,5,oblique_shock,8,0.4650675356388092,0.6707508563995361,0.6243902444839478,0.4650687277317047,0.6707475781440735,0.6243902444839478,1.1920928955078125e-06,3.2782554626464844e-06,0.0
0,8,5,oblique_shock,16,0.38148555159568787,0.571273922920227,0.704878032207489,0.38144516944885254,0.5712476372718811,0.704878032207489,4.038214683532715e-05,2.6285648345947266e-05,0.0
0,8,5,oblique_shock,32,0.32202595472335815,0.49124395847320557,0.7317073345184326,0.3220110237598419,0.4912208318710327,0.7317073345184326,1.4930963516235352e-05,2.3126602172851562e-05,0.0
0,8,6,vortex_pair,4,0.662072479724884,0.7537436485290527,0.7097560167312622,0.6620725393295288,0.7537437081336975,0.7097560167312622,5.960464477539063e-08,5.960464477539063e-08,0.0
0,8,6,vortex_pair,8,0.559239387512207,0.6126096248626709,0.8024390339851379,0.5592454671859741,0.6126109957695007,0.8024390339851379,6.079673767089844e-06,1.3709068298339844e-06,0.0
0,8,6,vortex_pair,16,0.3752687871456146,0.44401681423187256,0.8682926893234253,0.37494558095932007,0.443777859210968,0.8682926893234253,0.00032320618629455566,0.00023895502090454102,0.0
0,8,6,vortex_pair,32,0.3290538489818573,0.3812192380428314,0.8999999761581421,0.32812854647636414,0.3802284598350525,0.8999999761581421,0.0009253025054931641,0.0009907782077789307,0.0
0,8,7,multi_plume,4,0.7357779741287231,0.7907062768936157,0.7097560167312622,0.7357780337333679,0.7907062768936157,0.7097560167312622,5.960464477539063e-08,0.0,0.0
0,8,7,multi_plume,8,0.5432645082473755,0.6097490787506104,0.8243902325630188,0.5432642102241516,0.6097544431686401,0.8243902325630188,2.980232238769531e-07,5.364418029785156e-06,0.0
0,8,7,multi_plume,16,0.4233725965023041,0.511361300945282,0.8341463208198547,0.42325788736343384,0.5113838911056519,0.8341463208198547,0.00011470913887023926,2.2590160369873047e-05,0.0
0,8,7,multi_plume,32,0.30591872334480286,0.3870633840560913,0.8951218724250793,0.30614417791366577,0.38747990131378174,0.8951218724250793,0.00022545456886291504,0.0004165172576904297,0.0
1,0,0,plume,4,0.5280283689498901,0.6848860383033752,0.8097560405731201,0.5280284285545349,0.6848860383033752,0.8097560405731201,5.960464477539063e-08,0.0,0.0
1,0,0,plume,8,0.366608589887619,0.5094358325004578,0.8487805128097534,0.3666061758995056,0.5094345808029175,0.8487805128097534,2.4139881134033203e-06,1.2516975402832031e-06,0.0
1,0,0,plume,16,0.29254329204559326,0.4286794364452362,0.8512195348739624,0.2926015853881836,0.428702712059021,0.8512195348739624,5.829334259033203e-05,2.327561378479004e-05,0.0
1,0,0,plume,32,0.2219061553478241,0.3399749994277954,0.8902438879013062,0.22364413738250732,0.3421836793422699,0.8829268217086792,0.0017379820346832275,0.0022086799144744873,0.007317066192626953
1,0,1,wavy_front,4,0.4651361405849457,0.6373713612556458,0.5634146332740784,0.4651361107826233,0.6373713612556458,0.5634146332740784,2.9802322387695312e-08,0.0,0.0
1,0,1,wavy_front,8,0.30907532572746277,0.49135300517082214,0.6780487895011902,0.309072881937027,0.49134719371795654,0.6780487895011902,2.4437904357910156e-06,5.811452865600586e-06,0.0
1,0,1,wavy_front,16,0.27092963457107544,0.4318714737892151,0.7390244007110596,0.27093997597694397,0.4318997263908386,0.7390244007110596,1.0341405868530273e-05,2.8252601623535156e-05,0.0
1,0,1,wavy_front,32,0.24741405248641968,0.40776339173316956,0.7829268574714661,0.24748891592025757,0.40785446763038635,0.7829268574714661,7.486343383789062e-05,9.107589721679688e-05,0.0
1,0,2,thin_front,4,0.5641827583312988,0.7816382050514221,0.6073170900344849,0.5641829371452332,0.7816382050514221,0.6073170900344849,1.7881393432617188e-07,0.0,0.0
1,0,2,thin_front,8,0.5656013488769531,0.7517167329788208,0.6048780679702759,0.5656101107597351,0.7517299652099609,0.6048780679702759,8.761882781982422e-06,1.3232231140136719e-05,0.0
1,0,2,thin_front,16,0.5494434237480164,0.7193870544433594,0.5853658318519592,0.5494328737258911,0.7193838953971863,0.5853658318519592,1.055002212524414e-05,3.159046173095703e-06,0.0
1,0,2,thin_front,32,0.5342766642570496,0.7037704586982727,0.5804877877235413,0.5342267751693726,0.7037349343299866,0.5829268097877502,4.988908767700195e-05,3.552436828613281e-05,0.0024390220642089844
1,0,3,double_front,4,0.6568558216094971,0.7636653184890747,0.6390243768692017,0.6568557620048523,0.7636653780937195,0.6390243768692017,5.960464477539063e-08,5.960464477539063e-08,0.0
1,0,3,double_front,8,0.7371459007263184,0.8472008109092712,0.5634146332740784,0.7371461987495422,0.8472023010253906,0.5634146332740784,2.980232238769531e-07,1.4901161193847656e-06,0.0
1,0,3,double_front,16,0.5290050506591797,0.6553184390068054,0.7219512462615967,0.5288503766059875,0.6551936864852905,0.7219512462615967,0.00015467405319213867,0.00012475252151489258,0.0
1,0,3,double_front,32,0.5130313038825989,0.6528953313827515,0.7414634823799133,0.5130401253700256,0.6528938412666321,0.7414634823799133,8.821487426757812e-06,1.4901161193847656e-06,0.0
1,0,4,annular_kernel,4,0.9702354073524475,0.9959119558334351,0.2487804889678955,0.9702353477478027,0.9959119558334351,0.2487804889678955,5.960464477539063e-08,0.0,0.0
1,0,4,annular_kernel,8,0.974005401134491,0.9933282136917114,0.35121950507164,0.974003255367279,0.9933345913887024,0.35121950507164,2.1457672119140625e-06,6.377696990966797e-06,0.0
1,0,4,annular_kernel,16,1.0000665187835693,1.0027917623519897,0.37804877758026123,1.0016181468963623,1.0049105882644653,0.3878048360347748,0.0015516281127929688,0.002118825912475586,0.00975605845451355
1,0,4,annular_kernel,32,1.0398163795471191,1.0341432094573975,0.3951219320297241,1.039893627166748,1.0342384576797485,0.3951219320297241,7.724761962890625e-05,9.524822235107422e-05,0.0
1,0,5,oblique_shock,4,0.7460904717445374,0.9178203344345093,0.35853657126426697,0.7460904717445374,0.9178203344345093,0.35853657126426697,0.0,0.0,0.0
1,0,5,oblique_shock,8,0.6049314737319946,0.8269294500350952,0.5560975670814514,0.6049172282218933,0.8269269466400146,0.5536585450172424,1.424551010131836e-05,2.5033950805664062e-06,0.0024390220642089844
1,0,5,oblique_shock,16,0.5298592448234558,0.7741315960884094,0.5878048539161682,0.529614269733429,0.7739025950431824,0.5853658318519592,0.00024497509002685547,0.00022900104522705078,0.0024390220642089844
1,0,5,oblique_shock,32,0.47762903571128845,0.7250229120254517,0.6243902444839478,0.47779953479766846,0.725224494934082,0.6219512224197388,0.00017049908638000488,0.0002015829086303711,0.0024390220642089844
1,0,6,vortex_pair,4,0.6389671564102173,0.7495202422142029,0.6609756350517273,0.6389670968055725,0.7495202422142029,0.6609756350517273,5.960464477539063e-08,0.0,0.0
1,0,6,vortex_pair,8,0.5340628623962402,0.6070412993431091,0.7658536434173584,0.5339906811714172,0.6070342063903809,0.7658536434173584,7.218122482299805e-05,7.092952728271484e-06,0.0
1,0,6,vortex_pair,16,0.3426576256752014,0.42085859179496765,0.8585366010665894,0.3342055678367615,0.4139051139354706,0.8634146451950073,0.008452057838439941,0.00695347785949707,0.004878044128417969
1,0,6,vortex_pair,32,0.28184446692466736,0.3449266254901886,0.8999999761581421,0.2818744480609894,0.34489184617996216,0.8999999761581421,2.9981136322021484e-05,3.477931022644043e-05,0.0
1,0,7,multi_plume,4,0.6826563477516174,0.8120744824409485,0.6365853548049927,0.6826562881469727,0.8120744824409485,0.6365853548049927,5.960464477539063e-08,0.0,0.0
1,0,7,multi_plume,8,0.6380338668823242,0.7364723086357117,0.7463415265083313,0.6381151676177979,0.7366088628768921,0.7439024448394775,8.130073547363281e-05,0.00013655424118041992,0.0024390816688537598
1,0,7,multi_plume,16,0.6086509823799133,0.6882558465003967,0.7756096720695496,0.6086471080780029,0.6882544755935669,0.7756096720695496,3.874301910400391e-06,1.3709068298339844e-06,0.0
1,0,7,multi_plume,32,0.5457509160041809,0.6183708906173706,0.7780487537384033,0.5469481348991394,0.6193313598632812,0.7780487537384033,0.001197218894958496,0.0009604692459106445,0.0
1,8,0,plume,4,0.5400388240814209,0.6706268191337585,0.795121967792511,0.5400388836860657,0.6706268787384033,0.795121967792511,5.960464477539063e-08,5.960464477539063e-08,0.0
1,8,0,plume,8,0.4307222068309784,0.5562631487846375,0.795121967792511,0.4306347668170929,0.5561493635177612,0.7941535115242004,8.744001388549805e-05,0.0001137852668762207,0.0009684562683105469
1,8,0,plume,16,0.2997044622898102,0.40406060218811035,0.8414633870124817,0.29968446493148804,0.40404197573661804,0.8414633870124817,1.9997358322143555e-05,1.862645149230957e-05,0.0
1,8,0,plume,32,0.21352435648441315,0.3088492453098297,0.8707317113876343,0.21476711332798004,0.31005042791366577,0.8682926893234253,0.0012427568435668945,0.0012011826038360596,0.0024390220642089844
1,8,1,wavy_front,4,0.41500574350357056,0.6222610473632812,0.6000000238418579,0.41500574350357056,0.6222609877586365,0.6000000238418579,0.0,5.960464477539063e-08,0.0
1,8,1,wavy_front,8,0.3444644808769226,0.5299773216247559,0.7146341800689697,0.3444631099700928,0.5299702882766724,0.7146341800689697,1.3709068298339844e-06,7.033348083496094e-06,0.0
1,8,1,wavy_front,16,0.30382874608039856,0.47643327713012695,0.7341463565826416,0.303661972284317,0.4761697053909302,0.7341463565826416,0.00016677379608154297,0.00026357173919677734,0.0
1,8,1,wavy_front,32,0.2636036276817322,0.42235445976257324,0.7634146213531494,0.2636008858680725,0.42235150933265686,0.7634146213531494,2.7418136596679688e-06,2.950429916381836e-06,0.0
1,8,2,thin_front,4,0.44160813093185425,0.7555962204933167,0.5682926774024963,0.44160813093185425,0.7555962204933167,0.5682926774024963,0.0,0.0,0.0
1,8,2,thin_front,8,0.46760690212249756,0.801096498966217,0.504878044128418,0.46761491894721985,0.8011174201965332,0.504878044128418,8.016824722290039e-06,2.092123031616211e-05,0.0
1,8,2,thin_front,16,0.37067729234695435,0.6488282084465027,0.704878032207489,0.370678186416626,0.6488259434700012,0.704878032207489,8.940696716308594e-07,2.2649765014648438e-06,0.0
1,8,2,thin_front,32,0.31796297430992126,0.5752590298652649,0.7609755992889404,0.3180488348007202,0.5753697156906128,0.7634146213531494,8.58604907989502e-05,0.00011068582534790039,0.0024390220642089844
1,8,3,double_front,4,0.49298739433288574,0.7059420943260193,0.6560975313186646,0.49298739433288574,0.7059421539306641,0.6560975313186646,0.0,5.960464477539063e-08,0.0
1,8,3,double_front,8,0.31139394640922546,0.500969648361206,0.8097560405731201,0.3113909661769867,0.5009453296661377,0.8097560405731201,2.9802322387695312e-06,2.4318695068359375e-05,0.0
1,8,3,double_front,16,0.2706587314605713,0.44698068499565125,0.8341463208198547,0.27066007256507874,0.44697967171669006,0.8341463208198547,1.341104507446289e-06,1.0132789611816406e-06,0.0
1,8,3,double_front,32,0.222248375415802,0.39222705364227295,0.8878048658370972,0.2221456617116928,0.3918769359588623,0.8878048658370972,0.0001027137041091919,0.00035011768341064453,0.0
1,8,4,annular_kernel,4,0.9433677792549133,0.9718400835990906,0.2780487835407257,0.9433677196502686,0.9718400835990906,0.2780487835407257,5.960464477539063e-08,0.0,0.0
