sample_index,reaction_family,noise_family,relative_noise,method,field_relative_l2,gradient_relative_l2,front_top10_f1,solver_elapsed_seconds,forward_calls,adjoint_calls
1,wavy_front,component_iid,0.07999999821186066,diagonal_shrinkage,0.7701398730278015,1.0455065965652466,0.2951219379901886,0.03543824999360368,4,4
2,thin_front,component_iid,0.03999999910593033,diagonal_shrinkage,0.8903712630271912,1.1263962984085083,0.2536585330963135,0.03543824999360368,4,4
3,double_front,component_iid,0.07999999821186066,diagonal_shrinkage,0.7746613025665283,1.0640650987625122,0.29963457584381104,0.03543824999360368,4,4
4,annular_kernel,component_iid,0.03999999910593033,diagonal_shrinkage,1.0183870792388916,1.0911331176757812,0.024390241131186485,0.03543824999360368,4,4
5,oblique_shock,component_iid,0.07999999821186066,diagonal_shrinkage,0.7279338240623474,0.9925708174705505,0.2512195110321045,0.03543824999360368,4,4
6,vortex_pair,component_iid,0.03999999910593033,diagonal_shrinkage,0.9766114354133606,1.0724518299102783,0.25853657722473145,0.03543824999360368,4,4
7,multi_plume,component_iid,0.07999999821186066,diagonal_shrinkage,0.9485988616943359,1.082432746887207,0.31463414430618286,0.03543824999360368,4,4
0,plume,component_iid,0.03999999910593033,dg_covgate,0.6828615069389343,0.9393564462661743,0.6512194871902466,0.0352543750195764,4,4
1,wavy_front,component_iid,0.07999999821186066,dg_covgate,0.7719782590866089,1.0664421319961548,0.2780487835407257,0.0352543750195764,4,4
2,thin_front,component_iid,0.03999999910593033,dg_covgate,0.9175395369529724,1.1485190391540527,0.2341463416814804,0.0352543750195764,4,4
3,double_front,component_iid,0.07999999821186066,dg_covgate,0.7937924265861511,1.0677152872085571,0.29756098985671997,0.0352543750195764,4,4
4,annular_kernel,component_iid,0.03999999910593033,dg_covgate,1.0303444862365723,1.0949487686157227,0.02926829271018505,0.0352543750195764,4,4
5,oblique_shock,component_iid,0.07999999821186066,dg_covgate,0.728273332118988,0.9923375844955444,0.2512195110321045,0.0352543750195764,4,4
6,vortex_pair,component_iid,0.03999999910593033,dg_covgate,1.0518782138824463,1.1404708623886108,0.17073170840740204,0.0352543750195764,4,4
7,multi_plume,component_iid,0.07999999821186066,dg_covgate,0.9504959583282471,1.085517406463623,0.2951219379901886,0.0352543750195764,4,4
0,plume,component_iid,0.03999999910593033,oracle_covariance,0.682929515838623,0.9395437240600586,0.6512194871902466,0.035786958993412554,4,4
1,wavy_front,component_iid,0.07999999821186066,oracle_covariance,0.7714071273803711,1.0654339790344238,0.2780487835407257,0.035786958993412554,4,4
2,thin_front,component_iid,0.03999999910593033,oracle_covariance,0.9163414239883423,1.1472368240356445,0.2365853637456894,0.035786958993412554,4,4
3,double_front,component_iid,0.07999999821186066,oracle_covariance,0.7918000221252441,1.0664347410202026,0.30000001192092896,0.035786958993412554,4,4
4,annular_kernel,component_iid,0.03999999910593033,oracle_covariance,1.0314292907714844,1.0955612659454346,0.02926829271018505,0.035786958993412554,4,4
5,oblique_shock,component_iid,0.07999999821186066,oracle_covariance,0.7275491952896118,0.9914958477020264,0.25091353058815,0.035786958993412554,4,4
6,vortex_pair,component_iid,0.03999999910593033,oracle_covariance,1.0545109510421753,1.1428067684173584,0.17073170840740204,0.035786958993412554,4,4
7,multi_plume,component_iid,0.07999999821186066,oracle_covariance,0.9492279291152954,1.0845999717712402,0.29756098985671997,0.035786958993412554,4,4
0,plume,component_iid,0.03999999910593033,wrong_graph_assumption,0.7074584364891052,0.9549798965454102,0.6317073106765747,0.03564312501111999,4,4
1,wavy_front,component_iid,0.07999999821186066,wrong_graph_assumption,0.7624739408493042,1.0591466426849365,0.29756098985671997,0.03564312501111999,4,4
2,thin_front,component_iid,0.03999999910593033,wrong_graph_assumption,0.9227451086044312,1.133774995803833,0.25853657722473145,0.03564312501111999,4,4
3,double_front,component_iid,0.07999999821186066,wrong_graph_assumption,0.7809730172157288,1.0545566082000732,0.3878048360347748,0.03564312501111999,4,4
4,annular_kernel,component_iid,0.03999999910593033,wrong_graph_assumption,1.0710644721984863,1.1067991256713867,0.07804878056049347,0.03564312501111999,4,4
5,oblique_shock,component_iid,0.07999999821186066,wrong_graph_assumption,0.6268633008003235,0.8454112410545349,0.40487802028656006,0.03564312501111999,4,4
6,vortex_pair,component_iid,0.03999999910593033,wrong_graph_assumption,0.9452667832374573,1.0398203134536743,0.30243903398513794,0.03564312501111999,4,4
7,multi_plume,component_iid,0.07999999821186066,wrong_graph_assumption,0.9910475611686707,1.119715690612793,0.34878048300743103,0.03564312501111999,4,4
0,plume,graph_heat,0.03999999910593033,scalar_iid,0.7231989502906799,0.9825766086578369,0.6000000238418579,0.035834083042573184,4,4
1,wavy_front,graph_heat,0.07999999821186066,scalar_iid,0.7762681245803833,1.0538049936294556,0.28780487179756165,0.035834083042573184,4,4
2,thin_front,graph_heat,0.03999999910593033,scalar_iid,0.9472935199737549,1.1817659139633179,0.21463415026664734,0.035834083042573184,4,4
3,double_front,graph_heat,0.07999999821186066,scalar_iid,0.8160213232040405,1.086983323097229,0.2829268276691437,0.035834083042573184,4,4
4,annular_kernel,graph_heat,0.03999999910593033,scalar_iid,1.0280039310455322,1.0985982418060303,0.024390241131186485,0.035834083042573184,4,4
5,oblique_shock,graph_heat,0.07999999821186066,scalar_iid,0.7270868420600891,0.99174565076828,0.2512195110321045,0.035834083042573184,4,4
6,vortex_pair,graph_heat,0.03999999910593033,scalar_iid,1.0260162353515625,1.1084305047988892,0.2195121794939041,0.035834083042573184,4,4
7,multi_plume,graph_heat,0.07999999821186066,scalar_iid,0.957702100276947,1.0862876176834106,0.32926830649375916,0.035834083042573184,4,4
0,plume,graph_heat,0.03999999910593033,component_iid,0.6448675990104675,0.9039674401283264,0.6609756350517273,0.035311166022438556,4,4
1,wavy_front,graph_heat,0.07999999821186066,component_iid,0.7852463722229004,1.094427227973938,0.25609755516052246,0.035311166022438556,4,4
2,thin_front,graph_heat,0.03999999910593033,component_iid,0.9358727931976318,1.1629990339279175,0.2219512164592743,0.035311166022438556,4,4
3,double_front,graph_heat,0.07999999821186066,component_iid,0.8102126717567444,1.0747098922729492,0.2926829159259796,0.035311166022438556,4,4
4,annular_kernel,graph_heat,0.03999999910593033,component_iid,1.0417248010635376,1.1000810861587524,0.03414634242653847,0.035311166022438556,4,4
5,oblique_shock,graph_heat,0.07999999821186066,component_iid,0.734317421913147,0.9966281056404114,0.2512195110321045,0.035311166022438556,4,4
6,vortex_pair,graph_heat,0.03999999910593033,component_iid,1.020322322845459,1.1137009859085083,0.21707317233085632,0.035311166022438556,4,4
7,multi_plume,graph_heat,0.07999999821186066,component_iid,0.943393886089325,1.0819519758224487,0.2874543368816376,0.035311166022438556,4,4
0,plume,graph_heat,0.03999999910593033,diagonal_shrinkage,0.6792115569114685,0.9450122117996216,0.6365853548049927,0.03533016599249095,4,4
1,wavy_front,graph_heat,0.07999999821186066,diagonal_shrinkage,0.7749952077865601,1.0579521656036377,0.28536584973335266,0.03533016599249095,4,4
2,thin_front,graph_heat,0.03999999910593033,diagonal_shrinkage,0.8692455887794495,1.1043016910552979,0.2780487835407257,0.03533016599249095,4,4
3,double_front,graph_heat,0.07999999821186066,diagonal_shrinkage,0.7597675323486328,1.0518379211425781,0.31463414430618286,0.03533016599249095,4,4
4,annular_kernel,graph_heat,0.03999999910593033,diagonal_shrinkage,1.0203975439071655,1.090120792388916,0.024390241131186485,0.03533016599249095,4,4
5,oblique_shock,graph_heat,0.07999999821186066,diagonal_shrinkage,0.7339189052581787,0.9985561370849609,0.2487804889678955,0.03533016599249095,4,4
6,vortex_pair,graph_heat,0.03999999910593033,diagonal_shrinkage,0.9703613519668579,1.0694878101348877,0.26520681381225586,0.03533016599249095,4,4
7,multi_plume,graph_heat,0.07999999821186066,diagonal_shrinkage,0.9440994262695312,1.0794060230255127,0.3097561001777649,0.03533016599249095,4,4
0,plume,graph_heat,0.03999999910593033,dg_covgate,0.6078636050224304,0.8730021715164185,0.6829268336296082,0.03534591704374179,4,4
1,wavy_front,graph_heat,0.07999999821186066,dg_covgate,0.7753717303276062,1.079008936882019,0.27317073941230774,0.03534591704374179,4,4
2,thin_front,graph_heat,0.03999999910593033,dg_covgate,0.8885887861251831,1.1169438362121582,0.25609755516052246,0.03534591704374179,4,4
3,double_front,graph_heat,0.07999999821186066,dg_covgate,0.7788093686103821,1.048655390739441,0.33170732855796814,0.03534591704374179,4,4
4,annular_kernel,graph_heat,0.03999999910593033,dg_covgate,1.035966396331787,1.0979859828948975,0.04146341606974602,0.03534591704374179,4,4
5,oblique_shock,graph_heat,0.07999999821186066,dg_covgate,0.7278724312782288,0.9867665767669678,0.26097559928894043,0.03534591704374179,4,4
6,vortex_pair,graph_heat,0.03999999910593033,dg_covgate,0.9611532092094421,1.0610129833221436,0.2780487835407257,0.03534591704374179,4,4
7,multi_plume,graph_heat,0.07999999821186066,dg_covgate,0.9367620944976807,1.0780631303787231,0.28501829504966736,0.03534591704374179,4,4
0,plume,graph_heat,0.03999999910593033,oracle_covariance,0.6077843904495239,0.8726304173469543,0.6829268336296082,0.03551399998832494,4,4
1,wavy_front,graph_heat,0.07999999821186066,oracle_covariance,0.7749916911125183,1.0786129236221313,0.27317073941230774,0.03551399998832494,4,4
2,thin_front,graph_heat,0.03999999910593033,oracle_covariance,0.8877958655357361,1.1162749528884888,0.25609755516052246,0.03551399998832494,4,4
3,double_front,graph_heat,0.07999999821186066,oracle_covariance,0.7784793376922607,1.048471212387085,0.32926830649375916,0.03551399998832494,4,4
4,annular_kernel,graph_heat,0.03999999910593033,oracle_covariance,1.035616397857666,1.0978033542633057,0.039024390280246735,0.03551399998832494,4,4
5,oblique_shock,graph_heat,0.07999999821186066,oracle_covariance,0.7274596691131592,0.9860547780990601,0.26097559928894043,0.03551399998832494,4,4
6,vortex_pair,graph_heat,0.03999999910593033,oracle_covariance,0.9599453806877136,1.0598770380020142,0.2780487835407257,0.03551399998832494,4,4
7,multi_plume,graph_heat,0.07999999821186066,oracle_covariance,0.9369868040084839,1.0784469842910767,0.28501829504966736,0.03551399998832494,4,4
0,plume,graph_heat,0.03999999910593033,wrong_graph_assumption,0.7037345767021179,0.9509641528129578,0.6292682886123657,0.035158790997229517,4,4
1,wavy_front,graph_heat,0.07999999821186066,wrong_graph_assumption,0.7675981521606445,1.0648224353790283,0.2926829159259796,0.035158790997229517,4,4
2,thin_front,graph_heat,0.03999999910593033,wrong_graph_assumption,0.9219910502433777,1.1331359148025513,0.26097559928894043,0.035158790997229517,4,4
3,double_front,graph_heat,0.07999999821186066,wrong_graph_assumption,0.7852234244346619,1.0569920539855957,0.3951219320297241,0.035158790997229517,4,4
4,annular_kernel,graph_heat,0.03999999910593033,wrong_graph_assumption,1.0719176530838013,1.107900857925415,0.08048780262470245,0.035158790997229517,4,4
5,oblique_shock,graph_heat,0.07999999821186066,wrong_graph_assumption,0.6306478381156921,0.8494312167167664,0.40487802028656006,0.035158790997229517,4,4
6,vortex_pair,graph_heat,0.03999999910593033,wrong_graph_assumption,0.9465721249580383,1.0412263870239258,0.30000001192092896,0.035158790997229517,4,4
7,multi_plume,graph_heat,0.07999999821186066,wrong_graph_assumption,0.9929314255714417,1.1202099323272705,0.34878048300743103,0.035158790997229517,4,4
