base_seed,family,mismatch_severity,correction_candidate,residual_amplitude,loco_score,field_relative_l2
307,wrinkled_density_interface,1.0,0.5,0.5,0.1020728810614369,0.6444782268516965
307,wrinkled_density_interface,1.0,1.0,0.0,0.10367593532377885,0.6359878393124273
307,wrinkled_density_interface,1.0,1.5,-0.5,0.1115444960064436,0.6347883471005843
307,wrinkled_density_interface,1.0,2.0,-1.0,0.12526239243956958,0.662997663459206
307,wrinkled_density_interface,1.0,2.5,-1.5,0.14392802033749894,0.7191577018275106
307,shock_expansion_pair,1.0,-0.5,1.5,0.11882617793311794,0.6895768862615339
307,shock_expansion_pair,1.0,0.0,1.0,0.11101861056873175,0.6778664146881345
307,shock_expansion_pair,1.0,0.5,0.5,0.10711381033451918,0.6708232296614947
307,shock_expansion_pair,1.0,1.0,0.0,0.10731228538894337,0.6654945792231477
307,shock_expansion_pair,1.0,1.5,-0.5,0.1115292745978786,0.6665349775512222
307,shock_expansion_pair,1.0,2.0,-1.0,0.12011341899915746,0.6840557575501292
307,shock_expansion_pair,1.0,2.5,-1.5,0.13366248580631734,0.7153884981502234
307,smooth_plume,2.0,-0.5,2.5,0.14666507703999795,0.9034334867337719
307,smooth_plume,2.0,0.0,2.0,0.1275685301664182,0.8488336675010058
307,smooth_plume,2.0,0.5,1.5,0.10975534567515033,0.8017224783927454
307,smooth_plume,2.0,1.0,1.0,0.09148184954749732,0.7546697203394904
307,smooth_plume,2.0,1.5,0.5,0.07805843302659453,0.7121309312066298
307,smooth_plume,2.0,2.0,0.0,0.07273595493670527,0.6859228724345768
307,smooth_plume,2.0,2.5,-0.5,0.07751507388627794,0.6878535947705371
307,wrinkled_density_interface,2.0,-0.5,2.5,0.14541500538485905,0.7337138406927664
307,wrinkled_density_interface,2.0,0.0,2.0,0.12899116315999617,0.7034148028500332
307,wrinkled_density_interface,2.0,0.5,1.5,0.1156674413162558,0.6783216457408964
307,wrinkled_density_interface,2.0,1.0,1.0,0.10651099271371767,0.6586247822461728
307,wrinkled_density_interface,2.0,1.5,0.5,0.10207218391007822,0.6445027800281957
307,wrinkled_density_interface,2.0,2.0,0.0,0.10367629548049127,0.6360068787040986
307,wrinkled_density_interface,2.0,2.5,-0.5,0.11154533582345967,0.634811104442598
307,shock_expansion_pair,2.0,-0.5,2.5,0.14338682833799243,0.7340216363365495
307,shock_expansion_pair,2.0,0.0,2.0,0.12957963146856907,0.7081653177943622
307,shock_expansion_pair,2.0,0.5,1.5,0.11882898411036096,0.6896060196177919
