replicate,sample_index,reaction_family,candidate_id,field_relative_l2,gradient_relative_l2,front_top10_f1
8,1,wavy_front,graph_s3_k4,0.41500574350357056,0.6222609877586365,0.6000000238418579
8,1,wavy_front,graph_s3_k8,0.3444631099700928,0.5299702882766724,0.7146341800689697
8,1,wavy_front,graph_s3_k16,0.303661972284317,0.4761697053909302,0.7341463565826416
8,1,wavy_front,graph_s3_k32,0.2636008858680725,0.42235150933265686,0.7634146213531494
8,1,wavy_front,pdhg_data_only_k4,0.9998440146446228,0.9998101592063904,0.353658527135849
8,1,wavy_front,pdhg_data_only_k8,0.9996181130409241,0.9995352625846863,0.353658527135849
8,1,wavy_front,pdhg_data_only_k16,0.9991453289985657,0.9989606738090515,0.353658527135849
8,1,wavy_front,pdhg_data_only_k32,0.9981993436813354,0.9978131055831909,0.356097549200058
8,2,thin_front,graph_s3_k4,0.44160813093185425,0.7555962204933167,0.5682926774024963
8,2,thin_front,graph_s3_k8,0.46761491894721985,0.8011174201965332,0.504878044128418
8,2,thin_front,graph_s3_k16,0.370678186416626,0.6488259434700012,0.704878032207489
8,2,thin_front,graph_s3_k32,0.3180488348007202,0.5753697156906128,0.7634146213531494
8,2,thin_front,pdhg_data_only_k4,0.9994264841079712,0.9994025826454163,0.24146340787410736
8,2,thin_front,pdhg_data_only_k8,0.9986000061035156,0.9985467195510864,0.24146340787410736
8,2,thin_front,pdhg_data_only_k16,0.9968859553337097,0.9967911243438721,0.24390244483947754
8,2,thin_front,pdhg_data_only_k32,0.9935199618339539,0.9934177994728088,0.24634146690368652
8,3,double_front,graph_s3_k4,0.49298739433288574,0.7059421539306641,0.6560975313186646
8,3,double_front,graph_s3_k8,0.3113909661769867,0.5009453296661377,0.8097560405731201
8,3,double_front,graph_s3_k16,0.27066007256507874,0.44697967171669006,0.8341463208198547
8,3,double_front,graph_s3_k32,0.2221456617116928,0.3918769359588623,0.8878048658370972
8,3,double_front,pdhg_data_only_k4,0.9998539090156555,0.9998016357421875,0.4219512343406677
8,3,double_front,pdhg_data_only_k8,0.9996423125267029,0.9995144009590149,0.4219512343406677
8,3,double_front,pdhg_data_only_k16,0.9991995096206665,0.9989138841629028,0.4219512343406677
8,3,double_front,pdhg_data_only_k32,0.9983135461807251,0.9977145791053772,0.4219512343406677
8,4,annular_kernel,graph_s3_k4,0.9433677196502686,0.9718400835990906,0.2780487835407257
8,4,annular_kernel,graph_s3_k8,0.9346218109130859,0.9721940755844116,0.2658536732196808
8,4,annular_kernel,graph_s3_k16,0.8799367547035217,0.930487334728241,0.40000003576278687
8,4,annular_kernel,graph_s3_k32,0.89765864610672,0.9398282766342163,0.414634108543396
8,4,annular_kernel,pdhg_data_only_k4,0.9993895292282104,0.9994945526123047,0.26829269528388977
8,4,annular_kernel,pdhg_data_only_k8,0.9985175132751465,0.9987729787826538,0.26829269528388977
8,4,annular_kernel,pdhg_data_only_k16,0.9967401027679443,0.9973036646842957,0.26829269528388977
8,4,annular_kernel,pdhg_data_only_k32,0.993369460105896,0.9945220351219177,0.26829269528388977
8,5,oblique_shock,graph_s3_k4,0.5763055086135864,0.7656964063644409,0.4829268157482147
8,5,oblique_shock,graph_s3_k8,0.4650687277317047,0.6707475781440735,0.6243902444839478
8,5,oblique_shock,graph_s3_k16,0.38144516944885254,0.5712476372718811,0.704878032207489
8,5,oblique_shock,graph_s3_k32,0.3220110237598419,0.4912208318710327,0.7317073345184326
8,5,oblique_shock,pdhg_data_only_k4,0.9998743534088135,0.9998846054077148,0.2487804889678955
8,5,oblique_shock,pdhg_data_only_k8,0.9996926784515381,0.9997183680534363,0.2487804889678955
8,5,oblique_shock,pdhg_data_only_k16,0.9993143677711487,0.9993734955787659,0.2487804889678955
8,5,oblique_shock,pdhg_data_only_k32,0.9985643625259399,0.9986961483955383,0.24634146690368652
8,6,vortex_pair,graph_s3_k4,0.6620725393295288,0.7537437081336975,0.7097560167312622
8,6,vortex_pair,graph_s3_k8,0.5592454671859741,0.6126109957695007,0.8024390339851379
8,6,vortex_pair,graph_s3_k16,0.37494558095932007,0.443777859210968,0.8682926893234253
8,6,vortex_pair,graph_s3_k32,0.32812854647636414,0.3802284598350525,0.8999999761581421
8,6,vortex_pair,pdhg_data_only_k4,0.9993618726730347,0.999393105506897,0.46341463923454285
8,6,vortex_pair,pdhg_data_only_k8,0.9984404444694519,0.998517632484436,0.46341463923454285
8,6,vortex_pair,pdhg_data_only_k16,0.996522843837738,0.9966990947723389,0.46341463923454285
8,6,vortex_pair,pdhg_data_only_k32,0.9927311539649963,0.9931166768074036,0.46585366129875183
8,7,multi_plume,graph_s3_k4,0.7357780337333679,0.7907062768936157,0.7097560167312622
8,7,multi_plume,graph_s3_k8,0.5432642102241516,0.6097544431686401,0.8243902325630188
8,7,multi_plume,graph_s3_k16,0.42325788736343384,0.5113838911056519,0.8341463208198547
8,7,multi_plume,graph_s3_k32,0.30614417791366577,0.38747990131378174,0.8951218724250793
8,7,multi_plume,pdhg_data_only_k4,0.9998579025268555,0.9998484253883362,0.43414634466171265
8,7,multi_plume,pdhg_data_only_k8,0.9996521472930908,0.999629020690918,0.43414634466171265
8,7,multi_plume,pdhg_data_only_k16,0.9992215037345886,0.9991698861122131,0.43414634466171265
8,7,multi_plume,pdhg_data_only_k32,0.9983597993850708,0.9982517957687378,0.43414634466171265
