family,phantom_seed,noise_fraction,model_name,model_seed,best_step,field_relative_l2,source_test_central_relative_l2,rerun_test_central_relative_l2,source_test_central_absolute_difference,test_automatic_relative_l2,dense_central_h_relative_l2,dense_central_h_over_2_relative_l2,dense_central_h_over_4_relative_l2,dense_automatic_relative_l2,development_gcs_projected_uv_relative_l2,training_seconds
oblique_compression_sheet,2203,0.08,fourier_high,101,160,0.22921763531123932,0.08125109793222551,0.08125109793222551,0.0,0.9355312068974483,0.12252012472887716,0.2602465160104035,0.5078946539055675,0.69987278184595,0.6680319309234619,1.0296065419679508
oblique_compression_sheet,2203,0.08,fourier_high,211,240,0.19957808486836207,0.06331319592270944,0.06331319592270944,0.0,1.0734610836483074,0.10373330302499473,0.42495782207489585,0.6135522442239731,0.8469920443686245,0.801621675491333,1.040768792037852
shock_expansion_pair,2204,0.02,fourier_low,101,220,0.15632697661847014,0.06468790240134134,0.06468790240134134,0.0,0.13893836725938757,0.07029822819561271,0.18832080054499087,0.2406520584302498,0.2596425619582138,0.1609649509191513,0.9533656670246273
shock_expansion_pair,2204,0.02,fourier_low,211,240,0.14848479059394962,0.06046610390673227,0.06046610390673227,0.0,0.10097774072092387,0.0782460547738797,0.18723605288883535,0.23745479550673784,0.2556833859645533,0.16110676527023315,0.9683840420329943
shock_expansion_pair,2204,0.02,fourier_high,101,180,0.199899930074506,0.03823912093921339,0.03823912093921339,0.0,0.47422381327383073,0.0959661860901558,0.2157916792418895,0.32570427254721146,0.4271643733640624,0.41363289952278137,1.0574748748913407
shock_expansion_pair,2204,0.02,fourier_high,211,240,0.17307438517199267,0.0395901534393252,0.0395901534393252,0.0,0.7314511291228857,0.10302990370357297,0.2317274554869827,0.3752461547097903,0.6480568709545934,0.6053510308265686,1.0408784999744967
shock_expansion_pair,2204,0.08,fourier_low,101,240,0.1537713469575278,0.06883876196841289,0.06883876196841289,0.0,0.12282421647227486,0.07001670392257249,0.19354198722709307,0.24767857433212045,0.26720834209647304,0.14233772456645966,0.9540007080649957
shock_expansion_pair,2204,0.08,fourier_low,211,180,0.15668617213462135,0.07700230811073186,0.07700230811073186,0.0,0.15144434984776722,0.0794908428143407,0.20331412192616358,0.2592538830087633,0.27963291089638737,0.1688867062330246,0.9594908750150353
shock_expansion_pair,2204,0.08,fourier_high,101,140,0.1854730321652692,0.05716464206317147,0.05716464206317147,0.0,0.539805427798714,0.10271143653135355,0.2184520820973528,0.3507396340462934,0.4891768286523064,0.4986627697944641,1.0725500830449164
shock_expansion_pair,2204,0.08,fourier_high,211,240,0.18099072899442842,0.05643385056241669,0.05643385056241669,0.0,0.939241177325293,0.10783576078830788,0.2594245999651588,0.44777594451612845,0.8013071632488823,0.7716208100318909,1.0329325420316309
