rig_id,block_id,method,true_aperture_radius,metadata_aperture_radius,candidate_aperture_radius,kappa,mean_validation_mse,median_effective_lambda,selected,selected_by_any_fold_score_deletion,validation_views,fold_0_validation_mse,fold_1_validation_mse,fold_2_validation_mse,fold_3_validation_mse
development_rig_b,development_rig_b:radius=0.05500,camera_delete_3,0.055,0.041,0.12,3e-06,10147.579421653556,0.0033819751611342936,False,False,1|2|4,9103.374374143319,3125.0758367664175,18214.28805405093,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_3,0.055,0.041,0.12,1e-05,3734.105809267101,0.011273250537114312,False,False,1|2|4,3390.3412397588263,1119.796770460429,6692.179417582047,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_3,0.055,0.041,0.12,3e-05,1449.501760092369,0.03381975161134293,False,False,1|2|4,1141.2068369387623,416.2000339669331,2791.0984093714114,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_3,0.055,0.041,0.12,0.0001,527.5760031992463,0.11273250537114313,False,False,1|2|4,381.679004373442,201.44820848451735,999.6007967397795,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_3,0.055,0.041,0.12,0.0003,242.2368920025956,0.3381975161134293,False,False,1|2|4,197.8433439467135,138.93748565780623,389.929846403267,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_3,0.055,0.041,0.12,0.001,134.3471504847045,1.1273250537114312,True,True,1|2|4,121.08924393273314,108.08326909501213,173.8689384263683,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_3,0.055,0.041,0.16,3e-06,11385.260447767272,0.002878948468571006,False,False,1|2|4,10444.358098140501,4450.040031532529,19261.383213628782,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_3,0.055,0.041,0.16,1e-05,4546.244445296575,0.009596494895236687,False,False,1|2|4,3547.3812281375067,1571.7510795231779,8519.60102822904,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_3,0.055,0.041,0.16,3e-05,1744.0753023393543,0.028789484685710055,False,False,1|2|4,1185.561992940803,569.0536695252697,3477.6102445519896,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_3,0.055,0.041,0.16,0.0001,607.3471772302352,0.09596494895236685,False,False,1|2|4,459.63012846886613,257.71070024915315,1104.700702972686,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_3,0.055,0.041,0.16,0.0003,267.6594446133634,0.28789484685710054,False,False,1|2|4,248.39412939236863,163.24756447738514,391.3366399703365,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_3,0.055,0.041,0.16,0.001,142.00566342188813,0.9596494895236686,False,True,1|2|4,144.22841490305632,118.02109962129424,163.76747574131386,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.0,3e-06,6079.243613611886,0.0027341283696820707,False,False,1|2|3,13132.03240451595,2654.994137962405,2450.704298357302,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.0,1e-05,2575.9198376171926,0.00911376123227357,False,False,1|2|3,6064.587985721893,798.0282787224884,865.1432484071958,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.0,3e-05,1099.1413239284236,0.027341283696820706,False,False,1|2|3,2682.4626365397453,269.96488403583396,344.9964512096911,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.0,0.0001,419.7213030842468,0.09113761232273569,False,False,1|2|3,1005.6150157006997,106.43096074843251,147.1179328036082,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.0,0.0003,187.61532870000664,0.27341283696820706,False,False,1|2|3,423.4412869257361,60.25816786342017,79.14653131086361,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.0,0.001,87.75788881569504,0.911376123227357,True,True,1|2|3,173.44077109979054,40.97700407793584,48.855891269358764,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.04,3e-06,6177.903337587828,0.00260217540754906,False,False,1|2|3,14718.951551340197,1711.2154927814004,2103.542968641886,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.04,1e-05,2716.9898499996766,0.008673918025163534,False,False,1|2|3,6717.195437294817,667.0694944226611,766.7046182815525,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.04,3e-05,1154.319239883035,0.0260217540754906,False,False,1|2|3,2868.7698814842406,234.70955543337487,359.4782827314889,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.04,0.0001,427.21265206329457,0.08673918025163534,False,False,1|2|3,1032.6114316802211,94.53545890165995,154.4910656080026,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.04,0.0003,187.8452784576984,0.260217540754906,False,False,1|2|3,425.34741588555573,60.99667503315626,77.19174445438321,
