method,rank_measurement,rank_voxel,relative_ridge,development_mean_relative_discrepancy_error,development_worst_relative_discrepancy_error
gc_biloc_ridge,8,4,1.0,0.9585863447171521,0.9676165441868096
gc_biloc_ridge,8,8,1e-06,0.9497286545824823,0.977709477589962
gc_biloc_ridge,8,8,0.0001,0.9464581120122019,0.977234157504699
gc_biloc_ridge,8,8,0.01,0.9364916450456877,0.957802856854954
gc_biloc_ridge,8,8,0.1,0.9320802152773976,0.945959945128662
gc_biloc_ridge,8,8,1.0,0.9308837160910436,0.9439322531232546
gc_biloc_ridge,8,12,1e-06,0.9492264211146507,0.9777139188511684
gc_biloc_ridge,8,12,0.0001,0.9445529097119394,0.9771047731351798
gc_biloc_ridge,8,12,0.01,0.9312115001001278,0.9526115934007008
gc_biloc_ridge,8,12,0.1,0.925156452323046,0.9429831990289665
gc_biloc_ridge,8,12,1.0,0.9233711455531436,0.9372844269712786
gc_biloc_ridge,8,16,1e-06,0.9532166280747139,0.9910730656944627
gc_biloc_ridge,8,16,0.0001,0.9474018428069063,0.9812125658527835
gc_biloc_ridge,8,16,0.01,0.9300062158661578,0.9539354483964961
gc_biloc_ridge,8,16,0.1,0.9225043253588243,0.9423775518663299
gc_biloc_ridge,8,16,1.0,0.9200850421510545,0.9363871835422626
gc_biloc_ridge,8,24,1e-06,0.9575342348560789,1.0059484071017384
gc_biloc_ridge,8,24,0.0001,0.9502248963326391,0.9835813547320311
gc_biloc_ridge,8,24,0.01,0.9299132778503169,0.9565143272033156
gc_biloc_ridge,8,24,0.1,0.9213306410289691,0.9437939672882404
gc_biloc_ridge,8,24,1.0,0.9185035582946172,0.935187745908185
gc_biloc_ridge,12,4,1e-06,0.9680921030193886,0.9856019368067508
gc_biloc_ridge,12,4,0.0001,0.966185569731739,0.9853292918331568
gc_biloc_ridge,12,4,0.01,0.9611773418710539,0.97490518066672
gc_biloc_ridge,12,4,0.1,0.9584637369428152,0.9678124853017119
gc_biloc_ridge,12,4,1.0,0.9575590395776366,0.9669293504379264
gc_biloc_ridge,12,8,1e-06,0.9488968170587854,0.9808065139125778
gc_biloc_ridge,12,8,0.0001,0.9440519556896598,0.9801635959882441
gc_biloc_ridge,12,8,0.01,0.9307663646267654,0.9551542157510056
gc_biloc_ridge,12,8,0.1,0.9252292946772224,0.9417731835097759
gc_biloc_ridge,12,8,1.0,0.9237605370900637,0.9368071214480412
gc_biloc_ridge,12,12,1e-06,0.9338886665288526,0.9791116234751756
gc_biloc_ridge,12,12,0.0001,0.9267718031349608,0.9678015607459435
gc_biloc_ridge,12,12,0.01,0.9084075438528019,0.9361961923726343
gc_biloc_ridge,12,12,0.1,0.9003441143706837,0.924951612958774
gc_biloc_ridge,12,12,1.0,0.8979983194185084,0.916356303574623
gc_biloc_ridge,12,16,1e-06,0.9361709413752957,0.9932675010361488
gc_biloc_ridge,12,16,0.0001,0.9275962634558508,0.971348708710597
gc_biloc_ridge,12,16,0.01,0.9040696452766692,0.9359480625099211
gc_biloc_ridge,12,16,0.1,0.8940753719526758,0.9211752949662811
gc_biloc_ridge,12,16,1.0,0.8909393106840584,0.9094659522327675
gc_biloc_ridge,12,24,1e-06,0.9420158846570703,1.0171680463572141
gc_biloc_ridge,12,24,0.0001,0.9312566730088885,0.9809704293311337
gc_biloc_ridge,12,24,0.01,0.9022735478547744,0.9405542552957286
gc_biloc_ridge,12,24,0.1,0.8902134734535344,0.9226734862008034
gc_biloc_ridge,12,24,1.0,0.8862736102571546,0.9071370162541658
gc_biloc_ridge,16,4,1e-06,0.9700383297409143,0.9852324325491554
gc_biloc_ridge,16,4,0.0001,0.9675226061280758,0.9849535858226399
gc_biloc_ridge,16,4,0.01,0.9610782335243616,0.9744801672739912
gc_biloc_ridge,16,4,0.1,0.9578125324555469,0.9674402826820712
gc_biloc_ridge,16,4,1.0,0.9566969706291698,0.9661564242050369
gc_biloc_ridge,16,8,1e-06,0.9517405260861925,0.9873349652479492
gc_biloc_ridge,16,8,0.0001,0.9456318678395063,0.9832545547413754
gc_biloc_ridge,16,8,0.01,0.9290305503032323,0.9555811723425809
gc_biloc_ridge,16,8,0.1,0.9223882806335673,0.9400057069228187
gc_biloc_ridge,16,8,1.0,0.9207059983225764,0.9344505404597927
gc_biloc_ridge,16,12,1e-06,0.93746693991533,0.998466566209032
gc_biloc_ridge,16,12,0.0001,0.9284592344499648,0.9718441678392321
gc_biloc_ridge,16,12,0.01,0.9049984239190558,0.9361600658356016
gc_biloc_ridge,16,12,0.1,0.8952799442559433,0.9231317385925848
gc_biloc_ridge,16,12,1.0,0.8925952412319781,0.9136072037789997
gc_biloc_ridge,16,16,1e-06,0.9315207097036847,1.0124283590574967
gc_biloc_ridge,16,16,0.0001,0.9207152591785038,0.9758615087565735
gc_biloc_ridge,16,16,0.01,0.8900722316505286,0.9317733445376599
gc_biloc_ridge,16,16,0.1,0.8773320961200456,0.9129815638191924
gc_biloc_ridge,16,16,1.0,0.8733324258619625,0.89752403187359
gc_biloc_ridge,16,24,1e-06,0.9352873357637055,1.0363149341245002
gc_biloc_ridge,16,24,0.0001,0.921821536436077,0.990805232222923
gc_biloc_ridge,16,24,0.01,0.8834565014298948,0.9360039699005831
gc_biloc_ridge,16,24,0.1,0.867354745444076,0.9119003895898676
gc_biloc_ridge,16,24,1.0,0.8620542775455474,0.8907689850332531
gc_biloc_ridge,24,4,1e-06,0.9767241176785885,1.012350183247265
gc_biloc_ridge,24,4,0.0001,0.9721602682595455,0.9957120352115858
gc_biloc_ridge,24,4,0.01,0.9611786798656006,0.9754500971287233
gc_biloc_ridge,24,4,0.1,0.9570086094457181,0.9672698834586972
gc_biloc_ridge,24,4,1.0,0.9557220960833469,0.9656992177354342
gc_biloc_ridge,24,8,1e-06,0.9638961142192503,1.0445873858899213
gc_biloc_ridge,24,8,0.0001,0.9541139344828112,1.006220692014074
gc_biloc_ridge,24,8,0.01,0.9292209335479592,0.9560385441773951
gc_biloc_ridge,24,8,0.1,0.9206569551391568,0.9403551979775822
gc_biloc_ridge,24,8,1.0,0.9185590171083332,0.9329435854766326
gc_biloc_ridge,24,12,1e-06,0.9522718694962711,1.067424601181279
gc_biloc_ridge,24,12,0.0001,0.9387291845493122,1.0156641591752729
gc_biloc_ridge,24,12,0.01,0.9046541564585815,0.9412581942306281
gc_biloc_ridge,24,12,0.1,0.8922527496961088,0.9239396783954132
gc_biloc_ridge,24,12,1.0,0.8890031779305428,0.9114624475024756
gc_biloc_ridge,24,16,1e-06,0.946926945342777,1.0944885581787833
gc_biloc_ridge,24,16,0.0001,0.930320464823,1.03266625206769
gc_biloc_ridge,24,16,0.01,0.8857092923434703,0.9339407982794069
gc_biloc_ridge,24,16,0.1,0.869386211844999,0.9104254097444963
gc_biloc_ridge,24,16,1.0,0.8645940764288743,0.8917851237418604
gc_biloc_ridge,24,24,1e-06,0.9353522131513246,1.1181876756679157
gc_biloc_ridge,24,24,0.0001,0.9142422206326547,1.0422251591441716
gc_biloc_ridge,24,24,0.01,0.8567852931242564,0.9262755636335553
gc_biloc_ridge,24,24,0.1,0.8350933672001072,0.8950299717002402
gc_biloc_ridge,24,24,1.0,0.8284867809726557,0.8689544593844764
