rig_id,method,relative_discrepancy_error,relative_operator_error,mean_probe_forward_relative_error,mean_probe_gradient_cosine
dco-rig-037,nearest_geometry,0.45304064095088675,0.0793478601361021,0.028988499761307667,0.9992999350702164
dco-rig-038,nearest_geometry,0.831034946348382,0.1339530134580705,0.05057278401770912,0.997915413293227
dco-rig-039,nearest_geometry,0.723899176009684,0.12943376007460408,0.04281667647783603,0.9988972082816778
dco-rig-040,nearest_geometry,0.6778451709283332,0.11028383038238422,0.021338906860110533,0.9985303842531467
dco-rig-041,nearest_geometry,0.6998521540088875,0.12554257586297188,0.052868069703797996,0.9982455924250938
dco-rig-030,full_matrix_geometry_ridge,0.5103828798369114,0.0897321972653292,0.017570696581065096,0.9988082845700463
dco-rig-031,full_matrix_geometry_ridge,0.5109857980108689,0.08373488704376389,0.021743840972181645,0.999120410636968
dco-rig-032,full_matrix_geometry_ridge,0.500560119204158,0.08320778721501085,0.016128323902111292,0.9995450904428791
dco-rig-033,full_matrix_geometry_ridge,0.4998554003247453,0.08401029907589798,0.027299545396583354,0.9989353114467424
dco-rig-034,full_matrix_geometry_ridge,0.6259442302497653,0.10144944778597194,0.03582817256519064,0.9982809737565331
dco-rig-035,full_matrix_geometry_ridge,0.578237518352829,0.10856492460771747,0.0419257606452536,0.9989025096155919
dco-rig-036,full_matrix_geometry_ridge,0.48038627280174384,0.08181094176274585,0.022892496981024264,0.9992691549209718
dco-rig-037,full_matrix_geometry_ridge,0.4474999525362493,0.07837743556567149,0.026059349323367283,0.9995921366075875
dco-rig-038,full_matrix_geometry_ridge,0.4956509222521106,0.079893071826499,0.033684113766344434,0.9990428366300479
dco-rig-039,full_matrix_geometry_ridge,0.4615176538648851,0.08251973100704647,0.030355999891363537,0.999397336805659
dco-rig-040,full_matrix_geometry_ridge,0.6723143327864979,0.10938397589987574,0.04779502918658732,0.9986888018902875
dco-rig-041,full_matrix_geometry_ridge,0.4770349813718067,0.08557264558680046,0.04028886008620973,0.9992482744392363
dco-rig-030,gc_biloc_ridge,0.8254971457247537,0.1451335372883382,0.05061276985693244,0.998150642142467
dco-rig-031,gc_biloc_ridge,0.8489327034550266,0.13911401120790393,0.0535852584885158,0.9979409844664969
dco-rig-032,gc_biloc_ridge,0.8505512619731179,0.1413865901547241,0.04952521130374251,0.9982061291739114
dco-rig-033,gc_biloc_ridge,0.8166465522070996,0.13725313569813805,0.06974526481918195,0.9974096169025759
dco-rig-034,gc_biloc_ridge,0.8689544593844764,0.1408351507937651,0.045778854970831374,0.9965489728831837
dco-rig-035,gc_biloc_ridge,0.8461220469411207,0.158860629619401,0.06698887414557042,0.9980581506401314
dco-rig-036,gc_biloc_ridge,0.8231904674202202,0.14019132353008965,0.05977775084246953,0.9974430776594231
dco-rig-037,gc_biloc_ridge,0.8240919387845237,0.14433568644242756,0.051444319255227335,0.9984614709303745
dco-rig-038,gc_biloc_ridge,0.7967198516874062,0.1284218256817508,0.054275142000189944,0.9975561480334273
dco-rig-039,gc_biloc_ridge,0.7982602868068561,0.14272958702505978,0.06790457651575758,0.9976929847357661
dco-rig-040,gc_biloc_ridge,0.8596609438507755,0.1398648331272436,0.04906954730011076,0.997895000659373
dco-rig-041,gc_biloc_ridge,0.7832137134364918,0.14049634122405233,0.07652800274039963,0.9975236014416409
dco-rig-030,oracle_shared_subspace,0.7983102437995276,0.1403537130760388,0.05130579970758681,0.9983686557495169
dco-rig-031,oracle_shared_subspace,0.8270127397111077,0.13552200200677658,0.05380754628101276,0.9981890727504177
dco-rig-032,oracle_shared_subspace,0.8276186945948959,0.13757452420401514,0.049672992226123334,0.9982105722857971
dco-rig-033,oracle_shared_subspace,0.7982348359675671,0.1341586932118134,0.0687319147755497,0.9978242824840078
dco-rig-034,oracle_shared_subspace,0.8350139815979359,0.1353342729796783,0.04475475389675214,0.9976726401602919
dco-rig-035,oracle_shared_subspace,0.8164756808510205,0.15329448180416944,0.06469183712587727,0.9982170349985071
dco-rig-036,oracle_shared_subspace,0.8044375208030279,0.13699765145734047,0.06012299825926996,0.9976527556093324
dco-rig-037,oracle_shared_subspace,0.8105800859102132,0.14196915126845275,0.05136702730787148,0.9985139519678375
dco-rig-038,oracle_shared_subspace,0.7819223930913333,0.1260366502096786,0.05363543303187528,0.9977719537397005
dco-rig-039,oracle_shared_subspace,0.78013937386462,0.13948955308687114,0.06673698107278057,0.9979507388035227
dco-rig-040,oracle_shared_subspace,0.8182710764013204,0.13313079810403375,0.04803681727903168,0.9983432422818771
