phase,seed,step,batch_data_loss,regularizer,total_loss,selection_relative_aperture_error,learning_rate
internal_selection,261803,1500.0,0.2789698839187622,5.469881898534368e-07,0.2789704203605652,0.832291307204265,0.0010416424485310794
internal_selection,261803,1750.0,0.276933878660202,5.78276228679897e-07,0.2769344449043274,0.8378454326607747,0.0009023545640969738
internal_selection,261803,2000.0,0.26981785893440247,6.038449100742582e-07,0.2698184549808502,0.8517079997154807,0.0007574999999999988
internal_selection,261803,2250.0,0.26233989000320435,6.25155166744662e-07,0.2623405158519745,0.8667290242139664,0.0006126454359030242
internal_selection,261803,2500.0,0.2621074914932251,6.423275635825121e-07,0.2621081471443176,0.8702763736222539,0.0004733575514689207
internal_selection,261803,2750.0,0.25398290157318115,6.552994591402239e-07,0.2539835572242737,0.8748872448716867,0.0003449891019829452
internal_selection,261803,3000.0,0.2506551146507263,6.64569256514369e-07,0.25065577030181885,0.8815003450494484,0.00023247321496898778
internal_selection,261803,3250.0,0.2552764117717743,6.706522412969207e-07,0.2552770972251892,0.8824805243006012,0.00014013381286535965
internal_selection,261803,3500.0,0.23674310743808746,6.742054665664909e-07,0.2367437779903412,0.8829368727614264,7.151944711036967e-05
internal_selection,261803,3750.0,0.2443244457244873,6.75994158427784e-07,0.24432511627674103,0.8839044441394613,2.926692930060159e-05
internal_selection,261803,4000.0,0.23142099380493164,6.767968443455175e-07,0.23142166435718536,0.8845996163561823,1.5e-05
