rig_id,method,relative_aperture_residual_error,relative_operator_error,mean_probe_forward_relative_error,mean_probe_gradient_cosine,worst_probe_gradient_cosine
dco-rig-039,stable_linear_ray_kernel,0.6486620445700114,0.08756336636288464,0.03456297749283191,0.9990885296513494,0.9986898681121497
dco-rig-040,stable_linear_ray_kernel,0.8536542064764632,0.06577451717351011,0.024155556457109265,0.9994980492995964,0.999218687862998
dco-rig-041,stable_linear_ray_kernel,0.5515674176649343,0.08728042591564868,0.03970045710691882,0.9988673006867297,0.998687937146804
dco-rig-030,hypernetwork_ensemble,0.7665488109120323,0.06435882175539062,0.020453563198824205,0.9996863528044848,0.99955811652057
dco-rig-031,hypernetwork_ensemble,0.7766787166117757,0.07371595695130094,0.028516519306439732,0.9993842144862776,0.9991839132235693
dco-rig-032,hypernetwork_ensemble,0.7495297911809887,0.0711880464273831,0.01992806818517209,0.999151087603616,0.9990059618191137
dco-rig-033,hypernetwork_ensemble,0.6043842997186328,0.0765778704364218,0.02722442529668455,0.9995166321953884,0.9989666440536134
dco-rig-034,hypernetwork_ensemble,1.079074185189079,0.05775558322196653,0.02475953410757171,0.9996483928324751,0.9993383724543821
dco-rig-035,hypernetwork_ensemble,0.8833114727587447,0.07844688422329973,0.024562961989196205,0.9994065893861459,0.9990379490965139
dco-rig-036,hypernetwork_ensemble,0.5591070321096978,0.07729912358156975,0.03584878403411886,0.9992800550176081,0.9989759968318307
dco-rig-037,hypernetwork_ensemble,0.8862882829000294,0.065342977171258,0.026236632617596834,0.999664499407785,0.9995460503359134
dco-rig-038,hypernetwork_ensemble,0.6877195948735583,0.06353998704434546,0.025937405121181947,0.999519647789006,0.999375084041428
dco-rig-039,hypernetwork_ensemble,0.612805398118614,0.08272305129273216,0.031876819410848384,0.9992231848550044,0.9987392555129219
dco-rig-040,hypernetwork_ensemble,0.8394343147283336,0.0646788668423844,0.0214210841614934,0.999487437030069,0.9993017444918854
dco-rig-041,hypernetwork_ensemble,0.537447129901729,0.08504602139762699,0.036108013421450924,0.9990635899206664,0.9987662161782282
dco-rig-030,hypernetwork_seed_261801,0.7688613491670427,0.06455298060768819,0.021095409255779483,0.999675941778289,0.9995636562361093
dco-rig-031,hypernetwork_seed_261801,0.7756593089511982,0.07361920315901115,0.029126538241958544,0.9993626648934989,0.9991744650723703
dco-rig-032,hypernetwork_seed_261801,0.7479825667517508,0.07104109578472936,0.01874474044591947,0.9991483569602863,0.998934145207714
dco-rig-033,hypernetwork_seed_261801,0.6092987946745626,0.07720055629733982,0.028025384894819316,0.9994641748055201,0.9988042489903015
dco-rig-034,hypernetwork_seed_261801,1.1173157452878486,0.05980239671925661,0.027817080410146022,0.9995971550755984,0.999266037977709
dco-rig-035,hypernetwork_seed_261801,0.903437648722311,0.08023428973580898,0.02565040091035935,0.9994144239136278,0.9990846163982063
dco-rig-036,hypernetwork_seed_261801,0.5563602141975249,0.07691936334774128,0.035911558445660324,0.9993010886880371,0.9989905197071215
dco-rig-037,hypernetwork_seed_261801,0.8996788921420928,0.06633022058956244,0.02664101643213681,0.9996436744978665,0.9995202714699639
dco-rig-038,hypernetwork_seed_261801,0.6886655620165006,0.06362738711329069,0.026064572844663087,0.999515001971135,0.999360888490031
dco-rig-039,hypernetwork_seed_261801,0.6111647265253177,0.08250157582795418,0.03348155608364119,0.9991420700978113,0.9985415278678986
dco-rig-040,hypernetwork_seed_261801,0.8503828555780301,0.06552245782182284,0.02020060369406748,0.9994814576369221,0.9992692761966224
dco-rig-041,hypernetwork_seed_261801,0.5422658747191126,0.08580854305240601,0.03753952545110277,0.9989930076681327,0.9986295708827336
dco-rig-030,hypernetwork_seed_261802,0.7676653352075093,0.06445256423740253,0.020663149393397338,0.9996832356054972,0.999558051122371
dco-rig-031,hypernetwork_seed_261802,0.7791849401304398,0.07395382707836988,0.028482117524592107,0.9993876792806969,0.9991790494169019
dco-rig-032,hypernetwork_seed_261802,0.7631477661182982,0.07248144002359579,0.02070261544872846,0.9991135501817515,0.9989744973694793
