case_id,split,family,base_seed,geometry_cluster_id,observation_rms,solve_forward_calls,solve_adjoint_calls,evaluator_forward_calls,projection_closure_relative_l2,oracle,status,primal_objective,dual_objective,signed_primal_dual_gap,relative_primal_dual_gap,primal_residual,dual_residual,iterations,solve_seconds,weight_sum_error,minimum_weight,maximum_ray_violation,maximum_ray_violation_over_observation_rms,violating_ray_count,active_ray_count,minimum_soc_ray_scale,maximum_soc_ray_scale,active_weight_count,nontrivial_mixture,truth_conditioned,deployable
f448cb914cd5e33e69d8,development,two_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,0.2813969871505201,12,12,1,1.5424581390108948e-16,unconstrained,Solved,0.28877737530267555,0.28877737529347175,9.203804385293779e-12,9.203804385293779e-12,1.103793582248423e-14,1.3015881632409794e-14,9,3.75e-05,5.551115123125783e-16,2.7688440648394295e-10,,,,,,,1,False,True,False
f448cb914cd5e33e69d8,development,two_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,0.2813969871505201,12,12,1,1.5424581390108948e-16,tail_safe,Solved,0.28877737529461667,0.2887773752924854,2.1312396292216818e-12,2.1312396292216818e-12,6.318287522237721e-15,8.266221171016636e-14,9,0.000552457,0.0,2.9807667768662473e-12,-0.001325890971511954,-0.0047118165156570455,0,0,0.003355029129526355,0.08889455859543866,1,False,True,False
d8e2b6e94e3eef6067ed,development,smooth_no_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,0.48812220895319003,12,12,1,1.2819133949877623e-15,unconstrained,Solved,0.26877404045090514,0.2687740404433938,7.511324895403959e-12,7.511324895403959e-12,2.1208938642185303e-16,1.0175178162877327e-14,10,3.7124e-05,2.220446049250313e-16,6.27905191666966e-10,,,,,,,2,True,True,False
d8e2b6e94e3eef6067ed,development,smooth_no_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,0.48812220895319003,12,12,1,1.2819133949877623e-15,tail_safe,Solved,0.2689734505504913,0.2689734504564708,9.40205135968597e-11,9.40205135968597e-11,1.4969656575389068e-13,3.709398265327542e-12,11,0.000646248,1.3322676295501878e-15,1.0735136271231812e-09,-1.1720565490369594e-11,-2.401153906826963e-11,0,2,0.008535754782992528,0.15935481841943036,4,True,True,False
2f49c86e3eb06a461f57,development,single_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,0.6289006331657865,12,12,1,3.6401052143651544e-16,unconstrained,Solved,0.27351091562539076,0.2735109156060148,1.937594529266562e-11,1.937594529266562e-11,6.443002852514891e-15,8.497862654185789e-15,9,3.8042e-05,9.992007221626409e-16,2.260020916009241e-10,,,,,,,1,False,True,False
2f49c86e3eb06a461f57,development,single_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,0.6289006331657865,12,12,1,3.6401052143651544e-16,tail_safe,Solved,0.2753821279830498,0.2753821279619898,2.1059987087568288e-11,2.1059987087568288e-11,6.059002390762024e-14,9.543681867449463e-13,10,0.000572666,4.440892098500626e-16,5.435562794105551e-12,-2.1083829127022113e-14,-3.35248972812914e-14,0,2,0.009802224668908215,0.4085092013145419,3,True,True,False
a0219b1a232a46da5695,development,two_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,0.24270161528563292,12,12,1,5.1693741414323506e-12,unconstrained,Solved,0.30897768080925647,0.3089776808082062,1.050270981295398e-12,1.050270981295398e-12,7.724176477516344e-15,8.412883680602545e-15,9,3.4083e-05,1.1102230246251565e-16,1.0000992396540109e-11,,,,,,,2,True,True,False
a0219b1a232a46da5695,development,two_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,0.24270161528563292,12,12,1,5.1693741414323506e-12,tail_safe,AlmostSolved,0.30979064455708594,0.3097906445386521,1.8433810033968712e-11,1.8433810033968712e-11,1.441667243135695e-09,1.3850302331503435e-11,17,0.001040918,5.1527671018902765e-12,2.4044419246378537e-12,8.149884846847533e-13,3.3579854164777687e-12,0,108,0.0016848258402787978,0.056973701183503395,1,False,True,False
1b6f07d0df0e52b58abb,ood,smooth_no_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,0.538444059809292,12,12,1,2.994034117760352e-16,unconstrained,Solved,0.2705702573815849,0.27057025737427526,7.3096528829808e-12,7.3096528829808e-12,4.1841201500064594e-16,3.769136527314904e-14,10,3.7209e-05,4.440892098500626e-16,3.136418460895692e-09,,,,,,,4,True,True,False
1b6f07d0df0e52b58abb,ood,smooth_no_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,0.538444059809292,12,12,1,2.994034117760352e-16,tail_safe,Solved,0.270637148589592,0.2706371485282745,6.131750662774493e-11,6.131750662774493e-11,9.443484024962691e-14,3.005371696771301e-12,11,0.000634958,2.220446049250313e-16,1.8543777962536091e-09,-2.5102859027570368e-11,-4.662110867461587e-11,0,3,0.007298393839152939,0.15441974314838078,6,True,True,False
