stratum,rig,K,method,hidden_action_relative_l2,gradient_cosine_median,gradient_relative_l2_median,query_count,activation,dot_defect_max
out_of_class,1,8,channel_gate,0.12600093327691678,0.9716280131294766,0.240162639252518,8,,
out_of_class,1,8,full_srco,0.11988302420156215,0.9722750707133074,0.2341243397821252,8,,
out_of_class,1,8,df_gated_srco,0.11988340617959967,0.9722741316931978,0.23412799190351885,8,0.9997061150821043,1.4113637839390602e-13
out_of_class,1,16,nominal,0.15940439759162986,0.9375111438450173,0.3661151482909111,16,,
out_of_class,1,16,secant,0.14272265733427517,0.9472136751024247,0.3456017568827893,16,,
out_of_class,1,16,channel_gate,0.12522567491969666,0.9660452517503274,0.26159206932019297,16,,
out_of_class,1,16,full_srco,0.11434682302750893,0.9682409894355668,0.25887683927352767,16,,
out_of_class,1,16,df_gated_srco,0.11434748048941125,0.9682473182879829,0.25886202673144343,16,0.9996527042861761,2.2334358711807392e-15
out_of_class,1,32,nominal,0.15940439759162986,0.9367061537255922,0.3769836789170811,32,,
out_of_class,1,32,secant,0.11606304715450741,0.9597971943352097,0.29281996372630203,32,,
out_of_class,1,32,channel_gate,0.12368428681319077,0.9668914959381185,0.2596470563953846,32,,
out_of_class,1,32,full_srco,0.09101449548562487,0.9798237651795567,0.20476097063984167,32,,
out_of_class,1,32,df_gated_srco,0.09101569569319902,0.9798163807456521,0.20479683521676065,32,0.9997153537195341,5.3597340998253904e-15
out_of_class,2,4,nominal,0.16618551026254394,0.9400085274450666,0.35073608413117086,4,,
out_of_class,2,4,secant,0.15807493090855257,0.9420943755272468,0.3490629421661683,4,,
out_of_class,2,4,channel_gate,0.12806617485680666,0.9735778633977974,0.23225426316448577,4,,
out_of_class,2,4,full_srco,0.12206052755814267,0.9721455956678883,0.2423166101343544,4,,
out_of_class,2,4,df_gated_srco,0.12206077937223907,0.9721481425630798,0.24230900733555166,4,0.9997497105219184,4.9529341673943954e-15
out_of_class,2,8,nominal,0.16618551026254394,0.938318349617034,0.3610031186524879,8,,
out_of_class,2,8,secant,0.1553195714444877,0.9420322456186414,0.3405859257997287,8,,
out_of_class,2,8,channel_gate,0.12593368467550184,0.9707203208243146,0.24689306516702636,8,,
out_of_class,2,8,full_srco,0.11847412937994743,0.9655544912922747,0.2638102100459202,8,,
out_of_class,2,8,df_gated_srco,0.11847411240630405,0.9655542182730064,0.26383142957859174,8,0.999677589406149,2.5808421172382424e-14
out_of_class,2,16,nominal,0.16618551026254394,0.9447483527810656,0.35300373949542185,16,,
out_of_class,2,16,secant,0.14134036097262787,0.9580571775337098,0.30269738254593354,16,,
out_of_class,2,16,channel_gate,0.12499415403049606,0.9686009642810968,0.2530531041783538,16,,
out_of_class,2,16,full_srco,0.10568326134087268,0.9754987260452115,0.22395892814044102,16,,
out_of_class,2,16,df_gated_srco,0.10568357855589273,0.9754971081521658,0.2239516499207458,16,0.9997141326375726,2.985304151481562e-14
out_of_class,2,32,nominal,0.16618551026254394,0.9302278501354264,0.3782020505523022,32,,
out_of_class,2,32,secant,0.11662348285230582,0.9617996897244334,0.2859263960606438,32,,
out_of_class,2,32,channel_gate,0.12454618963201876,0.9686315059531793,0.250597285255686,32,,
out_of_class,2,32,full_srco,0.08813129133082985,0.9766371491090486,0.22523346325413296,32,,
out_of_class,2,32,df_gated_srco,0.08813246861174936,0.9766412391280477,0.22521368382863347,32,0.9996852585525583,9.797441213862205e-15
out_of_class,3,4,nominal,0.1570316117685742,0.9584585607018655,0.29744457326190343,4,,
out_of_class,3,4,secant,0.15254541406998812,0.9627263090123448,0.27173068041522774,4,,
out_of_class,3,4,channel_gate,0.1257725602710673,0.9748763476734543,0.22874133419377463,4,,
out_of_class,3,4,full_srco,0.12276189448455088,0.976593364588944,0.21963641356893454,4,,
out_of_class,3,4,df_gated_srco,0.12276152024752371,0.9765942173523481,0.21962936737009947,4,0.9997882964911067,3.4582984200801623e-14
