scenario,method,rig_id,z,true_scale,frame_count,hard_quartile,coverage,radius_proxy,calibration_threshold,predicted_scale
hidden_scale,equal_rig,hidden_scale:evaluation:0267,0.13372050193921775,1.3310303787543736,120,False,0.9833333333333333,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0268,0.958454814892056,0.7180074861396162,152,False,1.0,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0269,-0.13629200663633215,3.441075517037232,77,True,0.5454545454545454,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0270,2.3409694549821305,5.476676356114681,62,True,0.3709677419354839,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0271,0.9486383346181891,0.30615300249261257,191,False,1.0,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0272,-1.5195659379537407,0.5886306851730276,162,False,1.0,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0273,-1.6064824977062944,1.4424890731947404,116,False,0.9741379310344828,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0274,0.0943463030579134,0.4674486783541843,173,False,1.0,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0275,0.3747280436295828,0.9770941311328136,136,False,1.0,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0276,0.7935694971225142,1.7319666730443475,107,False,0.9158878504672897,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0277,-1.1230001421586175,1.0028615491479655,135,False,1.0,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0278,-1.2711921070604526,2.24981143382929,95,True,0.8947368421052632,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0279,1.1339768571752946,1.1946900392046982,126,False,1.0,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0280,-0.5287288774573297,1.3485519841727536,119,False,0.9747899159663865,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0281,-0.6702567261831527,0.3034087087359052,191,False,1.0,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0282,-0.6164189429126795,0.5689150101271166,164,False,1.0,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0283,-1.0485287414863913,0.992393335773449,135,False,1.0,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0284,-0.29749307327436386,0.9778257177779255,136,False,1.0,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0285,-0.8198248234430867,0.6538661948128995,157,False,1.0,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0286,0.2987759288620576,2.4975263209304077,90,True,0.8222222222222222,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0287,0.8450590903118812,0.7504056258250238,150,False,1.0,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0288,-0.11631850243372757,0.26344552795167453,196,False,1.0,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0289,-0.7078195541623127,1.1529667856753185,128,False,1.0,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0290,-1.475594105920097,1.7120618911088186,107,False,0.9439252336448598,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0291,-0.21201427343383258,3.9130540238985705,73,True,0.5753424657534246,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0292,1.2934360253707746,3.29525145488272,79,True,0.620253164556962,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0293,1.3556085311062096,1.2832001179142467,122,False,0.9918032786885246,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0294,0.733250800404765,2.113216847183388,97,True,0.8865979381443299,4.313686480695308,18.60789105373347,1.0
hidden_scale,equal_rig,hidden_scale:evaluation:0295,1.2498423045841947,2.6250337382409485,88,True,0.7272727272727273,4.313686480695308,18.60789105373347,1.0
