seed,split,sample_index,geometry_id,active_views,acceptance_gate,descent_gate,saturation_gate,candidate_alpha,correction_ratio,candidate_bound,fallback_bound,certificate_violation,candidate_relative_l2,candidate_gradient_relative_l2,candidate_front_f1,candidate_whitened_residual_rms,fixed_pg_relative_l2,fixed_pg_gradient_relative_l2,fixed_pg_front_f1,fixed_pg_whitened_residual_rms,projected_bb_relative_l2,projected_bb_gradient_relative_l2,projected_bb_front_f1,projected_bb_whitened_residual_rms,fista_relative_l2,fista_gradient_relative_l2,fista_front_f1,fista_whitened_residual_rms,gain_vs_fixed_pg_percent,gain_vs_projected_bb_percent,gain_vs_fista_percent
101,independent_select,5,independent_select_63fef2ec8e_1110101,5,1.0,1.0,1.0,0.7966364622116089,0.48642075061798096,-7.1686248779296875,-8.008056640625,False,0.4581795036792755,0.5722983479499817,0.8999999761581421,1.957352876663208,0.5387895107269287,0.6445800065994263,0.8000000715255737,2.5640578269958496,0.45730432868003845,0.5696912407875061,0.8000000715255737,1.8413152694702148,0.5026813745498657,0.6143223643302917,0.8000000715255737,2.2252423763275146,14.96131706237793,-0.1913769394159317,8.852898597717285
101,independent_select,6,independent_select_63fef2ec8e_0001101,3,1.0,1.0,0.0,0.8204559683799744,0.9153173565864563,-3.4671630859375,-18.503067016601562,False,0.513295590877533,0.6777203679084778,0.6499999761581421,2.2950310707092285,0.538562536239624,0.7010896801948547,0.6499999761581421,2.6968610286712646,0.5075722336769104,0.6722862720489502,0.699999988079071,2.1636505126953125,0.5243571996688843,0.6895474791526794,0.6499999761581421,2.385956048965454,4.691552639007568,-1.1275945901870728,2.109555959701538
101,independent_select,7,independent_select_63fef2ec8e_1101001,4,1.0,1.0,0.0,0.8579196929931641,0.7233881950378418,-13.486083984375,-27.774017333984375,False,0.5525762438774109,0.7054243087768555,0.699999988079071,2.4832825660705566,0.6104030609130859,0.7523324489593506,0.75,3.429227352142334,0.559293270111084,0.710903525352478,0.699999988079071,2.4721264839172363,0.5856420397758484,0.7338756918907166,0.699999988079071,2.9122931957244873,9.473546028137207,1.2009845972061157,5.646076202392578
101,independent_select,8,independent_select_63fef2ec8e_1101110,5,1.0,1.0,0.0,0.6890791058540344,0.6752059459686279,-4.838966369628906,-10.681632995605469,False,0.3144203722476959,0.4592425525188446,0.8999999761581421,1.4879482984542847,0.39076879620552063,0.5423181653022766,0.8000000715255737,1.9000779390335083,0.31601232290267944,0.4580613076686859,0.8500000238418579,1.4861674308776855,0.35440874099731445,0.5041384100914001,0.8500000238418579,1.6675339937210083,19.53800392150879,0.5037621855735779,11.283122062683105
101,independent_select,9,independent_select_63fef2ec8e_0100101,3,1.0,1.0,1.0,0.9702504277229309,0.47077077627182007,-57.1387939453125,-135.99029541015625,False,0.6270597577095032,0.7295356392860413,0.699999988079071,5.032103061676025,0.7019912004470825,0.7840294241905212,0.6499999761581421,7.396755218505859,0.6324640512466431,0.7347592115402222,0.699999988079071,4.974782943725586,0.6710864305496216,0.7626028060913086,0.6499999761581421,6.32789421081543,10.674128532409668,0.8544823527336121,6.560506820678711
101,independent_select,10,independent_select_63fef2ec8e_0011101,4,1.0,1.0,0.0,0.9240440130233765,0.8466516733169556,-3.7157821655273438,-9.839790344238281,False,0.24771055579185486,0.3655421733856201,0.6499999761581421,1.3491673469543457,0.31485918164253235,0.4363863170146942,0.699999988079071,1.8061857223510742,0.24549227952957153,0.3632923662662506,0.6499999761581421,1.3209319114685059,0.2779431939125061,0.4002751410007477,0.699999988079071,1.529401183128357,21.32655906677246,-0.9036032557487488,10.877272605895996
101,independent_select,11,independent_select_63fef2ec8e_0111110,5,1.0,1.0,0.0,0.604497492313385,0.716028094291687,-1.2676143646240234,-2.8397750854492188,False,0.21813231706619263,0.37403732538223267,0.8500000238418579,1.0419459342956543,0.2657284736633301,0.4435160160064697,0.8000000715255737,1.2980636358261108,0.21381601691246033,0.36590880155563354,0.8500000238418579,1.0223445892333984,0.24040326476097107,0.4080524742603302,0.8500000238418579,1.1329666376113892,17.911577224731445,-2.018698215484619,9.263995170593262
101,independent_select,12,independent_select_63fef2ec8e_0011001,3,1.0,1.0,1.0,0.8048936128616333,0.629718542098999,-15.691192626953125,-31.030792236328125,False,0.44009459018707275,0.615308940410614,0.8999999761581421,2.818969964981079,0.4980827271938324,0.6620414853096008,0.8500000238418579,3.9437992572784424,0.4399617910385132,0.6143860816955566,0.8999999761581421,2.7432332038879395,0.4693063199520111,0.6404101848602295,0.8999999761581421,3.2933506965637207,11.6422700881958,-0.030184246599674225,6.2244486808776855
101,independent_select,13,independent_select_63fef2ec8e_1100110,4,1.0,1.0,1.0,0.8683173656463623,0.5964600443840027,-14.34979248046875,-26.94622802734375,False,0.6536279916763306,0.7506187558174133,0.6499999761581421,3.1428394317626953,0.7042393088340759,0.7942653894424438,0.550000011920929,4.128559112548828,0.6572362780570984,0.7532855868339539,0.6000000238418579,3.028940200805664,0.6819232106208801,0.7755205631256104,0.6499999761581421,3.589179277420044,7.18666410446167,0.5490090250968933,4.149326324462891
101,independent_select,14,independent_select_63fef2ec8e_1101011,5,1.0,1.0,1.0,0.971427321434021,0.5800068378448486,-14.63690185546875,-30.678192138671875,False,0.31293365359306335,0.3670569956302643,1.0,1.8584977388381958,0.4505475163459778,0.5142972469329834,0.8999999761581421,2.8424839973449707,0.319538950920105,0.3748963177204132,0.949999988079071,1.8431726694107056,0.3924756944179535,0.4541464149951935,0.949999988079071,2.3822524547576904,30.5436954498291,2.067133665084839,20.266742706298828
