candidate_id,partition,feature_set,basis_rank,target_l2,ridge_alpha,residual_shrinkage,geometry_cluster_count,case_count,mean_field_gain_over_low_cgls24,mean_h1_gain_over_low_cgls24,mean_field_gain_over_component_damping,mean_field_gain_over_high_order_teacher_b0p75,worst_case_field_gain_over_low_cgls24,worst_geometry_field_gain_over_low_cgls24,worst_case_field_gain_over_component_damping,case_harm_over_one_percent_rate_vs_low,case_harm_over_one_percent_rate_vs_component_damping,takeover_rate,fallback_rate,evaluator_mean_adjoint_residual_gain_over_component_damping,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,evaluator_only
adjlr_summary_r1_tl21em04_a1e02_s1p0,calibration,summary,1,0.0001,100.0,1.0,4,8,0.02765959984554861,0.0947486143484264,0.005174674202902574,,0.010098331316770515,0.021050211065555546,-0.0004665586101550989,0.0,0.0,0.875,0.125,0.24269487846651325,25,24,0,0,False
adjlr_camera_r1_tl21em04_a1em02_s0p25,calibration,camera,1,0.0001,0.01,0.25,4,8,0.025298149333831635,0.10733737229705144,0.0027474627314659633,,0.008643036244765812,0.019400516874563734,0.0,0.0,0.0,0.875,0.125,0.10208387694178633,25,24,0,0,False
adjlr_camera_r1_tl21em04_a1em02_s0p5,calibration,camera,1,0.0001,0.01,0.5,4,8,0.026967939418767073,0.10030666848704486,0.004462203459589101,,0.009297695257211469,0.02144300364406526,0.0,0.0,0.0,0.875,0.125,0.18117993221626705,25,24,0,0,False
adjlr_camera_r1_tl21em04_a1em02_s0p75,calibration,camera,1,0.0001,0.01,0.75,4,8,0.027623594784990435,0.09244641274691687,0.005131953897557093,,0.009745245356058918,0.022515338996506484,0.0,0.0,0.0,0.875,0.125,0.22239085880804899,25,24,0,0,False
adjlr_camera_r1_tl21em04_a1em02_s1p0,calibration,camera,1,0.0001,0.01,1.0,4,8,0.027254113087620227,0.0837934535038218,0.00474559255314165,,0.009985650698315363,0.022590770352871603,0.0,0.0,0.0,0.875,0.125,0.21950325500850704,25,24,0,0,False
adjlr_camera_r1_tl21em04_a1e00_s0p25,calibration,camera,1,0.0001,1.0,0.25,4,8,0.025109140588166365,0.10806697174464952,0.0025517430196992236,,0.008549172980933273,0.019169013507344235,0.0,0.0,0.0,0.875,0.125,0.0976800834358671,25,24,0,0,False
adjlr_camera_r1_tl21em04_a1e00_s0p5,calibration,camera,1,0.0001,1.0,0.5,4,8,0.02687591042149809,0.10200804046537262,0.0043668300139638044,,0.009178231725898156,0.021125540540200993,0.0,0.0,0.0,0.875,0.125,0.18054892582590393,25,24,0,0,False
adjlr_camera_r1_tl21em04_a1e00_s0p75,calibration,camera,1,0.0001,1.0,0.75,4,8,0.027916197838921644,0.09532969934712227,0.005434754457673635,,0.009667515992312192,0.02225150809006826,0.0,0.0,0.0,0.875,0.125,0.2416805399817642,25,24,0,0,False
adjlr_camera_r1_tl21em04_a1e00_s1p0,calibration,camera,1,0.0001,1.0,1.0,4,8,0.028217018427791146,0.08805785688038395,0.005742338756902471,,0.010015976746821642,0.02252493029037589,0.0,0.0,0.0,0.875,0.125,0.27095529714828437,25,24,0,0,False
adjlr_camera_r1_tl21em04_a1e02_s0p25,calibration,camera,1,0.0001,100.0,0.25,4,8,0.024742082979983246,0.10885501790286467,0.00217524890897966,,0.00860581624061374,0.01849416590266878,0.0,0.0,0.0,0.875,0.125,0.08463542276226738,25,24,0,0,False
adjlr_camera_r1_tl21em04_a1e02_s0p5,calibration,camera,1,0.0001,100.0,0.5,4,8,0.026378025146147496,0.10380439350227304,0.0038564111223804015,,0.009294296597223917,0.02014268636878619,0.0,0.0,0.0,0.875,0.125,0.16110096069655938,25,24,0,0,False
adjlr_camera_r1_tl21em04_a1e02_s0p75,calibration,camera,1,0.0001,100.0,0.75,4,8,0.027527614051990834,0.09832222468766645,0.005037041380117943,,0.009846838544981362,0.021324048368660975,0.0,0.0,0.0,0.875,0.125,0.2257970872984557,25,24,0,0,False
adjlr_camera_r1_tl21em04_a1e02_s1p0,calibration,camera,1,0.0001,100.0,1.0,4,8,0.028184477800530933,0.0924222137320574,0.005710616840795393,,0.010263120609311227,0.0220444515088708,0.0,0.0,0.0,0.875,0.125,0.27265986282530785,25,24,0,0,False
adjlr_camera_geometry_r1_tl21em04_a1em02_s0p25,calibration,camera_geometry,1,0.0001,0.01,0.25,4,8,0.025045600434189227,0.10840551830086001,0.0024883297248289027,,0.00860200350931517,0.01879035849165367,0.0,0.0,0.0,0.875,0.125,0.09439964010202995,25,24,0,0,False
adjlr_camera_geometry_r1_tl21em04_a1em02_s0p5,calibration,camera_geometry,1,0.0001,0.01,0.5,4,8,0.026781856536531604,0.10272459249282664,0.004272544342933421,,0.009288333083333211,0.020610870807759474,0.0,0.0,0.0,0.875,0.125,0.17578126774222497,25,24,0,0,False
adjlr_camera_geometry_r1_tl21em04_a1em02_s0p75,calibration,camera_geometry,1,0.0001,0.01,0.75,4,8,0.02782108610659595,0.09642872742177645,0.0053384269823397446,,0.009840332692697906,0.02183960724958578,0.0,0.0,0.0,0.875,0.125,0.23730827175533614,25,24,0,0,False
adjlr_camera_geometry_r1_tl21em04_a1em02_s1p0,calibration,camera_geometry,1,0.0001,0.01,1.0,4,8,0.028155653281738358,0.08956074260438633,0.005678194708703496,,0.010257592630253276,0.02247497066970089,0.0,0.0,0.0,0.875,0.125,0.27013841483912376,25,24,0,0,False
adjlr_camera_geometry_r1_tl21em04_a1e00_s0p25,calibration,camera_geometry,1,0.0001,1.0,0.25,4,8,0.025075008280179,0.10825422189371064,0.0025178847830389234,,0.008542825093475592,0.018928081464988034,0.0,0.0,0.0,0.875,0.125,0.09622468267187848,25,24,0,0,False
adjlr_camera_geometry_r1_tl21em04_a1e00_s0p5,calibration,camera_geometry,1,0.0001,1.0,0.5,4,8,0.026821590675682724,0.10240393891673708,0.004312639297959192,,0.009162837983639815,0.0207903456398994,0.0,0.0,0.0,0.875,0.125,0.1782155073061889,25,24,0,0,False
adjlr_camera_geometry_r1_tl21em04_a1e00_s0p75,calibration,camera_geometry,1,0.0001,1.0,0.75,4,8,0.027852422495059356,0.09592937776124323,0.005370423097082452,,0.009640268093270121,0.02196503859205401,0.0,0.0,0.0,0.875,0.125,0.2389174930770397,25,24,0,0,False
adjlr_camera_geometry_r1_tl21em04_a1e00_s1p0,calibration,camera_geometry,1,0.0001,1.0,1.0,4,8,0.028156867702492108,0.08887275859749555,0.005680425040713644,,0.00997404369132926,0.02243967878487596,0.0,0.0,0.0,0.875,0.125,0.2690798893127482,25,24,0,0,False
adjlr_camera_geometry_r1_tl21em04_a1e02_s0p25,calibration,camera_geometry,1,0.0001,100.0,0.25,4,8,0.024776360279319995,0.1087888142210196,0.0022107290231623278,,0.00857858945088652,0.018500591600729754,0.0,0.0,0.0,0.875,0.125,0.08672552498405837,25,24,0,0,False
adjlr_camera_geometry_r1_tl21em04_a1e02_s0p5,calibration,camera_geometry,1,0.0001,100.0,0.5,4,8,0.026427706605289078,0.10366111875723284,0.003907924624087691,,0.009244501894225099,0.02013862183485854,0.0,0.0,0.0,0.875,0.125,0.16458734018284177,25,24,0,0,False
adjlr_camera_geometry_r1_tl21em04_a1e02_s0p75,calibration,camera_geometry,1,0.0001,100.0,0.75,4,8,0.027568543953667007,0.098071767162672,0.005079674983570301,,0.00977864926377714,0.021294634100040066,0.0,0.0,0.0,0.875,0.125,0.229527834794361,25,24,0,0,False
adjlr_camera_geometry_r1_tl21em04_a1e02_s1p0,calibration,camera_geometry,1,0.0001,100.0,1.0,4,8,0.028196031295587662,0.09204904099710096,0.005723116547959317,,0.010180219556675807,0.02197451558850866,0.0,0.0,0.0,0.875,0.125,0.2747718049088315,25,24,0,0,False
adjlr_summary_r1_tl21em02_a1em02_s0p25,calibration,summary,1,0.01,0.01,0.25,4,8,0.0250238779643457,0.10837602790413367,0.00246532070366344,,0.008580671150275387,0.018507133008067,0.0,0.0,0.0,0.875,0.125,0.09640288911504635,25,24,0,0,False
adjlr_summary_r1_tl21em02_a1em02_s0p5,calibration,summary,1,0.01,0.01,0.5,4,8,0.026743815616236163,0.10266000888842158,0.004232567760507858,,0.009248795111625241,0.02010206262409081,0.0,0.0,0.0,0.875,0.125,0.18069056028933467,25,24,0,0,False
adjlr_summary_r1_tl21em02_a1em02_s0p75,calibration,summary,1,0.01,0.01,0.75,4,8,0.027773992953130197,0.0963397372992051,0.005289471643396285,,0.009785325743726925,0.021172061756695892,0.0,0.0,0.0,0.875,0.125,0.2460503500589873,25,24,0,0,False
adjlr_summary_r1_tl21em02_a1em02_s1p0,calibration,summary,1,0.01,0.01,1.0,4,8,0.02810396346990733,0.08945309854918722,0.0056253833393939134,,0.010189477754381948,0.021703774346240934,0.0,0.0,0.0,0.875,0.125,0.28138448162155366,25,24,0,0,False
adjlr_summary_r1_tl21em02_a1e00_s0p25,calibration,summary,1,0.01,1.0,0.25,4,8,0.024971035770444322,0.10837987026287554,0.0024108507188228545,,0.008585443394865555,0.018594243667304666,0.0,0.0,0.0,0.875,0.125,0.09425716414336327,25,24,0,0,False
adjlr_summary_r1_tl21em02_a1e00_s0p5,calibration,summary,1,0.01,1.0,0.5,4,8,0.026707769076531038,0.10273235698132446,0.004195376813032614,,0.00925838551781144,0.02031320945102366,0.0,0.0,0.0,0.875,0.125,0.17802854003854826,25,24,0,0,False
adjlr_summary_r1_tl21em02_a1e00_s0p75,calibration,summary,1,0.01,1.0,0.75,4,8,0.027822921336609463,0.09653515787096931,0.005339840599253451,,0.009799875216957465,0.021533554883447048,0.0,0.0,0.0,0.875,0.125,0.24547348183763662,25,24,0,0,False
adjlr_summary_r1_tl21em02_a1e00_s1p0,calibration,summary,1,0.01,1.0,1.0,4,8,0.02831156255396805,0.08982176806386076,0.005839218903567117,,0.01020919453660496,0.0222587573863694,0.0,0.0,0.0,0.875,0.125,0.28629181985292246,25,24,0,0,False
adjlr_summary_r1_tl21em02_a1e02_s0p25,calibration,summary,1,0.01,100.0,0.25,4,8,0.02450251325379675,0.10933968170763946,0.0019299229341562807,,0.008638747264553936,0.018076882499729607,0.0,0.0,0.0,0.875,0.125,0.07432104584855971,25,24,0,0,False
adjlr_summary_r1_tl21em02_a1e02_s0p5,calibration,summary,1,0.01,100.0,0.5,4,8,0.02596874602537866,0.1048424172285066,0.003437539212419155,,0.009310999059624403,0.019421111890067122,0.0,0.0,0.0,0.875,0.125,0.14153373207884173,25,24,0,0,False
adjlr_summary_r1_tl21em02_a1e02_s0p75,calibration,summary,1,0.01,100.0,0.75,4,8,0.02702402246889568,0.0999857470636818,0.004522130628618434,,0.009798101405320225,0.02040950264731317,-8.211452635720207e-05,0.0,0.0,0.875,0.125,0.19900295859443773,25,24,0,0,False
adjlr_summary_r1_tl21em02_a1e02_s1p0,calibration,summary,1,0.01,100.0,1.0,4,8,0.02765792622799193,0.09476712791682781,0.005172965273518848,,0.010100197767053065,0.021045815509741217,-0.0004624934079726639,0.0,0.0,0.875,0.125,0.2426217699556903,25,24,0,0,False
adjlr_camera_r1_tl21em02_a1em02_s0p25,calibration,camera,1,0.01,0.01,0.25,4,8,0.025295587874926653,0.1073459628779111,0.0027448307784369574,,0.008642963341490728,0.01939665720768713,0.0,0.0,0.0,0.875,0.125,0.1019935171330009,25,24,0,0,False
adjlr_camera_r1_tl21em02_a1em02_s0p5,calibration,camera,1,0.01,0.01,0.5,4,8,0.026965880672061696,0.10032638218765454,0.004460096425484561,,0.009298060949848086,0.021438475154680336,0.0,0.0,0.0,0.875,0.125,0.18110018912435552,25,24,0,0,False
adjlr_camera_r1_tl21em02_a1em02_s0p75,calibration,camera,1,0.01,0.01,0.75,4,8,0.027625136659237867,0.09247954376804778,0.005133563496000304,,0.009746562519685198,0.022513324359023812,0.0,0.0,0.0,0.875,0.125,0.22248028571729656,25,24,0,0,False
adjlr_camera_r1_tl21em02_a1em02_s1p0,calibration,camera,1,0.01,0.01,1.0,4,8,0.027262373722776803,0.08384212248585571,0.004754129850140523,,0.009988436298304149,0.022594654322124874,0.0,0.0,0.0,0.875,0.125,0.2198509334688829,25,24,0,0,False
adjlr_camera_r1_tl21em02_a1e00_s0p25,calibration,camera,1,0.01,1.0,0.25,4,8,0.025106699092838053,0.10807370736727981,0.0025492359030672707,,0.00854911634903488,0.0191655514654957,0.0,0.0,0.0,0.875,0.125,0.0975905045168044,25,24,0,0,False
adjlr_camera_r1_tl21em02_a1e00_s0p5,calibration,camera,1,0.01,1.0,0.5,4,8,0.02687288673223566,0.10202313552845076,0.004363726461620074,,0.00917809583848761,0.02112121880685186,0.0,0.0,0.0,0.875,0.125,0.18041943108207253,25,24,0,0,False
adjlr_camera_r1_tl21em02_a1e00_s0p75,calibration,camera,1,0.01,1.0,0.75,4,8,0.027914485650863685,0.09535457742114493,0.0054330006027768635,,0.009667277214310044,0.02224890617203301,0.0,0.0,0.0,0.875,0.125,0.2415918482899832,25,24,0,0,False
adjlr_camera_r1_tl21em02_a1e00_s1p0,calibration,camera,1,0.01,1.0,1.0,4,8,0.02821856803798449,0.08809393677984041,0.005743938015541475,,0.010015611201467212,0.022526833508842714,0.0,0.0,0.0,0.875,0.125,0.2710205570966128,25,24,0,0,False
