partition,base_seed,family,case_id,geometry_digest,candidate_id,field_relative_l2,h1_seminorm_relative_l2,field_mean_bias,data_residual_relative_l2,fallback,fallback_reason,takeover,evaluator_only,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,shared_warm_seconds,deployment_setup_seconds,evaluator_setup_seconds,candidate_refine_seconds,end_to_end_seconds,total_with_evaluator_seconds,route,feature_set,basis_rank,target_l2,ridge_alpha,residual_shrinkage,feature_max_abs_z,predicted_residual_rms,model_inference_seconds
calibration,1301,smooth_no_interface,e3e22e519a90f76c2d83,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,adjlr_summary_r1_tl21em08_a1em02_s0p75,0.5213385804244602,1.0059913865380123,0.017581191342593505,0.0023515053839590658,False,,True,False,25,24,0,0,0.003809707995969802,0.0004797080182470381,0.0,0.00346174999140203,0.00775116600561887,0.00775116600561887,fail_closed,summary,1,1e-08,0.01,0.75,1.3502097239570328,0.04504963600345428,9.91669949144125e-05
calibration,1301,single_interface,e1d39800258fd30cfa71,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,adjlr_summary_r1_tl21em08_a1em02_s0p75,0.6859058528575345,1.1343556509992774,-0.014893988904498114,0.003083549326597003,False,,True,False,25,24,0,0,0.003693792037665844,0.0004480419447645545,0.0,0.0038506659911945462,0.007992499973624945,0.007992499973624945,fail_closed,summary,1,1e-08,0.01,0.75,1.424389174542249,0.07246996637683646,7.158395601436496e-05
calibration,1319,smooth_no_interface,7b87be214410317a6167,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,adjlr_summary_r1_tl21em08_a1em02_s0p75,0.5047156169841185,0.9637571384632223,0.02166806383135581,0.004477166451660261,False,,True,False,25,24,0,0,0.004227333003655076,0.0004641249543055892,0.0,0.003393125021830201,0.008084582979790866,0.008084582979790866,fail_closed,summary,1,1e-08,0.01,0.75,1.3236228203307023,0.08481788466097101,8.470797911286354e-05
calibration,1319,single_interface,8fde45e2cd31f25d2999,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,adjlr_summary_r1_tl21em08_a1em02_s0p75,0.7252226314812246,1.1810189989327338,0.007860697243035576,0.004400561737050972,True,feature_envelope,False,False,25,24,0,0,0.0041174580110237,0.0006437910487875342,0.0,0.00385187502251938,0.008613124082330614,0.008613124082330614,fail_closed,summary,1,1e-08,0.01,0.75,4.844476821301209,0.07552074708483275,7.404101779684424e-05
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjlr_summary_r1_tl21em08_a1em02_s1p0,0.5246902813791285,0.9965289458779332,0.014169335274443359,0.005426982991482209,False,,True,False,25,24,0,0,0.004321124986745417,0.0006935830460861325,0.0,0.00335687497863546,0.00837158301146701,0.00837158301146701,fail_closed,summary,1,1e-08,0.01,1.0,1.5956458132281044,0.09413193401746178,9.14999982342124e-05
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjlr_summary_r1_tl21em08_a1em02_s1p0,0.6979289726856378,1.1155714061644488,0.005338441676415717,0.001290697676321949,False,,True,False,25,24,0,0,0.00394850003067404,0.0004572920151986182,0.0,0.003808957990258932,0.00821475003613159,0.00821475003613159,fail_closed,summary,1,1e-08,0.01,1.0,2.130779587476059,0.0347079471000389,6.837502587586641e-05
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjlr_summary_r1_tl21em08_a1em02_s1p0,0.5463352504641854,1.1092730578859316,0.01891160824951232,0.004264429954561415,False,,True,False,25,24,0,0,0.004373792035039514,0.00048333301674574614,0.0,0.003441500011831522,0.008298625063616782,0.008298625063616782,fail_closed,summary,1,1e-08,0.01,1.0,1.255060231210565,0.06586037242335671,7.137499051168561e-05
calibration,1289,single_interface,a40d33fc9a6be98e818c,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjlr_summary_r1_tl21em08_a1em02_s1p0,0.7037232013460984,1.1030048777924155,0.001206916541397789,0.0025879445955495906,False,,True,False,25,24,0,0,0.0039884159923531115,0.00045137503184378147,0.0,0.0038066660054028034,0.008246457029599696,0.008246457029599696,fail_closed,summary,1,1e-08,0.01,1.0,1.9372561200038878,0.05688869995231629,6.53750030323863e-05
calibration,1301,smooth_no_interface,e3e22e519a90f76c2d83,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,adjlr_summary_r1_tl21em08_a1em02_s1p0,0.5209118434938838,1.0131301172513612,0.017499323514051472,0.0021536237784822686,False,,True,False,25,24,0,0,0.003809707995969802,0.0004736240371130407,0.0,0.003412624995689839,0.007695957028772682,0.007695957028772682,fail_closed,summary,1,1e-08,0.01,1.0,1.3502097239570328,0.04504963600345428,9.308301378041506e-05
calibration,1301,single_interface,e1d39800258fd30cfa71,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,adjlr_summary_r1_tl21em08_a1em02_s1p0,0.6857218634252672,1.1424771121068813,-0.014703549458439609,0.0030139584787516496,False,,True,False,25,24,0,0,0.003693792037665844,0.0004771249950863421,0.0,0.003511417016852647,0.007682334049604833,0.007682334049604833,fail_closed,summary,1,1e-08,0.01,1.0,1.424389174542249,0.07246996637683646,0.00010066700633615255
calibration,1319,smooth_no_interface,7b87be214410317a6167,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,adjlr_summary_r1_tl21em08_a1em02_s1p0,0.5045974525124112,0.9792234326691078,0.021388556643058075,0.0042511542138088795,False,,True,False,25,24,0,0,0.004227333003655076,0.0004426259547472,0.0,0.0035213339724577963,0.008191292930860072,0.008191292930860072,fail_closed,summary,1,1e-08,0.01,1.0,1.3236228203307023,0.08481788466097101,6.320897955447435e-05
calibration,1319,single_interface,8fde45e2cd31f25d2999,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,adjlr_summary_r1_tl21em08_a1em02_s1p0,0.7252226314812246,1.1810189989327338,0.007860697243035576,0.004400561737050972,True,feature_envelope,False,False,25,24,0,0,0.0041174580110237,0.0006544170319102705,0.0,0.0035198330297134817,0.008291708072647452,0.008291708072647452,fail_closed,summary,1,1e-08,0.01,1.0,4.844476821301209,0.07552074708483275,8.466700091958046e-05
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjlr_summary_r1_tl21em08_a1e00_s0p25,0.5279715821334111,0.9587758200597609,0.01484546326711215,0.0052174564642070214,False,,True,False,25,24,0,0,0.004321124986745417,0.0006676670163869858,0.0,0.0038782080519013107,0.008867000055033714,0.008867000055033714,fail_closed,summary,1,1e-08,1.0,0.25,1.5956458132281044,0.08774339969515889,6.558396853506565e-05
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjlr_summary_r1_tl21em08_a1e00_s0p25,0.6990602418064084,1.1063982774527275,0.005457172938441438,0.0008346502160981633,False,,True,False,25,24,0,0,0.00394850003067404,0.00046779197873547673,0.0,0.0035061250091530383,0.007922417018562555,0.007922417018562555,fail_closed,summary,1,1e-08,1.0,0.25,2.130779587476059,0.034426149659981004,7.887498941272497e-05
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjlr_summary_r1_tl21em08_a1e00_s0p25,0.5492973288241058,1.0725176773507235,0.01935605732854848,0.003934295464060532,False,,True,False,25,24,0,0,0.004373792035039514,0.0004746250342577696,0.0,0.0036720000207424164,0.0085204170900397,0.0085204170900397,fail_closed,summary,1,1e-08,1.0,0.25,1.255060231210565,0.06711749967083762,6.266700802370906e-05
calibration,1289,single_interface,a40d33fc9a6be98e818c,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjlr_summary_r1_tl21em08_a1e00_s0p25,0.7040257741025767,1.0991296016905583,0.0020431494942523168,0.0014441411820738839,False,,True,False,25,24,0,0,0.0039884159923531115,0.0004719169810414314,0.0,0.003597915987484157,0.0080582489608787,0.0080582489608787,fail_closed,summary,1,1e-08,1.0,0.25,1.9372561200038878,0.04174091890249853,8.591695223003626e-05
calibration,1301,smooth_no_interface,e3e22e519a90f76c2d83,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,adjlr_summary_r1_tl21em08_a1e00_s0p25,0.5225411988088859,0.9946776536404818,0.01771164303496464,0.002743927901791283,False,,True,False,25,24,0,0,0.003809707995969802,0.0004699990386143327,0.0,0.003917875001206994,0.008197582035791129,0.008197582035791129,fail_closed,summary,1,1e-08,1.0,0.25,1.3502097239570328,0.054918331757644843,8.945801528170705e-05
calibration,1301,single_interface,e1d39800258fd30cfa71,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,adjlr_summary_r1_tl21em08_a1e00_s0p25,0.6879331349778339,1.117995723526787,-0.015328427449145816,0.0032726387736909234,False,,True,False,25,24,0,0,0.003693792037665844,0.0004566239658743143,0.0,0.0034534999867901206,0.007603915990330279,0.007603915990330279,fail_closed,summary,1,1e-08,1.0,0.25,1.424389174542249,0.05702605046714287,8.016597712412477e-05
calibration,1319,smooth_no_interface,7b87be214410317a6167,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,adjlr_summary_r1_tl21em08_a1e00_s0p25,0.5075379691814166,0.9366630101483845,0.022239796148746206,0.005005251924674765,False,,True,False,25,24,0,0,0.004227333003655076,0.0004668339970521629,0.0,0.004391833965200931,0.00908600096590817,0.00908600096590817,fail_closed,summary,1,1e-08,1.0,0.25,1.3236228203307023,0.08073151267395551,8.741702185943723e-05
calibration,1319,single_interface,8fde45e2cd31f25d2999,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,adjlr_summary_r1_tl21em08_a1e00_s0p25,0.7252226314812246,1.1810189989327338,0.007860697243035576,0.004400561737050972,True,feature_envelope,False,False,25,24,0,0,0.0041174580110237,0.0006630420102737844,0.0,0.0034394579706713557,0.00821995799196884,0.00821995799196884,fail_closed,summary,1,1e-08,1.0,0.25,4.844476821301209,0.06405507770061827,9.32919792830944e-05
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjlr_summary_r1_tl21em08_a1e00_s0p5,0.5259839811919639,0.9686761141272631,0.014641024645390112,0.005244797066901733,False,,True,False,25,24,0,0,0.004321124986745417,0.0006897500716149807,0.0,0.003927250043489039,0.008938125101849437,0.008938125101849437,fail_closed,summary,1,1e-08,1.0,0.5,1.5956458132281044,0.08774339969515889,8.766702376306057e-05
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjlr_summary_r1_tl21em08_a1e00_s0p5,0.6985856641442537,1.1093115941777827,0.005422346008932,0.0009174092153858226,False,,True,False,25,24,0,0,0.00394850003067404,0.0004733339883387089,0.0,0.0034837080165743828,0.007905542035587132,0.007905542035587132,fail_closed,summary,1,1e-08,1.0,0.5,2.130779587476059,0.034426149659981004,8.441699901595712e-05
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjlr_summary_r1_tl21em08_a1e00_s0p5,0.5478791923776801,1.084272648048561,0.01920321085835708,0.00404008800546876,False,,True,False,25,24,0,0,0.004373792035039514,0.0004961660015396774,0.0,0.0034885830245912075,0.0083585410611704,0.0083585410611704,fail_closed,summary,1,1e-08,1.0,0.5,1.255060231210565,0.06711749967083762,8.420797530561686e-05
calibration,1289,single_interface,a40d33fc9a6be98e818c,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjlr_summary_r1_tl21em08_a1e00_s0p5,0.7037980874251999,1.1007679073144654,0.001892177609542063,0.0015880124961862336,False,,True,False,25,24,0,0,0.0039884159923531115,0.0004552500322461128,0.0,0.003887291008140892,0.008330957032740116,0.008330957032740116,fail_closed,summary,1,1e-08,1.0,0.5,1.9372561200038878,0.04174091890249853,6.925000343471766e-05
calibration,1301,smooth_no_interface,e3e22e519a90f76c2d83,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,adjlr_summary_r1_tl21em08_a1e00_s0p5,0.5214521897570813,1.0028892705134,0.017597805738824905,0.002505201900125298,False,,True,False,25,24,0,0,0.003809707995969802,0.00047808303497731686,0.0,0.0036262079956941307,0.00791399902664125,0.00791399902664125,fail_closed,summary,1,1e-08,1.0,0.5,1.3502097239570328,0.054918331757644843,9.754201164469123e-05
calibration,1301,single_interface,e1d39800258fd30cfa71,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,adjlr_summary_r1_tl21em08_a1e00_s0p5,0.6869510969550833,1.1234774718395668,-0.01519700576078993,0.0032039526311369295,False,,True,False,25,24,0,0,0.003693792037665844,0.0004434989532455802,0.0,0.0038514999905601144,0.007988790981471539,0.007988790981471539,fail_closed,summary,1,1e-08,1.0,0.5,1.424389174542249,0.05702605046714287,6.704096449539065e-05
calibration,1319,smooth_no_interface,7b87be214410317a6167,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,adjlr_summary_r1_tl21em08_a1e00_s0p5,0.5057731233865275,0.9484689857200926,0.02197575900823666,0.0047654098079550665,False,,True,False,25,24,0,0,0.004227333003655076,0.00047320895828306675,0.0,0.0034889999660663307,0.008189541928004473,0.008189541928004473,fail_closed,summary,1,1e-08,1.0,0.5,1.3236228203307023,0.08073151267395551,9.379198309034109e-05
calibration,1319,single_interface,8fde45e2cd31f25d2999,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,adjlr_summary_r1_tl21em08_a1e00_s0p5,0.7252226314812246,1.1810189989327338,0.007860697243035576,0.004400561737050972,True,feature_envelope,False,False,25,24,0,0,0.0041174580110237,0.0006595830200240016,0.0,0.0037543330108746886,0.00853137404192239,0.00853137404192239,fail_closed,summary,1,1e-08,1.0,0.5,4.844476821301209,0.06405507770061827,8.98329890333116e-05
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjlr_summary_r1_tl21em08_a1e00_s0p75,0.524833685577492,0.9799748225821338,0.014436710197647295,0.005314517978376982,False,,True,False,25,24,0,0,0.004321124986745417,0.0007347500650212169,0.0,0.0034282499691471457,0.00848412502091378,0.00848412502091378,fail_closed,summary,1,1e-08,1.0,0.75,1.5956458132281044,0.08774339969515889,0.00013266701716929674
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjlr_summary_r1_tl21em08_a1e00_s0p75,0.6982037762538503,1.1123667329736207,0.0053873666208784044,0.00107946688028831,False,,True,False,25,24,0,0,0.00394850003067404,0.000463999982457608,0.0,0.00372437498299405,0.008136874996125698,0.008136874996125698,fail_closed,summary,1,1e-08,1.0,0.75,2.130779587476059,0.034426149659981004,7.508299313485622e-05
