cell_id,family,dynamics,noise_level,view_count,seed,rank,is_full_rank,field_rel_l2,paper_l2_squared,temporal_gradient_rel_l2,mass_trace_rmse,clean_heldout_reprojection_rel_l2,support_residual,heldout_residual,rank_fraction,rank_fraction_squared,log_rank,spectral_energy,spectral_tail,spectral_gap,log_support_residual,temporal_gradient_ratio,temporal_curvature_ratio,mass_curvature,negative_fraction,observation_temporal_noise_proxy,view_fraction,rank_x_noise_proxy,rank_x_spectral_tail,log_heldout_residual,log_heldout_support_ratio,full_rank_field_rel_l2,field_error_ratio_to_full,target_log_error_ratio,oracle_rank,oracle_field_rel_l2,oracle_regret_pct
f-blobs_sheet_d-chirp_v-7_n-0.14_s-20260724,blobs_sheet,chirp,0.14,7,20260724,5,0,0.2879659362750436,0.08292438045476246,0.5707537056095333,0.12305655820754378,0.20850976070461952,0.3089899373979213,0.2473285581077852,0.2777777777777778,0.0771604938271605,1.791759469228055,0.9332088741290118,0.25843979157820224,0.03775761122045683,-1.174446567666679,0.865062089057846,0.6872331368444472,1.5332634422737477,0.5840181327160494,1.2114267553666886,0.7777777777777778,0.3365074320463024,0.07178883099394506,-1.3970376315070414,-0.2225910638403622,0.3007665969190994,0.9574398860241239,-0.04349234211498565,5,0.2879659362750436,0.0
f-blobs_sheet_d-chirp_v-7_n-0.14_s-20260724,blobs_sheet,chirp,0.14,7,20260724,8,0,0.2920651789671975,0.08530206876514111,0.648690942560474,0.12498028072004681,0.2194595593017206,0.31200687717750747,0.2570870393809592,0.4444444444444444,0.19753086419753085,2.1972245773362196,0.9555637363922819,0.21079910722703404,0.010225330930818864,-1.1647300491767754,0.916193813676289,0.8145830181487648,1.5703800875122438,0.5765142746913581,1.2114267553666886,0.7777777777777778,0.5384118912740838,0.09368849210090402,-1.3583405767862535,-0.19361052760947817,0.3007665969190994,0.9710692010282862,-0.02935754543249538,5,0.2879659362750436,1.423516526004806
f-blobs_sheet_d-chirp_v-7_n-0.14_s-20260724,blobs_sheet,chirp,0.14,7,20260724,12,0,0.29647334919564816,0.08789644678328473,0.7236649900203296,0.12697968342054275,0.22554599117211763,0.31287507639062895,0.26230926562671386,0.6666666666666666,0.4444444444444444,2.5649493574615367,0.978052263724886,0.14814768400184555,0.012232723813462422,-1.1619512850700082,0.9641241037575903,0.9258055463912066,1.4780230256046811,0.5698302469135802,1.2114267553666886,0.7777777777777778,0.8076178369111258,0.09876512266789703,-1.3382310681898821,-0.17627978311987397,0.3007665969190994,0.98572564982809,-0.014377208704077145,5,0.2879659362750436,2.954312246310062
f-blobs_sheet_d-chirp_v-7_n-0.14_s-20260724,blobs_sheet,chirp,0.14,7,20260724,18,1,0.3007665969190994,0.090460545822296,0.7794744104024066,0.1288943503596807,0.2323843615243061,0.3135877848580572,0.26791959952105215,1.0,1.0,2.9444389791664403,0.9999999999999962,0.0,0.0,-1.1596759426067995,0.9999999999968061,0.9999999999973656,1.520274307489588,0.5645158179012346,1.2114267553666886,0.7777777777777778,1.2114267553666886,0.0,-1.3170683452642051,-0.15739240265740548,0.3007665969190994,0.9999999999966752,0.0,5,0.2879659362750436,4.445199598811278
f-blobs_sheet_d-chirp_v-7_n-0.14_s-20260725,blobs_sheet,chirp,0.14,7,20260725,1,0,0.35358026284676347,0.12501900227478632,0.7750514702096808,0.12095240294569916,0.3377155696992833,0.4093279964399995,0.3608229690626935,0.05555555555555555,0.0030864197530864196,0.6931471805599453,0.4770563348776306,0.723148439203436,0.06011186859680141,-0.8932384970387421,0.6230666503370061,0.3943722667333664,0.9327994995976805,0.6044945987654321,1.2030755049226263,0.7777777777777778,0.066837528051257,0.040174913289079774,-1.0193678313352368,-0.12612933429649462,0.2997022565868504,1.1797717737341096,0.16532100768413366,5,0.2874171643837057,23.019884217665926
f-blobs_sheet_d-chirp_v-7_n-0.14_s-20260725,blobs_sheet,chirp,0.14,7,20260725,2,0,0.2974677693062504,0.08848707377603661,0.6440139703490948,0.12955280259092117,0.21333904329549633,0.3296776324035783,0.25204443173625823,0.1111111111111111,0.012345679012345678,1.0986122886681098,0.8387541872322106,0.40155424635755693,0.38226236806399183,-1.1096399734728177,0.7494254631912959,0.47811206631339187,0.6639402356726039,0.5992573302469136,1.2030755049226263,0.7777777777777778,0.133675056102514,0.04461713848417299,-1.3781498905949352,-0.2685099171221175,0.2997022565868504,0.992544309452188,-0.0074836231296359895,5,0.2874171643837057,3.4968701135371543
f-blobs_sheet_d-chirp_v-7_n-0.14_s-20260725,blobs_sheet,chirp,0.14,7,20260725,3,0,0.28786566287227516,0.08286663986089436,0.5759153933857535,0.1299138802165856,0.20840444469328667,0.3112568088705541,0.24794105604020825,0.16666666666666666,0.027777777777777776,1.3862943611198906,0.9009585999138688,0.31470843663004544,0.21079260642153655,-1.1671369555499502,0.8172259384852373,0.5874711814899057,0.675385496307219,0.5952353395061728,1.2030755049226263,0.7777777777777778,0.20051258415377105,0.05245140610500757,-1.394564238320062,-0.22742728277011184,0.2997022565868504,0.9605054901810337,-0.04029558082487452,5,0.2874171643837057,0.15604443441282104
f-blobs_sheet_d-chirp_v-7_n-0.14_s-20260725,blobs_sheet,chirp,0.14,7,20260725,5,0,0.2874171643837057,0.0826086263823701,0.5830303684451353,0.12342096059213635,0.20771269202253412,0.30988730164266365,0.24723671283356857,0.2777777777777778,0.0771604938271605,1.791759469228055,0.934440229714464,0.2560464221299178,0.04197886010547049,-1.1715465906857085,0.8711883454303818,0.7049029817840198,1.4660758770370634,0.5882040895061729,1.2030755049226263,0.7777777777777778,0.3341876402562851,0.0711240061471994,-1.3974090497228708,-0.2258624590371621,0.2997022565868504,0.9590090099954132,-0.04185480894080039,5,0.2874171643837057,0.0
f-blobs_sheet_d-chirp_v-7_n-0.14_s-20260725,blobs_sheet,chirp,0.14,7,20260725,8,0,0.2909776411691651,0.08466798766037138,0.6371125187770901,0.12484597911995245,0.21453058903980993,0.3109430516129645,0.2527754790099972,0.4444444444444444,0.19753086419753085,2.1972245773362196,0.9562436042330108,0.20918029488215517,0.006696648307996952,-1.1681454973517431,0.9122602734337006,0.8006907841355857,1.4773746516785877,0.5799093364197531,1.2030755049226263,0.7777777777777778,0.534700224410056,0.09296901994762452,-1.3752536189970852,-0.20710812164534217,0.2997022565868504,0.9708890566323517,-0.029543074030474348,5,0.2874171643837057,1.2387836311312737
f-blobs_sheet_d-chirp_v-7_n-0.14_s-20260725,blobs_sheet,chirp,0.14,7,20260725,12,0,0.2956842159689639,0.08742915557318089,0.715647151484406,0.12686837388353447,0.22297399410474164,0.31242859544877777,0.2595394816729881,0.6666666666666666,0.4444444444444444,2.5649493574615367,0.9794403001873737,0.14338653985860159,0.0271198445610701,-1.1633793304752515,0.9606883814219455,0.9186646673607033,1.4758271589738823,0.5714506172839506,1.2030755049226263,0.7777777777777778,0.8020503366150842,0.09559102657240105,-1.3488464427699527,-0.18546711229470136,0.2997022565868504,0.9865932253409353,-0.013497456875168866,5,0.2874171643837057,2.876324941468289
