method,split,sample_index,family_id,view_count,noise_level,rel_l2,gradient_rel_l2,observed_reprojection_rel_l2,heldout_reprojection_rel_l2,mass_relative_error,centroid_error,squared_rel_l2
physics_lift,test_family_ood,152,2,5,0.02,0.8041147589683533,0.9887135624885559,0.7995460033416748,0.9061353802680969,0.5528216361999512,0.07206107451144973,0.6466005455907329
physics_lift,test_family_ood,153,2,5,0.05,0.799406111240387,0.9856166839599609,0.7993103861808777,0.9113061428070068,0.5440059900283813,0.08737999949064888,0.6390501306884779
physics_lift,test_family_ood,154,2,7,0.02,0.710099995136261,0.9234931468963623,0.6078207492828369,0.8873044848442078,0.3836435079574585,0.06643635682799082,0.5042420030925179
physics_lift,test_family_ood,155,2,7,0.05,0.7785530686378479,0.946124792098999,0.6465673446655273,0.898257851600647,0.7368043065071106,0.04064423391067749,0.6061448806854095
physics_lift,test_family_ood,156,2,5,0.02,0.8342952132225037,1.0115360021591187,0.8299519419670105,0.9247012734413147,0.7013645172119141,0.060859884008393365,0.6960485028059828
physics_lift,test_family_ood,157,2,5,0.05,0.7750160694122314,0.9832667708396912,0.770814061164856,0.8635095953941345,0.4321567118167877,0.04175389697669894,0.6006499078471847
physics_lift,test_family_ood,158,2,7,0.02,0.798223078250885,0.9527190923690796,0.6394957900047302,0.8755602836608887,0.6724239587783813,0.06559329235890328,0.6371600826523185
physics_lift,test_family_ood,159,2,7,0.05,0.7933823466300964,0.9529706239700317,0.6506101489067078,0.8708138465881348,0.534368097782135,0.06515659610206491,0.6294555479442785
physics_lift,test_family_ood,160,2,5,0.02,0.8947100639343262,1.0164434909820557,0.8525629043579102,0.968071460723877,0.9013646245002747,0.04131786508484323,0.800506098505366
physics_lift,test_family_ood,161,2,5,0.05,0.8256479501724243,1.0009746551513672,0.7979440689086914,0.9004620909690857,0.5619917511940002,0.028990083147018696,0.6816945376239261
physics_lift,test_family_ood,162,2,7,0.02,0.8095428347587585,0.9594986438751221,0.643425703048706,0.9029295444488525,0.4857155978679657,0.04849868496128075,0.6553596013092466
physics_lift,test_family_ood,163,2,7,0.05,0.757890522480011,0.9383949637413025,0.6317931413650513,0.8945578932762146,0.4561460614204407,0.035976805337232735,0.574398044065024
physics_lift,test_family_ood,164,2,5,0.02,0.8125727772712708,0.9871115684509277,0.7977558970451355,0.900397539138794,0.5425674915313721,0.06982541555163939,0.6602745183623462
physics_lift,test_family_ood,165,2,5,0.05,0.820381224155426,0.9831930994987488,0.7802278399467468,0.8811639547348022,0.47419387102127075,0.07684220930716243,0.6730253529467554
physics_lift,test_family_ood,166,2,7,0.02,0.7263514995574951,0.9345069527626038,0.6053342819213867,0.8620717525482178,0.2851782739162445,0.06128766885863179,0.5275865009094218
physics_lift,test_family_ood,167,2,7,0.05,0.8119028210639954,0.95832759141922,0.6620585322380066,0.8865259289741516,0.43022504448890686,0.08544452447917612,0.6591861908516741
unet,test_iid,80,0,5,0.02,0.17954066395759583,0.353792667388916,0.17366822063922882,0.2013540267944336,0.1111464649438858,0.04693723420481637,0.03223485001433435
unet,test_iid,81,0,5,0.05,0.2794473171234131,0.43236759305000305,0.2558234632015228,0.26455581188201904,0.42435500025749207,0.10259236284891797,0.0780908030474734
unet,test_iid,82,0,7,0.02,0.1806565672159195,0.33726993203163147,0.15782754123210907,0.24330896139144897,0.15386822819709778,0.04056479515695898,0.03263679527824004
unet,test_iid,83,0,7,0.05,0.17114785313606262,0.31638166308403015,0.13233132660388947,0.1518585979938507,0.05075032636523247,0.02835789469541879,0.02929158763308326
unet,test_iid,84,1,5,0.02,0.3964107632637024,0.6690524220466614,0.2055305391550064,0.43280336260795593,0.3252115845680237,0.026691105329048913,0.1571414932313111
unet,test_iid,85,1,5,0.05,0.395673543214798,0.6604005098342896,0.2580353319644928,0.5419523119926453,0.022811053320765495,0.03697618454764685,0.1565575528001526
unet,test_iid,86,1,7,0.02,0.2616647481918335,0.47001880407333374,0.16740894317626953,0.4444420635700226,0.1637004315853119,0.03325989324077078,0.06846844044629563
