geometry_id,partition,source_index,sample_seed,source_split,family_id,noise_level,field_rel_l2,observed_reprojection_rel_l2,audit_reprojection_rel_l2
g_011001111,train,165,30360826,val,0,0.05,0.4061376452445984,0.3745066315122991,0.4132536086044017
g_011001111,train,166,30360827,val,1,0.02,0.6144030094146729,0.36730326018780773,0.7244785057327908
g_011001111,train,167,30360828,val,1,0.05,0.5709887146949768,0.38072631799172163,0.758467862918298
g_011001111,train,168,30360829,val,1,0.02,0.6292209029197693,0.41167443729787057,0.7514461257460178
g_011001111,train,169,30360830,val,1,0.05,0.5612322092056274,0.3540765112378049,0.6441412889401374
g_011001111,train,170,30360831,val,1,0.02,0.4731127619743347,0.3411133253008853,0.6739291137715364
g_011001111,train,171,30360832,val,1,0.05,0.3836858570575714,0.2613811701557276,0.6330376356889529
g_011001111,train,172,30360833,val,0,0.02,0.41971567273139954,0.3822970469535758,0.47132079417918354
g_011001111,train,173,30360834,val,0,0.05,0.47785958647727966,0.44969608685085005,0.5310822586990833
g_011001111,train,174,30360835,val,0,0.02,0.3896309435367584,0.35505147436673595,0.4275115187204797
g_011001111,train,175,30360836,val,0,0.05,0.42169055342674255,0.3937820846108657,0.43396285953320934
g_011001111,train,176,30360837,val,0,0.02,0.3463027775287628,0.3089457954217801,0.43283964685883386
g_011001111,train,177,30360838,val,0,0.05,0.43341168761253357,0.405401125216598,0.4887906355740592
g_011001111,train,178,30360839,val,1,0.02,0.5223582983016968,0.36127429639662895,0.6547558275234889
g_011001111,train,179,30360840,val,1,0.05,0.5727627277374268,0.4121500622034195,0.7368543719753139
g_011001111,train,180,30360841,val,1,0.02,0.5855223536491394,0.3499840744288008,0.7387458001517248
g_011001111,train,181,30360842,val,1,0.05,0.46072420477867126,0.2979215161896562,0.6839369307497242
g_011001111,train,182,30360843,val,1,0.02,0.47261345386505127,0.3042821532467579,0.6003928704729172
g_011001111,train,183,30360844,val,1,0.05,0.4571942687034607,0.3282080833415318,0.662738820241202
g_011001111,train,184,30360845,val,0,0.02,0.37466150522232056,0.3274768082912555,0.4308473903811378
g_011001111,train,185,30360846,val,0,0.05,0.3292466998100281,0.29157867333435145,0.4130444805949306
g_011001111,train,186,30360847,val,0,0.02,0.3574793338775635,0.3185930805280048,0.42667582814345106
g_011001111,train,187,30360848,val,0,0.05,0.3728320896625519,0.3433712056421764,0.3711292078045448
g_011001111,train,188,30360849,val,0,0.02,0.4087919592857361,0.3744595899440135,0.4580603327755362
g_011001111,train,189,30360850,val,0,0.05,0.38482969999313354,0.346857012783042,0.40981919589551824
g_011001111,train,190,30360851,val,1,0.02,0.4421483874320984,0.253080937996896,0.4956121338405181
g_011001111,train,191,30360852,val,1,0.05,0.5382053256034851,0.3756405046785973,0.6753787484596275
g_011001111,train,192,30360853,val,1,0.02,0.3395439088344574,0.24537102141815384,0.5984833067634546
g_011001111,train,193,30360854,val,1,0.05,0.6227874159812927,0.3766030511882667,0.6869231389232515
g_011001111,train,194,30360855,val,1,0.02,0.46008065342903137,0.2779856709341163,0.6860633026479139
g_011001111,train,195,30360856,val,1,0.05,0.5173136591911316,0.3654175607534887,0.6879309992054384
g_011001111,train,196,30360857,val,0,0.02,0.43358302116394043,0.3987506050030956,0.5013237867581608
g_011001111,train,197,30360858,val,0,0.05,0.3803558945655823,0.3200690996879246,0.48076338631930365
g_011001111,train,198,30360859,val,0,0.02,0.3856760859489441,0.3511780203175867,0.4243061226646639
g_011001111,train,199,30360860,val,0,0.05,0.4306856691837311,0.38739679721122716,0.5002325565168566
g_011010111,validation,160,30360821,val,0,0.02,0.3890974521636963,0.3702836744056743,0.3839583039375836
g_011010111,validation,161,30360822,val,0,0.05,0.44855156540870667,0.4286605466196296,0.431285522434053
g_011010111,validation,162,30360823,val,0,0.02,0.3160404860973358,0.2900099577120808,0.2865053618460681
g_011010111,validation,163,30360824,val,0,0.05,0.34430110454559326,0.31761721040293167,0.3361924302920815
g_011010111,validation,164,30360825,val,0,0.02,0.34634506702423096,0.325538516332234,0.30290955318619656
g_011010111,validation,165,30360826,val,0,0.05,0.3795658051967621,0.3565655992620457,0.34975685151226693
g_011010111,validation,166,30360827,val,1,0.02,0.29418689012527466,0.20767606267224384,0.4031628081959825
g_011010111,validation,167,30360828,val,1,0.05,0.3950420022010803,0.2974966696970814,0.5643324540649856
g_011010111,validation,168,30360829,val,1,0.02,0.329463392496109,0.24269027228856377,0.44686418890801566
g_011010111,validation,169,30360830,val,1,0.05,0.4297434985637665,0.2908777468107123,0.4533784613758049
g_011010111,validation,170,30360831,val,1,0.02,0.3846072256565094,0.32479818355488144,0.5417322248473699
g_011010111,validation,171,30360832,val,1,0.05,0.44355854392051697,0.30946596311778607,0.5057310515339092
g_011010111,validation,172,30360833,val,0,0.02,0.40605443716049194,0.37922004394586784,0.433476518332467
g_011010111,validation,173,30360834,val,0,0.05,0.4662471413612366,0.44355120756208477,0.47364097156763235
g_011010111,validation,174,30360835,val,0,0.02,0.3473066985607147,0.3249767628319731,0.305716987289088
g_011010111,validation,175,30360836,val,0,0.05,0.4051562547683716,0.38549463676542656,0.3929891143563616
g_011010111,validation,176,30360837,val,0,0.02,0.3270289897918701,0.3078046263705748,0.30344387171079296
g_011010111,validation,177,30360838,val,0,0.05,0.39379096031188965,0.37614931808858054,0.35575294020730364
g_011010111,validation,178,30360839,val,1,0.02,0.3141387403011322,0.26198227902693144,0.37303936575870505
g_011010111,validation,179,30360840,val,1,0.05,0.33714228868484497,0.2606016056491427,0.4850811770093843
g_011010111,validation,180,30360841,val,1,0.02,0.4607502520084381,0.31157011563439174,0.6196260408994041
g_011010111,validation,181,30360842,val,1,0.05,0.4781512916088104,0.34161165548664396,0.6899645426662616
g_011010111,validation,182,30360843,val,1,0.02,0.4881141185760498,0.32547030598280163,0.4667364215097947
g_011010111,validation,183,30360844,val,1,0.05,0.3402619957923889,0.29256830453507615,0.45322471493711464
g_011010111,validation,184,30360845,val,0,0.02,0.3328236937522888,0.3011260219609987,0.29913786689823424
g_011010111,validation,185,30360846,val,0,0.05,0.29466766119003296,0.26462442475747955,0.29156656886150734
g_011010111,validation,186,30360847,val,0,0.02,0.29858022928237915,0.2741502480404102,0.27240261650223324
g_011010111,validation,187,30360848,val,0,0.05,0.35212579369544983,0.3311384258197589,0.3150515940327848
g_011010111,validation,188,30360849,val,0,0.02,0.3560981750488281,0.3316913668170877,0.3150430277562613
g_011010111,validation,189,30360850,val,0,0.05,0.3588305711746216,0.333276582276968,0.34195051381332686
g_011010111,validation,190,30360851,val,1,0.02,0.5172417163848877,0.2899998897531434,0.4445794748365378
g_011010111,validation,191,30360852,val,1,0.05,0.46300947666168213,0.333310873665541,0.5827566763640064
