method,method_label,source_split,independent_field_count,layouts_per_field,mean_field_rel_l2,median_field_rel_l2,p90_field_rel_l2,mean_audit_reprojection_rel_l2,mean_used_noisy_reprojection_rel_l2,mean_used_clean_reprojection_rel_l2,mean_correction_vs_feasible_relative_l2,mean_outside_support_relative_l2,mean_negative_voxel_fraction
fno_geometry,FNO + fixed Landweber,test_joint_ood,32,4,0.4620644894388974,0.4577988898556036,0.510965768644612,0.5825339696861479,0.08448300188835434,0.08109420365397454,0.37153029049278896,0.0,0.0
fno_quadratic,FNO + quadratic step,test_joint_ood,32,4,0.4466619014705423,0.4449498219545974,0.4927943998521417,0.556877144679325,0.08119685497547721,0.0784324642572162,0.399550090808517,0.0,0.0
fno_pbb_strict,FNO + projected BB (strict),test_joint_ood,32,4,0.4620644894388974,0.4577988898556036,0.510965768644612,0.5825339696861478,0.08448300188835434,0.08109420365397454,0.37153029049278896,0.0,0.0
fno_pbb_wide,FNO + projected BB (wide),test_joint_ood,32,4,0.4051369285662006,0.4058178767938902,0.441819234878779,0.48779676286092555,0.07549565182990522,0.07433874340924203,0.4751867940522003,0.0,0.0
feasible_ridge,Ridge + hard support,test_joint_ood,32,4,0.6232404829691662,0.6246916253086418,0.6660672907830233,0.7923022954369834,0.34704436457242016,0.3401770088163506,0.0,0.0,0.0
ridge_geometry,Ridge + fixed Landweber,test_joint_ood,32,4,0.46090264525693997,0.4608885817942514,0.5080467957884383,0.5837959465958535,0.08409362631857693,0.08071481645124846,0.6279679850108044,0.0,0.0
ridge_quadratic,Ridge + quadratic step,test_joint_ood,32,4,0.44475139397130947,0.44767787731784087,0.4881737191878548,0.5565552243100362,0.08074693894884444,0.07805046502109858,0.6598125718253423,0.0,0.0
ridge_pbb_strict,Ridge + projected BB (strict),test_joint_ood,32,4,0.46090264525694,0.4608885817942514,0.5080467957884383,0.5837959465958534,0.08409362631857693,0.08071481645124846,0.6279679850108044,0.0,0.0
ridge_pbb_wide,Ridge + projected BB (wide),test_joint_ood,32,4,0.40548205910546276,0.40496583020807064,0.4413174828730756,0.4901999890112777,0.07547314452671211,0.07432378444815144,0.7412521847460917,0.0,0.0
feasible_fno,FNO + hard support,test_noise_ood,32,4,0.2477908013924749,0.20830987350754904,0.36959209820278943,0.3455960092649074,0.18035928083764546,0.16662810019673105,0.0,0.0,0.0
fno_geometry,FNO + fixed Landweber,test_noise_ood,32,4,0.1846225385878341,0.15117041929348007,0.29492707981751415,0.23357804321306944,0.06873404896933685,0.07045960639677007,0.20328048157471887,0.0,0.0
fno_quadratic,FNO + quadratic step,test_noise_ood,32,4,0.18508299905384493,0.15646768363002497,0.2917633382750211,0.23053221711521996,0.06813604835088885,0.07050940875959094,0.20936685600200083,0.0,0.0
fno_pbb_strict,FNO + projected BB (strict),test_noise_ood,32,4,0.18462253773961684,0.15117041929348007,0.29492707981751415,0.23357805783676827,0.0687340499817298,0.07045960552570445,0.20328045867974565,0.0,0.0
fno_pbb_wide,FNO + projected BB (wide),test_noise_ood,32,4,0.1981561935001137,0.18405076394052117,0.2904731218322438,0.2279454311327745,0.06663684589125138,0.07120051902305968,0.2392943583797382,0.0,0.0
feasible_ridge,Ridge + hard support,test_noise_ood,32,4,0.3627825675351979,0.3597307187010428,0.4338911545312844,0.44634474075712627,0.2924624774377471,0.2834124506674253,0.0,0.0,0.0
ridge_geometry,Ridge + fixed Landweber,test_noise_ood,32,4,0.18505265059568657,0.15181015768688955,0.2985191247446227,0.23555524472035577,0.0686708752446755,0.07044341116972128,0.44684592228367537,0.0,0.0
ridge_quadratic,Ridge + quadratic step,test_noise_ood,32,4,0.1855607270186705,0.15724542731987046,0.2939788495669113,0.23226464412681058,0.0680756694191726,0.0705226299581268,0.45208994609810893,0.0,0.0
ridge_pbb_strict,Ridge + projected BB (strict),test_noise_ood,32,4,0.1850526505956866,0.15181015768688955,0.2985191247446227,0.2355552447203558,0.0686708752446755,0.07044341116972129,0.4468459222836754,0.0,0.0
ridge_pbb_wide,Ridge + projected BB (wide),test_noise_ood,32,4,0.19864900172579003,0.18526577993206994,0.2945591253245015,0.22962293071000817,0.06663462126509184,0.07120647771648583,0.47672785758994657,0.0,0.0
feasible_fno,FNO + hard support,val,40,4,0.24773916385946562,0.22428181136807235,0.37918962139796936,0.3257756700741389,0.17569131294581716,0.17388645067362316,0.0,0.0,0.0
fno_geometry,FNO + fixed Landweber,val,40,4,0.14708340000308337,0.09937622272141042,0.264272498217119,0.1954992370726506,0.026990049663194238,0.02873274733773894,0.19941509976550006,0.0,0.0
fno_quadratic,FNO + quadratic step,val,40,4,0.14385507484329835,0.09971135663699593,0.2534090690154002,0.18719159175424327,0.025787112272421742,0.02791076291370239,0.20585617481516721,0.0,0.0
