experiment,split,seed_count,parameters_mean,train_seconds_mean,field_rel_l2_mean,field_rel_l2_seed_std,field_rel_l2_seed_ci95_t,gradient_rel_l2_mean,gradient_rel_l2_seed_std,gradient_rel_l2_seed_ci95_t,observed_reprojection_rel_l2_mean,observed_reprojection_rel_l2_seed_std,observed_reprojection_rel_l2_seed_ci95_t,heldout_reprojection_rel_l2_mean,heldout_reprojection_rel_l2_seed_std,heldout_reprojection_rel_l2_seed_ci95_t,mass_relative_error_mean,mass_relative_error_seed_std,mass_relative_error_seed_ci95_t,centroid_error_mean,centroid_error_seed_std,centroid_error_seed_ci95_t,gate_alpha_mean,gate_alpha_seed_std,gate_alpha_seed_ci95_t
learned_metadata_gate,test_iid,3,43396.0,6.006547778340367,0.2194545129934947,0.01123152447338073,0.02790065350477184,0.3715197503566742,0.011598852439744723,0.02881314675859719,0.18279509531954927,0.009849121887944732,0.02446657510946912,0.2530374606450399,0.009221284747615235,0.02290694119233913,0.11628548802109435,0.020044862904727605,0.04979419986849911,0.029182804635269344,0.003455024582225315,0.008582756859730334,0.7289705077807108,0.06794537906704111,0.1687856784796083
learned_metadata_gate,test_view_ood,3,43396.0,6.006547778340367,0.48971384825805825,0.009758598300184869,0.024241702051311903,0.7080020134647688,0.024871776763221134,0.06178491861575318,0.5389322110762199,0.03523140294070452,0.08751965668287558,0.5104988614718119,0.005208141842044994,0.0129377415579688,0.24217940176216265,0.08031842441438673,0.1995220270361465,0.03756814973919143,0.005914764945151065,0.014693090656388633,0.7605926394462585,0.050925962114738495,0.12650710299639048
learned_metadata_gate,test_noise_ood,3,43396.0,6.006547778340367,0.26310371529931825,0.016448333957932788,0.0408599266803644,0.4334631438056628,0.011074620673754983,0.0275108828590046,0.21858232033749422,0.011773248364280712,0.029246370251512603,0.3031461024656892,0.014983072860191736,0.037220016329905174,0.07846330620911128,0.008606305047164305,0.021379246926488054,0.02729311369828343,0.007558029533030678,0.018775186189524243,0.6330627997716268,0.06981848877134281,0.1734387409343096
learned_metadata_gate,test_joint_ood,3,43396.0,6.006547778340367,0.46997150033712387,0.01698762431824394,0.042199598201996764,0.6792797259986401,0.023270726550346607,0.05780768940354567,0.45565481173495453,0.03156457793654852,0.07841075840766261,0.5152297218640646,0.00922483752255368,0.022915766774545085,0.21061469775546962,0.1463343217619642,0.3635146072123023,0.059327851497771276,0.007364214633538318,0.018293723288596173,0.6658236781756083,0.05265856159201567,0.13081111869725365
learned_metadata_gate,test_family_ood,3,43396.0,6.006547778340367,0.6646628767251969,0.010541516244045887,0.026186578040863082,0.8763141284386317,0.00981539574955553,0.02438279473722479,0.5087727685769399,0.008419176643895734,0.020914394202988972,0.6718918909629186,0.02073640883786726,0.0515120952004189,0.16245640381239354,0.03431292176503119,0.08523802295685268,0.02613574894756307,0.0026854332679465825,0.0066709860532950345,0.7289705077807108,0.06794537906704111,0.1687856784796083
learned_observable_gate,test_iid,3,43428.0,6.102658374700695,0.24475045576691626,0.04312418300186976,0.10712640928336722,0.4057078381379446,0.052813132998535,0.1311950953573466,0.19618613459169865,0.022317739622496585,0.05544033863726835,0.2843267869204283,0.05399218713594007,0.13412402820426977,0.13459791632679602,0.04381906283204969,0.10885258647465185,0.03858233683385492,0.01429386243428975,0.03550792271959054,0.7403014699618021,0.0754763489292204,0.18749364472030303
learned_observable_gate,test_view_ood,3,43428.0,6.102658374700695,0.505334601427118,0.05607764594855427,0.13930459508698678,0.6930762939155102,0.019804296260651555,0.04919659919576057,0.45978458039462566,0.0551367761538276,0.13696734494805948,0.5268478132784367,0.034526378517915506,0.08576827892652038,0.09791111376641008,0.03876876283436714,0.09630694579475604,0.04131896912867598,0.009493908721685049,0.0235841766874532,0.7106934785842896,0.1136970940754777,0.28243923910931923
learned_observable_gate,test_noise_ood,3,43428.0,6.102658374700695,0.2752500319232543,0.04299517194087338,0.10680592804151319,0.4609438603123029,0.05374281610144067,0.1335045562132516,0.2261275740650793,0.016398565085106342,0.04073629394650492,0.33076482731848955,0.06951307689471185,0.17268005577395423,0.08389834497696332,0.022136802475822535,0.054990865847758835,0.040608861366839076,0.010799906547620428,0.02682845513832322,0.6699444850285848,0.07860131065407772,0.19525647998879747
learned_observable_gate,test_joint_ood,3,43428.0,6.102658374700695,0.49523254421850044,0.06191123895649818,0.1537960434730233,0.6803028844296932,0.029567880092778057,0.07345068599498182,0.4089849529167016,0.04417388244383803,0.1097340072531639,0.5265383645892143,0.040062039897507194,0.09951962411904396,0.10049164802088247,0.03053918945157797,0.07586355220295271,0.06644145134997508,0.010017381731560419,0.024884555732368058,0.6456903020540873,0.12975708022727034,0.32233445635917535
learned_observable_gate,test_family_ood,3,43428.0,6.102658374700695,0.6923347820838291,0.03586016200454203,0.08908158078495916,0.8912798265616099,0.03125176697680433,0.07763369290591324,0.5364807297786077,0.020331501223256745,0.050506248925190046,0.7192213982343674,0.08466370879231726,0.2103163118276433,0.07780764881366244,0.021599001268936404,0.05365489358830816,0.033132606659522286,0.005278240864035123,0.013111877182051295,0.6826143860816956,0.10576354180835798,0.26273120273442474
