experiment,label,seed,split,input_variant,parameters,epochs_ran,best_epoch,best_val_rel_l2,train_seconds,gate_alpha_mean,gate_alpha_std,rel_l2_mean,gradient_rel_l2_mean,observed_reprojection_rel_l2_mean,heldout_reprojection_rel_l2_mean,mass_relative_error_mean,centroid_error_mean
fixed_view_gate,Fixed view gate,20260712,test_noise_ood,base,43363,30,30,0.2665722146630287,5.904640165972523,0.9999998807907104,1.569463279338379e-07,0.2624652925878763,0.44379358645528555,0.21799885854125023,0.3028811076655984,0.09785277675837278,0.05565137825871694
fixed_view_gate,Fixed view gate,20260712,test_joint_ood,base,43363,30,30,0.2665722146630287,5.904640165972523,0.5999999642372131,0.0,0.5609376952052116,0.7104335576295853,0.564961263909936,0.6165161766111851,0.16842462727800012,0.0980825136615733
fixed_view_gate,Fixed view gate,20260712,test_family_ood,base,43363,30,30,0.2665722146630287,5.904640165972523,0.9999998807907104,1.5591035662509967e-07,0.6775722861289978,0.8888609915971756,0.5208490177989006,0.6918020188808441,0.2132719423621893,0.026367532245640375
learned_metadata_gate,Learned metadata gate,20260710,test_iid,base,43396,30,30,0.25720715150237083,6.0584633339894935,0.7611842155456543,0.024267414584755898,0.21595090702176095,0.36493721082806585,0.1782686211168766,0.24954865723848343,0.12399685275740921,0.029331818900063505
learned_metadata_gate,Learned metadata gate,20260710,test_view_ood,base,43396,30,30,0.25720715150237083,6.0584633339894935,0.7777103781700134,0.024526255205273628,0.4966499377042055,0.7276969365775585,0.5743597596883774,0.5094361547380686,0.2166975336149335,0.03203597114373535
learned_metadata_gate,Learned metadata gate,20260710,test_noise_ood,base,43396,30,30,0.25720715150237083,6.0584633339894935,0.6605966687202454,0.004690519534051418,0.2639414994046092,0.4260329054668546,0.21316475421190262,0.2975296722725034,0.07715617859503254,0.021082692299199096
learned_metadata_gate,Learned metadata gate,20260710,test_joint_ood,base,43396,30,30,0.25720715150237083,6.0584633339894935,0.6751651167869568,0.0,0.46903559006750584,0.687905091792345,0.46929075196385384,0.5114950276911259,0.1379660027450882,0.05088147312457307
learned_metadata_gate,Learned metadata gate,20260710,test_family_ood,base,43396,30,30,0.25720715150237083,6.0584633339894935,0.7611842155456543,0.024267414584755898,0.6621886819601059,0.8717806041240692,0.5080975651741028,0.6717409759759903,0.1624188745394349,0.029182512409631413
learned_metadata_gate,Learned metadata gate,20260711,test_iid,base,43396,30,30,0.250053059309721,5.967473542084917,0.6509097814559937,0.02971293218433857,0.2103924036026001,0.36470973268151285,0.17602293118834494,0.24606961347162723,0.09353013186482713,0.025655683866010026
learned_metadata_gate,Learned metadata gate,20260711,test_view_ood,base,43396,30,30,0.250053059309721,5.967473542084917,0.7033132314682007,0.022542288526892662,0.4939365927129984,0.7162567004561424,0.5385365877300501,0.5161563958972692,0.3321476308628917,0.043802768170049404
