challenger,baseline,split,seed_count,field_rel_l2_delta_mean,field_rel_l2_delta_seed_std,field_rel_l2_delta_ci95_t,field_rel_l2_better_seed_fraction,gradient_rel_l2_delta_mean,gradient_rel_l2_delta_seed_std,gradient_rel_l2_delta_ci95_t,gradient_rel_l2_better_seed_fraction,observed_reprojection_rel_l2_delta_mean,observed_reprojection_rel_l2_delta_seed_std,observed_reprojection_rel_l2_delta_ci95_t,observed_reprojection_rel_l2_better_seed_fraction,heldout_reprojection_rel_l2_delta_mean,heldout_reprojection_rel_l2_delta_seed_std,heldout_reprojection_rel_l2_delta_ci95_t,heldout_reprojection_rel_l2_better_seed_fraction,mass_relative_error_delta_mean,mass_relative_error_delta_seed_std,mass_relative_error_delta_ci95_t,mass_relative_error_better_seed_fraction,centroid_error_delta_mean,centroid_error_delta_seed_std,centroid_error_delta_ci95_t,centroid_error_better_seed_fraction
learned_metadata_gate,absolute_reference,test_iid,3,-0.017227048178513848,0.008039771093167765,0.01997189856637822,1.0,-0.0252559910217921,0.0057792072700971805,0.014356346723670081,1.0,-0.018877069776256878,0.002562847448838236,0.006366465997122187,1.0,-0.014617889622847232,0.008297123259665,0.020611196788374652,1.0,-0.024407081119716165,0.018082714883949788,0.04491995397404867,1.0,-0.0068264856402229235,0.006843066536279362,0.016999119646788272,0.6666666666666666
learned_metadata_gate,absolute_reference,test_view_ood,3,0.03233965796728929,0.011358975417724002,0.02821725920201315,0.0,0.04164034811158975,0.014574601548979481,0.0362053173415547,0.0,0.058209589372078575,0.01789307672603936,0.04444886667439651,0.0,0.0038487731168667474,0.005338639191061677,0.013261914943944589,0.3333333333333333,0.01583478563892034,0.14440449764892846,0.35872065835606504,0.6666666666666666,0.0005259656625957477,0.008506038222859304,0.021130170326994557,0.6666666666666666
learned_metadata_gate,absolute_reference,test_noise_ood,3,-0.013695260354628166,0.010776861056499781,0.02677120696474461,1.0,-0.01782596732179324,0.008935728384102953,0.022197579860907986,1.0,-0.013023239249984423,0.004948482601110556,0.012292712245359097,1.0,-0.017437081473569076,0.012692856551390139,0.03153080362914549,1.0,-0.0211113647625704,0.011097161476118047,0.027566877316207803,1.0,-0.005939448571617043,0.004819436339418536,0.011972143560129548,1.0
learned_metadata_gate,absolute_reference,test_joint_ood,3,0.01548913431664308,0.006426078242113028,0.015963263299891242,0.0,0.025611303746700287,0.01107011861847864,0.027499699133712256,0.0,0.007344589879115422,0.034705968012763634,0.0862144039633068,0.3333333333333333,0.013560612375537554,0.009948469601043026,0.024713368510152742,0.0,0.019904564425814897,0.17212862325597167,0.4275912043018241,0.6666666666666666,-0.005801077213435378,0.014730374808632624,0.03659227957034135,0.6666666666666666
learned_metadata_gate,absolute_reference,test_family_ood,3,-0.005020494262377421,0.012104449271600192,0.030069118915550853,0.6666666666666666,-0.0035384297370910645,0.011407150355937106,0.028336932382789566,0.6666666666666666,-0.006375088294347149,0.006298050497514788,0.015645224751384412,0.6666666666666666,-0.0018790324529011822,0.03232917289229095,0.08031011757143645,0.6666666666666666,0.014126821238702791,0.02078794388850276,0.05164011536317951,0.3333333333333333,-0.002481888764330902,0.00687383600685382,0.017075555249012875,0.6666666666666666
learned_observable_gate,absolute_reference,test_iid,3,0.008068894594907764,0.04460852128556898,0.11081370999089923,0.6666666666666666,0.00893209675947824,0.056490944673883464,0.14033128603679537,0.6666666666666666,-0.005486030504107463,0.03124167204537498,0.07760861570605206,0.6666666666666666,0.01667143665254117,0.05509691458556305,0.136868323323084,0.6666666666666666,-0.006094652814014505,0.04637161961933031,0.11519348905131992,0.6666666666666666,0.0025730465583626468,0.02105387187336766,0.05230071709899218,0.6666666666666666
learned_observable_gate,absolute_reference,test_view_ood,3,0.047960411136349045,0.041153955805394764,0.10223209360388756,0.0,0.0267146285623312,0.009253293662496971,0.022986455744909057,0.0,-0.020938041309515636,0.050364911915701284,0.12511337703877712,0.6666666666666666,0.020197724923491478,0.035994057146037324,0.08941419475536778,0.3333333333333333,-0.12843350235683224,0.09272851130545234,0.230350391888341,1.0,0.004276785052080299,0.005538726522918327,0.013758959430653193,0.3333333333333333
learned_observable_gate,absolute_reference,test_noise_ood,3,-0.0015489437306920688,0.042177744320870646,0.10477532526403809,0.6666666666666666,0.009654749184846878,0.05896341665262062,0.1464732469204223,0.6666666666666666,-0.005477985522399346,0.02759581027595179,0.06855179299279912,0.6666666666666666,0.010181643379231295,0.06332872557259886,0.15731727543198035,0.6666666666666666,-0.015676325994718354,0.030831820094999098,0.07659048701988891,0.6666666666666666,0.007376299096938603,0.017094654631853327,0.04246547624033431,0.3333333333333333
learned_observable_gate,absolute_reference,test_joint_ood,3,0.04075017819801966,0.05787794269530846,0.1437767801279403,0.3333333333333333,0.02663446217775345,0.023970262186314407,0.05954543225756653,0.0,-0.03932526893913746,0.024209037830132566,0.060138583839022694,1.0,0.024869255100687344,0.03389983309927336,0.08421185382394701,0.0,-0.09021848530877226,0.06823805114142317,0.16951271621675695,1.0,0.0013125226387684097,0.00426551694036834,0.010596131491678878,0.3333333333333333
learned_observable_gate,absolute_reference,test_family_ood,3,0.02265141109625494,0.03248849230299942,0.0807058889277912,0.0,0.011427268385887146,0.028565447609203827,0.07096050565905153,0.6666666666666666,0.021332872907320628,0.018384614534711314,0.045669914281669624,0.0,0.04545047481854758,0.06847126216688844,0.1700920445199112,0.3333333333333333,-0.07052193376002833,0.021260105342357814,0.05281302943673571,1.0,0.004514968947628317,0.002884537434566646,0.007165588222162556,0.0
quality_channel_residual,absolute_reference,test_iid,3,0.013492401565114664,0.047460537698668294,0.11789851151721013,0.6666666666666666,0.013945104430119204,0.0597229602381828,0.14836005778503536,0.6666666666666666,-0.003140305106838539,0.029429155078334227,0.07310607395503878,0.6666666666666666,0.023641270895799,0.05870837876939933,0.14583969769678728,0.6666666666666666,0.0036919485467175606,0.051190753962357886,0.12716488241082588,0.6666666666666666,0.0037097897270885437,0.02129400988658351,0.05289725299364647,0.6666666666666666
