replicate,sample_index,reaction_family,method,iterations,forward_calls,adjoint_calls,field_relative_l2,gradient_relative_l2,front_top10_f1,whitened_data_objective,objective_unit,objective_scale_to_physical,physical_equivalent_whitened_objective,trajectory_elapsed_seconds,source
8,3,double_front,graph_pcgls,32,32,32,0.22212062776088715,0.39199399948120117,0.8878048658370972,2232.23388671875,graph_whitened_physical_field,1.0,2232.23388671875,,single_sample_graph_replay
8,4,annular_kernel,graph_pcgls,4,4,4,0.9433677792549133,0.9718400835990906,0.2780487835407257,167376.1875,graph_whitened_physical_field,1.0,167376.1875,,single_sample_graph_replay
8,4,annular_kernel,graph_pcgls,8,8,8,0.9345699548721313,0.9721595048904419,0.2658536732196808,88756.671875,graph_whitened_physical_field,1.0,88756.671875,,single_sample_graph_replay
8,4,annular_kernel,graph_pcgls,16,16,16,0.8800367116928101,0.9305245876312256,0.40000003576278687,51153.13671875,graph_whitened_physical_field,1.0,51153.13671875,,single_sample_graph_replay
8,4,annular_kernel,graph_pcgls,32,32,32,0.8977187871932983,0.9400415420532227,0.414634108543396,22623.501953125,graph_whitened_physical_field,1.0,22623.501953125,,single_sample_graph_replay
8,5,oblique_shock,graph_pcgls,4,4,4,0.5763055086135864,0.7656964063644409,0.4829268157482147,22269.27734375,graph_whitened_physical_field,1.0,22269.27734375,,single_sample_graph_replay
8,5,oblique_shock,graph_pcgls,8,8,8,0.46506768465042114,0.6707503795623779,0.6243902444839478,8975.994140625,graph_whitened_physical_field,1.0,8975.994140625,,single_sample_graph_replay
8,5,oblique_shock,graph_pcgls,16,16,16,0.3784775137901306,0.5665477514266968,0.704878032207489,3923.67724609375,graph_whitened_physical_field,1.0,3923.67724609375,,single_sample_graph_replay
8,5,oblique_shock,graph_pcgls,32,32,32,0.3220319151878357,0.4912565350532532,0.7292683124542236,2678.8720703125,graph_whitened_physical_field,1.0,2678.8720703125,,single_sample_graph_replay
8,6,vortex_pair,graph_pcgls,4,4,4,0.6620724201202393,0.7537436485290527,0.7097560167312622,56594.18359375,graph_whitened_physical_field,1.0,56594.18359375,,single_sample_graph_replay
8,6,vortex_pair,graph_pcgls,8,8,8,0.5592139363288879,0.6126040816307068,0.8024390339851379,18270.10546875,graph_whitened_physical_field,1.0,18270.10546875,,single_sample_graph_replay
8,6,vortex_pair,graph_pcgls,16,16,16,0.37513864040374756,0.44394874572753906,0.8682926893234253,5115.947265625,graph_whitened_physical_field,1.0,5115.947265625,,single_sample_graph_replay
8,6,vortex_pair,graph_pcgls,32,32,32,0.32666486501693726,0.3785340487957001,0.8999999761581421,2511.09228515625,graph_whitened_physical_field,1.0,2511.09228515625,,single_sample_graph_replay
8,7,multi_plume,graph_pcgls,4,4,4,0.7357779741287231,0.790706217288971,0.7097560167312622,18991.181640625,graph_whitened_physical_field,1.0,18991.181640625,,single_sample_graph_replay
8,7,multi_plume,graph_pcgls,8,8,8,0.5432665348052979,0.6097180843353271,0.8243902325630188,5882.62548828125,graph_whitened_physical_field,1.0,5882.62548828125,,single_sample_graph_replay
8,7,multi_plume,graph_pcgls,16,16,16,0.4149830937385559,0.5024021863937378,0.8414633870124817,2893.327880859375,graph_whitened_physical_field,1.0,2893.327880859375,,single_sample_graph_replay
8,7,multi_plume,graph_pcgls,32,32,32,0.30646663904190063,0.3876718282699585,0.8951218724250793,2247.261962890625,graph_whitened_physical_field,1.0,2247.261962890625,,single_sample_graph_replay
0,0,plume,scalar_a_only_pdhg,4,4,4,0.9998961687088013,0.9998927712440491,0.4853658676147461,0.49958887696266174,normalized_b0_per_sample,1261817.0874317754,630389.7816423374,0.13646658300422132,gate_b_production_factor_pipeline
0,0,plume,scalar_a_only_pdhg,8,8,8,0.9996392726898193,0.9996273517608643,0.4853658676147461,0.49857211112976074,normalized_b0_per_sample,1261817.0874317754,629106.8091404662,0.13646658300422132,gate_b_production_factor_pipeline
0,0,plume,scalar_a_only_pdhg,16,16,16,0.9987285137176514,0.9986885786056519,0.4853658676147461,0.494979590177536,normalized_b0_per_sample,1261817.0874317754,624573.7048159923,0.13646658300422132,gate_b_production_factor_pipeline
0,0,plume,scalar_a_only_pdhg,32,32,32,0.9956867098808289,0.9955722093582153,0.4823386073112488,0.4831063151359558,normalized_b0_per_sample,1261817.0874317754,609591.8034847492,0.13646658300422132,gate_b_production_factor_pipeline
0,0,plume,view_block_a_only_pdhg,4,4,4,0.9998555183410645,0.9998513460159302,0.4829268157482147,0.49943581223487854,normalized_b0_per_sample,1261817.0874317754,630196.6419533375,0.1446131250122562,gate_b_production_factor_pipeline
0,0,plume,view_block_a_only_pdhg,8,8,8,0.9995052218437195,0.9994909763336182,0.4829268157482147,0.4980689287185669,normalized_b0_per_sample,1261817.0874317754,628471.8849759266,0.1446131250122562,gate_b_production_factor_pipeline
