base_seed,trial,amplitude_multiplier,noise_multiplier,replicate_count,numerical_success_count,numerical_failure_count,one_step_q_relative_l2_median,one_step_q_relative_l2_p90,one_step_q_relative_l2_max,iterative_q_relative_l2_median,iterative_q_relative_l2_p90,iterative_q_relative_l2_max,paired_q_improvement_fraction,median_q_reduction_fraction,one_step_field_relative_l2_median,iterative_field_relative_l2_median,one_step_sequence_relative_l2_median,iterative_sequence_relative_l2_median,objective_monotone_fraction_all,trust_hit_fraction_all,one_step_boundary_hit_fraction,iterative_local_boundary_hit_fraction,one_step_wall_seconds_median,iterative_wall_seconds_median
811,0,2.0,0.0078125,16,16,0,0.08443216786583908,0.11353882641291582,0.13034581491649852,0.03390693387794902,0.054695087143617774,0.06603278351110356,0.9375,0.5984121368075446,0.015179923827879506,0.012385082307119918,0.00944342725864505,0.007881189929446718,1.0,1.0,0.0,0.0,0.006912187032867223,0.05401445849565789
811,0,2.0,0.015625,16,16,0,0.10305174700820126,0.14307019940456434,0.2097970457056241,0.07094467384989668,0.139742212263761,0.15476148167985102,0.8125,0.3115626283924073,0.03034407260015959,0.03017789651904591,0.01869546877636625,0.018629812532841353,1.0,1.0,0.0,0.0,0.0070572709664702415,0.05382710398407653
811,1,0.5,0.0078125,16,16,0,0.1506534530778571,0.24079841986097558,0.4135908750879302,0.14510851007144993,0.24514555453752201,0.4136979679519561,0.4375,0.03680594698046232,0.012540355018827424,0.012451405971419357,0.007914638484575595,0.007871076020965158,1.0,0.5,0.0,0.0,0.00701264594681561,0.035672833502758294
811,1,0.5,0.015625,16,16,0,0.22786707517522353,0.4866145862113209,0.5441881438968389,0.24201599299803123,0.48190919904750906,0.5199228507603624,0.4375,-0.062092857478104564,0.025635131767463452,0.025433594295718093,0.01656367994546048,0.016436974750728757,1.0,0.625,0.0,0.0,0.006903957924805582,0.03575614601140842
811,1,1.0,0.0078125,16,16,0,0.0932818434590321,0.12141489579879311,0.13527387321106127,0.08066526768804122,0.12655344664580515,0.13959307083052477,0.25,0.13525221311188895,0.01430865835535524,0.014189489485866767,0.00883874085723536,0.0087685496396601,1.0,1.0,0.0,0.0,0.006884520989842713,0.03620677051367238
811,1,1.0,0.015625,16,16,0,0.15017838711862141,0.30856116219546437,0.38827110799532183,0.1371759833501888,0.3063373051234086,0.37085013230265285,0.5,0.0865797270692647,0.027552822802096998,0.027405657140822763,0.017033313672369363,0.01694362187779932,1.0,1.0,0.0,0.0,0.007237666519358754,0.03710052097449079
811,1,2.0,0.0078125,16,16,0,0.04146814435192843,0.056405117636721264,0.06286501458348097,0.041426227840792695,0.05919026162275694,0.06426301864818361,0.625,0.001010812318487182,0.014966677234052105,0.014836030975339873,0.009471807803410141,0.009406337730366346,1.0,1.0,0.0,0.0,0.006966188026126474,0.045281562488526106
811,1,2.0,0.015625,16,16,0,0.05336876248997132,0.08562674975709353,0.16855135714303082,0.05368362955009903,0.09270344047379248,0.16037410927146417,0.5625,-0.005899838134468254,0.027956749683856474,0.027686167903089108,0.01736382690965451,0.017132839699371818,1.0,1.0,0.0,0.0,0.006954042008146644,0.04591706249630079
811,2,0.5,0.0078125,16,16,0,0.1210268905352051,0.1849388013042532,0.20317665095542473,0.11507844031890778,0.1904360538331407,0.22737953348397968,0.5,0.04914982273767495,0.012926704514679109,0.012813095012243276,0.008115369990415042,0.008029622892686047,1.0,0.5625,0.0,0.0,0.006968646019231528,0.0348009790177457
811,2,0.5,0.015625,16,16,0,0.21374546825542723,0.5214997336509755,0.8090615579982712,0.22030100462967667,0.5252818260243348,0.7768264475600224,0.5,-0.03066982625528944,0.026876949972235976,0.0267684089710859,0.01685969067201439,0.016791085874831135,1.0,0.625,0.0,0.0,0.0068934999871999025,0.03546574950451031
811,2,1.0,0.0078125,16,16,0,0.07242806056874582,0.10450827744845952,0.12282051995700406,0.08202522882695165,0.10529215446800311,0.11234294909122197,0.5,-0.132506216276447,0.01426327068310208,0.01372560392089089,0.008923116783305277,0.00860257793618954,1.0,1.0,0.0,0.0,0.006949395523406565,0.035809521563351154
811,2,1.0,0.015625,16,16,0,0.13262326082112735,0.20064153784212158,0.35700602344110066,0.13568522145397124,0.20257055629420606,0.33933716707968165,0.5625,-0.02308765908699562,0.02509456305444123,0.02491336392253024,0.01583811540158134,0.015718460066329876,1.0,1.0,0.0,0.0,0.006982416496612132,0.03728054149542004
811,2,2.0,0.0078125,16,16,0,0.025558948614928467,0.03909700652859312,0.04902112909108107,0.02565632517376595,0.03661589337773961,0.05159527808890695,0.5,-0.0038098812398177934,0.015252321737133357,0.01477024961631052,0.009654201785555303,0.009354654013221497,1.0,1.0,0.0,0.0,0.00705622899113223,0.04559512494597584
