method,base_seed,trial,amplitude_multiplier,q_true_norm,noise_multiplier,replicate_count,valid_count,numerical_failure_count,coverage_count,coverage_fraction,coverage_cp95_lower,coverage_cp95_upper,coverage_cell_passed,qref_error_mean,qref_error_median,qref_error_p90,qref_error_p95,qref_error_max,relative_l2_median,relative_l2_p90,bias_norm_over_qref,nis_pass_fraction_diagnostic,authorization_fraction,false_accept_fraction_all,authorized_qref_error_p90,field_relative_l2_median,sequence_relative_l2_median,bias_yaw,bias_pitch,bias_roll,bias_shift_u,bias_shift_v
teacher_linear,709,0,0.125,0.005,0.0078125,500,500,0,473,0.946,0.9224025315050628,0.9641157402780663,True,0.06650029673403997,0.059400197655539354,0.1112523039395436,0.12760718004149196,0.19736805039941258,0.47520158124431483,0.8900184315163489,0.0033797478111332693,0.982,0.982,0.0,0.11164867169689767,,,-1.4378534867130624e-05,-3.891153320443111e-05,-0.00012438871148344726,3.2907210069102076e-05,-1.634829870843734e-07
one_step_plugin,709,0,0.125,0.005,0.0078125,500,500,0,472,0.944,0.9200786993956399,0.9624695555249778,True,0.06651060259845597,0.05960090721547052,0.11127095190057924,0.12782857940700285,0.19679803708440197,0.47680725772376414,0.8901676152046339,0.003525837340692639,0.982,0.982,0.0,0.11183867048403222,0.026124142459614447,0.01695063416663739,-1.4961868667694167e-05,-4.2322081722367174e-05,-0.00012910538072252687,3.4742933556379486e-05,3.993067497523291e-07
teacher_linear,709,0,0.125,0.005,0.015625,500,500,0,475,0.95,0.927072378349521,0.9673848198506699,True,0.12732732198462082,0.11713238900656808,0.2045148803688575,0.22815805862996352,0.38459796173093974,0.9370591120525447,1.63611904295086,0.004875217870480982,0.984,0.0,0.0,,,,-0.00014857792966474915,-0.00011731002370553257,3.9731226533642854e-05,-2.4754496561138007e-05,-2.341650257470804e-08
one_step_plugin,709,0,0.125,0.005,0.015625,500,500,0,475,0.95,0.927072378349521,0.9673848198506699,True,0.1273113826396794,0.11723566717764819,0.2040426799474746,0.22846096088016865,0.3823458858781671,0.9378853374211855,1.6323414395797968,0.004946518103332432,0.984,0.0,0.0,,0.04057660024554878,0.026187771268480396,-0.00015004631106027122,-0.00012170415851145162,3.5987768283432444e-05,-2.2967552381466128e-05,6.637502234572274e-07
teacher_linear,709,0,0.125,0.005,0.03125,500,500,0,478,0.956,0.9341389996764051,0.9722232327144282,True,0.26026783392524583,0.24148046606583187,0.4260834104875087,0.4955027612637039,0.6622880315196112,1.931843728526655,3.4086672839000696,0.006003800604090811,0.992,0.0,0.0,,,,-3.6221993387204436e-05,-0.0001730808304473935,-3.281282981524008e-06,-0.0001621821296890751,9.49621124970556e-06
one_step_plugin,709,0,0.125,0.005,0.03125,500,500,0,478,0.956,0.9341389996764051,0.9722232327144282,True,0.2602976629838064,0.23997918791905504,0.4271542679684801,0.4928753684516117,0.6605320100181965,1.9198335033524403,3.417234143747841,0.006047703142445857,0.992,0.0,0.0,,0.07414761023113067,0.04780598155490062,-3.801198464166585e-05,-0.0001761687217909651,-9.027806261838103e-06,-0.00016079793786948635,1.0086310316365511e-05
teacher_linear,709,0,0.125,0.005,0.0625,500,500,0,468,0.936,0.9108493724491366,0.9558157890532868,True,0.531817508036418,0.49794053481820655,0.8607957673275313,0.9623708818127339,1.616301705537855,3.9835242785456524,6.88636613862025,0.03279181563432352,0.982,0.0,0.0,,,,0.0008651343985676349,0.0004936134207671606,0.0006051927816741395,0.000601555449157024,-1.5686873662714112e-05
one_step_plugin,709,0,0.125,0.005,0.0625,500,500,0,467,0.934,0.9085571013891337,0.9541366428894122,True,0.5320082317550627,0.4949920942824425,0.8638775078833163,0.9547632487203648,1.6279559488015622,3.95993675425954,6.91102006306653,0.0326405734246158,0.982,0.0,0.0,,0.14797410449963566,0.09452414308746725,0.0008641327475097953,0.000502431113559164,0.0005920191731325695,0.0005956055745713596,-1.6003829922764086e-05
teacher_linear,709,0,0.125,0.005,1.0,500,500,0,473,0.946,0.9224025315050628,0.9641157402780663,True,8.302628939508237,7.570803882897863,13.664488247358173,16.196793564957805,24.195058042286625,60.566431063182904,109.31590597886539,0.33702783562226496,0.992,0.0,0.0,,,,-0.0042072593598023586,-0.0026827002234046608,0.011158294486204399,0.00568168247418639,-0.00023120507591579346
one_step_plugin,709,0,0.125,0.005,1.0,500,500,0,477,0.954,0.9317745721187621,0.9706198246075972,True,7.736594876585805,7.181986228340589,12.68805036827792,14.62320842580702,23.12354402915132,57.455889826724714,101.50440294622337,0.30593961015722276,0.996,0.0,0.0,,2.3034900553427464,1.4706125046517224,-0.0037540447345088767,-0.0007689132012755314,0.009875494882167438,0.006097554361334758,-0.0006073091174255042
teacher_linear,709,0,0.25,0.01,0.0078125,500,500,0,470,0.94,0.9154514462923999,0.9591558182372231,True,0.06512380264702582,0.06086635645308097,0.10423130998462399,0.12213501176425587,0.1957962985412336,0.2434654258123239,0.41692523993849595,0.005179530626353184,0.994,0.994,0.0,0.10446876251903536,,,-2.2623752897511958e-05,0.00010666840504222792,0.00017588314459688822,-2.7186106915880887e-06,-9.581533704276128e-06
one_step_plugin,709,0,0.25,0.01,0.0078125,500,500,0,470,0.94,0.9154514462923999,0.9591558182372231,True,0.06511763624310322,0.060534510141875345,0.10440141468123823,0.12168840722892421,0.19554087950199778,0.24213804056750138,0.4176056587249529,0.004573453459094639,0.994,0.994,0.0,0.10449070771376139,0.03515094610380588,0.023079622598939455,-2.5811460488626547e-05,9.23916535975804e-05,0.00015553984713995422,4.429202893137859e-06,-7.186893234731036e-06
teacher_linear,709,0,0.25,0.01,0.015625,500,500,0,477,0.954,0.9317745721187621,0.9706198246075972,True,0.13231267393628912,0.11838956074382984,0.22203905116488512,0.2534441898795486,0.4690114977850068,0.47355824297531934,0.8881562046595405,0.005312814037442398,0.988,0.0,0.0,,,,1.2946767351306853e-05,5.25184680634852e-06,-0.00018442320163741897,-0.00010462784316463743,2.735917963995853e-06
one_step_plugin,709,0,0.25,0.01,0.015625,500,500,0,477,0.954,0.9317745721187621,0.9706198246075972,True,0.13246092133986773,0.1187320944939899,0.2216552859085129,0.25326162945708447,0.46939446118039113,0.4749283779759596,0.8866211436340516,0.005756954882955573,0.988,0.0,0.0,,0.046837968410585386,0.030575351780850704,1.0905254320039276e-05,-1.1520544881816856e-05,-0.00020731240581749622,-9.882856848540461e-05,5.55699182529408e-06
teacher_linear,709,0,0.25,0.01,0.03125,500,500,0,470,0.94,0.9154514462923999,0.9591558182372231,True,0.2574129837299609,0.2387428468249626,0.41627632803874415,0.4889976110651068,0.9253148179354743,0.9549713872998504,1.6651053121549766,0.008122710976362496,0.986,0.0,0.0,,,,-0.00018347092206593644,0.00011097831021562692,-0.00019985616512447485,-0.0001372090732194458,-2.861665030694867e-05
one_step_plugin,709,0,0.25,0.01,0.03125,500,500,0,471,0.942,0.9177617791061647,0.9608161312028122,True,0.2574592329770513,0.23835688910852468,0.4186198016096132,0.488436757587121,0.9265448325229831,0.9534275564340987,1.6744792064384528,0.008228159456127083,0.986,0.0,0.0,,0.07838877143093889,0.05084357761122012,-0.00018740837228294234,9.635547234934736e-05,-0.00021607432039836595,-0.00012858826631573662,-2.635988682857704e-05
