feature_index,kernel_index,depth_offset,y_offset,x_offset,coefficient
11,6,-1,1,-1,-0.0004814393118107292
11,7,-1,1,0,-0.0012860278930245316
11,8,-1,1,1,0.00041225460458465917
11,9,0,-1,-1,-0.003179684713116763
11,10,0,-1,0,0.0007060949508780008
11,11,0,-1,1,0.0011830386640246265
11,12,0,0,-1,0.0061665330517802625
11,13,0,0,0,-0.00785667462279376
11,14,0,0,1,-0.0007663948653351772
11,15,0,1,-1,-0.004858179118316238
11,16,0,1,0,0.002736215095798536
11,17,0,1,1,-0.0005832795783589907
11,18,1,-1,-1,0.00023645110776000918
11,19,1,-1,0,0.0005495176005244781
11,20,1,-1,1,-0.0008874363041509213
11,21,1,0,-1,0.0008838188395916879
11,22,1,0,0,0.0010071950344123822
11,23,1,0,1,6.450942019771248e-05
11,24,1,1,-1,-0.0002120436848978839
11,25,1,1,0,-0.0009675130934863767
11,26,1,1,1,0.00041035523350453623
12,0,-1,-1,-1,-0.0008583708858316084
12,1,-1,-1,0,-0.0009598516434055919
12,2,-1,-1,1,-0.0013172929926167753
12,3,-1,0,-1,-0.001358564803671007
12,4,-1,0,0,-0.000739519787867118
12,5,-1,0,1,-0.0005560109032012399
12,6,-1,1,-1,0.0017126290759060007
12,7,-1,1,0,-0.0013589342795902338
12,8,-1,1,1,0.0008660269282013397
12,9,0,-1,-1,0.0002660435023127297
12,10,0,-1,0,0.00017823143777573913
12,11,0,-1,1,-0.00011837412553091635
12,12,0,0,-1,0.00015761795398417717
12,13,0,0,0,-0.0004695527728965651
12,14,0,0,1,0.00048561206432038616
12,15,0,1,-1,0.00022566085972753044
12,16,0,1,0,0.00016633398674189098
12,17,0,1,1,-0.00011107971546411204
12,18,1,-1,-1,0.00047964397784195837
12,19,1,-1,0,-8.380756571364025e-05
12,20,1,-1,1,0.0014920127857977255
12,21,1,0,-1,-0.0007544095654356407
12,22,1,0,0,-0.0022014485055808983
12,23,1,0,1,-0.0007878029196608621
12,24,1,1,-1,-0.0022668455405518467
12,25,1,1,0,-0.0003885002229813787
12,26,1,1,1,-0.0009383972067783837
13,0,-1,-1,-1,-0.0033648534965580253
13,1,-1,-1,0,0.0012419490996700944
13,2,-1,-1,1,0.0018990084056402514
13,3,-1,0,-1,-0.0007329108188529804
13,4,-1,0,0,-0.001035756608719158
13,5,-1,0,1,-0.00017498863183528965
13,6,-1,1,-1,0.0019118476871522994
13,7,-1,1,0,0.000829950439169515
13,8,-1,1,1,-0.001428268820841451
13,9,0,-1,-1,-0.00016799993023693978
13,10,0,-1,0,0.0022744580520816585
13,11,0,-1,1,-0.0005978459976849936
13,12,0,0,-1,-0.005335523159158604
13,13,0,0,0,0.00010558584401869304
13,14,0,0,1,0.0020459584054448956
13,15,0,1,-1,0.0009377533645469133
13,16,0,1,0,-0.0031579738651836744
13,17,0,1,1,0.0028975252461271614
13,18,1,-1,-1,-0.0028175129544304894
13,19,1,-1,0,0.001020406045545763
13,20,1,-1,1,0.0015199389596181599
13,21,1,0,-1,-0.0005341199670641405
13,22,1,0,0,-0.0008426716062900673
13,23,1,0,1,-0.0003793872088594061
13,24,1,1,-1,0.001734583734272713
13,25,1,1,0,0.0009258798732711868
13,26,1,1,1,-0.0013572488523046276
14,0,-1,-1,-1,-0.00012045574418623114
14,1,-1,-1,0,0.0010028111049645851
14,2,-1,-1,1,0.0007271244866566138
14,3,-1,0,-1,-0.0015566478134950525
14,4,-1,0,0,0.0014860102737470054
14,5,-1,0,1,-0.002572425627404948
14,6,-1,1,-1,-0.0013004973402284093
14,7,-1,1,0,0.0018017598601932682
14,8,-1,1,1,0.0010059400048854292
14,9,0,-1,-1,-8.680021102535982e-05
14,10,0,-1,0,0.003413849579012822
14,11,0,-1,1,0.0015798074970903215
14,12,0,0,-1,0.003592592166990945
14,13,0,0,0,-0.01110850442071849
14,14,0,0,1,0.0018153253831914434
14,15,0,1,-1,-0.0038578954120790715
14,16,0,1,0,0.006374274180941356
14,17,0,1,1,-0.002192749114630374
14,18,1,-1,-1,2.7424226100182878e-05
14,19,1,-1,0,0.0005375528452528099
14,20,1,-1,1,0.0003051092390846374
14,21,1,0,-1,-0.0016085761803672138
14,22,1,0,0,0.0011735328791501799
14,23,1,0,1,-0.0018930975372476917
14,24,1,1,-1,-0.0011082280108141334
14,25,1,1,0,0.001678658607356646
14,26,1,1,1,0.0012458838991515982
15,0,-1,-1,-1,-9.454931975734585e-05
15,1,-1,-1,0,-0.0001460592893949432
15,2,-1,-1,1,-0.00018765296163572774
15,3,-1,0,-1,-6.972403650392883e-05
15,4,-1,0,0,-0.00020388796505475435
15,5,-1,0,1,9.502972438120002e-05
15,6,-1,1,-1,-0.00010293162893453258
15,7,-1,1,0,-0.000195452167602821
15,8,-1,1,1,-6.588464445555605e-05
15,9,0,-1,-1,-0.00040887097362272176
15,10,0,-1,0,6.049981368674835e-05
15,11,0,-1,1,-0.0005500641184703276
15,12,0,0,-1,0.0011184479400937984
15,13,0,0,0,-0.0006605040018305143
15,14,0,0,1,0.0017334493899433625
15,15,0,1,-1,-0.0011023667404963973
15,16,0,1,0,-0.0001494813889320761
15,17,0,1,1,-0.0013225835425013151
15,18,1,-1,-1,5.7440258344506004e-05
15,19,1,-1,0,-0.00019192222038322276
15,20,1,-1,1,-6.405836139998581e-05
15,21,1,0,-1,-8.99954586418843e-05
15,22,1,0,0,-0.00022455784135042866
15,23,1,0,1,7.632219325294603e-05
15,24,1,1,-1,7.29052332620722e-05
15,25,1,1,0,-0.00013493426585393361
15,26,1,1,1,0.0001028163445794945
16,0,-1,-1,-1,0.0007327280293723919
16,1,-1,-1,0,0.0008013909350496286
16,2,-1,-1,1,0.0005560298671782699
16,3,-1,0,-1,0.0009311335767053127
16,4,-1,0,0,0.00044521790954073437
16,5,-1,0,1,0.00078959113704409
16,6,-1,1,-1,-0.0006228576785867859
16,7,-1,1,0,0.0006070109985547856
16,8,-1,1,1,-0.000907283535752596
16,9,0,-1,-1,-0.0005940528643586034
16,10,0,-1,0,-0.0008337807490643549
16,11,0,-1,1,-0.0005648300032109682
16,12,0,0,-1,-0.0005879394009630194
16,13,0,0,0,0.0023630110558438195
16,14,0,0,1,-0.0003775862833543019
16,15,0,1,-1,0.000607101205133278
16,16,0,1,0,-0.0003414580437098275
