split,sample_index,geometry_id,active_views,selected_baseline,accepted,uncertainty_score,ensemble_correction_ratio,ensemble_alpha,member_acceptance_rate,member_raw_ratio_mean,certificate_violation,candidate_relative_l2,candidate_gradient_relative_l2,candidate_front_f1,candidate_whitened_residual_rms,raw_ensemble_relative_l2,raw_ensemble_gradient_relative_l2,raw_ensemble_front_f1,raw_ensemble_whitened_residual_rms,pbb_fallback_relative_l2,pbb_fallback_gradient_relative_l2,pbb_fallback_front_f1,pbb_fallback_whitened_residual_rms,fixed_pg_relative_l2,fixed_pg_gradient_relative_l2,fixed_pg_front_f1,fixed_pg_whitened_residual_rms,projected_bb_relative_l2,projected_bb_gradient_relative_l2,projected_bb_front_f1,projected_bb_whitened_residual_rms,fista_relative_l2,fista_gradient_relative_l2,fista_front_f1,fista_whitened_residual_rms,gain_vs_fixed_pg_percent,gain_vs_projected_bb_percent,gain_vs_fista_percent
independent_select,15,independent_select_2af78ca5d6_0011100,3,projected_bb,False,0.0700632780790329,0.25506457686424255,0.9924877285957336,1.0,0.6309277415275574,False,0.6017194986343384,0.7005014419555664,0.8000000715255737,2.7099857330322266,0.6059805750846863,0.7057778239250183,0.8000000715255737,2.826585292816162,0.6017194986343384,0.7005014419555664,0.8000000715255737,2.7099857330322266,0.6421478986740112,0.7368829250335693,0.8000000715255737,4.334754467010498,0.6017194986343384,0.7005014419555664,0.8000000715255737,2.7099857330322266,0.6225628852844238,0.7203735709190369,0.8000000715255737,3.4891180992126465,6.2958083152771,0.0,3.347996950149536
independent_select,16,independent_select_2af78ca5d6_1011001,4,projected_bb,False,0.04402138665318489,0.22084511816501617,0.9938774108886719,1.0,0.7407616376876831,False,0.5295042395591736,0.6949307322502136,0.75,2.401010513305664,0.5250228047370911,0.6917685270309448,0.75,2.4237308502197266,0.5295042395591736,0.6949307322502136,0.75,2.401010513305664,0.5897163152694702,0.740350604057312,0.75,3.476853609085083,0.5295042395591736,0.6949307322502136,0.75,2.401010513305664,0.5616475939750671,0.7206809520721436,0.75,2.9155936241149902,10.210346221923828,0.0,5.723046779632568
independent_select,17,independent_select_2af78ca5d6_0110111,5,projected_bb,False,0.03853074833750725,0.35323449969291687,0.8605583906173706,1.0,0.43326640129089355,False,0.4979972243309021,0.6034522652626038,0.75,2.122314691543579,0.5132569074630737,0.6197083592414856,0.75,2.2662928104400635,0.4979972243309021,0.6034522652626038,0.75,2.122314691543579,0.5907304286956787,0.6880701780319214,0.75,2.8105690479278564,0.4979972243309021,0.6034522652626038,0.75,2.122314691543579,0.5539273619651794,0.6570878624916077,0.75,2.507021188735962,15.698057174682617,0.0,10.097016334533691
independent_select,18,independent_select_2af78ca5d6_1100100,3,projected_bb,False,0.03393666073679924,0.3671530783176422,0.8131565451622009,1.0,0.3656938970088959,False,0.426752507686615,0.5529795289039612,0.550000011920929,4.397762298583984,0.4205703139305115,0.5397151112556458,0.550000011920929,4.927969932556152,0.426752507686615,0.5529795289039612,0.550000011920929,4.397762298583984,0.5151244401931763,0.6331238150596619,0.550000011920929,7.162893772125244,0.426752507686615,0.5529795289039612,0.550000011920929,4.397762298583984,0.47087329626083374,0.5930428504943848,0.550000011920929,5.871835708618164,17.155454635620117,0.0,9.369991302490234
independent_select,19,independent_select_2af78ca5d6_1110001,4,projected_bb,False,0.045139413326978683,0.5785529017448425,0.49864670634269714,1.0,0.7584995031356812,False,0.4959048628807068,0.5779299736022949,0.699999988079071,2.0729598999023438,0.5057694911956787,0.5853101015090942,0.75,2.6341211795806885,0.4959048628807068,0.5779299736022949,0.699999988079071,2.0729598999023438,0.5554901957511902,0.6316149830818176,0.699999988079071,3.495537519454956,0.4959048628807068,0.5779299736022949,0.699999988079071,2.0729598999023438,0.5211753249168396,0.6009834408760071,0.699999988079071,2.7972729206085205,10.726621627807617,0.0,4.848744869232178
independent_select,20,independent_select_2af78ca5d6_1011110,5,projected_bb,False,0.056887514889240265,0.23526500165462494,0.9687350988388062,1.0,0.8166011571884155,False,0.3617938458919525,0.5008831024169922,0.9523809552192688,1.5302656888961792,0.3601043224334717,0.4996500313282013,0.9523809552192688,1.5442845821380615,0.3617938458919525,0.5008831024169922,0.9523809552192688,1.5302656888961792,0.433109849691391,0.5689173936843872,0.9047619104385376,2.147632122039795,0.3617938458919525,0.5008831024169922,0.9523809552192688,1.5302656888961792,0.3989395201206207,0.5381004214286804,0.9523809552192688,1.8220840692520142,16.466032028198242,0.0,9.311103820800781
independent_select,21,independent_select_2af78ca5d6_0110100,3,projected_bb,False,0.04698404297232628,0.28115394711494446,0.9327743053436279,1.0,0.5011929869651794,False,0.5174092054367065,0.6145563125610352,0.8500000238418579,4.603747844696045,0.5119480490684509,0.6061647534370422,0.8500000238418579,4.7630934715271,0.5174092054367065,0.6145563125610352,0.8500000238418579,4.603747844696045,0.6199933290481567,0.700609028339386,0.8500000238418579,6.712903022766113,0.5174092054367065,0.6145563125610352,0.8500000238418579,4.603747844696045,0.5747062563896179,0.6635056138038635,0.8500000238418579,5.783425331115723,16.546005249023438,0.0,9.969797134399414
independent_select,22,independent_select_2af78ca5d6_0100111,4,projected_bb,False,0.05141722038388252,0.35924702882766724,0.8120887279510498,1.0,0.4548860192298889,False,0.404936820268631,0.5840885043144226,0.5,1.5729604959487915,0.40319907665252686,0.5833178758621216,0.550000011920929,1.6979345083236694,0.404936820268631,0.5840885043144226,0.5,1.5729604959487915,0.4561587870121002,0.6369131207466125,0.550000011920929,2.5179057121276855,0.404936820268631,0.5840885043144226,0.5,1.5729604959487915,0.42752203345298767,0.6109226942062378,0.550000011920929,1.9512722492218018,11.22897720336914,0.0,5.28281831741333
independent_select,23,independent_select_2af78ca5d6_1111100,5,projected_bb,False,0.04408469796180725,0.4047055244445801,0.8002042174339294,1.0,0.833053708076477,False,0.41363024711608887,0.5379169583320618,0.8000000715255737,1.6345438957214355,0.4188770651817322,0.5404704213142395,0.8000000715255737,1.741010308265686,0.41363024711608887,0.5379169583320618,0.8000000715255737,1.6345438957214355,0.496326208114624,0.6117286682128906,0.75,2.324643135070801,0.41363024711608887,0.5379169583320618,0.8000000715255737,1.6345438957214355,0.4552375078201294,0.5766865611076355,0.75,1.964805245399475,16.6616153717041,0.0,9.139681816101074
independent_select,24,independent_select_2af78ca5d6_0001110,3,projected_bb,False,0.0495356023311615,0.366433709859848,0.8507981300354004,1.0,0.7077991366386414,False,0.5976411700248718,0.707854151725769,0.9268293380737305,3.934152603149414,0.5990597605705261,0.7103776335716248,0.9268293380737305,4.2308549880981445,0.5976411700248718,0.707854151725769,0.9268293380737305,3.934152603149414,0.6533533334732056,0.755211353302002,0.9268293380737305,6.008994102478027,0.5976411700248718,0.707854151725769,0.9268293380737305,3.934152603149414,0.6257330179214478,0.7332748174667358,0.9268293380737305,5.003443241119385,8.527111053466797,0.0,4.4894304275512695
