case_id,phantom_family,phantom_seed,dimensionless_stress_multiplier,refractivity_scale,method_id,ray_count,step_count,correction_applied,all_primary_gates_pass,matched_residual_prediction_relative_l2,corrected_residual_variance_ratio,per_ray_risk_spearman,valid_ray_fraction,candidate_to_high_reference_relative_l2,high_execution_to_high_reference_relative_l2,candidate_reference_error_to_high_execution_reference_error_ratio,candidate_q95_reference_error,high_execution_q95_reference_error,candidate_q95_reference_error_to_high_execution_q95_ratio,candidate_q95_reference_error_normalized_by_high256_rms,base_output_relative_l2,matched_residual_gate_met,residual_variance_gate_met,risk_spearman_gate_met,valid_fraction_gate_met,absolute_reference_gate_met,reference_no_harm_gate_met,q95_reference_no_harm_gate_met,base_output_consistency_gate_met
wrinkled_wide_aperture,wrinkled_density_interface,2718,1.0,0.0003,operator_consistent_homotopy,64,128,True,True,0.001422063577868065,9.096155814058988e-06,0.9996794871794871,1.0,0.0002721691599214303,0.0002719378878589394,1.0008504591409155,6.997790767592976e-08,6.989776491043214e-08,1.001146571218698,0.0007265164202888471,1.6683159941999226e-16,True,True,True,True,True,True,True,True
wrinkled_wide_aperture,wrinkled_density_interface,2718,1.0,0.0003,picard_1,64,128,True,False,0.0003616675046285861,5.079210096518571e-07,0.9999542124542123,1.0,0.00027183444320288963,0.0002719378878589394,0.9996196018993005,6.988733762323177e-08,6.989776491043214e-08,0.9998508208779817,0.0007255761145172564,,,,,,,,,
wrinkled_wide_aperture,wrinkled_density_interface,2718,1.0,0.0003,picard_2,64,128,True,False,0.0002918973685653693,3.977503196064014e-07,0.9999542124542123,1.0,0.0002718464356211352,0.0002719378878589394,0.999663701742614,6.988729900585193e-08,6.989776491043214e-08,0.9998502683942238,0.0007255757135884276,,,,,,,,,
wrinkled_wide_aperture,wrinkled_density_interface,2718,3.0,0.0009,continuous_affine_n1,64,128,True,False,0.06748312334153579,0.02193800016990027,0.9262362637362636,1.0,0.0003107734885208454,0.0002719336552783711,1.14282834245991,2.348925965236094e-07,2.044703290985737e-07,1.148785731206846,0.0008134713817483999,,,,,,,,,
wrinkled_wide_aperture,wrinkled_density_interface,2718,3.0,0.0009,operator_consistent_homotopy,64,128,True,True,0.00414979258485909,7.733804922418274e-05,0.9996794871794871,1.0,0.0002737875205053361,0.0002719336552783711,1.00681734382994,2.0559395681654723e-07,2.044703290985737e-07,1.0054953093826726,0.000712005412711539,1.3900028304584046e-16,True,True,True,True,True,True,True,True
wrinkled_wide_aperture,wrinkled_density_interface,2718,3.0,0.0009,picard_1,64,128,True,False,0.0005586529150437581,8.688714877290626e-07,0.9999999999999998,1.0,0.000271551172112778,0.0002719336552783711,0.9985934688179675,2.0424600345430718e-07,2.044703290985737e-07,0.9989028939051672,0.0007073372303152343,,,,,,,,,
wrinkled_wide_aperture,wrinkled_density_interface,2718,3.0,0.0009,picard_2,64,128,True,False,0.0002922324981433311,3.9883138008431314e-07,0.9999999999999998,1.0,0.00027166030328326245,0.0002719336552783711,0.9989947842431316,2.0428894958827924e-07,2.044703290985737e-07,0.9991129299243852,0.0007074859597833404,,,,,,,,,
wrinkled_wide_aperture,wrinkled_density_interface,2718,10.0,0.0029999999999999996,continuous_affine_n1,64,128,True,False,0.06854056237083514,0.022550722195147664,0.9259157509157508,1.0,0.0004844409773083382,0.0002731392939197978,1.7736041210188718,1.17333923999513e-06,6.952399715828668e-07,1.687675173974484,0.0012220846346426356,,,,,,,,,
wrinkled_wide_aperture,wrinkled_density_interface,2718,10.0,0.0029999999999999996,operator_consistent_homotopy,64,128,True,True,0.012215564388897114,0.0006703515402223724,0.9988553113553114,1.0,0.00029073147462495107,0.0002731392939197978,1.0644073595295993,7.342513296787082e-07,6.952399715828668e-07,1.0561120759599356,0.0007647551853545763,1.4457455714207677e-16,True,True,True,True,True,True,True,True
wrinkled_wide_aperture,wrinkled_density_interface,2718,10.0,0.0029999999999999996,picard_1,64,128,True,False,0.0013737657095434493,3.5885467317180483e-06,0.9998626373626371,1.0,0.0002709636100991405,0.0002731392939197978,0.9920345264519278,6.93538520842982e-07,6.952399715828668e-07,0.9975527144447534,0.0007223509970215496,,,,,,,,,
