source_split,method,source_seed,field_relative_l2,forward_calls,adjoint_calls
family_ood,prewhitened_pg4,20662020,0.826924204826355,4,4
family_ood,prewhitened_pg4,20662021,0.9072015285491943,4,4
family_ood,prewhitened_pg4,20662022,0.8946828246116638,4,4
family_ood,prewhitened_pg4,20662023,0.8861844539642334,4,4
family_ood,prewhitened_pg4,20662024,0.8841404318809509,4,4
family_ood,prewhitened_pg4,20662025,0.8291539549827576,4,4
family_ood,prewhitened_pg4,20662026,0.872800886631012,4,4
family_ood,prewhitened_pg4,20662027,0.8963968753814697,4,4
family_ood,prewhitened_pg4,20662028,0.8344926834106445,4,4
family_ood,prewhitened_pg4,20662029,0.894668459892273,4,4
family_ood,prewhitened_pg4,20662030,0.8319987654685974,4,4
family_ood,prewhitened_pg4,20662031,0.9147319197654724,4,4
family_ood,prewhitened_pg4,20662032,0.8646028637886047,4,4
family_ood,cg_unrolled4,20662001,0.6602200865745544,4,4
family_ood,cg_unrolled4,20662002,0.41213738918304443,4,4
family_ood,cg_unrolled4,20662003,0.3358820974826813,4,4
family_ood,cg_unrolled4,20662004,0.3685392737388611,4,4
family_ood,cg_unrolled4,20662005,0.31273624300956726,4,4
family_ood,cg_unrolled4,20662006,0.4024774730205536,4,4
family_ood,cg_unrolled4,20662007,0.7008697986602783,4,4
family_ood,cg_unrolled4,20662008,0.5073300004005432,4,4
family_ood,cg_unrolled4,20662009,0.4255615174770355,4,4
family_ood,cg_unrolled4,20662010,0.5667097568511963,4,4
family_ood,cg_unrolled4,20662011,0.506019651889801,4,4
family_ood,cg_unrolled4,20662012,0.5289055109024048,4,4
family_ood,cg_unrolled4,20662013,0.43404409289360046,4,4
family_ood,cg_unrolled4,20662014,0.5565147995948792,4,4
family_ood,cg_unrolled4,20662015,0.9591782689094543,4,4
family_ood,cg_unrolled4,20662016,0.47197410464286804,4,4
family_ood,cg_unrolled4,20662017,0.4826943874359131,4,4
family_ood,cg_unrolled4,20662018,0.39680394530296326,4,4
family_ood,cg_unrolled4,20662019,0.5452029705047607,4,4
family_ood,cg_unrolled4,20662020,0.26367127895355225,4,4
family_ood,cg_unrolled4,20662021,0.5178954601287842,4,4
family_ood,cg_unrolled4,20662022,0.4873630702495575,4,4
family_ood,cg_unrolled4,20662023,0.5367791652679443,4,4
family_ood,cg_unrolled4,20662024,0.5073885917663574,4,4
family_ood,cg_unrolled4,20662025,0.3118467628955841,4,4
family_ood,cg_unrolled4,20662026,0.45678314566612244,4,4
family_ood,cg_unrolled4,20662027,0.5349119901657104,4,4
family_ood,cg_unrolled4,20662028,0.28171730041503906,4,4
family_ood,cg_unrolled4,20662029,0.5085363388061523,4,4
family_ood,cg_unrolled4,20662030,0.470698744058609,4,4
family_ood,cg_unrolled4,20662031,0.5375733971595764,4,4
family_ood,cg_unrolled4,20662032,0.42165905237197876,4,4
layout_ood,unweighted_pg4,20762001,0.8253111243247986,4,4
layout_ood,unweighted_pg4,20762002,0.8313606381416321,4,4
layout_ood,unweighted_pg4,20762003,0.8751126527786255,4,4
layout_ood,unweighted_pg4,20762004,0.8420276641845703,4,4
layout_ood,unweighted_pg4,20762005,0.8773256540298462,4,4
layout_ood,unweighted_pg4,20762006,0.8095949292182922,4,4
layout_ood,unweighted_pg4,20762007,0.8480908274650574,4,4
layout_ood,unweighted_pg4,20762008,0.8785371780395508,4,4
layout_ood,unweighted_pg4,20762009,0.8205772042274475,4,4
layout_ood,unweighted_pg4,20762010,0.8538302779197693,4,4
layout_ood,unweighted_pg4,20762011,0.823415219783783,4,4
layout_ood,unweighted_pg4,20762012,0.9131004810333252,4,4
layout_ood,unweighted_pg4,20762013,0.8330146670341492,4,4
layout_ood,unweighted_pg4,20762014,0.8506554365158081,4,4
layout_ood,unweighted_pg4,20762015,0.8410723805427551,4,4
layout_ood,unweighted_pg4,20762016,0.9313869476318359,4,4
layout_ood,unweighted_pg4,20762017,0.8798872828483582,4,4
layout_ood,unweighted_pg4,20762018,0.8837147951126099,4,4
layout_ood,unweighted_pg4,20762019,0.8572099208831787,4,4
layout_ood,unweighted_pg4,20762020,0.9114291071891785,4,4
layout_ood,unweighted_pg4,20762021,0.872016429901123,4,4
layout_ood,unweighted_pg4,20762022,0.8618242740631104,4,4
layout_ood,unweighted_pg4,20762023,0.8667877316474915,4,4
layout_ood,unweighted_pg4,20762024,0.8680009841918945,4,4
layout_ood,unweighted_pg4,20762025,0.9123046398162842,4,4
layout_ood,unweighted_pg4,20762026,0.8253065943717957,4,4
layout_ood,unweighted_pg4,20762027,0.8630498051643372,4,4
layout_ood,unweighted_pg4,20762028,0.880154013633728,4,4
layout_ood,unweighted_pg4,20762029,0.8951927423477173,4,4
layout_ood,unweighted_pg4,20762030,0.8552504777908325,4,4
layout_ood,unweighted_pg4,20762031,0.8859807848930359,4,4
layout_ood,unweighted_pg4,20762032,0.8476499915122986,4,4
layout_ood,prewhitened_pg4,20762001,0.7239029407501221,4,4
layout_ood,prewhitened_pg4,20762002,0.7160696983337402,4,4
layout_ood,prewhitened_pg4,20762003,0.7558839321136475,4,4
layout_ood,prewhitened_pg4,20762004,0.7372338175773621,4,4
layout_ood,prewhitened_pg4,20762005,0.8053898215293884,4,4
layout_ood,prewhitened_pg4,20762006,0.671622097492218,4,4
