field_uid,rig_id,family,reserved_view,source_gain_vs_pbb9,reserved_gain_vs_pbb9,target_gain_vs_pbb9
fresh-budget-rig-a:pulsed_toroidal_plume:1,fresh-budget-rig-a,pulsed_toroidal_plume,3,-0.030375534496260403,-0.08040316272437642,0.015153945296395688
fresh-budget-rig-a:pulsed_toroidal_plume:2,fresh-budget-rig-a,pulsed_toroidal_plume,3,-0.00690198713080914,0.020063828081287594,0.00582132458308815
fresh-budget-rig-a:pulsed_toroidal_plume:3,fresh-budget-rig-a,pulsed_toroidal_plume,3,0.005384883177970035,-0.03212420450111719,0.03100340817768643
fresh-budget-rig-a:pulsed_toroidal_plume:4,fresh-budget-rig-a,pulsed_toroidal_plume,3,-0.013700319183468146,-0.025307342895231066,-0.06109685344442317
fresh-budget-rig-a:pulsed_toroidal_plume:5,fresh-budget-rig-a,pulsed_toroidal_plume,3,0.0011450809908374326,-0.004257962790728431,0.06677297321234699
fresh-budget-rig-a:pulsed_toroidal_plume:6,fresh-budget-rig-a,pulsed_toroidal_plume,3,0.015599895335325464,0.006628743868481002,0.04452017119625307
fresh-budget-rig-a:pulsed_toroidal_plume:7,fresh-budget-rig-a,pulsed_toroidal_plume,3,-0.009632799796432945,-0.0724154408659583,-0.038230665134876496
fresh-budget-rig-a:pulsed_toroidal_plume:8,fresh-budget-rig-a,pulsed_toroidal_plume,3,0.0032955031093945264,-0.040014236860854036,-0.0009850968358582346
fresh-budget-rig-a:pulsed_toroidal_plume:9,fresh-budget-rig-a,pulsed_toroidal_plume,3,-0.03005503246338881,-0.0885644756803683,-0.06868409667781017
fresh-budget-rig-a:pulsed_toroidal_plume:10,fresh-budget-rig-a,pulsed_toroidal_plume,3,-0.002778407291290863,0.005206583805954956,-0.013119551731624268
fresh-budget-rig-a:pulsed_toroidal_plume:11,fresh-budget-rig-a,pulsed_toroidal_plume,3,-0.0056065269520226835,-0.0209041673596273,-0.008272862545602333
fresh-budget-rig-a:pulsed_toroidal_plume:12,fresh-budget-rig-a,pulsed_toroidal_plume,3,-0.015261692540097238,-0.006802664708939643,-0.0069122079461958474
