candidate_id,method,covariance_mode,penalty,stages,perturbation_inner_steps,perturbation_initial_step,perturbation_decay,forward_calls,adjoint_calls,total_operator_calls,graph_same_stage_id,graph_budget_floor_id,graph_budget_ceiling_id,replicate_count,field_count,mean_field_gain_vs_component_percent,mean_field_gain_vs_graph_same_stage_percent,field_gain_vs_graph_same_stage_p10_percent,mean_field_gain_vs_graph_budget_floor_percent,field_gain_vs_graph_budget_floor_p10_percent,field_harm_vs_graph_budget_floor_over_one_percent_rate,worst_field_gain_vs_graph_budget_floor_percent,mean_field_gain_vs_graph_budget_ceiling_percent,mean_gradient_gain_vs_graph_budget_floor_percent,mean_front_gain_vs_graph_budget_floor,mean_solver_elapsed_seconds,mean_perturbation_norm
sup_tv_k5_n4_g2p56_a0p7,superiorized_pcgls,full_graph,tv,5,4,2.56,0.7,9,5,14,graph_s3_k5,graph_s3_k7,graph_s3_k7,2,16,4.4264703826858325,-2.8931427793756646,-8.355328783113993,-13.160316232972294,-33.16810609261081,0.75,-35.70980547921523,-13.160316232972294,-9.256887235796373,-0.0404167715460062,0.09447187496698461,1.925069510936737
sup_tv_k6_n1_g0p32_a0p7,superiorized_pcgls,full_graph,tv,6,1,0.32,0.7,11,6,17,graph_s3_k6,graph_s3_k8,graph_s3_k9,2,16,8.596504327908447,-3.2637552650859076,-8.563140151507367,-9.565588151980837,-24.044619281565083,0.75,-32.86570449629615,-12.573739424249364,-6.895042614308851,-0.025018193759024143,0.08100441697752103,0.17747840285301208
sup_tv_k6_n1_g0p64_a0p7,superiorized_pcgls,full_graph,tv,6,1,0.64,0.7,11,6,17,graph_s3_k6,graph_s3_k8,graph_s3_k9,2,16,8.866627095356149,-2.9593758302478967,-8.582279522944917,-9.239900380582657,-23.952900269075975,0.75,-31.953142047738453,-12.240214776634637,-6.493419099388893,-0.021493914537131786,0.08247399950050749,0.3549567461013794
sup_tv_k6_n1_g1p28_a0p7,superiorized_pcgls,full_graph,tv,6,1,1.28,0.7,11,6,17,graph_s3_k6,graph_s3_k8,graph_s3_k9,2,16,9.28362981639115,-2.5074684277330723,-8.601670776826047,-8.75687856434045,-24.10778791571741,0.6875,-29.91306969354746,-11.747718358266063,-5.797126397573743,-0.018140243366360664,0.08318970800610259,0.7099135518074036
sup_tv_k6_n1_g2p56_a0p7,superiorized_pcgls,full_graph,tv,6,1,2.56,0.7,11,6,17,graph_s3_k6,graph_s3_k8,graph_s3_k9,2,16,9.526902372374153,-2.2843492260949576,-8.565179367131789,-8.52457513373723,-25.481633314668045,0.6875,-26.43397630768326,-11.517780826096457,-5.046401925241699,-0.016006100922822952,0.08365404198411852,1.4198271036148071
sup_tv_k6_n2_g0p32_a0p7,superiorized_pcgls,full_graph,tv,6,2,0.32,0.7,11,6,17,graph_s3_k6,graph_s3_k8,graph_s3_k9,2,16,8.490733370124069,-3.3956606510947074,-9.040749847987858,-9.709017003820453,-24.22637637712306,0.75,-33.22854736519725,-12.722686737214332,-7.028431260321694,-0.02530487533658743,0.09531633349251933,0.2068023905158043
sup_tv_k6_n2_g0p64_a0p7,superiorized_pcgls,full_graph,tv,6,2,0.64,0.7,11,6,17,graph_s3_k6,graph_s3_k8,graph_s3_k9,2,16,8.656082817668349,-3.225292877996106,-9.71300966816914,-9.525715660083645,-24.69205403182822,0.75,-32.3326091533794,-12.537341271608259,-6.751648614776208,-0.02240854687988758,0.09236047900049016,0.41213032603263855
sup_tv_k6_n2_g1p28_a0p7,superiorized_pcgls,full_graph,tv,6,2,1.28,0.7,11,6,17,graph_s3_k6,graph_s3_k8,graph_s3_k9,2,16,8.509089452663453,-3.4296176519590538,-9.810231008280528,-9.754253236393257,-26.21299284993216,0.75,-30.594290144134142,-12.779134475328004,-6.5260771153527894,-0.02225610986351967,0.09265418749419041,0.8147715032100677
sup_tv_k6_n2_g2p56_a0p7,superiorized_pcgls,full_graph,tv,6,2,2.56,0.7,11,6,17,graph_s3_k6,graph_s3_k8,graph_s3_k9,2,16,8.694025422720854,-3.2321339369656865,-9.535631618220421,-9.5452719594441,-26.501167351602717,0.75,-27.249883592282902,-12.569979158952282,-5.886650930948608,-0.02027439884841442,0.09530637497664429,1.5781760215759277
sup_tv_k6_n4_g0p32_a0p7,superiorized_pcgls,full_graph,tv,6,4,0.32,0.7,11,6,17,graph_s3_k6,graph_s3_k8,graph_s3_k9,2,16,8.38192633974612,-3.5430198822281325,-9.755135327804556,-9.878310901779985,-24.737597801924334,0.75,-33.73704611144077,-12.898241043292797,-7.176407792934606,-0.026371951214969158,0.1198180204955861,0.2121957167983055
sup_tv_k6_n4_g0p64_a0p7,superiorized_pcgls,full_graph,tv,6,4,0.64,0.7,11,6,17,graph_s3_k6,graph_s3_k8,graph_s3_k9,2,16,8.258183904553075,-3.7250134287463155,-10.914549281032329,-10.081175268949172,-26.28751535269848,0.75,-33.338341978829696,-13.112329596309642,-7.175779375921272,-0.02591463178396225,0.12082006252603605,0.42139139771461487
sup_tv_k6_n4_g1p28_a0p7,superiorized_pcgls,full_graph,tv,6,4,1.28,0.7,11,6,17,graph_s3_k6,graph_s3_k8,graph_s3_k9,2,16,7.6454121784712745,-4.441228719530349,-10.752221993176772,-10.860086003748162,-27.94898024285844,0.75,-32.61964282296193,-13.918866065858307,-7.369383154108566,-0.02871850412338972,0.11733925048611127,0.8239445388317108
sup_tv_k6_n4_g2p56_a0p7,superiorized_pcgls,full_graph,tv,6,4,2.56,0.7,11,6,17,graph_s3_k6,graph_s3_k8,graph_s3_k9,2,16,8.698930373871786,-3.122622877302078,-7.9105304837190555,-9.41785133461319,-24.41018853147841,0.75,-28.609909461554658,-12.433573523511184,-5.971940908332265,-0.02256098762154579,0.11533797951415181,1.544364333152771
