experiment,split,seed_count,parameters_mean,train_seconds_mean,field_rel_l2_mean,field_rel_l2_seed_std,field_rel_l2_seed_ci95_t,gradient_rel_l2_mean,gradient_rel_l2_seed_std,gradient_rel_l2_seed_ci95_t,observed_reprojection_rel_l2_mean,observed_reprojection_rel_l2_seed_std,observed_reprojection_rel_l2_seed_ci95_t,heldout_reprojection_rel_l2_mean,heldout_reprojection_rel_l2_seed_std,heldout_reprojection_rel_l2_seed_ci95_t,mass_relative_error_mean,mass_relative_error_seed_std,mass_relative_error_seed_ci95_t,centroid_error_mean,centroid_error_seed_std,centroid_error_seed_ci95_t,router_weight_mean,router_weight_seed_std,router_weight_seed_ci95_t
uniform_dual,test_iid,3,43485.0,13.080399986278886,0.25774361416697505,0.008519245747298267,0.021162979636532245,0.4290454844633738,0.014824966055464755,0.036827257253798526,0.24379738594094913,0.009735780326635508,0.024185019062712212,0.30145070776343347,0.008875477155769135,0.02204790751242467,0.10135065213932344,0.011597801444759479,0.02881053594231948,0.03236001055610638,0.0018060888025792034,0.004486573305256996,0.5,0.0,0.0
uniform_dual,test_view_ood,3,43485.0,13.080399986278886,0.3382233567535877,0.0011206060479076916,0.002783739743622994,0.5414474482337633,0.004228288042026795,0.010503649781341726,0.27850660185019177,0.010719062179776162,0.02662762659537866,0.415282401877145,0.007453066889217929,0.018514444527703976,0.07122531504743772,0.0034348070828827864,0.008532533807176272,0.03521109551288367,0.005174744785539505,0.012854778670442059,0.5,0.0,0.0
uniform_dual,test_noise_ood,3,43485.0,13.080399986278886,0.29339837562292814,0.00313237758420631,0.00778125728436829,0.48049369857956964,0.006732843412375052,0.016725310227990644,0.2780904428412517,0.006347021544702515,0.01576687557648735,0.3395010456442833,0.003553282460315849,0.008826842960171596,0.09516824364618515,0.02674398643318185,0.06643574526120623,0.03131206789469031,0.0016858820756328553,0.004187963241643498,0.5,0.0,0.0
uniform_dual,test_joint_ood,3,43485.0,13.080399986278886,0.3767137508839369,0.010072800115422356,0.025022222629643754,0.5576844935615858,0.0042090143089263884,0.010455771174100795,0.2866998727743824,0.014407670391179135,0.03579063735719672,0.4311446805174152,0.009481722053349111,0.0235539033250593,0.108420437585058,0.0394052886253362,0.09788816351660398,0.0526343947911642,0.006645930173630868,0.016509405773975857,0.5,0.0,0.0
uniform_dual,test_family_ood,3,43485.0,13.080399986278886,0.6908007929722468,0.00407504919932212,0.010122983393274066,0.8876400828361511,0.0012282394740728252,0.003051115996604697,0.5769771416982016,0.012046439404700682,0.02992501441753216,0.7000408848126729,0.00838745649575998,0.020835596986782636,0.10191779967863113,0.015202564542827868,0.03776526389615712,0.0403532589011966,0.0005957542838545736,0.0014799356834599572,0.5,0.0,0.0
support_fit_mix,test_iid,3,43485.0,13.080399986278886,0.2571403530736764,0.008723041411291071,0.021669236130947973,0.4269900366663933,0.015223499338496418,0.03781726881156515,0.23985198140144348,0.010879633661674628,0.027026508268994276,0.3000802330672741,0.007863337130540611,0.01953361230618256,0.10526316054310882,0.012693648067270517,0.031532769863593386,0.033875314143123766,0.00270383548089728,0.006716699684465522,0.5396870970726013,0.12691884889501248,0.3152838988720422
support_fit_mix,test_view_ood,3,43485.0,13.080399986278886,0.33804865274578333,0.001522678555575433,0.003782543222778454,0.5415387166043123,0.0043167735295195995,0.010723459917765214,0.2742421676715215,0.01108704927623597,0.027541757219131973,0.41488104841361445,0.008114100720509974,0.020156543596759353,0.07605012920695724,0.00995318892191372,0.024725091953101484,0.03708156261801602,0.005633524624462727,0.013994450969701977,0.5951543748378754,0.24151872610205652,0.5999657756040173
support_fit_mix,test_noise_ood,3,43485.0,13.080399986278886,0.29205043738087016,0.0033224829344993666,0.008253505154236779,0.47894997553279,0.006621681752770997,0.016449169357267462,0.2743199185157816,0.004454810069699071,0.01106636169282458,0.33803241203228634,0.0037601141050791565,0.009340641248911475,0.1032005408560508,0.014332439623124098,0.03560375376918726,0.034327741855885746,0.005103247685626661,0.012677170028267784,0.4583652416865031,0.21251858510171381,0.5279254316989891
support_fit_mix,test_joint_ood,3,43485.0,13.080399986278886,0.3765892793113987,0.0058906538698798565,0.014633195425036574,0.559909101575613,0.006188336362901062,0.015372679732078403,0.28039760639270145,0.012521540220519982,0.03110523027099223,0.43067830211172503,0.00993672848281274,0.02468420195557877,0.10866987813885014,0.028961789026578286,0.07194507232068001,0.053783386365599366,0.005224637692095599,0.012978719521166885,0.6811593572298685,0.14254387376298863,0.3540986123936185
support_fit_mix,test_family_ood,3,43485.0,13.080399986278886,0.6888284474611283,0.0027747615348508482,0.006892889769837219,0.8869773983955384,0.0014775095021193865,0.0036703370736842224,0.5706206426024437,0.010573677118551332,0.026266470082064928,0.6966101109981538,0.006268838502665513,0.015572658133343874,0.0925908971146176,0.014074521183534916,0.03496304884684797,0.03963310784580582,0.0018212060181579384,0.004524126550572791,0.30876342859119177,0.5235817863934832,1.3006492607656575
query_router,test_iid,3,43485.0,13.080399986278886,0.2577848588426908,0.008500587538575747,0.021116630076610927,0.42907182822624845,0.014691371105293031,0.03649538899997755,0.24389840488632522,0.009613516579760244,0.023881299078319474,0.3014632359147072,0.008865703876805296,0.02202362934158314,0.10148378752249604,0.011854277711650346,0.02944765830907203,0.03236512503216709,0.0018516639890485205,0.004599788344685479,0.5033828914165497,0.02856754496013686,0.07096571576759905
query_router,test_view_ood,3,43485.0,13.080399986278886,0.3381565200785796,0.0010425577836983293,0.002589857107163863,0.5413554639865955,0.004117785061467104,0.010229145160072582,0.27823553172250587,0.010890482773917846,0.027053458957856664,0.41519602201879025,0.007385265196939906,0.018346015786995646,0.0712860613760616,0.0034872221488082148,0.008662740049105508,0.035228163732834356,0.005152711206992292,0.012800044227048115,0.501730481783549,0.029493037247696884,0.073264766061061
query_router,test_noise_ood,3,43485.0,13.080399986278886,0.29366083225856227,0.0029582046248441737,0.007348587667649649,0.4806911718721191,0.006669582685646093,0.016568161871050507,0.2783367627610763,0.006546483569950007,0.01626236671546674,0.33960277820006013,0.0034521384143333285,0.008575587221227407,0.09547625177704806,0.026894693184498247,0.06681012158556668,0.0312656785413927,0.0014320137212864576,0.003557319288791616,0.5000526507695516,0.03352300578877387,0.0832757628911178
query_router,test_joint_ood,3,43485.0,13.080399986278886,0.37683271740873653,0.00986584173300128,0.02450810950710871,0.5576727123310169,0.004309899748968597,0.010706384500276174,0.2866367185488343,0.01439542438915743,0.035760216601756434,0.4311179894333084,0.009480429726114048,0.023550693006238757,0.10978491331237213,0.03930776880359325,0.09764591084976913,0.052401010271767336,0.006786453253548268,0.016858484456169977,0.4986145993073781,0.034495144728276715,0.08569068989179777
query_router,test_family_ood,3,43485.0,13.080399986278886,0.6909063975016276,0.004192910847532894,0.0104157679583635,0.8876546025276184,0.001299296648222869,0.0032276318026012315,0.5773322641849518,0.012097433924083958,0.03005169182622474,0.70017112493515,0.008834443677018125,0.021945974700414976,0.102191492371882,0.01565135984255879,0.038880133225075,0.04050657514313645,0.0005392274737307852,0.0013395153027065038,0.5024606982866923,0.03155373580617162,0.07838382506271763
