cell_id,geometry,family,dynamics,noise_level,view_count,seed,mode,selected_rank,oracle_rank,selected_regret_pct,full_rank_regret_pct,rank3_regret_pct,prediction_std,vote_entropy,rank_vote_count,rank_votes,prediction_margin,inverse_margin,predicted_risk,prediction_std_percentile,vote_entropy_percentile,inverse_margin_percentile,predicted_risk_percentile,combined_uncertainty
g-jittered_f-jet_filaments_d-smooth_v-7_n-0.00_s-20260731,jittered,jet_filaments,smooth,0.0,7,20260731,with_holdout,18,18,0.0,0.0,2.4578308534095203,0.001330229093374729,0.418165660077809,2,"[18,12,18,12,12]",3.154498210046833e-05,-3.154498210046833e-05,0.0013136848486564666,0.1445993031358885,0.9512195121951219,0.9912891986062717,0.8832752613240418,0.742595818815331
g-jittered_f-jet_filaments_d-smooth_v-7_n-0.00_s-20260732,jittered,jet_filaments,smooth,0.0,7,20260732,no_holdout,18,18,0.0,0.0,2.4578308534095203,0.0017003353868007226,0.418165660077809,2,"[18,12,18,12,12]",0.00010643728631984199,-0.00010643728631984199,-0.0010957835856071035,0.22473867595818817,0.9494773519163763,0.9599303135888502,0.8832752613240418,0.754355400696864
g-jittered_f-jet_filaments_d-smooth_v-7_n-0.00_s-20260732,jittered,jet_filaments,smooth,0.0,7,20260732,with_holdout,18,18,0.0,0.0,2.4578308534095203,0.001330229093374729,0.418165660077809,2,"[18,12,18,12,12]",3.154498210046833e-05,-3.154498210046833e-05,0.0013136848486564666,0.1445993031358885,0.9512195121951219,0.9912891986062717,0.8832752613240418,0.742595818815331
g-jittered_f-jet_filaments_d-smooth_v-7_n-0.00_s-20260733,jittered,jet_filaments,smooth,0.0,7,20260733,no_holdout,18,18,0.0,0.0,2.4578308534095203,0.0017003353868007226,0.418165660077809,2,"[18,12,18,12,12]",0.00010643728631984199,-0.00010643728631984199,-0.0010957835856071035,0.22473867595818817,0.9494773519163763,0.9599303135888502,0.8832752613240418,0.754355400696864
g-jittered_f-jet_filaments_d-smooth_v-7_n-0.00_s-20260733,jittered,jet_filaments,smooth,0.0,7,20260733,with_holdout,18,18,0.0,0.0,2.4578308534095203,0.001330229093374729,0.418165660077809,2,"[18,12,18,12,12]",3.154498210046833e-05,-3.154498210046833e-05,0.0013136848486564666,0.1445993031358885,0.9512195121951219,0.9912891986062717,0.8832752613240418,0.742595818815331
g-jittered_f-jet_filaments_d-smooth_v-7_n-0.14_s-20260730,jittered,jet_filaments,smooth,0.14,7,20260730,no_holdout,5,8,0.21935672616574275,1.055692303858485,1.647812802816937,0.000580195384683986,-6.213901715968123e-13,1,"[5,5,5,5,5]",0.0006276212084901384,-0.0006276212084901384,-0.004954709348368199,0.003484320557491289,0.39547038327526135,0.89198606271777,0.759581881533101,0.5126306620209059
g-jittered_f-jet_filaments_d-smooth_v-7_n-0.14_s-20260730,jittered,jet_filaments,smooth,0.14,7,20260730,with_holdout,5,8,0.21935672616574275,1.055692303858485,1.647812802816937,0.0012481588480507601,-6.213901715968123e-13,1,"[5,5,5,5,5]",0.0004938972861979452,-0.0004938972861979452,-0.0027364998872173594,0.11149825783972125,0.3832752613240418,0.8885017421602788,0.7421602787456446,0.5313588850174216
g-jittered_f-jet_filaments_d-smooth_v-7_n-0.14_s-20260731,jittered,jet_filaments,smooth,0.14,7,20260731,no_holdout,5,8,0.24310713238725973,1.0855946072137315,1.6838047073514943,0.0005720426054719638,-6.213901715968123e-13,1,"[5,5,5,5,5]",0.0018655566110264764,-0.0018655566110264764,-0.005237819010880692,0.0,0.39547038327526135,0.6341463414634146,0.735191637630662,0.4412020905923345
g-jittered_f-jet_filaments_d-smooth_v-7_n-0.14_s-20260731,jittered,jet_filaments,smooth,0.14,7,20260731,with_holdout,5,8,0.24310713238725973,1.0855946072137315,1.6838047073514943,0.0012430986059759944,-6.213901715968123e-13,1,"[5,5,5,5,5]",0.0017374358209051566,-0.0017374358209051566,-0.00292258478325506,0.10452961672473868,0.3832752613240418,0.6376306620209059,0.7386759581881533,0.46602787456445993
g-jittered_f-jet_filaments_d-smooth_v-7_n-0.14_s-20260732,jittered,jet_filaments,smooth,0.14,7,20260732,no_holdout,5,8,0.20695325633937042,1.0457980522550834,1.6901949653130741,0.0005930513190795263,-6.213901715968123e-13,1,"[5,5,5,5,5]",0.0023509017181696634,-0.0023509017181696634,-0.0047576680062826945,0.010452961672473868,0.39547038327526135,0.5818815331010453,0.7630662020905923,0.4377177700348432
g-jittered_f-jet_filaments_d-smooth_v-7_n-0.14_s-20260732,jittered,jet_filaments,smooth,0.14,7,20260732,with_holdout,5,8,0.20695325633937042,1.0457980522550834,1.6901949653130741,0.0012785642964089356,-6.213901715968123e-13,1,"[5,5,5,5,5]",0.002253135210252189,-0.002253135210252189,-0.0025595808323739004,0.12195121951219512,0.3832752613240418,0.5679442508710801,0.7456445993031359,0.4547038327526133
g-jittered_f-jet_filaments_d-smooth_v-7_n-0.14_s-20260733,jittered,jet_filaments,smooth,0.14,7,20260733,no_holdout,5,8,0.24424150961034227,1.0168608399154657,1.7216215241527202,0.0006409379313232281,-6.213901715968123e-13,1,"[5,5,5,5,5]",0.003064132159409319,-0.003064132159409319,-0.004585307994302271,0.020905923344947737,0.39547038327526135,0.45993031358885017,0.7665505226480837,0.4107142857142857
g-jittered_f-jet_filaments_d-smooth_v-7_n-0.14_s-20260733,jittered,jet_filaments,smooth,0.14,7,20260733,with_holdout,5,8,0.24424150961034227,1.0168608399154657,1.7216215241527202,0.0013281677393176623,-6.213901715968123e-13,1,"[5,5,5,5,5]",0.003008747014050104,-0.003008747014050104,-0.002427353732019848,0.13588850174216027,0.3832752613240418,0.47038327526132406,0.7630662020905923,0.4381533101045296
g-jittered_f-jet_filaments_d-smooth_v-7_n-0.28_s-20260730,jittered,jet_filaments,smooth,0.28,7,20260730,no_holdout,5,5,0.0,4.525658482826806,0.5820334256682749,0.003904892357342079,-6.213901715968123e-13,1,"[5,5,5,5,5]",0.003555301354750049,-0.003555301354750049,-0.03353365689523817,0.686411149825784,0.39547038327526135,0.41114982578397213,0.18815331010452963,0.4202961672473868
g-jittered_f-jet_filaments_d-smooth_v-7_n-0.28_s-20260730,jittered,jet_filaments,smooth,0.28,7,20260730,with_holdout,5,5,0.0,4.525658482826806,0.5820334256682749,0.004554566147819073,-6.213901715968123e-13,1,"[5,5,5,5,5]",0.003730222635355919,-0.003730222635355919,-0.03059643890160213,0.8118466898954704,0.3832752613240418,0.3902439024390244,0.20557491289198607,0.4477351916376307
g-jittered_f-jet_filaments_d-smooth_v-7_n-0.28_s-20260731,jittered,jet_filaments,smooth,0.28,7,20260731,no_holdout,5,5,0.0,4.562323532701624,0.5069652569966393,0.0038863558166372003,-6.213901715968123e-13,1,"[5,5,5,5,5]",0.006501492691644382,-0.006501492691644382,-0.03401401276324538,0.6689895470383276,0.39547038327526135,0.11149825783972125,0.156794425087108,0.33318815331010454
g-jittered_f-jet_filaments_d-smooth_v-7_n-0.28_s-20260731,jittered,jet_filaments,smooth,0.28,7,20260731,with_holdout,5,5,0.0,4.562323532701624,0.5069652569966393,0.004542012850243902,-6.213901715968123e-13,1,"[5,5,5,5,5]",0.006750221462806384,-0.006750221462806384,-0.030866021522559933,0.8048780487804879,0.3832752613240418,0.10801393728222997,0.1986062717770035,0.37369337979094075
