training_arm,model_seed,pair_index,source_index,geometry_id,shuffled_pairing_rule,ray_input_swap_relative_pct,attention_swap_mean_l1,correction_swap_relative_pct,correct_ray_set_field_rel_l2,wrong_ray_set_field_rel_l2,correct_ray_set_field_gain_pct
m4_counterfactual,20261401,10,160,g_111001110,cyclic angle reassignment within unchanged active ray set,0.0,0.0008479080279357731,8.014203071594238,0.15030185878276825,0.14923520386219025,-0.7147475481033325
m4_counterfactual,20261401,11,160,g_111010110,cyclic angle reassignment within unchanged active ray set,0.0,0.0008440269157290459,8.000184059143066,0.14941616356372833,0.14674951136112213,-1.817145586013794
m4_counterfactual,20261401,12,196,g_011010111,cyclic angle reassignment within unchanged active ray set,0.0,0.0008932469063438475,11.380590438842773,0.16817204654216766,0.16800940036773682,-0.09680778533220291
m4_counterfactual,20261401,13,196,g_101011110,cyclic angle reassignment within unchanged active ray set,0.0,0.0008132696966640651,14.61287784576416,0.13702848553657532,0.13650698959827423,-0.3820287585258484
m4_counterfactual,20261401,14,196,g_111001110,cyclic angle reassignment within unchanged active ray set,0.0,0.0008096967358142138,17.095169067382812,0.18750353157520294,0.1872418075799942,-0.13977861404418945
m4_counterfactual,20261401,15,196,g_111010110,cyclic angle reassignment within unchanged active ray set,0.0,0.0008131740614771843,16.9346981048584,0.15867014229297638,0.15673457086086273,-1.2349358797073364
m4_counterfactual,20261401,16,174,g_011010111,cyclic angle reassignment within unchanged active ray set,0.0,0.0009294964838773012,23.461254119873047,0.14912669360637665,0.15000160038471222,0.583264946937561
m4_counterfactual,20261401,17,174,g_101011110,cyclic angle reassignment within unchanged active ray set,0.0,0.00083924550563097,21.978105545043945,0.1137966439127922,0.11402460187673569,0.19991998374462128
m4_counterfactual,20261401,18,174,g_111001110,cyclic angle reassignment within unchanged active ray set,0.0,0.0008563248557038605,25.51213836669922,0.167150616645813,0.16669905185699463,-0.27088624238967896
m4_counterfactual,20261401,19,174,g_111010110,cyclic angle reassignment within unchanged active ray set,0.0,0.0008465939317829907,28.70097541809082,0.13261130452156067,0.12971694767475128,-2.2312865257263184
m4_counterfactual,20261401,20,178,g_011010111,cyclic angle reassignment within unchanged active ray set,0.0,0.0009340352844446898,17.773128509521484,0.2282402068376541,0.22762668132781982,-0.2695314586162567
m4_counterfactual,20261401,21,178,g_101011110,cyclic angle reassignment within unchanged active ray set,0.0,0.0008442605612799525,11.691191673278809,0.15873248875141144,0.15903903543949127,0.19274933636188507
m4_counterfactual,20261401,22,178,g_111001110,cyclic angle reassignment within unchanged active ray set,0.0,0.0008322439389303327,15.93721866607666,0.4493992030620575,0.45040616393089294,0.22356729209423065
m4_counterfactual,20261401,23,178,g_111010110,cyclic angle reassignment within unchanged active ray set,0.0,0.0008854292682372034,18.69054412841797,0.23023954033851624,0.22912909090518951,-0.4846392273902893
m4_counterfactual,20261401,24,173,g_011010111,cyclic angle reassignment within unchanged active ray set,0.0,0.0011252397671341896,3.622840642929077,0.24421072006225586,0.24391278624534607,-0.12214767932891846
m4_counterfactual,20261401,25,173,g_101011110,cyclic angle reassignment within unchanged active ray set,0.0,0.0009884724859148264,4.633880138397217,0.17591100931167603,0.1750698685646057,-0.4804600179195404
m4_counterfactual,20261401,26,173,g_111001110,cyclic angle reassignment within unchanged active ray set,0.0,0.0009802939603105187,4.985681056976318,0.20646382868289948,0.2063673436641693,-0.04675401374697685
m4_counterfactual,20261401,27,173,g_111010110,cyclic angle reassignment within unchanged active ray set,0.0,0.0009835889795795083,4.717048168182373,0.21277286112308502,0.21209770441055298,-0.31832343339920044
m4_counterfactual,20261401,28,167,g_011010111,cyclic angle reassignment within unchanged active ray set,0.0,0.0009513433324173093,26.931543350219727,0.30199024081230164,0.30262839794158936,0.21087153255939484
m4_counterfactual,20261401,29,167,g_101011110,cyclic angle reassignment within unchanged active ray set,0.0,0.0008688942762091756,27.038789749145508,0.27371594309806824,0.27242887020111084,-0.4724436402320862
m4_counterfactual,20261401,30,167,g_111001110,cyclic angle reassignment within unchanged active ray set,0.0,0.000879129278473556,31.214019775390625,0.4989049732685089,0.4995296895503998,0.12506088614463806
m4_counterfactual,20261401,31,167,g_111010110,cyclic angle reassignment within unchanged active ray set,0.0,0.0009047254570759833,31.928726196289062,0.29738759994506836,0.2960035502910614,-0.4675787389278412
m4_counterfactual,20261401,32,166,g_011010111,cyclic angle reassignment within unchanged active ray set,0.0,0.0009126067161560059,12.327640533447266,0.23828987777233124,0.2377067506313324,-0.24531365931034088
