training_arm,method,model_seed,epoch,learning_rate,train_total_loss,validation_field_cluster_rel_l2
m4_counterfactual,pooled_static,20261401,24,4.277569313094809e-06,0.0018809749621141237,0.23319127936847509
m4_counterfactual,geometry_only,20261401,1,0.001,0.0021354842101573013,0.24917106837965547
m4_counterfactual,geometry_only,20261401,2,0.0009957224306869053,0.0020930892744217998,0.24782645744271575
m4_counterfactual,geometry_only,20261401,3,0.0009829629131445341,0.0020620162220438944,0.2454410817474127
m4_counterfactual,geometry_only,20261401,4,0.0009619397662556433,0.002031324687413871,0.24317770362831653
m4_counterfactual,geometry_only,20261401,5,0.0009330127018922194,0.0020011593296658248,0.24088886696845294
m4_counterfactual,geometry_only,20261401,6,0.0008966766701456175,0.0019803345880063717,0.2398714733775705
m4_counterfactual,geometry_only,20261401,7,0.0008535533905932737,0.001963441984844394,0.2411430720705539
m4_counterfactual,geometry_only,20261401,8,0.0008043807145043603,0.0019449331317446194,0.23767853737808764
m4_counterfactual,geometry_only,20261401,9,0.00075,0.0019273631733085494,0.23696524971164762
m4_counterfactual,geometry_only,20261401,10,0.000691341716182545,0.0019162486132699996,0.23695892677642405
m4_counterfactual,geometry_only,20261401,11,0.0006294095225512604,0.001917732621950563,0.23544797357171773
m4_counterfactual,geometry_only,20261401,12,0.000565263096110026,0.0019094465991656762,0.23480219431221486
m4_counterfactual,geometry_only,20261401,13,0.0005,0.0019024537468794733,0.2349142964463681
m4_counterfactual,geometry_only,20261401,14,0.00043473690388997423,0.0018999602008989314,0.23443773095495998
m4_counterfactual,geometry_only,20261401,15,0.0003705904774487397,0.0018986804971063975,0.23413596292957664
m4_counterfactual,geometry_only,20261401,16,0.0003086582838174552,0.0018953357452119236,0.2347493411041796
m4_counterfactual,geometry_only,20261401,17,0.0002500000000000001,0.0018932567174488213,0.23390476270578803
m4_counterfactual,geometry_only,20261401,18,0.00019561928549563967,0.0018922628507425543,0.23384107565507292
m4_counterfactual,geometry_only,20261401,19,0.00014644660940672628,0.0018906066899944563,0.23404690590687097
m4_counterfactual,geometry_only,20261401,20,0.00010332332985438248,0.0018889061117079108,0.23391322079114615
m4_counterfactual,geometry_only,20261401,21,6.698729810778065e-05,0.001888453783612931,0.233884534239769
m4_counterfactual,geometry_only,20261401,22,3.806023374435663e-05,0.001888240706466604,0.23399591092020272
