training_arm,method,method_label,source_split,sample_metric_rows,independent_field_count,layouts_per_field,model_seed_count,mean_field_rel_l2,median_field_rel_l2,p90_field_rel_l2,mean_audit_reprojection_rel_l2
m1_repeat,static,Static spectral adapter,test_joint_ood,384,32,4,3,0.6069259961756568,0.6054178973038992,0.6646025856335959,0.7472767056897283
m1_repeat,static,Static spectral adapter,test_noise_ood,384,32,4,3,0.25148587122869986,0.19916110237439474,0.3834604918956757,0.33661205891985446
m1_repeat,static,Static spectral adapter,val,480,40,4,3,0.24742711648965873,0.20418468055625755,0.3853082512815793,0.3224901434034109
m4_counterfactual,correct_geometry,Correct-geometry GC-SRO,test_family_ood,384,32,4,3,0.6005937409742426,0.5972986246148746,0.669782476623853,0.7396472464315593
m4_counterfactual,correct_geometry,Correct-geometry GC-SRO,test_iid,384,32,4,3,0.24303299178912616,0.21235874046881995,0.3586310972770056,0.3434745883375096
m4_counterfactual,correct_geometry,Correct-geometry GC-SRO,test_joint_ood,384,32,4,3,0.6062839361838996,0.604704054693381,0.6638750086228054,0.7470125169493258
m4_counterfactual,correct_geometry,Correct-geometry GC-SRO,test_noise_ood,384,32,4,3,0.2513600686603847,0.19888881966471672,0.38369804173707966,0.3362496159388684
m4_counterfactual,correct_geometry,Correct-geometry GC-SRO,val,480,40,4,3,0.24751615687273443,0.20488124527037144,0.38535018786787983,0.3226236402212332
m4_counterfactual,k_cardinality,K-cardinality adapter,test_family_ood,384,32,4,3,0.6010115257619569,0.5975674986839294,0.6703548287351927,0.7398541198732952
m4_counterfactual,k_cardinality,K-cardinality adapter,test_iid,384,32,4,3,0.24314184529551613,0.21241540648043156,0.35852733229597417,0.34365874400828034
m4_counterfactual,k_cardinality,K-cardinality adapter,test_joint_ood,384,32,4,3,0.6067467016012718,0.6051640485723813,0.6646490633487702,0.7472244820867976
m4_counterfactual,k_cardinality,K-cardinality adapter,test_noise_ood,384,32,4,3,0.25154985838647315,0.19922184757888317,0.3833545935650667,0.3366183677765851
m4_counterfactual,k_cardinality,K-cardinality adapter,val,480,40,4,3,0.24764628671109676,0.20526990666985512,0.3853216434518496,0.3225560657369594
m4_counterfactual,locked_fno,Locked fixed-layout FNO,test_family_ood,384,32,4,3,0.6026858740951866,0.5990339443087578,0.6703555837273598,0.750331586226821
m4_counterfactual,locked_fno,Locked fixed-layout FNO,test_iid,384,32,4,3,0.24981828610179946,0.22087913006544113,0.3585939165204764,0.35474467772291973
m4_counterfactual,locked_fno,Locked fixed-layout FNO,test_joint_ood,384,32,4,3,0.6077557397074997,0.6061228439211845,0.6631841644644737,0.7572551532648504
m4_counterfactual,locked_fno,Locked fixed-layout FNO,test_noise_ood,384,32,4,3,0.2575838665943593,0.21471489034593105,0.3797765284776688,0.3453071204130538
m4_counterfactual,locked_fno,Locked fixed-layout FNO,val,480,40,4,3,0.25782617800869045,0.2313978374004364,0.3869113430380821,0.3262929832562804
m4_counterfactual,shuffled_geometry,Shuffled-geometry GC-SRO,test_family_ood,384,32,4,3,0.6010616306836407,0.597630595167478,0.6703853184978167,0.7398719515961906
m4_counterfactual,shuffled_geometry,Shuffled-geometry GC-SRO,test_iid,384,32,4,3,0.24307967997932184,0.21229065457979837,0.3584688350558281,0.3436149906483479
m4_counterfactual,shuffled_geometry,Shuffled-geometry GC-SRO,test_joint_ood,384,32,4,3,0.6067974916659296,0.605219232539336,0.66468575745821,0.7472499633828799
m4_counterfactual,shuffled_geometry,Shuffled-geometry GC-SRO,test_noise_ood,384,32,4,3,0.251483145984821,0.19915978175898394,0.3832913257181645,0.33656075363978744
m4_counterfactual,shuffled_geometry,Shuffled-geometry GC-SRO,val,480,40,4,3,0.2476204640076806,0.20523300083975,0.3852822728455067,0.3225286164165785
m4_counterfactual,static,Static spectral adapter,test_family_ood,384,32,4,3,0.6010126755572855,0.597563162446022,0.670363919933637,0.7398508545011282
m4_counterfactual,static,Static spectral adapter,test_iid,384,32,4,3,0.24314753990620375,0.21243338535229367,0.3585275761783124,0.34365727319770184
m4_counterfactual,static,Static spectral adapter,test_joint_ood,384,32,4,3,0.6067494673188776,0.6051631097992262,0.6646651854117711,0.7472202007969221
m4_counterfactual,static,Static spectral adapter,test_noise_ood,384,32,4,3,0.25155793384571246,0.19922976195812225,0.3833624385297299,0.3366204279009253
m4_counterfactual,static,Static spectral adapter,val,480,40,4,3,0.24765459884268543,0.20530021438996,0.3853266939520836,0.3225620159568886
