training_arm,method,model_seed,source_split,pair_index,source_index,sample_seed,geometry_id,geometry_partition,family_id,noise_level,field_rel_l2,audit_reprojection_rel_l2
m1_repeat,locked_fno,20261401,val,79,190,30360851,g_111010110,validation,1,0.02,0.503868818283081,0.5044635534286499
m1_repeat,locked_fno,20261401,val,80,175,30360836,g_011010111,validation,0,0.05,0.24615584313869476,0.2430882304906845
m1_repeat,locked_fno,20261401,val,81,175,30360836,g_101011110,validation,0,0.05,0.19715791940689087,0.16427864134311676
m1_repeat,locked_fno,20261401,val,82,175,30360836,g_111001110,validation,0,0.05,0.21525485813617706,0.24636708199977875
m1_repeat,locked_fno,20261401,val,83,175,30360836,g_111010110,validation,0,0.05,0.21659427881240845,0.21052217483520508
m1_repeat,locked_fno,20261401,val,84,177,30360838,g_011010111,validation,0,0.05,0.2212335467338562,0.21713389456272125
m1_repeat,locked_fno,20261401,val,85,177,30360838,g_101011110,validation,0,0.05,0.16992640495300293,0.16418181359767914
m1_repeat,locked_fno,20261401,val,86,177,30360838,g_111001110,validation,0,0.05,0.21529026329517365,0.35895687341690063
m1_repeat,locked_fno,20261401,val,87,177,30360838,g_111010110,validation,0,0.05,0.19309471547603607,0.18879301846027374
m1_repeat,locked_fno,20261401,val,88,164,30360825,g_011010111,validation,0,0.02,0.18529629707336426,0.15554244816303253
m1_repeat,locked_fno,20261401,val,89,164,30360825,g_101011110,validation,0,0.02,0.12741850316524506,0.08499015122652054
m1_repeat,locked_fno,20261401,val,90,164,30360825,g_111001110,validation,0,0.02,0.20717354118824005,0.30425864458084106
m1_repeat,locked_fno,20261401,val,91,164,30360825,g_111010110,validation,0,0.02,0.16073870658874512,0.11955390870571136
m1_repeat,locked_fno,20261401,val,92,168,30360829,g_011010111,validation,1,0.02,0.26577916741371155,0.3561142086982727
m1_repeat,locked_fno,20261401,val,93,168,30360829,g_101011110,validation,1,0.02,0.2302975356578827,0.3732946813106537
m1_repeat,locked_fno,20261401,val,94,168,30360829,g_111001110,validation,1,0.02,0.5833695530891418,0.7355436086654663
m1_repeat,locked_fno,20261401,val,95,168,30360829,g_111010110,validation,1,0.02,0.2683313488960266,0.35841572284698486
m1_repeat,locked_fno,20261401,val,96,182,30360843,g_011010111,validation,1,0.02,0.45287224650382996,0.4709763824939728
m1_repeat,locked_fno,20261401,val,97,182,30360843,g_101011110,validation,1,0.02,0.25143134593963623,0.3552374839782715
