seed,split,sample_index,geometry_id,active_views,model_relative_l2,fallback_relative_l2,relative_gain_percent
72,validation,0,g_1001110,4,0.17982777953147888,0.4110584259033203,56.252498626708984
72,validation,1,g_0111110,5,0.19478262960910797,0.4050900340080261,51.91621398925781
72,validation,2,g_0011101,4,0.220109224319458,0.2616700232028961,15.882904052734375
72,validation,3,g_0111110,5,0.3008195161819458,0.34794944524765015,13.545049667358398
72,validation,4,g_1100110,4,0.18644309043884277,0.37590155005455017,50.401084899902344
72,validation,5,g_1011101,5,0.37972187995910645,0.5133850574493408,26.03565788269043
72,validation,6,g_1000111,4,0.32016509771347046,0.46697402000427246,31.4383487701416
72,validation,7,g_1011011,5,0.3072378933429718,0.5767710208892822,46.73139190673828
72,validation,8,g_1111000,4,0.152962788939476,0.3548591732978821,56.89479064941406
72,validation,9,g_1011101,5,0.20617929100990295,0.5367727279663086,61.58909225463867
72,validation,10,g_0001111,4,0.34763023257255554,0.3733597993850708,6.891359329223633
72,validation,11,g_1011101,5,0.3668559789657593,0.49707311391830444,26.19677734375
72,validation,12,g_1100110,4,0.1375907063484192,0.3217901289463043,57.24209976196289
72,validation,13,g_1011011,5,0.23583842813968658,0.4606209695339203,48.79989242553711
72,validation,14,g_1001011,4,0.21149802207946777,0.4113107919692993,48.57951354980469
72,validation,15,g_1011101,5,0.34249022603034973,0.5906664133071899,42.01630401611328
72,test,0,g_1100010,3,0.5845538377761841,0.6094345450401306,4.082589149475098
72,test,1,g_1010110,4,0.312296062707901,0.5829693675041199,46.430110931396484
72,test,2,g_1100001,3,0.6499237418174744,0.7086361050605774,8.285263061523438
72,test,3,g_0100111,4,0.4005889594554901,0.5895982384681702,32.05730056762695
72,test,4,g_0001101,3,0.5095482468605042,0.5809988975524902,12.297898292541504
72,test,5,g_1100011,4,0.645333468914032,0.7592145800590515,14.999857902526855
72,test,6,g_0110100,3,0.5584128499031067,0.6421558856964111,13.04092025756836
72,test,7,g_1100011,4,0.6220386028289795,0.7125208377838135,12.69888973236084
72,test,8,g_1010100,3,0.5527817010879517,0.6804671883583069,18.764385223388672
72,test,9,g_1010110,4,0.4051975905895233,0.5610666871070862,27.78084945678711
72,test,10,g_1100010,3,0.5178965330123901,0.6173181533813477,16.105409622192383
72,test,11,g_0011110,4,0.18578389286994934,0.3288540840148926,43.50567626953125
72,test,12,g_1100001,3,0.7274702787399292,0.7687740325927734,5.372678279876709
72,test,13,g_1100011,4,0.6418591737747192,0.7628880739212036,15.864568710327148
72,test,14,g_1101000,3,0.6436009407043457,0.697898268699646,7.780120849609375
72,test,15,g_1001101,4,0.1153574287891388,0.5398674607276917,78.63227081298828
72,test,16,g_1000011,3,0.6511002779006958,0.7150976061820984,8.949453353881836
72,test,17,g_1101001,4,0.5995289087295532,0.749841570854187,20.045923233032227
72,test,18,g_0101100,3,0.5124285221099854,0.5871049165725708,12.719429016113281
72,test,19,g_0110011,4,0.4194609820842743,0.4829791486263275,13.151327133178711
72,test,20,g_0011001,3,0.5271012783050537,0.6421443819999695,17.91545867919922
72,test,21,g_0100111,4,0.4219231605529785,0.6076986789703369,30.570335388183594
72,test,22,g_0110001,3,0.6829703450202942,0.7758957147598267,11.97652816772461
72,test,23,g_1001101,4,0.2578567564487457,0.5707421898841858,54.82080078125
73,validation,0,g_1001110,4,0.189141184091568,0.4110584259033203,53.98678970336914
73,validation,1,g_0111110,5,0.2105732411146164,0.4050900340080261,48.01816177368164
73,validation,2,g_0011101,4,0.19734227657318115,0.2616700232028961,24.58353614807129
73,validation,3,g_0111110,5,0.2929595112800598,0.34794944524765015,15.804000854492188
73,validation,4,g_1100110,4,0.17043066024780273,0.37590155005455017,54.660823822021484
73,validation,5,g_1011101,5,0.370098739862442,0.5133850574493408,27.910106658935547
73,validation,6,g_1000111,4,0.28526875376701355,0.46697402000427246,38.911216735839844
73,validation,7,g_1011011,5,0.3041152358055115,0.5767710208892822,47.272796630859375
73,validation,8,g_1111000,4,0.15478722751140594,0.3548591732978821,56.38066101074219
73,validation,9,g_1011101,5,0.21949215233325958,0.5367727279663086,59.108924865722656
73,validation,10,g_0001111,4,0.257246732711792,0.3733597993850708,31.099510192871094
73,validation,11,g_1011101,5,0.365179181098938,0.49707311391830444,26.53411102294922
73,validation,12,g_1100110,4,0.1363915055990219,0.3217901289463043,57.61476135253906
73,validation,13,g_1011011,5,0.243622824549675,0.4606209695339203,47.10991287231445
73,validation,14,g_1001011,4,0.20192891359329224,0.4113107919692993,50.906002044677734
73,validation,15,g_1011101,5,0.33805403113365173,0.5906664133071899,42.76735305786133
73,test,0,g_1100010,3,0.5892730355262756,0.6094345450401306,3.308232069015503
73,test,1,g_1010110,4,0.31300655007362366,0.5829693675041199,46.30823516845703
73,test,2,g_1100001,3,0.6507845520973206,0.7086361050605774,8.163788795471191
73,test,3,g_0100111,4,0.40068069100379944,0.5895982384681702,32.04174041748047
73,test,4,g_0001101,3,0.501929759979248,0.5809988975524902,13.609171867370605
73,test,5,g_1100011,4,0.6521548628807068,0.7592145800590515,14.101377487182617
73,test,6,g_0110100,3,0.5482857823371887,0.6421558856964111,14.617962837219238
73,test,7,g_1100011,4,0.6235175132751465,0.7125208377838135,12.491329193115234
73,test,8,g_1010100,3,0.5559772849082947,0.6804671883583069,18.294769287109375
73,test,9,g_1010110,4,0.41474926471710205,0.5610666871070862,26.07843780517578
73,test,10,g_1100010,3,0.5253211855888367,0.6173181533813477,14.902682304382324
73,test,11,g_0011110,4,0.18511293828487396,0.3288540840148926,43.7097053527832
73,test,12,g_1100001,3,0.7317406535148621,0.7687740325927734,4.81719970703125
73,test,13,g_1100011,4,0.6480754017829895,0.7628880739212036,15.049739837646484
73,test,14,g_1101000,3,0.6412097215652466,0.697898268699646,8.12275218963623
73,test,15,g_1001101,4,0.1316540390253067,0.5398674607276917,75.61363983154297
73,test,16,g_1000011,3,0.6554437279701233,0.7150976061820984,8.342061042785645
73,test,17,g_1101001,4,0.6129168272018433,0.749841570854187,18.26049041748047
73,test,18,g_0101100,3,0.5065710544586182,0.5871049165725708,13.717116355895996
73,test,19,g_0110011,4,0.40515175461769104,0.4829791486263275,16.114028930664062
73,test,20,g_0011001,3,0.5310893058776855,0.6421443819999695,17.294408798217773
73,test,21,g_0100111,4,0.4031982421875,0.6076986789703369,33.651615142822266
73,test,22,g_0110001,3,0.6930398344993591,0.7758957147598267,10.678739547729492
73,test,23,g_1001101,4,0.2543196976184845,0.5707421898841858,55.44053268432617
