truth_family,repeat_count,seed_index,view_index,model,mean_nll_per_dimension,nll_gain_vs_component_iid,whitened_energy_ratio,absolute_log_energy_ratio,chi_square_95_coverage,absolute_coverage_error,graph_activated,amplitude_activated,low_rank_drift_activated,selected_spatial_fraction,selected_diffusion_time,selected_component_correlation,selected_component_variance_ratio,selected_amplitude_log_standard_deviation,selected_low_rank_eigenvalue_sum,gate_validation_gain_per_dimension
component_iid,8,1,0,dg_covgate,1.5296325101319665,0.0,0.9902316261283184,0.009816397433047458,0.9625,0.012500000000000067,False,False,False,0.0,0.0,0.25,1.25,0.0,0.0,0.0
component_iid,8,2,0,component_iid,1.5166673237012955,0.0,0.9994261597163219,0.0005740049930279687,0.9625,0.012500000000000067,False,False,False,0.0,0.0,0.25,1.25,0.0,0.0,0.0
component_iid,8,2,0,diagonal_shrinkage,1.5288060544365893,-0.012138730735293812,1.0099119067127698,0.009863105972723213,0.94375,0.006249999999999978,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
component_iid,8,2,0,always_graph,1.5166673237012955,0.0,0.9994261597163219,0.0005740049930279687,0.9625,0.012500000000000067,True,False,False,0.0,0.2,0.25,1.25,0.0,0.0,0.0
component_iid,8,2,0,always_amplitude_graph,1.536084028535945,-0.019416704834649412,1.0999219473785182,0.09523922035814311,0.525,0.42499999999999993,True,True,False,0.25,0.2,0.25,1.25,0.13450033551863488,0.0,0.0
component_iid,8,2,0,always_low_rank_drift,1.539342840448245,-0.022675516746949453,1.0977853658458978,0.09329484660746952,0.5375,0.4125,True,False,True,0.25,0.2,0.25,1.25,0.13450033551863488,83.01145368129924,0.0
component_iid,8,2,0,dg_covgate,1.5166673237012955,0.0,0.9994261597163219,0.0005740049930279687,0.9625,0.012500000000000067,False,False,False,0.0,0.0,0.25,1.25,0.0,0.0,0.0
component_iid,8,3,0,component_iid,1.5227980429983528,0.0,0.9880187383347838,0.012053615488225582,0.9625,0.012500000000000067,False,False,False,0.0,0.0,0.25,1.25,0.0,0.0,0.0
component_iid,8,3,0,diagonal_shrinkage,1.5394420448919561,-0.016644001893603377,1.0130562890384358,0.012971790394479675,0.925,0.02499999999999991,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
component_iid,8,3,0,always_graph,1.5227980429983528,0.0,0.9880187383347838,0.012053615488225582,0.9625,0.012500000000000067,True,False,False,0.0,0.2,0.25,1.25,0.0,0.0,0.0
component_iid,8,3,0,always_amplitude_graph,1.5469901182350736,-0.024192075236720845,1.1022642704649497,0.09736649184023564,0.5,0.44999999999999996,True,True,False,0.0,0.2,0.25,1.25,0.14517263313992881,0.0,0.0
component_iid,8,3,0,always_low_rank_drift,1.5505612849719905,-0.027763241973637776,1.1006617985761333,0.09591163396371621,0.51875,0.4312499999999999,True,False,True,0.0,0.2,0.25,1.25,0.14517263313992881,87.00031074603135,0.0
component_iid,8,3,0,dg_covgate,1.5227980429983528,0.0,0.9880187383347838,0.012053615488225582,0.9625,0.012500000000000067,False,False,False,0.0,0.0,0.25,1.25,0.0,0.0,0.0
component_iid,8,4,0,component_iid,1.528235373364587,0.0,1.0313698740732806,0.030887893436836514,0.85625,0.09375,False,False,False,0.0,0.0,0.25,1.25,0.0,0.0,0.0
component_iid,8,4,0,diagonal_shrinkage,1.5417859362909483,-0.013550562926361254,1.0561121435606318,0.05459437619924348,0.8125,0.13749999999999996,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
component_iid,8,4,0,always_graph,1.528235373364587,0.0,1.0313698740732806,0.030887893436836514,0.85625,0.09375,True,False,False,0.0,0.2,0.25,1.25,0.0,0.0,0.0
component_iid,8,4,0,always_amplitude_graph,1.5478999668243674,-0.019664593459780333,1.126620787392409,0.11922269874834403,0.4,0.5499999999999999,True,True,False,0.0,0.2,0.25,1.25,0.12559075394998415,0.0,0.0
component_iid,8,4,0,always_low_rank_drift,1.551363349645533,-0.023127976280945983,1.1247873372084711,0.11759398419481186,0.40625,0.54375,True,False,True,0.0,0.2,0.25,1.25,0.12559075394998415,87.69739347653001,0.0
component_iid,8,4,0,dg_covgate,1.528235373364587,0.0,1.0313698740732806,0.030887893436836514,0.85625,0.09375,False,False,False,0.0,0.0,0.25,1.25,0.0,0.0,0.0
component_iid,8,5,0,component_iid,1.5309412186214424,0.0,1.0384645289784202,0.037743207735697795,0.84375,0.10624999999999996,False,False,False,0.0,0.0,0.25,1.25,0.0,0.0,0.0
component_iid,8,5,0,diagonal_shrinkage,1.5456523397920976,-0.014711121170655206,1.060906942116003,0.05912414807182454,0.7375,0.2124999999999999,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
component_iid,8,5,0,always_graph,1.5309412186214424,0.0,1.0384645289784202,0.037743207735697795,0.84375,0.10624999999999996,True,False,False,0.0,0.2,0.25,1.25,0.0,0.0,0.0
component_iid,8,5,0,always_amplitude_graph,1.5543482466451046,-0.023407028023662235,1.1422726702310935,0.13301984826021818,0.28125,0.66875,True,True,False,0.0,0.2,0.25,1.25,0.1297132661416776,0.0,0.0
component_iid,8,5,0,always_low_rank_drift,1.5575057957909837,-0.026564577169541304,1.139817330266911,0.13086801295917447,0.29375,0.65625,True,False,True,0.0,0.2,0.25,1.25,0.1297132661416776,88.16284233450928,0.0
component_iid,8,5,0,dg_covgate,1.5309412186214424,0.0,1.0384645289784202,0.037743207735697795,0.84375,0.10624999999999996,False,False,False,0.0,0.0,0.25,1.25,0.0,0.0,0.0
component_iid,8,6,0,component_iid,1.5297839352536902,0.0,1.0661681796343858,0.06407108031136559,0.69375,0.25625,False,False,False,0.0,0.0,0.25,1.25,0.0,0.0,0.0
component_iid,8,6,0,diagonal_shrinkage,1.5454185204623154,-0.015634585208625262,1.0798835016186614,0.0768531664462534,0.675,0.2749999999999999,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
component_iid,8,6,0,always_graph,1.5297839352536902,0.0,1.0661681796343858,0.06407108031136559,0.69375,0.25625,True,False,False,0.0,0.2,0.25,1.25,0.0,0.0,0.0
component_iid,8,6,0,always_amplitude_graph,1.5629243041232208,-0.033140368869530645,1.2007055292385242,0.18290932505644514,0.1125,0.8374999999999999,True,True,False,0.0,0.2,0.25,1.25,0.15220001413291656,0.0,0.0
component_iid,8,6,0,always_low_rank_drift,1.5662731700615584,-0.036489234807868254,1.1986156600737872,0.18116727426094187,0.125,0.825,True,False,True,0.0,0.2,0.25,1.25,0.15220001413291656,88.94979966415758,0.0
component_iid,8,6,0,dg_covgate,1.5297839352536902,0.0,1.0661681796343858,0.06407108031136559,0.69375,0.25625,False,False,False,0.0,0.0,0.25,1.25,0.0,0.0,0.0
component_iid,8,7,0,component_iid,1.5215883124919924,0.0,1.0166334059421214,0.016496585949282144,0.9375,0.012499999999999956,False,False,False,0.0,0.0,0.25,1.25,0.0,0.0,0.0
component_iid,8,7,0,diagonal_shrinkage,1.5384259691642417,-0.016837656672249235,1.0325022802738495,0.0319852543482871,0.8875,0.0625,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
component_iid,8,7,0,always_graph,1.52163541227212,-4.709978012762406e-05,1.0168671924565118,0.016726520984073446,0.9375,0.012499999999999956,True,False,False,0.25,0.2,0.25,1.25,0.0,0.0,0.0
