sample_index,sample_seed,source_split,family_id,noise_level,total_budget,support_count,query_strategy,method,model_seed_count,field_rel_l2,gradient_rel_l2,support_reprojection_rel_l2,audit_reprojection_rel_l2,qfit_noisy_residual,support_correction_leakage,correction_norm_ratio,field_improvement_vs_support_pct,field_improvement_vs_union_pct
80,20460710,test_iid,0,0.02,4,3,fixed,union_support_fit_direct,3,0.18003140222035618,0.2960471761953536,0.15273981059750183,0.3648887494989503,0.29174285220183666,0.0,0.0,28.843176513707537,0.0
80,20460710,test_iid,0,0.02,4,3,max_gap,learned_query_correction,3,0.25942048712706267,0.3831436478280841,0.2654717285194658,0.44936377687641804,0.2819005553309535,6.634422624726314e-10,0.03378960480067567,-2.594385366063804,-46.59688416595062
80,20460710,test_iid,0,0.02,4,3,max_gap,numeric_query_null_update,3,0.23151927025802155,0.3636142146401902,0.2654717285363448,0.3294420934736917,0.0006414815602892404,8.178431092931325e-17,0.1162988016129391,8.583785575423073,-30.991468551095974
80,20460710,test_iid,0,0.02,4,3,max_gap,support_fit_base,3,0.25320776742829926,0.37135055025450536,0.2654717285363449,0.44243918455535525,0.2950049053330165,0.0,0.0,0.0,-43.1397530527596
80,20460710,test_iid,0,0.02,4,3,max_gap,support_physics_lift,3,0.7053441369519698,0.8631010260029038,0.7189900881772314,0.8751373832615862,0.8521633450660927,0.0,0.0,-180.023450933722,-298.4062296716828
80,20460710,test_iid,0,0.02,4,3,max_gap,union_physics_lift,3,0.4888941012208822,0.6220227993237163,0.42641868108730246,0.49355050338189094,0.4066538410839815,0.0,0.0,-94.09222561443086,-176.14669970599525
80,20460710,test_iid,0,0.02,4,3,max_gap,union_support_fit_direct,3,0.17790206432701763,0.27755545762514827,0.1705480277741549,0.29620997186459613,0.2153415642535154,0.0,0.0,29.33236071874052,0.0
80,20460710,test_iid,0,0.02,4,3,random,learned_query_correction,3,0.25394398169662796,0.3722186271258165,0.2654717285354623,0.44488854747981676,0.18479757935699234,7.441265425661783e-11,0.003982978491931595,-0.2941783007749214,0.04026518596850792
80,20460710,test_iid,0,0.02,4,3,random,numeric_query_null_update,3,0.25534030439054656,0.4012905027817169,0.2654717285363448,0.4615835714489566,0.0006966238740823617,7.376915196883342e-17,0.09777845990182621,-0.7975449236740665,-0.4928547388551901
80,20460710,test_iid,0,0.02,4,3,random,support_fit_base,3,0.25320776742829926,0.37135055025450536,0.2654717285363449,0.44243918455535525,0.1848622002701765,0.0,0.0,0.0,0.31355407889000614
80,20460710,test_iid,0,0.02,4,3,random,support_physics_lift,3,0.7053441369519698,0.8631010260029038,0.7189900881772314,0.8751373832615862,0.320521324760493,0.0,0.0,-180.023450933722,-177.73541648856573
80,20460710,test_iid,0,0.02,4,3,random,union_physics_lift,3,0.629812712296243,0.7642158717136097,0.597264760618736,0.8423075328956416,0.49927652041291143,0.0,0.0,-150.03727953460069,-147.99425811535627
80,20460710,test_iid,0,0.02,4,3,random,union_support_fit_direct,3,0.25440312703649187,0.363737309010731,0.29715529501000226,0.3686761474253059,0.2714106841990383,0.0,0.0,-0.9711035805536188,0.0
80,20460710,test_iid,0,0.02,6,5,adaptive_energy,learned_query_correction,3,0.18700461058329712,0.28707322456826007,0.1884269838030527,0.33133570840612947,0.34812632106102653,0.0,0.0,0.0,-2.4188053001564853
80,20460710,test_iid,0,0.02,6,5,adaptive_energy,numeric_query_null_update,3,0.23051085302600868,0.5221339459980574,0.18842698380305267,0.21884334207811607,0.0013918872329527082,1.56407659939823e-16,0.2165980456901441,-23.28019223007685,-26.360884734555004
80,20460710,test_iid,0,0.02,6,5,adaptive_energy,support_fit_base,3,0.18700461058329712,0.28707322456826007,0.1884269838030527,0.33133570840612947,0.34812632106102653,0.0,0.0,0.0,-2.4188053001564853
