reference_kind,case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds
raw_learned,9f862d87f3c25fedf3e1,development,single_interface,2129,jacru_m2,29,0.4755740278430557,0.05691913686639836,0.05594809589681514,-0.007297820204014204,0.723930009011511,0.24397186264320883,0.2412257968413892,0.8605576753616333,0.064968826410044,13,13,1,1,0.008823667012620717
raw_learned,17ba335821b1e0d5a1aa,development,smooth_no_interface,2141,jacru_m2,29,0.31497433523170804,0.033641785184094386,0.03312545313055208,0.004313192723441917,0.552422057554905,0.22482716285450863,0.22400998230207084,0.858244001865387,0.05080302783563413,13,13,1,1,0.010009666031692177
raw_learned,6be92a896230a00c27bc,development,single_interface,2141,jacru_m2,29,0.3715435243274695,0.037915198427684274,0.04789310427344756,0.0021072175344086863,0.6289220604206949,0.2514224706733656,0.25307551236287534,0.8582111597061157,0.052377632645852185,13,13,1,1,0.011791292054113
raw_learned,2f2ee4ffd95bd30b9d41,development,smooth_no_interface,2153,jacru_m2,29,0.28673328338511567,0.033486185193945674,0.032493264238114314,0.007534173629460932,0.5438624745883539,0.2042437895623628,0.20242610272455136,0.8590075969696045,0.050655327567130905,13,13,1,1,0.014015624998137355
raw_learned,317ac465ce89a727ceb8,development,single_interface,2153,jacru_m2,29,0.4200469675310912,0.037344773230948036,0.048694147416224,0.005502694972050515,0.6189352903358932,0.2482679090869876,0.2495925061253065,0.8583789467811584,0.054567488299443315,13,13,1,1,0.014588041987735778
raw_learned,80f83d2b9da59c138e54,development,smooth_no_interface,2161,jacru_m2,29,0.2864267192850008,0.022120257903151072,0.032970091771134365,0.0006957612785131197,0.5225267447691503,0.25163041328516583,0.2502500166021591,0.856521487236023,0.04169105858997962,13,13,1,1,0.0087059999932535
raw_learned,817ed62303fd3253a425,development,single_interface,2161,jacru_m2,29,0.45041308923524676,0.04683552756130829,0.0525397665751654,-0.0010470112214797653,0.6770541726656971,0.2539044112653869,0.25272517522846094,0.8590428829193115,0.06144231374357845,13,13,1,1,0.009859707963187248
raw_learned,c12970cf110f1be99b82,ood,smooth_no_interface,3109,jacru_m2,29,0.3737834378291887,0.046527791958873445,0.043344518492779004,0.008605159657317675,0.6464805081246832,0.2029780047657615,0.20341808912139567,0.8592246770858765,0.053179557110519096,13,13,1,1,0.008077458012849092
raw_learned,c574fbda17385d89b138,ood,single_interface,3109,jacru_m2,29,0.4925559566976371,0.056211541878164704,0.056897215318791376,-0.0007763538240271674,0.7693484857684223,0.2244781574147851,0.22356797620220545,0.8592414855957031,0.06013234980141377,13,13,1,1,0.014602000010199845
raw_learned,49ed9e07a52fd9932a2e,ood,two_interface,3109,jacru_m2,29,0.5186729538499678,0.030830699324362335,0.07909607526112528,-0.007142281379604464,0.8248647311340309,0.2581323062253271,0.25987736406844714,0.8555552363395691,0.040454277998835796,13,13,1,1,0.009199124993756413
