case_id,split,family,base_seed,geometry_digest,mode,payload_digest,fit_repeats,threshold_calibration_repeats,audit_repeats,discrepancy_quantile,iid_noise_std,camera_bias_std,estimated_condition_number,estimated_minimum_eigenvalue,estimated_maximum_eigenvalue,mean_error_relative_iid,covariance_relative_frobenius_error,empirical_threshold,empirical_selection_score_mean,empirical_selection_score_maximum,empirical_audit_coverage,empirical_audit_score_mean,exact_threshold,exact_selection_score_mean,exact_audit_coverage,exact_audit_score_mean
80f83d2b9da59c138e54,development,smooth_no_interface,2161,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,paired_static,2fb55de3bd1f93f6d4dc81aa2a431001d922dc709c560ec39637f2a5429909b2,64,64,64,0.95,0.003882784873583926,0.007765569747167852,1.2640655883361112,1.4258575915617674e-05,1.802377515361036e-05,0.016582307124407395,0.04067517617470299,191.75460423316784,159.06688122148455,214.8281619196274,0.96875,157.3165933721209,184.5198583732562,154.10788941929542,0.96875,152.50871240127003
80f83d2b9da59c138e54,development,smooth_no_interface,2161,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,unpaired_distribution,0b9a08277b419343c727d9618b22be33311a9421c600007c0c2e9c1e5c161930,64,64,64,0.95,0.003882784873583926,0.007765569747167852,137.2247390039466,1.4043657967769877e-05,0.0019271372992879167,0.0,0.16303357927367185,183.05740881569469,154.22157404941674,209.27988261625956,0.921875,154.01033692969685,179.4608653541669,150.45698488567285,0.921875,150.0924508900646
817ed62303fd3253a425,development,single_interface,2161,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,paired_static,55f40ee85f062503202e35f7520c9f1ccd14f79c7d1fb3a74f663da70210daf8,64,64,64,0.95,0.005112384496648483,0.010224768993296966,1.2558320220281158,2.5019092475651284e-05,3.141977749300557e-05,0.01784804180820928,0.0329026922480857,181.55329964216395,147.98835679149363,199.6436842671948,0.96875,151.58750200301353,182.14125991457874,147.61808285659026,0.96875,151.60892176942815
817ed62303fd3253a425,development,single_interface,2161,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,unpaired_distribution,7ddeb73b86b12b355a355b3f3f6c47b9c0d0a6693fdee88d73a2022d2576a58f,64,64,64,0.95,0.005112384496648483,0.010224768993296966,133.44273466535327,2.5156021738397934e-05,0.0033568883340728945,0.0,0.20113545334017144,191.18036099091088,154.03346526952126,202.43371042860076,0.96875,156.4763795440312,189.26027279249251,153.43451764376053,0.96875,155.9189175447171
c12970cf110f1be99b82,ood,smooth_no_interface,3109,efb5c7642b3f28db33edc707678c5b671ac1d177550bbaf94383ce396121960b,paired_static,08f37efb4001a913da4fa50ace5cf7dd443beb76809a4b33d66defa06a08f404,64,64,64,0.95,0.0062341070057476715,0.012468214011495343,1.2594892430260134,3.735293769821507e-05,4.704562322632274e-05,0.022938639788704817,0.02964040216101272,168.25910465952563,149.09137550664747,202.81414635263036,0.921875,143.57285756138833,168.67058579836433,149.69315177704095,0.921875,144.20163506136367
c12970cf110f1be99b82,ood,smooth_no_interface,3109,efb5c7642b3f28db33edc707678c5b671ac1d177550bbaf94383ce396121960b,unpaired_distribution,0de30efc8dc98a0e770766dce372f001e3a09fb3648bf4252f95d0e20a4f6949,64,64,64,0.95,0.0062341070057476715,0.012468214011495343,138.11430157793194,3.743346856720133e-05,0.00517009736679848,0.0,0.19638928951857976,181.20025387899517,153.5965392636827,191.3884163626999,0.921875,150.88916856699336,178.77916844087292,151.79686798512216,0.921875,149.11475370208544
c574fbda17385d89b138,ood,single_interface,3109,efb5c7642b3f28db33edc707678c5b671ac1d177550bbaf94383ce396121960b,paired_static,4ec23f52b31b39d048d0c0a9ecda804fa7f2c42ce1a584b27daf161a8cbc2d2c,64,64,64,0.95,0.005683328504029027,0.011366657008058055,1.049415410338065,3.151056840739715e-05,3.3067676075234343e-05,0.03630126299029455,0.015443538644261628,172.56248483447473,149.23249173818135,199.80755925683383,0.953125,146.11176661872963,173.24241461914372,149.49502945309837,0.953125,146.3057134123588
c574fbda17385d89b138,ood,single_interface,3109,efb5c7642b3f28db33edc707678c5b671ac1d177550bbaf94383ce396121960b,unpaired_distribution,7bc4cfff821e749d32973bf81bdd15dacbec4fa2aa51db1dbfaa37b67ef50eca,64,64,64,0.95,0.005683328504029027,0.011366657008058055,117.0371522878763,3.205947936640249e-05,0.0037521501688756757,0.0,0.07490177806723064,185.30134781645125,152.48432813198778,200.34777629092443,0.984375,147.79015243961192,186.169771221873,153.58936270802332,0.984375,148.8309169220331
49ed9e07a52fd9932a2e,ood,two_interface,3109,efb5c7642b3f28db33edc707678c5b671ac1d177550bbaf94383ce396121960b,paired_static,2f4917f1dafdfb242f2c214d18723aa07280cf02969789ac5cbc09f87d687f62,64,64,64,0.95,0.0030280683331500658,0.0060561366663001315,1.261318855004474,8.975252088675316e-06,1.1320654687864463e-05,0.036822427542099107,0.03939931502501652,177.4338581073061,150.3615653937004,190.9076202302412,0.9375,149.96920889738615,177.99255793701627,150.87497930483318,0.9375,150.2934311093183
49ed9e07a52fd9932a2e,ood,two_interface,3109,efb5c7642b3f28db33edc707678c5b671ac1d177550bbaf94383ce396121960b,unpaired_distribution,6eee7df363e4d62634fb39fe238e7306e39e25cc8e648026f5209b5e3ed3b26d,64,64,64,0.95,0.0030280683331500658,0.0060561366663001315,131.51521144841666,8.857568341578732e-06,0.0011649049733615283,0.0,0.16651073154548449,178.7885867796342,147.5702969224748,184.49514195665802,0.9375,147.1828867520404,179.02588104581474,147.73078972268848,0.921875,147.16669905281935
b65d04062647ff4a96cf,ood,smooth_no_interface,3121,01171c51a93fbb387eb28c87aab80f21630e7f67bdbeb573a7d5212f69c5a11a,paired_static,4fe9fcc790cf5b1dbd841fd9ed2ec428b1b2b48bfa29486a0d724dda5549e115,64,64,64,0.95,0.005032896784438349,0.010065793568876697,1.186300056524523,2.5000622739288848e-05,2.9658240168766635e-05,0.01140526064619479,0.02285327539675248,171.9146769734934,148.09265048291974,200.84145763816247,0.828125,149.95894155238835,173.2726963354948,149.12154597502922,0.84375,150.85491552115153
b65d04062647ff4a96cf,ood,smooth_no_interface,3121,01171c51a93fbb387eb28c87aab80f21630e7f67bdbeb573a7d5212f69c5a11a,unpaired_distribution,374d8685b1a105e50a602ccaa00c8fe2d0eb875c00f95f1012bd6d53fa50d09e,64,64,64,0.95,0.005032896784438349,0.010065793568876697,114.60519359886374,2.438593425320953e-05,0.002794754716178241,0.0,0.06563261161425542,184.6314760319947,152.81533532018528,195.37582353150788,0.96875,156.29024182203182,182.28390693256682,150.88472479221866,0.984375,154.33589228995055
92c050cb6b32ffd7819e,ood,single_interface,3121,01171c51a93fbb387eb28c87aab80f21630e7f67bdbeb573a7d5212f69c5a11a,paired_static,d52e000337e3f2c47de153cad98b342c188ad8fdf6041905e241eafec603a91c,64,64,64,0.95,0.005683248298795379,0.011366496597590758,1.4022170113908197,3.242656922312217e-05,4.54690869857039e-05,0.028578146905891784,0.05035888080171303,167.26920802831194,147.989327806604,179.0524555412273,0.9375,146.938073195147,170.59735828563072,151.2276630042919,0.9375,149.92059210132436
92c050cb6b32ffd7819e,ood,single_interface,3121,01171c51a93fbb387eb28c87aab80f21630e7f67bdbeb573a7d5212f69c5a11a,unpaired_distribution,cb2b2671dd8b007d5c0e64351f0cc96d8fdc143933987b9c9fa6ecc65e477152,64,64,64,0.95,0.005683248298795379,0.011366496597590758,128.12631872609592,3.114700965757511e-05,0.003990751686751256,0.0,0.15137783109076575,175.44372371619588,150.14119890554437,187.13485316125434,0.875,152.1957255480636,175.4435214484655,150.3830437478548,0.84375,152.42203515442563
d2bd02757c7386060fa0,ood,two_interface,3121,01171c51a93fbb387eb28c87aab80f21630e7f67bdbeb573a7d5212f69c5a11a,paired_static,ba9834aac8ad814dbadf133d7d5e20b2889e4fa0c58d4b9885a93212ea4ebc5d,64,64,64,0.95,0.0022574115081854876,0.004514823016370975,1.3398401362304668,4.977220525815398e-06,6.668679827357578e-06,0.0194910066258497,0.042064609889724214,187.64380624745718,148.51037055630763,190.33579264186054,0.984375,148.29505449776772,188.48744345121943,149.3215056500134,0.984375,149.18444176138178
d2bd02757c7386060fa0,ood,two_interface,3121,01171c51a93fbb387eb28c87aab80f21630e7f67bdbeb573a7d5212f69c5a11a,unpaired_distribution,10c71e0f850f071b22ce6f1d8edc1684da4d91e00d9e36d3ba91882348738e6a,64,64,64,0.95,0.0022574115081854876,0.004514823016370975,116.02484534140129,4.924235759694496e-06,0.0005713336924431516,0.0,0.111319077390841,177.65509868246858,150.86337574695955,189.95018435020384,0.953125,147.49884360145336,179.41182719306875,152.08151515623393,0.96875,148.60159449199296
efe6f0ab78d4c4993662,ood,smooth_no_interface,3137,ef951b7f7b41354cd630859e120b9682ccfcb4e5ec498334b485ae29dd327806,paired_static,21401e5916d6520faf1b21a946441da9be51a8b81050f4b871d2d51ff78c3969,64,64,64,0.95,0.004162577908744498,0.008325155817488996,1.3257940372414658,1.694499498374753e-05,2.2465573310539023e-05,0.021513951026326146,0.035555404282481946,185.36443517804378,150.8924810543748,193.07058339544355,0.953125,152.49897665630658,185.9436605562997,151.2761424169799,0.9375,152.7681935120841
efe6f0ab78d4c4993662,ood,smooth_no_interface,3137,ef951b7f7b41354cd630859e120b9682ccfcb4e5ec498334b485ae29dd327806,unpaired_distribution,106f809ff1819f1f9b24586c65c48ddb63e6d77e563316ee248d4089f8c124af,64,64,64,0.95,0.004162577908744498,0.008325155817488996,129.3858194200325,1.672051590747193e-05,0.002163397651813944,0.0,0.13659734406206064,180.75670862285432,151.28757079886373,194.05070801421007,0.984375,150.37134711551556,184.01289249894205,152.80548983886453,0.984375,151.96051436326064
59d5c6804bd39f12f83e,ood,single_interface,3137,ef951b7f7b41354cd630859e120b9682ccfcb4e5ec498334b485ae29dd327806,paired_static,afa650fdc1e350c3ee83cf9af85ec0aac5d41cbcd99d8e8f6b3405c11253517e,64,64,64,0.95,0.005890421341030226,0.011780842682060451,1.1596917818014865,3.198466795504569e-05,3.7092356571115845e-05,0.022260228782842523,0.03775710877847268,182.10613306995657,150.50995312737922,197.32842848049302,0.921875,155.59968032729734,179.0442920506726,147.45267844420917,0.921875,152.39112275183885
